date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Sun Jan 24 2021, Sales Associate,"Dallas, TX",Current Employee ,Salary range,0,"Work life balance and benefits
","Tough market and old systems
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sat Feb 06 2021, FedEx Package Handler,"Memphis, TN",Current Employee ,package handler,0,"good pay, health benefits, able to move up quickly
","very very very physically demanding
Advice to Management
keep up the good work
Helpfu","keep up the good work
Helpfu",4.0,4.0,4.0,5.0,5.0,5.0,Recommends,Neutral Outlook,Approves of CEO
Sat Feb 06 2021," Senior Manager, Operations","Washington, DC",Former Employee ,Great Opportunity,0,"If you want a place to have a chance to work for it then this is the place.
","This style can take a toll on you.
Helpfu",,5.0,3.0,5.0,4.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Part Time Package Handler,"Raleigh, NC",Current Employee ,great company,0,"good benefits and health insurance
","few hours to work, no a lot overtime
Helpfu",,5.0,,,,,,Recommends,,
Fri Feb 05 2021, Courier Retired,"Columbus, GA",Former Employee ,Good company,0,"Good pay, plenty hours,out and about never the same
","Long hours and takes away from family
Helpfu",,4.0,2.0,4.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Retail Customer Service Associate,"San Diego, CA",Former Employee ,good pay,0,"Good Pay, pay weekly, good hours
","Scheduling and shifts not very flexible
Helpfu",,5.0,3.0,3.0,,,,,,
Thu Feb 04 2021,Anonymous,"Braselton, GA",Current Employee ,Great job,0,"Work is reasonable and pay has gotten better. Most managers are great to work with.
","Turnover. Because it is physically demanding, people leave. Also hours worked are contingent on the amount of volume.
Helpfu",,4.0,2.0,4.0,2.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Advisor,"Collierville, TN",Current Employee ,Great company,0,"Health benefits for all team members
","Laid back culture in most parts
Helpfu",,5.0,4.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Package Handler,,Former Employee ,Good,0,"Good pay and always flexible
","hours are too early ( early morning or late night)
Helpfu",,5.0,,,,,,,,
Tue Feb 02 2021, Supply Chain Management,"Indianapolis, IN",Former Employee ,Very Good company,0,"Great people to work with
","Higher management isn't so great
Helpfu",,4.0,4.0,4.0,4.0,3.0,3.0,Recommends,Neutral Outlook,No opinion of CEO
Tue Feb 02 2021, Managing Director,"Memphis, TN",Current Employee ,Great company,0,"Family feel, Great benefits, strong company
","Getting more bureaucractic, very political
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Advisor,"Collierville, TN",Current Employee ,Great company,0,"Health benefits for all team members
","Laid back culture in most parts
Helpfu",,5.0,4.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 01 2021, Operations,"Austin, TX",Former Employee ,Reliable,0,"Work is constant. Time goes by fast.
","No slouches. There’s no time.
Helpfu",,4.0,3.0,2.0,4.0,3.0,3.0,Recommends,,
Tue Feb 02 2021, Logistics Analyst,"Memphis, TN",Former Employee ,Good Job,0,"Work Environment is good for advancement in logistics.
","Work life balance is lacking and difficult.
Advice to Management
Improve the work life balance
Helpfu","Improve the work life balance
Helpfu",4.0,2.0,4.0,3.0,4.0,3.0,Doesn't Recommend,Neutral Outlook,Approves of CEO
Tue Feb 02 2021, Supply Chain Management,"Indianapolis, IN",Former Employee ,Very Good company,0,"Great people to work with
","Higher management isn't so great
Helpfu",,4.0,4.0,4.0,4.0,3.0,3.0,Recommends,Neutral Outlook,No opinion of CEO
