date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Sat Feb 06 2021, Superintendent,"Houston, TX",Former Employee ,Family Company,0,"A lifetime career company at all levels
","slow move on stock prices to get returns
Helpfu",,5.0,4.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Product Development Engineer,"Dearborn, MI",Current Employee ,"Good place to work, medical benefits could be improved",0,"Pays well, good work/life balance
","Health insurance isn't very good
Advice to Management
Less expensive health insurance and dental insurance please.
Helpfu","Less expensive health insurance and dental insurance please.
Helpfu",5.0,4.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021,Anonymous,"Detroit, MI",Current Employee ,Great place to work,0,"Great company for work in Automotive industry.
","Slow process. They could add more agile process.
Helpfu",,5.0,5.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Senior Quality Manager,"Detroit, MI",Former Employee ,Nice Environment,0,"Growth and learning opportunities within company
","Stressful at times and long hours
Helpfu",,5.0,,,,,,,,
Tue Feb 02 2021, Sales Associate,"Tampa, FL",Current Employee ,Dope,0,"Really good pay and environment
","There is an excessive amount of hours
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,
Wed Feb 03 2021, Engineering Manager,"Dearborn, MI",Current Employee ,Great Opportunity for growth,0,"There are great opportunities for young engineers with controls and software background. Excellent line-up of products such as Mustang, F150, Bronco and a lot of cool projects to contribute to.
","Large organization, working to be more agile. Not as sexy as upstart small EV companies, more stable and secure in purpose.
Advice to Management
Keep investing in great products.
Helpfu","Keep investing in great products.
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Ford College Graduate ,"Dearborn, MI",Current Employee ,Great Company but restrictions,0,"nice salary and benefits, flexible, big company, many opportunities for professional growth.
","There are tons of internal job postings to choose from if you would like to change departments, but trying to more into a whole other group outside of your home organization (for example trying to go from manufacturing to product development or research, ...) is very difficult and frowned apon.
Also being an overachiever is normal/ expected. Your job offer might say 40 hours a week but expect to be closer to the 50 mark. If you are only at work for 8.5 or 9 hours a day, coworkers look at you like you are slacking.
Helpfu",,5.0,2.0,4.0,5.0,4.0,5.0,Recommends,Neutral Outlook,Approves of CEO
Sat Jan 30 2021, Data Scientist,"Dearborn, MI",Current Employee ,Good company,0,"great company！fair pay and friendly environment.
","Too many reorg every year
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Neutral Outlook,Approves of CEO
Fri Jan 29 2021, Design Researcher,"Detroit, MI",Current Employee ,Great Team,0,"Love the culture and the people of my org
","massive company, can be slow to change
Helpfu",,5.0,,,,,,,,
Fri Jan 29 2021, Sales,,Former Employee ,Sales,0,"Great company, would recommend to all
","none, an amazing culture for all
Helpfu",,5.0,,,,,,,,
Thu Jan 28 2021, FCG,"Detroit, MI",Current Employee ,Good Company,0,"Super easy interviewing process. Company lets you choose 4 rotations over course of your first 2 years graduating college.
","I haven't started yet so none thus far.
",,5.0,,,,,,,,
Tue Jan 26 2021, Product Development Manager,,Current Employee ,Family Oriented,0,"Family Oriented, team helps each other, new technology
","Companies will continue to improve
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Positive Outlook,,Approves of CEO
Mon Jan 25 2021, Buyer,"Dearborn, MI",Current Employee ,Great Place,0,"Amazing experiences at Ford Motor Company
","I do not have any at this time
Helpfu",,5.0,,,,,,,,
Mon Jan 25 2021, Line Operator,"Chicago, IL",Current Employee ,Good Pay HARD Work,0,"Benefits, Pay, Union, Overtime, Advancement
","Long Hours, Hot, Dirty, Transportation, Loud
Helpfu",,5.0,1.0,2.0,2.0,4.0,4.0,Recommends,Neutral Outlook,Disapproves of CEO
Tue Jan 26 2021, Warehouse Associate,"New Brunswick, NJ",Current Employee ,Warehouse,0,"Pay and benefits are great
","You have to work night shift for years before making it to the day shift
Advice to Management
Have open meetings with management and employees to discuss ways to make it more then just work, work, work! My be monthly performance competition...small prizes,shirts ,hats,gift cards.... Convertible Mustang.....lol
Helpfu","Have open meetings with management and employees to discuss ways to make it more then just work, work, work! My be monthly performance competition...small prizes,shirts ,hats,gift cards.... Convertible Mustang.....lol
Helpfu",5.0,2.0,2.0,5.0,3.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Jan 24 2021, Production Operator,"Cleveland, OH",Current Employee ,Great,0,"Everything is great here benefits and pay
","Nothing at all is bad here at ford
Helpfu",,5.0,,,,,,,,
Mon Jan 25 2021, Assembly/Solder,"Louisville, KY",Current Employee ,Great work,0,"Good pay and benefits there
","Too much overtime work for me
Helpfu",,5.0,,,,,,,,
