date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Sun Feb 07 2021, Risk Director,"McLean, VA",Current Employee ,Loyal for a reason,0,"Good benefits, employee development focused
","Work life balance in since departments could be much better - especially in modeling space
Helpfu",,5.0,3.0,5.0,5.0,5.0,5.0,Positive Outlook,,
Wed Feb 03 2021, Analyst,"McLean, VA",Current Employee ,Great Company!,0,"Inclusive environment, meaningful work, overall great company to work for
","Nothing comes to mind, great place
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,,,
Tue Feb 02 2021, IT Generalist II,"Washington, DC",Current Employee ,Good overall,0,"Work life balance is good
","Technology is a little outdated
Helpfu",,4.0,,,,,,,,
Mon Feb 01 2021, Software Developer,"McLean, VA",Current Employee ,Awesome. They really care about you.,0,"They are really nice people. 
Nice env
","I can't think of any
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Jan 31 2021, Accounting Manager,"McLean, VA",Current Employee ,Freddie Mac,0,"A friendly work environment for minorities. A great place to learn.
","There are a very few promotional opportunities
Helpfu",,4.0,4.0,4.0,4.0,3.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Mon Feb 01 2021, Senior Analyst,"Tysons Corner, VA",Current Employee ,Good vibe but limited growth,0,"Good work vibe, benefit, and work from home policy.
","Limited career growth. It’s more depend on who you know and close with, rather than your real work performance and skills.
Advice to Management
No advice, they won’t listen.
Helpfu","No advice, they won’t listen.
Helpfu",4.0,5.0,3.0,4.0,3.0,4.0,Recommends,Neutral Outlook,No opinion of CEO
Sun Jan 31 2021, Senior Java Developer,"Tysons Corner, VA",Former Employee ,good place to work,0,"good benefits, new tech stack
","long projects going on at one
Helpfu",,5.0,,,,,,,,
Fri Jan 29 2021, Loan Servicing Professional,"McLean, VA",Current Employee ,Loan servicing professional,0,"The work environment 
The management 
Work/life balance
Benefits
","I don’t have any!! The people are great.
Advice to Management
Great job! Keep doing what your doing
Helpfu","Great job! Keep doing what your doing
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 28 2021, Product Analyst,"McLean, VA",Current Employee ,Changes Changes Changes,0,"Family Friendly
Very collegial
Great teams
Great Tools
Decent pay
","Confused middle management
Too many methodology changes
Management trusts outsiders more than employees
Advice to Management
Trust your employees
Enable delivery or methodology
Helpfu","Trust your employees
Enable delivery or methodology
Helpfu",4.0,5.0,5.0,5.0,3.0,5.0,Neutral Outlook,,No opinion of CEO
Tue Jan 26 2021, Frontend Developer,"McLean, VA",Current Employee ,Good,0,"- not much pressure 
- work life balance
","- things are moving relatively slow
Helpfu",,4.0,,,,,,,,
Tue Jan 26 2021, Production Support,"McLean, VA",Former Employee ,good growing place to work,0,"work from home, good communication, a good growing place to work
","work-life balance can suffer from time to time
Helpfu",,4.0,,,,,,,,
Sun Jan 24 2021, Manager,"McLean, VA",Current Employee ,We make home possible in a homely environment,0,"Noble mission - making home possible to Americans
Excellent work life balance
Good opportunities to grow
Colleagues are like a family
Outstanding pay and benefits including tuition reimbursement, bonus
","Still under government conservatorship which brings in some restrictions comany sponsored events.
Advice to Management
Continue maintaining the great work environment
Helpfu","Continue maintaining the great work environment
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,
Mon Jan 25 2021, Software Developer,"McLean, VA",Current Employee ,Great company to work for,0,"Flexibility with work schedule, amazing Paternity leave benefit
","Takes time to get promoted.
Helpfu",,5.0,3.0,5.0,5.0,3.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sat Jan 23 2021, Tech Analyst,"McLean, VA",Current Employee ,Love it here,0,"Great communication throughout the entire office structure
","None at this point. Will edit later.
Helpfu",,5.0,5.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
