date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Wed Nov 25 2020, CPSO/FSO,,Current Employee ,Good company,0,"Good company to work for, awesome benefits.
","Too many responsibilities piled on the more capable people.
Helpfu",,5.0,3.0,3.0,3.0,4.0,5.0,Recommends,,
Fri Jan 29 2021, Systems Architect,,Former Employee ,Overall Positive,0,"Work that makes a difference
","Individual contributions get lost in the scope of a big company
Helpfu",,5.0,4.0,4.0,5.0,4.0,4.0,,,
Wed Jan 27 2021, Business Development,"Minneapolis, MN",Current Employee ,Defense Company,0,"9/80 Schedule; Good communication with employees
","Risk averse culture compared to peers
Helpfu",,4.0,,,,,,,,
Fri Jan 22 2021,Anonymous,"Washington, DC",Current Employee ,Great place to work,0,"Corporate structure is small with many employees having long tenure.
","I have nothing to list as a con.
Helpfu",,5.0,5.0,5.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Feb 07 2021, Section Manager,,Former Employee ,"Mysoginism, pretentiousness and stifling",0,"Nice facilities and if you’re related to a manager you will do well
","Sexist, unethical, narrow minded, nepotism, arrogant
Advice to Management
Less talking and more listening
Helpfu","Less talking and more listening
Helpfu",1.0,3.0,1.0,1.0,1.0,2.0,Doesn't Recommend,Negative Outlook,No opinion of CEO
Wed Dec 30 2020, Design Engineer,"Houston, TX",Former Employee ,Good company to work for.,0,"Good pay and good benefits.
","No comments on this question.
Helpfu",,4.0,4.0,4.0,3.0,3.0,4.0,Recommends,Negative Outlook,Approves of CEO
Tue Dec 22 2020, Engineer,,Former Employee ,Good company,0,"The company offered excellent benefits.
","Salary might not be competitive to others in the same industry.
Helpfu",,5.0,4.0,4.0,4.0,4.0,5.0,,,
Tue Dec 22 2020, Senior Human Resources Manager,"Tampa, FL",Current Employee ,Great place,0,"Great place to work! Awesome environment!
","Everything is good! Great place to work!
Helpfu",,5.0,,,,,,,,
Mon Nov 30 2020, Tutor/TA,,Former Employee ,TA,0,"Mastery of the subject and working with students.
","Lots of surprise hours of work.
Helpfu",,4.0,,,,,,,,
Fri Nov 13 2020, Project Manager,"Raleigh, NC",Current Employee ,They really care,0,"Even though you are assigned to other organizations, the managers and HR are dedicated to making sure you feel a part of GDIT. Great benefits and you are encouraged to explore other opportunities as they arise.
","The typical issues of remote work, having a manager in two organizations
Helpfu",,5.0,5.0,4.0,5.0,5.0,5.0,Recommends,Positive Outlook,
Wed Oct 14 2020, Cyber Security Analyst,"Tampa, FL",Current Employee ,Great company,0,"No issues at all great place
","no issues would never leave
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Oct 26 2020, Staff Accountant,N/A,Former Employee ,Ok,0,"Nice company to work for
","More money is always nice.
Helpfu",,3.0,3.0,3.0,3.0,2.0,3.0,,,
Wed Oct 07 2020, Engineering Technical Manager,"Honolulu, HI",Current Employee ,Great company!,0,"General Dynamics offers many challenging opportunities.
","Enjoy working with some really smart people. Projects and tasks can include long hours.
Helpfu",,5.0,,,,,,,,
Sat Nov 07 2020, Engineer,,Former Employee ,Don't,1,"Standard benefits package for employees
","Terrible pay, no raises, no promotions
Helpful (1",,1.0,,,,,,Doesn't Recommend,Neutral Outlook,
Sun Oct 04 2020, Information Security Analyst,"Macdill AFB, FL",Former Employee ,General Dynamics,0,"Good benefits and flexible work schedule
","Your job could end if the contract ends.
Helpfu",,3.0,5.0,3.0,2.0,1.0,5.0,Recommends,Positive Outlook,No opinion of CEO
Fri Oct 02 2020, Customer Service Representative (CSR),"Hattiesburg, MS",Former Employee ,had potential poor management,0,"pretty flexible schedule. I was able to work during the week and have off on weekends. pay is good for the job
","the managers were a joke. defiantly had favoritism. training was very long and drawn out
Advice to Management
look closer at the people you hire
Helpfu","look closer at the people you hire
Helpfu",3.0,3.0,2.0,3.0,3.0,1.0,Doesn't Recommend,Negative Outlook,
Thu Oct 22 2020, Customer Service Representative,"Richmond, VA",Former Employee ,Customer service,0,"Good pay insurance co workers
","Training parking managers supervisor ok
Helpfu",,1.0,,,,,,,,
Sat Oct 03 2020, Hourly Employee,"North Kingstown, RI",Current Employee ,Nepotism does not PRODUCE SOLUTIONS,2,"They are still in business some how...
","Upper Management promoted by the "" Hey Buddy Club""

Employees that are good at their job are held back unable to advance.

Middle Management ignored and brushed aside until BIG Issues come to light.

Computer based training is practically useless, not department specific and waste of time. 

Upper Management PREFERS to have morale LOW, apparently happy employees are bad employees.

Quality Control is forced to be more Production oriented than Quality oriented.

Company brings in more and more "" Contractors "" instead of allowing incoming workforce to actually gain experience. And also at a much higher pay that not only takes money away from a family, but also TAKES EXPERIENCE AWAY FROM THE NEW INCOMING WORKFORCE. That is a major issue.

Overloaded with unnecessary paperwork that takes time and concentration away from doing the actual job.
Advice to Management
For goodness sake please stop being so TONE-DEAF and actually LISTEN to your PEOPLE! WE HAVE A STAKE IN THE COMPANY TOO!
Helpful (2","For goodness sake please stop being so TONE-DEAF and actually LISTEN to your PEOPLE! WE HAVE A STAKE IN THE COMPANY TOO!
",1.0,1.0,1.0,2.0,1.0,2.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Fri Aug 28 2020, Senior UI/User Experience Designer,,Current Employee ,An employee focused company,0,"Capable HR Department
* Good Benefits
* Friendly Managers
* Competitive salaries
","* No bench period between contracts
* Difficult to rise within the company as a contractor
Advice to Management
Good teams are hard to find. Recommend finding better ways to preserve existing contractors when work ends. Constantly cycling through workers with which you've established trusting relationships impacts team moral. This may be the nature of contracting, but it doesn't have to be.
Helpfu","Good teams are hard to find. Recommend finding better ways to preserve existing contractors when work ends. Constantly cycling through workers with which you've established trusting relationships impacts team moral. This may be the nature of contracting, but it doesn't have to be.
Helpfu",4.0,4.0,4.0,3.0,4.0,4.0,Recommends,Neutral Outlook,No opinion of CEO
Fri Sep 25 2020, Data Analyst,,Former Employee ,Terrible Interview Process,1,"There are no pros here
","- waited for 4 months for job to start, then got rescinded
Advice to Management
- Inform potential employees of what is going on while they are waiting half a year
Helpful (1","- Inform potential employees of what is going on while they are waiting half a year
",1.0,1.0,1.0,1.0,1.0,1.0,Doesn't Recommend,Negative Outlook,
Sun Aug 02 2020,Anonymous,,Former Employee ,CCO,2,"Huge company. You get benefits.
","*
Cons
You can get lost in the company.
Advice to Management
Find a better business.
Helpful (2","Find a better business.
",4.0,4.0,4.0,3.0,3.0,3.0,Recommends,Positive Outlook,Approves of CEO
Wed Jul 29 2020, Outside Machinist,"San Diego, CA",Former Employee ,Good place to work,0,"Lots of overtime
Great work culture
","Pay isn't competitive with other shipyards
Helpfu",,4.0,4.0,4.0,5.0,3.0,3.0,,,
Sat Jul 18 2020, Controller,"Tampa, FL",Current Employee ,GD,0,"Wonderful people to work with
","Not a lot to speak of
Helpfu",,4.0,4.0,5.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Fri Jun 26 2020, Customer Service Representative,"Winchester, KY",Former Employee ,Great Company,0,"good managers, fun place to work
","Great Management Team very dedicated group
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Jun 07 2020, Industrial Engineer,,Current Employee ,GDLS,0,"Great work Balance, and Great people
","Pay Structure and Employee development
Helpfu",,5.0,5.0,5.0,4.0,5.0,4.0,,,
Tue May 26 2020, IT Support,,Former Employee ,"Great work/life balance, aspects lacking",0,"Flexible scheduling and willingness for accommodations
","Poor and disorganized management, poor communication
Helpfu",,4.0,,,,,,,,
Wed May 20 2020, Executive Assistant,,Former Employee ,Great company!,0,"Great company with great pay and excellent complimentary breakfast and lunch.
","None that I can think of at the moment.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed May 27 2020, Machinist,,Former Employee ,Outside machinist,0,"Good company with opportunity for growth
","They will lay you off when there is downtime.
Helpfu",,3.0,,,,,,,,
Fri Apr 24 2020, Scrum Master,"Windsor Mill, MD",Former Employee ,Depends on the contract,0,"Mature healthy program w/ great leadership
","laid off for contract rebid
Advice to Management
tell the truth when you reassign roles for rebids
Helpfu","tell the truth when you reassign roles for rebids
Helpfu",5.0,3.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,No opinion of CEO
Mon May 04 2020,Anonymous,"Charlottesville, VA",Former Employee ,If you work get contacted to work IT at Shared Resources in Charlottesville just apply elsewhere,2,"The people here are great, you'll def have a family atmosphere for sure. You will gain good experience as well....but a lot of the reason for this will be in the cons
","I'll give two stars since I cant speak for the entire company but if you are contacted for an IT position you are better off applying elsewhere. First, you are hired through a staffing agency Insight Global who does not offer you much gain either so you already lose some pay, and GD never does contract to hire there was someone here for almost a decade and they left due to never being offered a full job. Once you realize that the entire building is full of old hand me down equipment that breaks daily(seriously the printer you have to use is even 8 years old) mixed with a low pay and the fact you will always be a contractor and never hired on full time and then finally you'll then realize you don't have the best management. Some in mangement simply don't understand technology in fact there were often times I completely skipped asking my boss and went to my coworker for a better answer on how to do something. This boss has had 7 techs in about 15 months(next person hired will be the 8th) when previously this building had the same two techs for almost a decade! There's just better work/life jobs out there better. With this one you'll eventually find yourself stressed just trying to keep the building from falling apart.
Advice to Management
I would say hire a Systems Admin(yes you've read that right they've never had a windows system admin they just ask Microsoft support lol) but nothing here will change.
Helpful (2","I would say hire a Systems Admin(yes you've read that right they've never had a windows system admin they just ask Microsoft support lol) but nothing here will change.
",2.0,1.0,2.0,1.0,2.0,1.0,Doesn't Recommend,Negative Outlook,Approves of CEO
Wed Feb 26 2020, Customer Service Representative,"Hattiesburg, MS",Current Employee ,Great Job,0,"40 hours a week plus Health and welfare benefits
","No real cons unless talking on the phone is not for you
Helpfu",,5.0,3.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 12 2020,N/A,, ,Manager Dive Supervisor for shipyard dive team,0,"Pay scale and room for advancement
","Middle management incompetency with people skills
Advice to Management
Listen to recommendations from committed employees
Helpfu","Listen to recommendations from committed employees
Helpfu",2.0,,,,,,,,
