date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Sat Feb 06 2021,Anonymous,,Former Employee ,Company Review,0,"More opportunities in the company
","Salary is not high comparing with outside
Helpfu",,5.0,3.0,5.0,5.0,5.0,3.0,,,
Sat Feb 06 2021, Senior Technical product owner,"Melbourne, FL",Former Employee ,Good Company Talent Moving,0,"Large company with a lot of growth oportunity
","A lot of talented people were leaving the company
Helpfu",,4.0,4.0,3.0,4.0,5.0,3.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Staff Technical Product Manager,,Current Employee ,Technical product management,0,"People make the company great
","Corporations make it difficult to move quickly
Helpfu",,5.0,,,,,,,,
Fri Feb 05 2021,Anonymous,,Former Employee ,GE Review,0,"People friendly, inclusive and opportunities to grow
","Benefits can be much better
Helpfu",,5.0,4.0,4.0,5.0,3.0,2.0,Recommends,Neutral Outlook,No opinion of CEO
Sat Feb 06 2021, Research Specialist,"Niskayuna, NY",Current Employee ,Exciting transformation underway,0,"A true innovation ecosystem comprised of world class talent.
Working on programs truly aimed at changing the world.
Solidly positioned at the center of a GE that has regained its footing under its CEO.
Really flexible working conditions.
Knowledgeable and engaged senior leadership team.
","Some colleagues who are stuck in the past ,,, wanting to work on projects that are not connected to a market need or value creation for the Company,
Advice to Management
Ignore the naysayers... the turnaround is real and exciting.
Helpfu","Ignore the naysayers... the turnaround is real and exciting.
Helpfu",5.0,5.0,4.0,5.0,5.0,4.0,Recommends,Positive Outlook,
Thu Feb 04 2021, Finance Manager,,Former Employee ,Great place to get industry training,0,"Career progression, supportive leadership, fair promotions
","Work life balance can be tough
Helpfu",,5.0,,,,,,,,
Thu Feb 04 2021, Sales Manager,,Former Employee ,Great Pay & People,0,"Benefits are great & there are lots of jobs
Pay
Training
People
Rock Stars
Jobs
","Too many Silos
Too Slow
Too many poor performing employees
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,,,
Thu Feb 04 2021, Coordinator,"Cincinnati, OH",Current Employee ,A Great Place To Work,0,"GE is a leader in the world of innovation
","At times, one can feel disconnected due to company size.
Helpfu",,5.0,5.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Lean Six Sigma Black Belt,,Former Employee ,Great company attempting to recover from years of bad management,0,"Fair compensation, excellent culture of compliance, diversified, opportunities to change roles without changing companies, strong leadership program
","Career choices/growth left completely to individuals, technical career paths more limited than business/people management paths
Helpfu",,4.0,2.0,5.0,3.0,3.0,4.0,Recommends,Neutral Outlook,Approves of CEO
Mon Feb 01 2021, Quality Engineer,"Lynn, MA",Current Employee ,GE,0,"GE is strong company that pays every 2 weeks
","Long hours, and non standardized tracking of any and all metrics
Helpfu",,5.0,1.0,3.0,4.0,3.0,3.0,Recommends,Neutral Outlook,Disapproves of CEO
Mon Feb 01 2021, Human Resources Project Manager,"Schenectady, NY",Former Employee ,Employee focused,0,"Great culture with good lateral opportunities.
","Low pay in corporate. A lot of business restructuring leading to turmoil in priorities
Advice to Management
Continue with culture
Helpfu","Continue with culture
Helpfu",5.0,5.0,5.0,4.0,3.0,3.0,Recommends,Neutral Outlook,Approves of CEO
Mon Feb 01 2021, Senior Aerodynamic Engineer,"Greenville, SC",Current Employee ,GE Energy,0,"Good pay, challenging, good co-workers, good management
","No real hard cons to speak of
Helpfu",,4.0,,,,,,,,
Mon Feb 01 2021, Data Scientist,"Chicago, IL",Current Employee ,nice place to work,0,"projects are interesting, work life balance is great
","Need more talented people to join the team
Helpfu",,4.0,4.0,3.0,3.0,4.0,4.0,,,
Mon Feb 01 2021, Senior Product Manager,"Atlanta, GA",Current Employee ,Good company for experience,0,"Challenging opportunities and work environment. Flexible hours
","Lots of restructure and downsizing.
Advice to Management
On the right track to right the ship. Keep it up
Helpfu","On the right track to right the ship. Keep it up
Helpfu",4.0,5.0,5.0,5.0,4.0,4.0,Recommends,Neutral Outlook,
Tue Feb 02 2021, Senior Project Manager,"Greenville, SC",Current Employee ,none,0,"great culture, strong talent, state of the art equipment, strong mentorship capability
","changes can take a long time to incorporate due to size
Helpfu",,4.0,3.0,3.0,3.0,4.0,2.0,Recommends,Neutral Outlook,No opinion of CEO
Sun Jan 31 2021, Senior Vice President Finance,"New York, NY",Current Employee ,Positive,0,"Good overall positive work environment
","No cons to working at this company
Helpfu",,4.0,,,,,,,,
Sun Jan 31 2021, Customer Service Representative Analyst,,Former Employee ,Good benefits and training,0,"benefits and training were good
","micro managed and hours are long
Helpfu",,4.0,2.0,4.0,4.0,4.0,4.0,,,
Sat Jan 30 2021, Executive Director,"Boston, MA",Current Employee ,Great company doing great things,0,"Global mission to transform the world
","Aristocracy still runs the company even after new leadership. If you’re in the “officer club” you never get a real perspective of the company and if you’re not in the “officers club” you won’t be invited. No upward mobility.
Helpfu",,5.0,,,,,,,,
Sun Jan 31 2021, Analyst,N/A,Former Employee ,Great place to work,0,"Solid 401k Match
Great Work Life Balance
","Can be high stress at time
Helpfu",,5.0,,,,,,,,
Sat Jan 30 2021, Senior Finance Manager,"Los Angeles, CA",Current Employee ,Good company,0,"Nice people, international working experience, good training
","May not be an expert in a specific area
Helpfu",,4.0,4.0,4.0,5.0,4.0,3.0,Recommends,Neutral Outlook,
Sat Jan 30 2021, Market Leader,"Durham, NC",Current Employee ,-,0,"Great people, Addressing some of the world's biggest challenges
","Company is navigating challenging times
Helpfu",,4.0,,,,,,,,
Fri Jan 29 2021, Wind Technician,"Oklahoma City, OK",Current Employee ,Good company,0,"Good company. They treat you well and pay you good.
","The pay scale changed and they didn’t tell anyone until it was implemented
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,
Fri Jan 29 2021, Field Engineer,,Current Employee ,Good Work Life Balance,0,"Good Work Life Balance as FE
","None cons that I can think of
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,,
