date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Tue Jan 19 2021, Software Engineer,"Chandler, AZ",Current Employee ,Awesome work-life balance,0,"Work life balance is amazing, great innovative thinkers, lots of opportunity for career growth. A lot of holidays
","A lot of refactoring regarding legacy code. Cross team communication issues (a lot of factions in the company due to the sheer size). Less than average pay
Helpfu",,5.0,5.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sun Feb 07 2021, Engineer,,Current Employee ,Very clear culture on daily operation,0,"good work-life balance and highlight culture development of the company
","a stable and well-developed management layout but no significant career development opportunities
Helpfu",,5.0,5.0,5.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Software Developer,"Austin, TX",Current Employee ,Great Company,0,"Opportunity to learn more
Great work-life balance
","Still need to transform to the new tech culture.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sat Feb 06 2021, Assembly Line Worker,"Fort Wayne, IN",Current Employee ,Woo,0,"High pay and a great benefit packet
","Tedious work that numbs the mind
Advice to Management
Treat people as more than bodies
Helpfu","Treat people as more than bodies
Helpfu",5.0,2.0,3.0,5.0,4.0,5.0,Recommends,Positive Outlook,No opinion of CEO
Sat Feb 06 2021, Quality Manager,"Detroit, MI",Current Employee ,Great inclusive work environment,0,"Great CEO, Motivating Vision for Future, Inclusive
","Too many layers of management
Helpfu",,5.0,,,,,,,,
Tue Feb 02 2021, Software Developer,"Roswell, GA",Current Employee ,GM Review,0,"Great company to work for, rather excellent
","I have nothing negative to say
Advice to Management
Keep up the good work
Helpfu","Keep up the good work
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, General Assembly,N/A,Former Employee ,Good,0,"Benefits are great once you get hired as a permanent.
","It’s hard to be a temporary worker there
Helpfu",,5.0,,,,,,,,
Wed Feb 03 2021, Manager,"Austin, TX",Current Employee ,company,0,"Great culture, diversity and best company to work for
","None at this to note
Helpfu",,5.0,,,,,,,,
Tue Feb 02 2021, Product Manager,"Novi, MI",Former Employee ,Excellent place for a long term career,0,"Well organised with established procedures, good training plans.
","Limited growth opportunities and promotions
Helpfu",,4.0,,,,,,,,
Mon Feb 01 2021, Customer Service,"Los Angeles, CA",Former Employee ,Good company and nice boss,0,"Good working environment and nice coworkers
","Low salary and doing same the thing everyday
Helpfu",,4.0,5.0,5.0,5.0,4.0,3.0,Recommends,Neutral Outlook,
Tue Feb 02 2021, Software Developer,"Austin, TX",Current Employee ,MIRED IN MANUFACTURING BUT STRIVING FOR TECH,0,"Good benefits
Flexibility
Growth mindset
Variety of work available
","Pay is at bottom of average range
Bureaucracy is maddening
Old manufacturing/business mindsets trump development cycles
Advice to Management
Push business users/partners to get on-board with incremental development; don't expect finalized products with every deployment. Stop suggesting developers can't be productive when not watched and micro-managed. Show more trust in those with proven track records. Provide more information about internal positions instead of requiring volunteers with no guarantee of position or work to be done.
Helpfu","Push business users/partners to get on-board with incremental development; don't expect finalized products with every deployment. Stop suggesting developers can't be productive when not watched and micro-managed. Show more trust in those with proven track records. Provide more information about internal positions instead of requiring volunteers with no guarantee of position or work to be done.
Helpfu",4.0,4.0,4.0,5.0,4.0,3.0,Doesn't Recommend,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Software Developer,"Chandler, AZ",Current Employee ,Exciting new team working on innovative stuff,0,"Great benefits and the company can be very innovative and fun. The building is also great.
","Lower pay than some other jobs with equivalent experience
Helpfu",,4.0,4.0,4.0,4.0,5.0,4.0,Recommends,Neutral Outlook,Disapproves of CEO
