date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Thu Jan 14 2021,Anonymous,"Raleigh, NC",Current Employee ,Great Place to work,0,"Cares about the employees health
","Communication could always be improved
Advice to Management
Communication is key
Helpfu","Communication is key
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 10 2021, Retail Business Development Manager,"Phoenix, AZ",Current Employee ,GPC Company,0,"Great work/life balance. Good pay
","Not much career advancement opportunities
Advice to Management
Get better organized. Offer better training
Helpfu","Get better organized. Offer better training
Helpfu",3.0,5.0,3.0,4.0,1.0,4.0,Doesn't Recommend,Positive Outlook,Approves of CEO
Tue Feb 09 2021, Delivery Driver,,Former Employee ,Mixed Bag,0,"Reasonably flexible scheduling
Relaxed work environment
","Dealing with the HR Department
Helpfu",,3.0,,,,,,,,
Thu Jan 21 2021, Manager IT,"Atlanta, GA",Current Employee ,"Great Family Environment, doesn't always have a path for employees to grow.",0,"Family like environment and team. Work doesn't always feel like work, when you do it with friends.
","Limited ability to grow into management.
Advice to Management
career ladder
Helpfu","career ladder
Helpfu",4.0,5.0,4.0,4.0,1.0,3.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 01 2021, IT Business Analyst,"Atlanta, GA",Current Employee ,IT Business Analyst,0,"Flexible Work Environment and not too stressful
","Sometimes lacking culture/activity outside of work hours
Advice to Management
Keep progressing
Helpfu","Keep progressing
Helpfu",3.0,4.0,3.0,4.0,3.0,3.0,Recommends,Positive Outlook,Approves of CEO
Mon Jan 11 2021, Sales Director,"Naples, FL",Former Employee ,Great company good benefits,0,"Stable company to work for.
","High pressure environment, always on.
Helpfu",,5.0,3.0,3.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 14 2021, IT Analyst III,"Atlanta, GA",Current Employee ,"Great Place to be for job security, not the most advanced in technology",0,"Great people to work with
","Technology is not up to todays standards
Helpfu",,2.0,1.0,5.0,3.0,5.0,4.0,Doesn't Recommend,Neutral Outlook,Approves of CEO
Mon Dec 07 2020, Production,"Findlay, OH",Current Employee ,Solid,0,"Solid place to work for
","None that I can think of
Helpfu",,3.0,,,,,,,,
Sat Nov 28 2020, Payment Applications Specialist Coordinator,"Duluth, GA",Current Employee ,Solid company to work for. Slow growth.,0,"Colleagues
Location(s)
Renovated buildings
401K
Current mgmt structure is working
COVID forced flexibility we've been asking for
","Lack of coaching/development - depends on your sup/mgr.
Pay increase is subpar
Work from home not a permanent option
40hr work week structure not very flexible for hourlies
Advice to Management
Offer mentorships
Coach, develop and promote
Offer pay/raises commensurate with industry, skillsets, & abilities
Helpfu","Offer mentorships
Coach, develop and promote
Offer pay/raises commensurate with industry, skillsets, & abilities
Helpfu",3.0,3.0,3.0,4.0,3.0,3.0,Recommends,Positive Outlook,No opinion of CEO
Thu Nov 12 2020, Senior Business Analyst,"Atlanta, GA",Former Employee ,Great company,0,"love it, family friendly, challenging
","none, maybe the location with commuting traffic
Helpfu",,5.0,,,,,,,,
Wed Nov 04 2020,Anonymous,,Former Employee ,review,0,"great friendly nic work environment
","not challenging, promotions not good
Helpfu",,4.0,,,,,,,,
Thu Oct 29 2020, Territory Sales Manager,"Spokane, WA",Current Employee ,Great!,0,"Great company to work for
","There are no cons for this employer.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Oct 25 2020, Distribution Sales Manager,"Atlanta, GA",Current Employee ,Great Company to work for,0,"Great company to work for if you are looking for opportunity to grow your skills and within a company.
","Lots of Travel, can have some long hours
Advice to Management
Listen to feedback from the field.
Helpfu","Listen to feedback from the field.
Helpfu",5.0,3.0,3.0,3.0,4.0,4.0,Recommends,Neutral Outlook,No opinion of CEO
Fri Nov 06 2020, General Warehouse Associate,"Denver, CO",Former Employee ,"Good for kids, but not worth it if experienced",0,"Good benefits: medical, dental, vision, 401(k)
","Starting pay was equivalent to fast-food wages
Advice to Management
Employees with over seven years of experience should be paid more than what a fast-food employee makes
Helpfu","Employees with over seven years of experience should be paid more than what a fast-food employee makes
Helpfu",2.0,4.0,3.0,1.0,,,Doesn't Recommend,,No opinion of CEO
Mon Sep 28 2020,Anonymous,"Atlanta, GA",Current Employee ,Room to grow,0,"Management big on personal growth
","Change can often come very slowly
Helpfu",,4.0,4.0,5.0,4.0,4.0,4.0,Recommends,Positive Outlook,
Tue Sep 29 2020, IT Manager,"Atlanta, GA",Current Employee ,Good place to work,0,"Overall I like the place and I love the guys I work with..
","Always short staffed so the work is falling behind.
Advice to Management
Hire more people
Helpfu","Hire more people
Helpfu",4.0,2.0,5.0,4.0,3.0,5.0,Recommends,Positive Outlook,Approves of CEO
