date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Wed Feb 10 2021, Human Resources Director,"Foster City, CA",Current Employee ,Best place I have ever worked,0,"The senior leadership model the culture that they want to see. The programs and benefits are amazing.
","There's so much to do.
Advice to Management
Most amazing leadership I have seen. They are transparent and so deeply decent to the employee population.
Helpfu","Most amazing leadership I have seen. They are transparent and so deeply decent to the employee population.
Helpfu",5.0,4.0,5.0,4.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021, Research Scientist,,Current Employee ,Great Benefits,0,"Gilead has been a great place to work with great benefits.
","There isn't much career mobility.
Helpfu",,5.0,,,,,,,,
Sat Feb 06 2021, Senior Drug Safety Specialist,"Foster City, CA",Current Employee ,Great place for parents,0,"High salary, great benefits and bonuses, remote working, great PTO
","Inability for remote employees to be promoted to manager.
Helpfu",,5.0,4.0,5.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Senior Research Associate II,"Foster City, CA",Current Employee ,great,0,"the benefits are pretty competetive
","same old management issues as other large companies
Helpfu",,5.0,3.0,5.0,5.0,3.0,4.0,Recommends,Neutral Outlook,No opinion of CEO
Wed Feb 03 2021, Senior Manager,"Foster City, CA",Current Employee ,Great perks,0,"Some of the best perks in the industry
","Lean company but leadership is improving things
Helpfu",,4.0,,,,,,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Associate Scientist,"Foster City, CA",Current Employee ,There is always more work,0,"Gilead has good benefits with perks
","Not many growth opportunities and stagnant company
Helpfu",,4.0,3.0,3.0,3.0,2.0,4.0,Recommends,Negative Outlook,No opinion of CEO
Tue Feb 02 2021, Automation Engineer I (Contractor),,Current Employee ,"Can be a bit slow, but a great place to work!",0,"- Solid pay
- Not incredibly strict depending on department
- Important work
","- Can be a bit slow
- Some regulations are very serious
- Internal politics
Helpfu",,5.0,4.0,3.0,4.0,5.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Mon Feb 01 2021, Director,"Foster City, CA",Current Employee ,Great Company if you work with good people,0,"A few:
1. Very competitive total comp for the Bay Area. Even though the equity portion of the comp is lower than Big Tech, relatively high base and cash bonus makes up for it. 
2. Great benefits - the best I've seen thus far
3. I am extremely lucky to work with good people on my team and our boss is superb (Finance function). 
4. Good work life balance - there are times when you work a lot but it's always manageable and people are good about it.
5. The leadership team (CEO and his executives) are always open and honest with employees. We always have good Q&A and management is never afraid to address common issues.
","Depending on your team and boss, I've heard your experience can be very different.
Advice to Management
Keep doing what you are doing.
Helpfu","Keep doing what you are doing.
Helpfu",5.0,5.0,4.0,3.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Jan 26 2021, Executive Director,"Foster City, CA",Current Employee ,Fantastic Company,1,"Compensation & benefits are great, the people are amazing, LOVE our CEO Dan O'Day. Lots of opportunity for growth - lateral moves as well as promotional opportunities
","""Lean"" culture (or ""responsibly lean"" as they like to say) often means long hours
Helpful (1",,5.0,4.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 28 2021, Manager,,Current Employee ,Pretty good benefits,0,"Benefits are generous to have.
","Having more stipend for stay at home work would be helpful.
Helpfu",,4.0,,,,,,,,
Wed Jan 27 2021, Financial Analyst II,"Foster City, CA",Current Employee ,Good place for work,0,"Very good place to work. great benefits!
","it really depende on your manager. at Gilead, there is no con if you have a nice manager!
Helpfu",,5.0,4.0,5.0,5.0,3.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 28 2021, Senior Manager,"Foster City, CA",Current Employee ,Overall good company to work for,0,"Progressive and diverse culture
Competitive pay and benefits
New leadership moving in the right direction
","There still exists a level of immaturity with regard to processes and efficiencies
There are pockets of micromanagement, lack of autonomy (may be improving)
Advice to Management
Talk to the folks below the Senior Director level; ask for feedback on people managers; ask where autonomy, process efficiencies are needed. Let us know the plan.
Helpfu","Talk to the folks below the Senior Director level; ask for feedback on people managers; ask where autonomy, process efficiencies are needed. Let us know the plan.
Helpfu",4.0,4.0,4.0,3.0,3.0,4.0,Positive Outlook,,Approves of CEO
Wed Feb 10 2021," Director, Compensation","Foster City, CA",Current Employee ,Stable Company with Growing Pains,0,"stable company, good pay, talented and smart people
","Lean organization, under-resourced; too many management levels, political and bureaucratic; demanding; boring
Helpfu",,3.0,2.0,3.0,5.0,3.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Jan 26 2021, Head Cashier,,Current Employee ,Great,0,"Very good job to work at.
","No comment about this aspect
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
