date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Mon Feb 08 2021, Financial Analyst,"New York, NY",Current Employee ,Nice place,0,"Good pay
Nice environmet
Cool people
Location
Good pay
","Long days
Long hours
Bosses
Living expenses in ny
No xerox mashine
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Feb 07 2021, Analyst,"Salt Lake City, UT",Current Employee ,Great place to work!,1,"Challenging, fast paced work environment, good pay/benefits
","You have to work very long hours
Helpful (1",,5.0,,,,,,,,
Mon Feb 08 2021, Analyst,,Current Employee ,Good Company,0,"Collaboration, Communication, ability to learn
","Have to work hard and seek challenges
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021, Associate,,Current Employee ,Great Place to work,0,"Great compensation and perks. However, the projects are team dependent.
","long working hours. Company is actively recruiting in strategic locations and not NJ/NY.
Helpfu",,5.0,5.0,5.0,5.0,5.0,4.0,,,
Mon Feb 08 2021, AML,"Salt Lake City, UT",Current Employee ,Great place to work.,0,"Great Environment and amazing benefits. People there are amazing as well. Diversity is key as well.
","The standard work day is 10hrs with 50hrs a week. So the days feel long sometimes.
Helpfu",,5.0,3.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 01 2021, Vice President,"Dallas, TX",Former Employee ,Great place to work; takes care of its employees,2,"Has the best reputation in the financial services industry, proud to be an employee. Coworkers are exceptionally smart and the company hires only the best candidates. Compared to its competitors, it tends to emphasize work/life balance a bit more.
","As a pinnacle of capitalism, profits do come first. As with any company in the financial services industry, remember that bonuses (typically a large part of total comp) are discretionary and are based on company profits, which in turn depend on conditions in the financial markets. Thus, total compensation can vary from year to year (but all investment banks are the same in that regard).
Helpful (2",,5.0,5.0,5.0,5.0,4.0,5.0,Recommends,Positive Outlook,
Fri Feb 05 2021, Associate,"Dallas, TX",Current Employee ,After first year,0,"Good pay
Good benefits
Fair amount of workload
Flexible deadline schedules
Values independence
Great work culture & teamwork
","Not many to think of
Large company
Helpfu",,5.0,5.0,5.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Associate,"Dallas, TX",Current Employee ,Compliance,0,"Quality of people is great
","Hours can be long and or unpredictable
Helpfu",,5.0,,,,,,,,
Fri Feb 05 2021, Analyst,,Former Employee ,Great Culture,0,"People are driven and smart. Good IT infrastructure. Great employee benefits
","Hierarchical, bureaucratic like any large organization
Helpfu",,5.0,4.0,5.0,5.0,5.0,4.0,,,
Thu Feb 04 2021, Senior Financial Analyst,"Salt Lake City, UT",Current Employee ,Great company to work for out of University,0,"Great benefits, exposure to global markets, good culture, management very open
","I work more hours than my peers and make similar in salary
Helpfu",,5.0,4.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Associate,,Current Employee ,Great Culture,0,"Great Culture with smart people
","As a big institution, can be overly process driven
Helpfu",,5.0,,,,,,Approves of CEO,,
Thu Feb 04 2021, Associate,,Current Employee ,Great,0,"Great team and team members
","No benefits for personal use
Helpfu",,5.0,3.0,4.0,2.0,5.0,5.0,,,
Thu Feb 04 2021, Analyst,,Current Employee ,Goldman Sachs Tech,0,"- Many teams are using cutting-edge technologies. Interesting and challenging work.
","- No stock, no free food
Helpfu",,5.0,4.0,4.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Investment Banking Analyst,"New York, NY",Current Employee ,Goldman Sachs Investment Banker,0,"Intelligent co-workers and high base pay
","Work-life balance is not ideal
Helpfu",,5.0,,,,,,,,
Wed Feb 03 2021, Machine Learning Engineer,"New York, NY",Current Employee ,Good company,0,"* Excellent pay
* Excellent culture
","* Extensive work hours
* Not enough perks
Helpfu",,5.0,,,,,,,,
Wed Feb 03 2021, Private Wealth Management Analyst,"Houston, TX",Current Employee ,Great learning and environment,0,"Smart people
Opportunity to learn
Different tasks every day
","Meeting people while WFH
Provided no equipment / tools
Helpfu",,5.0,4.0,3.0,3.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Recruiter,"New York, NY",Former Employee ,Great place to learn and grow,0,"Highly professional
Collaborative
Inclusive 
Fast paced environment
","Can be Competitive
Organizational growth has slowed
Helpfu",,5.0,4.0,4.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 01 2021, Hot Dog Man,"New York, NY",Former Employee ,Great place to work,0,"Great place to work, nice people
","Hard to sell hotdogs, especially during winter
Helpfu",,5.0,,,,,,,,
Mon Feb 01 2021, Analyst,"New York, NY",Current Employee ,Amazing,0,"Good pay however really long and insure hours f
","Long hours I mean like really long
Helpfu",,5.0,,,,,,,,
Thu Jan 28 2021, Analyst,"New York, NY",Current Employee ,Review,1,"Great company culture and people are friendly.
","I haven't found any cons.
Helpful (1",,5.0,,,,,,,,
Sun Jan 31 2021, Loan Servicing Specialist,"Salt Lake City, UT",Former Employee ,Loan servicing specialist,0,"great company
great pay
opportunities to move up
","long schedule
little exposure to senior management
Helpfu",,5.0,4.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,
Fri Jan 29 2021, Associate,"Salt Lake City, UT",Current Employee ,Great Company,0,"Many opportunities for innovation and encourages hard work
","Can be long hours at times
Helpfu",,5.0,,,,,,,,
Fri Jan 29 2021, MIS Analyst,"New York, NY",Current Employee ,Good too,0,"Very good and beneficial too
","Good too but not really tough
Helpfu",,5.0,4.0,4.0,4.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 28 2021, Associate,"Salt Lake City, UT",Current Employee ,Great place to be,0,"Great people, a ton of growth.
","hours are brutal and demanding.
Helpfu",,5.0,2.0,5.0,5.0,5.0,5.0,,,
Thu Jan 28 2021, Analyst,"New York, NY",Former Employee ,Excellent experience,0,"super smart people and you work on lots of interesting matters.
","Demanding work environments and very competitive culture.
Helpfu",,5.0,,,,,,,,
Wed Jan 27 2021, Associate,"Dallas, TX",Current Employee ,Very unique atmosphere,0,"They welcome ideas and never put you down
","annual increases depend on the department you are in and the growth
Helpfu",,5.0,3.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
