date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Wed Dec 02 2020, Nurse Manager,"Reston, VA",Former Employee ,Great benefits,0,"mission statement
staff
benefits
offered services
new facility additions
","nursing administration
pay practices
equipment outdated
office space
on-boarding
Advice to Management
listen to the front line workers
listen to the bedside nurses and meet their needs for staffing support
increase salary to reflect the market
Helpfu","listen to the front line workers
listen to the bedside nurses and meet their needs for staffing support
increase salary to reflect the market
Helpfu",5.0,3.0,5.0,5.0,4.0,3.0,Recommends,Positive Outlook,
Tue Jan 26 2021, Registered Nurse,"Springfield, VA",Current Employee ,Employee,0,"Teamwork Is very helpful and big
","Patient ratio Is very bad
Helpfu",,2.0,2.0,2.0,4.0,4.0,2.0,Doesn't Recommend,Negative Outlook,No opinion of CEO
Sun Dec 20 2020, Radiologic Technologist,"Reston, VA",Current Employee ,Great work/life balance,0,"Flexible schedule. Friendly staff in all departments
","Salary not as competitive as other area hospitals
Advice to Management
Less middle management.
Helpful
Reston Hospital Center Response
December 29, 2020 – Social Media Specialist
We appreciate your feedback about your experience! Thank you for taking the time to share it with us. We're glad that you have enjoyed working with your colleagues","Less middle management.
Helpful
Reston Hospital Center Response
December 29, 2020 – Social Media Specialist
We appreciate your feedback about your experience! Thank you for taking the time to share it with us. We're glad that you have enjoyed working with your colleagues",4.0,,,,,,,,
Sat Nov 21 2020, Nurse Technician,"Reston, VA",Current Employee ,"Good pay, demanding work",0,"Good team members on unit, fair pay rate
","Weekend work, parking, flexibility schedule off-time
Advice to Management
Better work life balance, medical benefits for all
Helpful
Reston Hospital Center Response
November 23, 2020 – Social Media Specialist
Thank you for your feedback! We will share your comments with our team so we can work to make improvements","Better work life balance, medical benefits for all
Helpful
Reston Hospital Center Response
November 23, 2020 – Social Media Specialist
Thank you for your feedback! We will share your comments with our team so we can work to make improvements",4.0,4.0,4.0,5.0,5.0,4.0,Recommends,Positive Outlook,
Mon Nov 02 2020, Registered Nurse,"Herndon, VA",Current Employee ,Work,0,"Great location newly renovated spacious parking
","Not applicable not applicable not
Helpfu",,4.0,,,,,,,,
Wed Oct 07 2020, Medical Assistant,"Reston, VA",Current Employee ,"Good place to work , good team work , good place to start",0,"Good team work. 
Good management 
Good compensation
","High volume stressful, otherwise everything is good
Advice to Management
They are awesome
Helpful
Reston Hospital Center Response
October 8, 2020 – Social Media Specialist
We really value your feedback and appreciate hearing from you! We're so glad to hear that you are surrounded by great coworkers and management. We understand the stress of high volume, and we are working to provide more support. Thank you","They are awesome
Helpful
Reston Hospital Center Response
October 8, 2020 – Social Media Specialist
We really value your feedback and appreciate hearing from you! We're so glad to hear that you are surrounded by great coworkers and management. We understand the stress of high volume, and we are working to provide more support. Thank you",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Sep 09 2020, Pharmacy Technician,,Current Employee ,Great,0,"The people in the department are wonderful.
","The communication with other departments.
Helpful
Reston Hospital Center Response
September 10, 2020 – Social Media Specialist
Your feedback means a lot to us, and we thank you for writing this review! Teamwork is a powerful tool that we emphasize across HCA Healthcare, and communication is a key component of that. We will be sure to share your feedback so that we can continue to improve upon our communication across departments",,4.0,,,,,,,,
Thu Aug 13 2020, Registered Nurse,,Current Employee ,Reston Hospital center,0,"Great centralized location in the heart of Reston
","Price of living in area and traffic
Helpfu",,4.0,,,,,,Recommends,,
Wed Jul 22 2020, Labor and Delivery RN,"Reston, VA",Former Employee ,Nice but cheap,1,"Friendly and helpful staff. Great people.
","Cheap equipment and products... Policies changes seem to be related to money
Helpful (1",,3.0,5.0,3.0,3.0,5.0,4.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Fri Mar 20 2020, Registered Nurse,"Reston, VA",Current Employee ,registered nurse,0,"Location, exceptional staff, great pay, flexible scheduling, and hospital renovations
","long hours, low retention rates,
Advice to Management
Please continue to listen to the staff when concerns are expressed. And recognize exceptional work when credit is due.
Helpfu","Please continue to listen to the staff when concerns are expressed. And recognize exceptional work when credit is due.
Helpfu",3.0,,,,,,Doesn't Recommend,,Approves of CEO
Thu Mar 12 2020, Registered Nurse,"Reston, VA",Current Employee ,For profit hospital. And money is all they care about,3,"Convenience to where I live
","The manager/director cares more about looking good to the CFO than the well-being of the PCU nurses and staff, and therefore the safety of the patients
Advice to Management
Show more appreciation. Stop looking down on us. Stop giving us way more patients than is safe (6!!!!!!) and EXPECT the BEST and to meet all your numbers and check all the boxes and meet all the same expectations. It’s scary, unsafe, and unfair. And stop requiring us to clock out by 7:37. People are compromising patient care and putting in half-butt work to be able to clock out on time. Some people still work after they clock out because they are afraid of your disapproval .
Helpful (3","Show more appreciation. Stop looking down on us. Stop giving us way more patients than is safe (6!!!!!!) and EXPECT the BEST and to meet all your numbers and check all the boxes and meet all the same expectations. It’s scary, unsafe, and unfair. And stop requiring us to clock out by 7:37. People are compromising patient care and putting in half-butt work to be able to clock out on time. Some people still work after they clock out because they are afraid of your disapproval .
",3.0,3.0,1.0,3.0,3.0,1.0,Doesn't Recommend,,Disapproves of CEO
Fri Jan 17 2020,Anonymous,"Reston, VA",Former Employee ,WOW,0,"Ok place to work somtimes
","poor equipment doesn't spend money on updating engineer plant and I T dept.
Advice to Management
why pay all that money to someone that is only tempory and pays his cab 900$ one way to home by air and don't forget living expenses at a hotel while he is here!!!! whats wrong with the picture!!!!!!!!!
Helpfu","why pay all that money to someone that is only tempory and pays his cab 900$ one way to home by air and don't forget living expenses at a hotel while he is here!!!! whats wrong with the picture!!!!!!!!!
Helpfu",1.0,1.0,2.0,1.0,2.0,1.0,Doesn't Recommend,Positive Outlook,Disapproves of CEO
Mon Nov 25 2019,N/A,"Reston, VA","Registered Nurse in Reston, VA",All they care about is profit,2,"Support staff is amazing, there are a lot of opportunities to grow and do other things within the facility. Food is good apparently.
","They are way too cheap. If your unit is understaffed, good luck. They'll send a nurse home even if the census is fine for no reason other than productivity. They refuse to improve the ratios or change the disgusting charting system from the 80's because apparently it's too expensive to fix any of the very solveable problems. It feels like they're just shoveling money into a furnace instead of spending it productively.
Advice to Management
Stop focusing on profit so much and actually focus on improving the work environment. There's a reason why the turnover rate is high and it's because there's no incentive to stay. If staff members stayed longer then it would save money in the long run but apparently upper management is too short sighted to think about anything that can fill up their pockets in that instance. It's actually unbelievable how incompetent management is.
Helpful (2","Stop focusing on profit so much and actually focus on improving the work environment. There's a reason why the turnover rate is high and it's because there's no incentive to stay. If staff members stayed longer then it would save money in the long run but apparently upper management is too short sighted to think about anything that can fill up their pockets in that instance. It's actually unbelievable how incompetent management is.
",1.0,4.0,3.0,5.0,2.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Fri Jul 12 2019, Data Analyst,"Reston, VA",Current Employee ,Hospital,0,"Close to home, good commute
","Constant construction, out of touch leaders
Helpfu",,3.0,3.0,3.0,3.0,3.0,3.0,Neutral Outlook,,No opinion of CEO
Wed Mar 13 2019,Anonymous,,Current Employee ,Great Place to Work and Grow,0,"A lot of opportunity to gain experience and move up the chain.
","Construction makes getting around difficult.
Helpfu",,5.0,4.0,4.0,5.0,4.0,4.0,,,
Sat Aug 04 2018,Anonymous,,Former Employee ,Good community hospital,1,"Strong nursing leadership 
Teamwork atmosphere 
Strong commitment to patient care
","Very strong commitment to bottom line which can negatively impact patient care
Advice to Management
Listen to your nursing leaders regarding lack of staff. They know what they are doing. Trust their instincts and expertise
Helpful (1","Listen to your nursing leaders regarding lack of staff. They know what they are doing. Trust their instincts and expertise
",4.0,3.0,4.0,5.0,5.0,4.0,Recommends,Neutral Outlook,Approves of CEO
Fri Jun 01 2018,Anonymous,,Current Employee ,Excellent,2,"Co-workers, benefits, salary, caring and supportive administration
","Nothing, it is a wonderful place to work
Advice to Management
Keep up the great work!
Helpful (2","Keep up the great work!
",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
