date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Fri Feb 05 2021, Product Manager,"Houston, TX",Current Employee ,Great Company with even better people.,0,"dynamic, diverse, multinational, flexibility, team.
","Really nothing. Great company! Work load can be a lot sometimes.
Helpfu",,5.0,,,,,,,,
Wed Feb 03 2021, Software Engineer,"Boise, ID",Current Employee ,this job is very challenge,0,"fully commit to the job
","busy company , lot of works
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,
Mon Feb 01 2021, Marketing Manager,"Vancouver, WA",Current Employee ,Dedication to their employees advancement and learning,0,"Very dedicated to helping you move forward in your career and taking on project that you want
","Lots of hours (both late nights and early mornings) and travel
Helpfu",,5.0,2.0,4.0,5.0,5.0,4.0,Recommends,Positive Outlook,
Fri Jan 29 2021, Supply Chain Manager,"Portland, OR",Current Employee ,Great Place To Work,0,"Very customer-focused business. Innovation driven. Great place to work.
","HP has been the best place I've worked during my career
Helpfu",,5.0,,,,,,,,
Wed Jan 27 2021, Chief of Staff,,Current Employee ,Great place to work,0,"HP is a great company with amazing leadership who demonstrate HP’s core values everyday. Kind, smart people at all levels of the company. Interesting work and opportunities.
","Sometime slow or behind on adopting new technologies and ways of working.
Helpfu",,5.0,5.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Wed Jan 27 2021, Supply Chain Manager,"Vancouver, WA",Former Employee ,Excellent place to develop your career,0,"Great people, products and support
","Not best in class pay
Helpfu",,5.0,5.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Jan 26 2021, Senior Software Engineer,,Former Employee ,Good Company,0,"Good benefits, nice people, pleasant working environment
","Lower salary comparing to other big companies in Bay Area
Helpfu",,5.0,,,,,,,,
Mon Feb 08 2021, Senior Supply Chain Manager,"Houston, TX",Current Employee ,"HP - Strong Benefits, Excellent WFH Flexibility, but frequent reorganization and layoffs",0,"Good working environment, WFH flexibility, nice campus
","Frequent Re-organization and continuing layoffs
Helpfu",,4.0,4.0,5.0,5.0,4.0,4.0,Neutral Outlook,,No opinion of CEO
Mon Feb 08 2021, Director,,Current Employee ,Great Company,0,"Great people and great management
","compensation not as competitive as other fast growing tech companies
Helpfu",,4.0,,,,,,,,
Sat Jan 23 2021, Vice President,"San Diego, CA",Current Employee ,great,0,"great options to grow career
","shrinking on some sites in CA
Helpfu",,5.0,4.0,5.0,4.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 21 2021, Audit Manager,"Houston, TX",Former Employee ,Great Experience,0,"Learned a lot, great team
","401K could be definitely be improved.
Helpfu",,5.0,,,,,,,,
Thu Feb 04 2021, Chemical Technician,"Corvallis, OR",Current Employee ,"Good culture, Questionable Future",0,"Really good work culture, low burnout for a tech company
","The future of the company is uncertain and depends on management's ability to pivot to new markets and products.
Advice to Management
Focus on choosing a growth strategy and aggressively investing in it, rather than trying to prolong dead technologies or serve industries that are quickly shrinking
Helpfu","Focus on choosing a growth strategy and aggressively investing in it, rather than trying to prolong dead technologies or serve industries that are quickly shrinking
Helpfu",4.0,5.0,5.0,4.0,4.0,3.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Financial systems senior manager,"Fort Collins, CO",Current Employee ,HP way,0,"Flexible with schedule, can get work done when/where needed
","Specific locations for certain job functions
Helpfu",,4.0,,,,,,,,
Wed Jan 20 2021, Senior IT Manager,"Houston, TX",Current Employee ,Great company,0,"People oriented and very diverse
","Lots of outsourcing to regions
Helpfu",,5.0,,,,,,,,
Thu Feb 04 2021, Data Science Engineer,,Current Employee ,lots of opportunity to contribute,0,"endless opportunity to contribute to or create solutions.
","endless changing priorities and initiatives. company focus on horizontal cross training that drives down operating costs at the expense of career stagnation.
Advice to Management
look towards where you are leading. stop responding to the noise.
Helpfu","look towards where you are leading. stop responding to the noise.
Helpfu",3.0,3.0,3.0,5.0,2.0,3.0,Doesn't Recommend,Negative Outlook,Approves of CEO
Wed Feb 03 2021, Senior Software Engineer,"Boise, ID",Former Employee ,Used to be a great place tor work,0,"Still looks great on resume; still has the best work/life balance culture.
","Constant cost cutting, layoffs; off-shoring
Helpfu",,3.0,5.0,4.0,3.0,2.0,2.0,Recommends,Neutral Outlook,
Mon Jan 18 2021, IP Project Manager,"Miami, FL",Former Employee ,excellent place to work always,0,"excellent place to work always
","no one i can think of
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 01 2021, Operations Analyst,"Houston, TX",Current Employee ,Good Company - Low Pay,0,"Work life balance is great
","Pay could be more competitive
Helpfu",,4.0,5.0,3.0,4.0,3.0,3.0,Recommends,Positive Outlook,No opinion of CEO
Mon Feb 01 2021, Mortgage Loan Processor,N/A,Former Employee ,Love these guys,0,"Great People with great support.
","Location. Was a long commute for me.
Helpfu",,4.0,,,,,,,,
Mon Feb 01 2021, Mechanical Engineer,"Houston, TX",Current Employee ,Mediocre Company,0,"Strong, engaging culture. Ever-changing management and organizations.
","Must be able to pivot and shift by having a good network within or outside of the company to keep a job during reorgs.
Helpfu",,3.0,3.0,4.0,3.0,3.0,3.0,Recommends,Neutral Outlook,No opinion of CEO
Sat Jan 16 2021, Account Development Manager,"Colorado Springs, CO",Current Employee ,Great Company,0,"They care about their employees
","IT is a volatile industry .
Helpfu",,5.0,,,,,,,,
Sat Jan 30 2021, Sales Manager,"Austin, TX",Former Employee ,Good when things are well,0,"Talented colleagues, inspiring technology, good pay.
","Struggling, bureaucratic, poor benefits, etc.
Helpfu",,3.0,4.0,5.0,5.0,2.0,2.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Thu Jan 14 2021, Senior SAP Analyst,"Round Rock, TX",Current Employee ,Senior SAP Analyst,0,"Good benefits, no travel, good culture
","Hard to get promoted for long
Helpfu",,5.0,4.0,5.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sat Jan 30 2021," Director, Federal Security","Washington, DC",Current Employee ,ok,0,"family atmosphere, but watch yourself
","leadership does not value experience
Helpfu",,2.0,,,,,,,,
Thu Jan 28 2021, Senior Software Engineer,,Former Employee ,Old company with money,0,"Relaxed, work and life balanced place.
","A lot of politics in the workplace
Helpfu",,3.0,,,,,,,,
Fri Jan 29 2021,Anonymous,,Former Employee ,Company acquired,0,"Good consulting engagements with travel
","Implant was so large hard to know best place to find resources
Helpfu",,3.0,3.0,3.0,3.0,3.0,3.0,Doesn't Recommend,Neutral Outlook,
Thu Jan 14 2021, Lab Technician,,Current Employee ,hp review,0,"good work environment for pay
","offshoring is a danger to a free society
Advice to Management
stop offshoring
Helpfu","stop offshoring
Helpfu",5.0,4.0,4.0,5.0,5.0,4.0,Recommends,,
Wed Jan 27 2021, Software Engineer,"Spring, TX",Current Employee ,Your experience will vary greatly depending on your team.,0,"Flexible hours, especially during Covid response.
","Your experience will vary greatly depending on your team. Sometimes its a good thing and sometimes not. Some areas take a long time to get promotions or recognition to move up.
Advice to Management
Identify key individuals better and help them advance.
Helpfu","Identify key individuals better and help them advance.
Helpfu",4.0,5.0,3.0,5.0,2.0,3.0,Recommends,Positive Outlook,No opinion of CEO
Tue Jan 12 2021, Senior Financial Analyst,,Current Employee ,"Good, but not great",0,"Incredibly nice co-workers, work-from-home flexibility, great company culture
","Compensation is OK. Innovative company but still lagging. Huge company bureaucracy.
Helpfu",,5.0,5.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
