date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Wed Jan 20 2021, Business Analyst,,Former Employee ,Good company overall,0,"The company has friendly atmosphere, competitive compensation
","Nothing that I can think of
Helpfu",,5.0,,,,,,,,
Tue Feb 09 2021, Associate Technical Prefessional,"Odessa, TX",Former Employee ,"Great coworkers, not so great management",0,"Great insurance and retirement, I enjoyed my time working there.
","Management was lacking due to the excessive amount of changes in leadership.
Helpfu",,4.0,1.0,2.0,1.0,4.0,5.0,Recommends,Neutral Outlook,No opinion of CEO
Tue Feb 09 2021, Service Operator II,"Odessa, TX",Current Employee ,In it for the long haul,0,"Lots of work, awesome benefits
","Not the best oilfield service pay
Advice to Management
Listen to the people doing the work, we aren't just stupid field hands
Helpfu","Listen to the people doing the work, we aren't just stupid field hands
Helpfu",4.0,3.0,4.0,5.0,5.0,4.0,Recommends,Neutral Outlook,No opinion of CEO
Tue Feb 09 2021, MWD/LWD Field Engineer,"Broussard, LA",Former Employee ,"Good Company, Good People",0,"Small office, so you get familiar with your in-office coworkers, offshore experience is great.
","No set schedule and some are not willing to train you
Helpfu",,4.0,3.0,4.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sat Feb 06 2021, Staff Accountant,"Houston, TX",Former Employee ,intern,0,"It was good experience for me.
","It was only an internship.
Helpfu",,4.0,,,,,,,,
Thu Feb 04 2021, Associate Technical Professional,"Houston, TX",Former Employee ,Better than Weatherford,1,"Employee Stock Purchase Program is a good deal.
","They do not hesitate to cut you in a downturn.
Helpful (1",,4.0,,,,,,,,
Thu Feb 04 2021,Anonymous,"Houston, TX",Former Employee ,Great company; rewards good performance,0,"Great training, great staff, good benefits, good work culture
","Layoffs in industry downturn often
Helpfu",,5.0,2.0,4.0,4.0,5.0,3.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 01 2021, Sales Consultant,"Houston, TX",Former Employee ,Huge company. Easy to become just a number. Great people though.,0,,"ltant in Houston, TX
Recommends
Positive Outlook
Approves of CEO
I worked at Halliburton full-time
Pros
Solid people. Very smart. Good benefits, 401k, stock, relaxed atmosphere.
Cons
Quick to lay you off. Treated like a number when the the company is struggling.
Advice to Management
none
Helpfu","none
Helpfu",4.0,3.0,4.0,4.0,4.0,3.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 29 2021, QA/QC Technical Professional,"Dallas, TX",Former Employee ,Great Company,0,"Great ay and challenging work environment
","Constant rotation of management / managers.
Helpfu",,4.0,,,,,,,,
Tue Jan 26 2021, Associate Laboratory Technician,"Williston, ND",Former Employee ,"Could have had a higher base pay, but pleasantly surprised.",1,"Very easy work environment. Management was fabulous. Great PTO and benefits. Beneficial work schedule. Easy to make overtime.
","Can be some very odd coworkers, but that's the oil field.
Helpful (1",,4.0,5.0,3.0,4.0,4.0,4.0,Recommends,Positive Outlook,Disapproves of CEO
