date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Mon Jan 25 2021, Investment Operations Analyst,"Hartford, CT",Current Employee ,Great Benefits,0,"Great benefits, lots of room for career growth
","No cons for the Hartford
Helpfu",,5.0,3.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 10 2021, Manager,,Current Employee ,Career Opportunity and Great Teammates,0,"The coaching, training and development I have received at The Hartford has helped me to build skills and grow my career. The support I receive from teammates is one of the things that keeps me here and keeps me happy. I have found that the people at The Hartford are a differentiator - they look to help each other succeed!
","I can't think of anything that be a con to work here.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 10 2021, Program Lead,,Current Employee ,Strong Leadership,0,"Leadership team is innovative in products, underwriting and artificial intelligence
Invests in talent through strong managers and unique learning programs
Culture reflects significant attention to diversity, equity and inclusion over several years
","Nothing significant comes to mind
Helpfu",,5.0,5.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 09 2021, Claims Customer Service Representative,"Indianapolis, IN",Former Employee ,Great Place to work,0,"I worked with great people, both co-workers and managers
","There were not any cons that stood out.
Helpfu",,4.0,4.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 09 2021, Employee Experience Specialist,"Hartford, CT",Current Employee ,Long term employee - and there's a reason,0,"Top Ethical Company, Progressive policies, COVID response
","Salaries not at the top of the market, Home Office in CT may have more opportunities for career advancement
Advice to Management
Continue empathy toward employees during COVID pandemic
Helpfu","Continue empathy toward employees during COVID pandemic
Helpfu",5.0,5.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 09 2021, Internal Audit Manager,"Hartford, CT",Current Employee ,Great place to work,0,"Great place to start and continue your career.
","Large company, it can be hard to stand out.
Helpfu",,5.0,,,,,,,,
Tue Feb 09 2021, Programmer Analyst,"Hartford, CT",Current Employee ,"Stable working environment, good benefits",0,"Good people, established and respected name, good benefits and salary
","Highly siloed, there are certain departments that seem to run off of pure momentum as opposed to sound analytics
Helpfu",,5.0,5.0,5.0,4.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021, Analyst,,Current Employee ,Good company,0,"Good company, good atmosphere, positive leadership
","Over worked, no work life balance,
Helpfu",,5.0,3.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021, Underwriter,"Washington, DC",Current Employee ,A good company with room for growth,0,"Strong company culture that values D&I, inclusivity, & technology driven decision making.
A lot of very good people that make up the organization
","Middle Market is very challenging, in large part due to the top heavy management structure & the frequency of changes (underwriting appetite, day-to-day systems, corporate initiatives, etc). The job is made more difficult / tedious than it should be due to this. The job / focus seems to change every 4-6 months.
Helpfu",,4.0,3.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Mon Feb 08 2021, Customer Service Representative,"Windsor, CT",Current Employee ,Positive work environment,0,"PTO, benefits, culture, training, flexible hours
","Micro management, hard to move up
Helpfu",,4.0,5.0,5.0,5.0,3.0,4.0,Recommends,Neutral Outlook,Approves of CEO
Fri Feb 05 2021, Associate Software Engineer,"Hartford, CT",Current Employee ,Software Engineer,0,"Support from colleagues and management
","Hard to climb up the ladder
Helpfu",,4.0,3.0,3.0,,,,,,
Thu Feb 04 2021, Material Handler,,Former Employee ,Handler,0,"Easy oing nice environment overall
","Easy work can’t really complain
Helpfu",,5.0,,,,,,,,
Fri Feb 05 2021, Underwriter,,Current Employee ,The Hartford,0,"Excellent culture, flexible work arrangements, forward focused
","Pay, not many remote opportunities
Helpfu",,4.0,4.0,5.0,5.0,4.0,3.0,Recommends,Positive Outlook,Approves of CEO
Sun Jan 31 2021,Anonymous,,Current Employee ,Great,1,"Chance of moving up. Growth opportunities
","Stressful sometimes. Training could be better
Advice to Management
Train more. Do not assume everybody knows everything
Helpful (1","Train more. Do not assume everybody knows everything
",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,
Thu Feb 04 2021, Risk Analyst,"Hartford, CT",Current Employee ,Great Company,0,"Great peers, good management, good work life balance
","Hard pressed on comp most of the time
Helpfu",,4.0,5.0,5.0,4.0,3.0,3.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Program Manager,"Hartford, CT",Current Employee ,Great company,0,"Flexibility, opportunities, friendly, modern campus , good hr
","Parking, cost of benefits coverage high deductible
Advice to Management
None
Helpfu","None
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, STD Ability Analyst,"Portland, ME",Former Employee ,Your mileage may vary,0,"decent pay, overtime if you want it, good remote work options
","insurance policies, workload, major turnover
Advice to Management
I think you need to accept that the only way you will ever combat turnover is by either a: maintaining a workload limit or raising pay.
Helpfu","I think you need to accept that the only way you will ever combat turnover is by either a: maintaining a workload limit or raising pay.
Helpfu",4.0,2.0,1.0,5.0,3.0,2.0,Recommends,Positive Outlook,Disapproves of CEO
Tue Feb 02 2021, Claims Adjuster,"Aurora, IL",Current Employee ,Great Company,0,"Work life balance, CEO, company balance
","Work load, stress level, pay isn’t the highest for the job
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 01 2021, Managing Attorney,,Current Employee ,Great place to work,0,"Leadership, IRA matching, commitment to diversity
","People in my area do not leave which limits the availability of positions.
Helpfu",,5.0,5.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sun Jan 31 2021, Claim Technician,"Hartford, CT",Former Employee ,Good company,0,"Sweet people and great benefits
","You get micromanaged (tolerable if you have a chill team lead)
Helpfu",,5.0,5.0,5.0,4.0,3.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sat Jan 30 2021, Customer Representative,"Plantation, FL",Current Employee ,Growth,0,"Room for growth. No glass ceiling.
","Can’t think of any. Always room to grow.
Helpfu",,5.0,,,,,,,,
Thu Jan 28 2021, Executive Underwriter,"Philadelphia, PA",Former Employee ,Great people to work with.,0,"Great team of people to work with.
","Needs to be more communication between upper and middle management.
Helpfu",,4.0,,,,,,,,
Wed Jan 27 2021, Customer Care Representative,,Current Employee ,Great Company,0,"Competitive salary for the position. Do not take the work home
","Can be a very stressful position at times.
Helpfu",,5.0,,,,,,,,
Thu Jan 28 2021, Assistant Director,,Current Employee ,Good Company,0,"opportunities for growth, manager support
","personally feel work-life balance is hard to find, others don't feel that way
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,
Wed Jan 27 2021, Director of Process Improvement,"Charlotte, NC",Current Employee ,Great Place for Underwriters,0,"Always innovating. Standing up sound change management plans.
","Constant change. Lacks recognition for mid-level leaders and career advancement opportunities unless you have underwriting experience.
Helpfu",,4.0,3.0,3.0,3.0,3.0,3.0,Doesn't Recommend,Positive Outlook,Approves of CEO
Tue Jan 26 2021, Director of Sales,"Hartford, CT",Current Employee ,Great employer,0,"Good opportunities for growth and development
","Salaries feel a little low for some roles
Helpfu",,5.0,4.0,5.0,5.0,5.0,3.0,Recommends,Positive Outlook,Approves of CEO
Mon Jan 25 2021, Senior Claims Adjuster,"Los Angeles, CA",Current Employee ,Senior Claims adjuster,0,"we are not full file
","100% Virtual causing higher payouts
Helpfu",,4.0,3.0,3.0,2.0,4.0,3.0,Recommends,Neutral Outlook,Approves of CEO
Sun Jan 24 2021, Inside Claims Adjuster,"Aurora, IL",Current Employee ,N/a,0,"Great company to work for
","Not any I can think of
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Jan 25 2021, Director,,Current Employee ,Great place to work,0,"Great place to work and grow
","Nothing to note that is apparent
Helpfu",,5.0,4.0,4.0,4.0,4.0,4.0,,,
Sun Jan 24 2021, Associate Adjuster,,Current Employee ,Decent place to work,0,"Work life balance is good
","Pay is not competitive for industry. Work load is heavy
Helpfu",,4.0,,,,,,Recommends,Positive Outlook,
Sun Jan 24 2021, Ability Analyst,"South Florida, FL",Current Employee ,Almost perfect,0,"Great pay, benefits and loads of pto time
","Stressful , understaffed unrealistic metrics and expectations work wise
Advice to Management
Stop being cheap higher more
Helpfu","Stop being cheap higher more
Helpfu",4.0,4.0,3.0,4.0,3.0,4.0,Recommends,Neutral Outlook,No opinion of CEO
Sat Feb 06 2021, Claims Supervisor,"Hartford, CT",Current Employee ,great place to wrok,0,"respectful and caring team environment
","salary is on the low side
Helpfu",,3.0,,,,,,,,
Fri Jan 22 2021, Software Developer,,Current Employee ,Amazing work culture,0,"Friendly staff and supportive managers
","Depending on your office, you may not get a lot of opportunities to engage with leadership
Helpfu",,5.0,5.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 22 2021, Customer Service Representative III,"San Antonio, TX",Current Employee ,Lots of Room for Advancement/Movement,0,"Flexible work situation, good coworkers/management in my personal experience
","They are behind on their IT development. Some systems are a bit antiquated.
Helpfu",,5.0,5.0,5.0,5.0,5.0,4.0,,,
Thu Feb 04 2021, Customer Service Representative,"San Antonio, TX",Former Employee ,Handling customer complaints,0,"Good benefits, people are friendly, good management
","There were no cons, management wanted to see you succeed.
Helpfu",,3.0,2.0,4.0,4.0,5.0,4.0,Recommends,Neutral Outlook,No opinion of CEO
Thu Feb 04 2021, Underwriter,"New York, NY",Current Employee ,Underwriter,0,"The overall work environment and pace
","Management structure and overall compensation
Helpfu",,3.0,,,,,,,,
Wed Jan 20 2021, Enrollment Specialist,"Windsor, CT",Former Employee ,Great experience,0,"Great experience at the Hartford for 5 years. There are great benefits.
","No raise the last 3 years of employment.
Advice to Management
Listen to your employees they are not robots or machines.
Helpfu","Listen to your employees they are not robots or machines.
Helpfu",4.0,4.0,4.0,4.0,5.0,4.0,Recommends,,
Wed Feb 03 2021, Account Manager,"King of Prussia, PA",Former Employee ,The Money was Good. The Environment was not,0,"They had good technology and it helped me do my job efficiently.
","The corporate politics are unbearable. It was like the good ole boys club, especially at the awards ceremony at the annual convention.
Advice to Management
say what you mean when you claim to be diverse and treat women with respect privately.
Helpfu","say what you mean when you claim to be diverse and treat women with respect privately.
Helpfu",3.0,2.0,2.0,2.0,3.0,4.0,No opinion of CEO,,
Wed Jan 20 2021, Analyst,"Hartford, CT",Former Employee ,OK environment,0,"People are very nice. Willing to help
","Not really a new creative challenge
Advice to Management
It'd be better to invest more energy in building new infrastructrue
Helpfu","It'd be better to invest more energy in building new infrastructrue
Helpfu",4.0,5.0,4.0,3.0,3.0,4.0,Recommends,Neutral Outlook,No opinion of CEO
Tue Jan 19 2021, Middle Market Underwriter,"Hartford, CT",Current Employee ,Great Company,0,"CEO
Employee benefits 
Positive work environment
","Corporate 
Hard to move up
Helpfu",,5.0,,,,,,,,
Tue Jan 19 2021, Outside Claims Representative,"San Antonio, TX",Current Employee ,Job Satisfaction,0,"Pay, benefits, co-workers, location, and travel.
","Claim inspection channels.
Medical benefits.
Growth potential.
Helpfu",,4.0,4.0,4.0,5.0,3.0,4.0,Recommends,Neutral Outlook,Approves of CEO
Tue Feb 02 2021,Anonymous,,Former Employee ,The people make The Hartford,0,"The people who work there make the place
","Tend to layoff every 18 months
Helpfu",,3.0,1.0,4.0,2.0,2.0,4.0,Neutral Outlook,,No opinion of CEO
Sun Jan 17 2021, Ability Analyst,,Current Employee ,Company review,0,"Transparency. Culture. Growth. Flexibility. Purpose
","Constantly busy due to case load
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,,,
Mon Feb 01 2021, Senior Ability Analyst LTD,"Plantation, FL",Current Employee ,It’s ok,0,"Benefits are good. CEO and VPs are good at talking about social issuea
","A lot of networking. Skill set and performance don’t matter for advancement, it’s all about who you know.
Helpfu",,3.0,3.0,3.0,3.0,1.0,1.0,Doesn't Recommend,Neutral Outlook,Approves of CEO
Sat Jan 16 2021, Claims Adjuster,,Current Employee ,Great culture,0,"Lots of great people to work with.
","Can he hard to move into a different role that aligns with career goals.
Helpfu",,4.0,5.0,4.0,5.0,3.0,4.0,,,
Sun Jan 31 2021, Return to Work Case Manager,,Former Employee ,Was good at the beginning,0,"Great pay, virtual work, and good benefits.
","Management started to change and those promoted were micromanaging staff and still learning how to manage in general. The work loads were very high with very high expectations. It seemed like there was favoritism for certain staff and those not in the “in group” weren’t given opportunities as often.
Advice to Management
Trust your staff and high performers. Evaluate and research feedback from staff who report micromanagement or claims of being overworked before people leave rather than afterwards.
Helpfu","Trust your staff and high performers. Evaluate and research feedback from staff who report micromanagement or claims of being overworked before people leave rather than afterwards.
Helpfu",3.0,3.0,3.0,4.0,3.0,4.0,Doesn't Recommend,Neutral Outlook,Approves of CEO
Fri Jan 15 2021, Student,"Waltham, MA",Former Employee ,Great company,0,"Great mentor ship from senior leaders
","Internship was a virtual experience
Helpfu",,5.0,,,,,,,,
Thu Jan 14 2021, Senior Ability Analyst,"Phoenix, AZ",Current Employee ,Great Place to Work,0,"Great Work Life Balance. Flexible hours.
","Could pay better as other companies will pay more.
Helpfu",,4.0,5.0,3.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
