date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Sun Jan 17 2021, Sales Development Representative (SDR),"Plano, TX",Current Employee ,Very Achievable Quota. Just do you work and listen to your mentors and you'll easily master this role,0,"Salary, Good Team and decent benefits
","Corporate America and Yearly annoying changes
Advice to Management
anticipate the changes that will be made so the process becomes smoother and doesn't disrupt work
Helpfu","anticipate the changes that will be made so the process becomes smoother and doesn't disrupt work
Helpfu",5.0,5.0,4.0,4.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021, Escalation Manager,"Chicago, IL",Current Employee ,Challenging role in critical business markets.,0,"Salary seems sufficient for current role. Somewhat flexible and currently working from home.
","Requires being on-call at times as part of the job. We are not paid for being on-call. Sometimes work/life balance can be a struggle.
Helpfu",,5.0,4.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021, Senior Product Manager,"Houston, TX",Current Employee ,The great and the so-so,0,"The people make the company. Smart, easy-going for the most part with only a handful of difficult personalities. Company seems to be very family friendly. Some benefits have been stepped up in recent years. For example, parental leave is best-in-class for US standards. There are recent initiatives to drive more career mobility internally.
","Highly matrixed organization which can make things a bit chaotic. Some teams have shifted entirely out of the US, which equates to late night and early morning meetings. The level to which that is the case depends on your role. Salary bumps and promotions are hard to come by. Bonuses can be wildly different year to year.
Helpfu",,4.0,4.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Sun Feb 07 2021, Engineer,,Current Employee ,HPE,0,"Flexible work time
Good culture 
Good environment
","Low bonus 
Doesn’t provide lunch
Helpfu",,5.0,5.0,5.0,4.0,4.0,4.0,Recommends,Neutral Outlook,Approves of CEO
Sat Feb 06 2021, HP Elite Technical Support Agent,"Rio Rancho, NM",Former Employee ,"This will always be my dream job & of my career. Your ideas matter, works doesn't feel like work!",0,"The management& departments have amazing creative and innovative training and business ethic. This is the best employer I've ever had.i was unable to continue with the company due to some unforseen health issues but they went over and beyond to try to accommodate and work around my barriers. They have an open for policy and encourage all employees Ideas feedback and critic to improve company for employees and customers the same. Its a great place to work. I highly recommend. This company if you want to broaden your experience, advance into higher and challenging positions, and have wonderful benefits...
","There are no cons that I can think of,other than that there was a little commute, but we'll worth the drive. Now the city & surrounding are has grown as well as the road the job is on. Traffic is smooth compared to when I worked here.
Advice to Management
Keep doing what your doing. The values and mission you promote and swear by is the same . it shows in how you not only do business but the value and appreciation you show for employees and the compassion to improve products,services is amazing. Keep up the good work. Compassion and listening to your customers will keep your business thriving and also very popular amongst consumers
Helpfu","Keep doing what your doing. The values and mission you promote and swear by is the same . it shows in how you not only do business but the value and appreciation you show for employees and the compassion to improve products,services is amazing. Keep up the good work. Compassion and listening to your customers will keep your business thriving and also very popular amongst consumers
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Senior Financial Analyst,"India, TX",Current Employee ,Good place to work,0,"Work-life balance is good with flexibility
","The company is going through a restructuring
Helpfu",,4.0,5.0,3.0,5.0,3.0,4.0,Recommends,Neutral Outlook,No opinion of CEO
Thu Feb 04 2021, Enginerring,,Current Employee ,Great place to work,0,"Culture, vision, helpfullness, friendly, knowledgable
","stock price is too low
Helpfu",,4.0,4.0,5.0,5.0,4.0,4.0,,,
Thu Feb 04 2021, Account Manager,"Dallas, TX",Former Employee ,GF,0,"Good place to grow network
","Can get laid off at any moment.
Helpfu",,4.0,3.0,5.0,5.0,5.0,4.0,,,
Fri Feb 05 2021, Global Director,"Dallas, TX",Former Employee ,IT Infrastructure Leader,0,"Great Global Solutions IT Hardware Manufacturer
","Evolution to a new Model of Business is challenging
Helpfu",,4.0,3.0,3.0,4.0,5.0,4.0,Recommends,Neutral Outlook,No opinion of CEO
Tue Feb 02 2021, Project/Program Manager,,Former Employee ,A Welcoming Place to Work,0,"Great company culture, the management was very supportive, and they provided flexible work hours
","Internal processes were time consuming
Helpfu",,4.0,4.0,5.0,5.0,4.0,3.0,Recommends,Positive Outlook,Approves of CEO
