date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Sat Jan 30 2021, Operator,"El Dorado, KS",Current Employee ,Great Company,0,"Great pay and great people to work with
","There is a lot of drama
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,,,
Fri Jan 29 2021, Chemical Engineer,"Bountiful, UT",Current Employee ,I'm not on here to review my company,0,"If you enjoy engineering or oil and gas, it is a fine place to be
","If you don't enjoy those things, you won't like it
Helpfu",,4.0,,,,,,,,
Thu Jan 28 2021, Senior SAP Analyst,"Dallas, TX",Former Employee ,Very good company to work for,0,"Good growth opportunities if you have good team.
","Too many politics at upper management level
Advice to Management
Be transparent
Helpfu","Be transparent
Helpfu",5.0,4.0,2.0,2.0,5.0,1.0,Recommends,Neutral Outlook,No opinion of CEO
Wed Jan 20 2021, Systems Administrator,"Laramie, WY",Current Employee ,Solid Company,0,"They're very loyal to their employees. The company is built on character and it shows.
","On the pay scale they're closer to the bottom than most would like.
Advice to Management
Don't just listen more to the employees, actually consider and use what they tell you. It's easy to discern whether that's actually being done or not.
Helpfu","Don't just listen more to the employees, actually consider and use what they tell you. It's easy to discern whether that's actually being done or not.
Helpfu",4.0,5.0,5.0,5.0,3.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 22 2021, Accounting Associate,"Dallas, TX",Former Employee ,Racist,0,"The perks are good nine 80
","This is a very racist company
Advice to Management
Sensitivity training
Helpfu","Sensitivity training
Helpfu",2.0,4.0,1.0,1.0,4.0,3.0,Doesn't Recommend,Negative Outlook,Approves of CEO
Thu Jan 07 2021, Distribution Coordinator,"Tulsa, OK",Current Employee ,very pleased,0,"pay-benefits- time off - four eighty schedules
","stressful at times, can get overwhelming
Helpfu",,4.0,4.0,4.0,4.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 07 2021, Head Operator,"Cheyenne, WY",Current Employee ,Good Pay - Awful Employer,0,"The pay is good, and the hourly people you'll work with are awesome. Even family like. This is the only reason I put two stars instead of one.
","The management team is clueless. And worse yet, they are arrogant in their cluelessness. The money will get you in the door, but you'll be miserable almost every day at the Cheyenne refinery. They lie to you, and do the exact things they tell you not to do. You can't trust hardly anybody in management to actually have your best interest at heart. They are generally snakes and will get somebody hurt as they constantly put production over safety.
Helpfu",,2.0,,,,,,,,
Wed Jan 06 2021, Manager,"Dallas, TX",Former Employee ,Want to change but leaders are stuck,0,"Like a family and where everyone knows everyone
","They like the idea of change but have a hard time executing
Helpfu",,3.0,3.0,2.0,1.0,3.0,3.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Thu Dec 10 2020, Scheduler,,Former Employee ,Solid company and culture,1,"Good people and strong culture. Easy to make friends
","Onboarding and training is lacking
Helpful (1",,4.0,4.0,5.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sat Dec 26 2020, Reliability Engineer,"Cheyenne, WY",Current Employee ,Political Environment,0,"Great Pay, Challenging Work, a few good people
","Extremely political environment. People will do anything to get ahead
Helpfu",,3.0,2.0,4.0,3.0,3.0,5.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
