date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Sun Feb 07 2021, Sales Associate,"Harrisburg, PA",Former Employee ,Great place to work,0,"The Schedule was very flexible
","I Had to work weekends
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,,Approves of CEO
Sun Feb 07 2021, Sales Associate,"Roseville, CA",Former Employee ,Great People,0,"Marvelous co-workers, good management, safe and clean
","Understaffed at times, ASM's overworked
Helpfu",,4.0,3.0,4.0,5.0,4.0,3.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Human Resources Manager,"Jersey City, NJ",Current Employee ,The Home Depot,0,"Great values and they really take good care of their hourly associates
","Hard to move up in Human Resources
Helpfu",,5.0,,,,,,,,
Fri Feb 05 2021, Part Time Merchandiser,"Moultrie, GA",Current Employee ,Great place to work,0,"Great benefits , Great co workers ,
","Hours are low due to a lower volume store but the management and employees are so friendly I enjoy every moment.
Helpfu",,5.0,5.0,5.0,5.0,4.0,5.0,Recommends,Positive Outlook,No opinion of CEO
Fri Feb 05 2021, Department Supervisor,"Plainwell, MI",Current Employee ,Great Place To Work and Feel Valued,0,"-Great work environment 
-Profit Sharing
-Fair Management Team
","-Retail Work Schedule (including overnight shifts)
-Accountability issues
Helpfu",,5.0,1.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Lot Associate,"San Luis Obispo, CA",Former Employee ,Great Place to Work,0,"This is a great place to work
","A lot of physical exercise. If doing full time it would be difficult
Helpfu",,5.0,,,,,,,,
Fri Feb 05 2021, Part Time Cashier,,Former Employee ,Great company,0,"Great co workers and work environment
","Standing all day it’s hard on your feet.
Helpfu",,5.0,,,,,,,,
Sat Feb 06 2021, Overnight Stocker,"Natick, MA",Former Employee ,Great company,0,"Very nice atmosphere and people to work for
","Hours and the workload can be a lot at times
Helpfu",,5.0,,,,,,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Flight Attendant,"Gulfport, MS",Current Employee ,The Home Depot is a Family,1,"•Everyone is always has a smile on their face.
•Customer service is astounding.
•We all work as a team.
•Working at home depot is like having a second family.
•The minimum wage is fair.
","There are expectations for you to work in more than just your department.
Helpful (1",,5.0,5.0,4.0,5.0,5.0,5.0,Recommends,Neutral Outlook,No opinion of CEO
Fri Feb 05 2021, Sales Associate,"Garden Grove, CA",Current Employee ,Great People Great Benefits,0,"Learn alot about home improvement, really great coworkers.
","Hours can sometimes be scarce as well as long shifts are taxing physically
Helpfu",,4.0,,,,,,,,
Fri Feb 05 2021, Lot Associate,"San Luis Obispo, CA",Former Employee ,Great Place to Work,0,"This is a great place to work
","A lot of physical exercise. If doing full time it would be difficult
Helpfu",,5.0,,,,,,,,
