date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Tue Feb 09 2021, Technical Support Associate,"Louisville, KY",Former Employee ,Salary,0,"Worked with a great team in the support environment
","The workload in terms of taking calls can be demanding
Helpfu",,5.0,3.0,4.0,4.0,2.0,4.0,Doesn't Recommend,Neutral Outlook,Approves of CEO
Mon Feb 08 2021, Data Scientist,,Current Employee ,Lots of different experiences,0,"Because it’s a such a big corporate, they always have interesting problems to work on
","Working hours could be weird because you have to work with teams in India
Helpfu",,4.0,,,,,,,,
Mon Feb 08 2021, Senior Communications Specialist,,Current Employee ,Quality Employer,0,"- Great benefits
- Competitive pay
- A lot of support and recognition for hard workers
- Strong focus on talent management and retention
","- Not a 9-5...workload requires nights/weekends fairly often, especially as you move up within the company.
- Hard to take time off
Helpfu",,4.0,3.0,4.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021, Senior Contract Manager,"Tempe, AZ",Current Employee ,Mixed bag,0,"Opportunity to work variety of projects, gain new skills
","Not enough resources, leads to lack of work life balance.
Helpfu",,4.0,2.0,3.0,4.0,3.0,3.0,Doesn't Recommend,Positive Outlook,Approves of CEO
Mon Feb 08 2021, Quality Manager,"Richmond, VA",Former Employee ,Solid Workplace,0,"Good company to work for with strong benefits and pay. There was a lot of support for every position.
","Focus on cost leads to tough decisions.
Helpfu",,4.0,,,,,,,,
Mon Feb 08 2021, IT Specialist,"Phoenix, AZ",Current Employee ,Good place to work at,0,"-Unlimited vacation
-great co-workers
-great vision care
","- Work/life balance
-global company which requires you to work very early or very late depending on team location
Helpfu",,4.0,2.0,4.0,3.0,5.0,4.0,Recommends,,Approves of CEO
Sun Feb 07 2021," Manager, Software Development","Chicago, IL",Current Employee ,Growth through challenges,0,"Global organization with lots area to advance career
","Moving through various LOBs in a industrial conglomerate
Advice to Management
Bring more diverse talent in management ranks
Helpfu","Bring more diverse talent in management ranks
Helpfu",5.0,5.0,5.0,2.0,4.0,5.0,Recommends,Positive Outlook,
Mon Feb 08 2021, Engineer,,Current Employee ,So far so good,0,"- Environment 
- Good people 
- Growing company 
- Accomdating to change
","- Hours 
- Work life balance
Advice to Management
Invest in getting your teams to work efficenetly. Its not about the amount of hours they do but the quailty of work they do within a shorter period of time. 

Would be helpful if you can adapt the hours to the each person and not be stuck with the typical 9-5 (this implies to some teams as I understand it can't be done for all teams)
Helpfu","Invest in getting your teams to work efficenetly. Its not about the amount of hours they do but the quailty of work they do within a shorter period of time. 

Would be helpful if you can adapt the hours to the each person and not be stuck with the typical 9-5 (this implies to some teams as I understand it can't be done for all teams)
Helpfu",4.0,3.0,5.0,5.0,3.0,4.0,Recommends,Neutral Outlook,No opinion of CEO
Sat Feb 06 2021,Anonymous,,Current Employee ,Good,0,"Great time working at here
","None none none none nonw
Helpfu",,5.0,,,,,,,,
Fri Feb 05 2021, Director,,Current Employee ,Great Place to Work,0,"Love the way the company keeps employees safe, how the different functions work together, and the information flow. While none of these things is perfect, the company continues to work to make them better.
","The HR support could be better. Everything gets directed to an email ""Help Desk"" instead of being able to have a real person help.
Helpfu",,5.0,2.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Director,"San Francisco, CA",Current Employee ,Great place to work,0,"Organization culture, leadership, support for community
","Complex go to market , with competing products
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Neutral Outlook,Approves of CEO
Fri Feb 05 2021, Optical Engineer,"Mount Laurel, NJ",Current Employee ,good company with good environment,0,"good culture, good benefits, global environment
","so far no cons as I know
Advice to Management
thanks for giving employee good support
Helpfu","thanks for giving employee good support
Helpfu",5.0,4.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Software Engineer I,,Current Employee ,Nice company,0,"The people are nice and helpful
","Low career development, slow moving bureaucracy
Helpfu",,5.0,4.0,3.0,2.0,3.0,3.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Offer Letter Specialist,"Atlanta, GA",Former Employee ,Great company,0,"Great pay, Great Benefits, Good Management
","Could’ve been better at listening to their employees and treating them as individuals as apposed to teams.
Advice to Management
Listen to your employees one on one
Helpfu","Listen to your employees one on one
Helpfu",4.0,3.0,4.0,4.0,4.0,5.0,Recommends,Neutral Outlook,No opinion of CEO
Thu Feb 04 2021, Project Coordinator II,"Mason, OH",Current Employee ,Onboarding,0,"They have provided an Onboarding Partner to help with things, and it has been very helpful to me.
","I haven't found any at the moment.
Helpfu",,4.0,4.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Senior Director,"Houston, TX",Current Employee ,Great place to learn and grow,0,"Your career will advance quickly if you deliver results. Expect to move up or across functions every 2 years if that's your desire.
","The organization has a very Type A culture. You have to be thick skinned if you want to survive.
Advice to Management
Be as diligent about preparing for growth as you were about reacting to the downturn.
Helpfu","Be as diligent about preparing for growth as you were about reacting to the downturn.
Helpfu",4.0,2.0,3.0,2.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Strategic Account Executive,,Current Employee ,Excellent Company,0,"Well balanced company that values staff on a personal level
","None- This company is one of the best companies to work for. During COVID they took care of all of their staff and remained supportive and flexible for all full-time and part-time employees.
Advice to Management
Keep up the great work.
Helpfu","Keep up the great work.
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Program Manager,"Los Angeles, CA",Former Employee ,Great company to work,0,"Great company, stability possibility for advancement
","No negative comments , everything was good
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Senior Software Engineer,"Aguadilla, PR",Current Employee ,Software Engineer Review,0,"Good Behaviors, Great People, Interesting Job
","Salary must be improve due to competition of near companies
Advice to Management
Management in to be advice that salary must be improve due to competition of near companies
Helpfu","Management in to be advice that salary must be improve due to competition of near companies
Helpfu",4.0,5.0,5.0,5.0,4.0,2.0,Recommends,Neutral Outlook,No opinion of CEO
Wed Feb 03 2021, Software QA Tester,"Phoenix, AZ",Former Employee ,good,0,"good company to be employed in
","there should be little increase in pay
Advice to Management
good
Helpfu","good
Helpfu",4.0,4.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Senior Systems Administrator,"Atlanta, GA",Current Employee ,New Joiner,0,"I have really liked the process of Honeywell from Recruiting Team to the hiring manager and then for the Team I am working with. It was very smooth and all the HR Team was very helpful and supporting all the way to make my new role really smooth.
","I don't see any cons in the company everyone is hardworking and really professional in their line of work.
Helpfu",,5.0,5.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 29 2021, Senior Demand Planner,"Houston, TX",Current Employee ,Leave There and Come Here for An Outstanding Company Culture,1,"Honeywell achieves a company culture that is not an afterthought but stable and strong, which allows employees to perform at their best. From my years with Honeywell, my leadership has shown to be great with communication and no micromanagement. My experience has led me to the assumption that Honeywell hires individuals with high self-leadership.
","Working remote is a con, but it is a health benefit that is appreciated. Cannot wait until we are back in the office for P2P NETWORKING!!!!
Advice to Management
Keep driving inclusion and diversity, it is creating a positive work environment and is integral to shaping the culture of Honeywell.
Helpful (1","Keep driving inclusion and diversity, it is creating a positive work environment and is integral to shaping the culture of Honeywell.
",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Test Engineer,,Former Employee ,Good Overall Experience,0,"Diverse Workplace, Exposure to many projects, Growth Opportunity
","Crunched schedules, poor health insurance, hit or miss management
Helpfu",,4.0,4.0,4.0,4.0,5.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Tue Feb 02 2021, Business Analyst,"Houston, TX",Current Employee ,Good Company,0,"Good company, pay is good, opportunity for new positions within the company. They try to stay diversified, so you are able to move around to different business units whether it's Aerospace, Home Building, Oil and Gas.
","Oil & Gas is submit to the market, so you may be furloughed depending on market conditions. Good thing is you keep your job, but there may be a loss in pay. Big company, so sometimes tough learning all the terminology and how the pieces fit together. There are many manual pieces.
Helpfu",,4.0,5.0,4.0,3.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Customer Experience Manager,,Current Employee ,Unlimited Opportunities for Career Progression,0,"Integrity and ethics as non-negotiable traits makes Honeywell a great place to work. Our focus on software and our history as an industrial company give us a unique ability to connect software to the physical world. Competitive pay and benefits are offered as well.
","It is still a large company with processes and procedures that are yet to be modernized and streamlined, but management is working on those.
Advice to Management
Continue the moves to bring innovation and entrepreneurial spirit to the day to day operations of the entire company similar to that in HCE.
Helpfu","Continue the moves to bring innovation and entrepreneurial spirit to the day to day operations of the entire company similar to that in HCE.
Helpfu",4.0,4.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Engineering,,Current Employee ,Great place to learn,0,"New projects, technologies and opportunities all the time
","Can be challenging to navigate
Helpfu",,4.0,,,,,,,,
Mon Feb 01 2021, Program Planning and Control Analyst,"Clearwater, FL",Current Employee ,PPC Analyst 1,0,"My manager and mentor have given me the tools and time needed to help in the onboard process. Everyone has been welcoming and open to questions and feedback.
","No cons to report at this time.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 01 2021, Manager,"Romania, PA",Current Employee ,Honeywell review,0,"it was a great experience for me, with great opportunities for development.
","less focus on the strategic view, strategic planning at the manager level can change every time a new person is in charge...
Helpfu",,5.0,4.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 01 2021, Mechanical Design Engineer I,"Glendale, AZ",Current Employee ,Review of Mechanical Design Engineering position,0,"Friendly work environment, good communication between coworkers and management, opportunity for self improvement in skills.
","I spend most of my days sitting in front of a computer, so being active outside of work hours is essential. That would probably be the only down side, but is expected with this position.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Senior Director,"Charlotte, NC",Current Employee ,Great company,0,"culture, pay, benefits, Nature of work
","not really that i can think of.
Helpfu",,5.0,,,,,,,,
Mon Feb 01 2021, Mechanical Design Engineer,"Redmond, WA",Current Employee ,Mechanical engineer,0,"Fun projects to work on
","No pay increase and have to work overtime
Helpfu",,4.0,,,,,,,,
Mon Feb 01 2021, PP&amp;C Analyst II,"Aguadilla, PR",Former Employee ,Good Company with many opportunities,0,"Salary, career path, benefits, professional environment
","Micro-management, work-life balance, before covid-19 working from home was not allowed.
Helpfu",,4.0,,,,,,,,
Mon Feb 01 2021, Engineer,"Clearwater, FL",Current Employee ,Entry level,0,"Experience for an entry level engineer
","Performance expectations are high for entry level
Helpfu",,4.0,4.0,4.0,4.0,4.0,4.0,Recommends,,
