date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Sun Feb 07 2021, Associate Director,,Current Employee ,Family feel,0,"Lots of intelligent, hard working and compassionate people who care for each other. Feels like a family business the way associates work together. Lots of opportunities for growth
","Nothing! Networking is tricky because of it being virtual obviously. But there is opportunity to meet people in different groups.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sat Feb 06 2021, Care Manager ,,Current Employee ,Great job,0,"Work at home, 100% remote, benefits start day one
","Lack of flexibility, no stipend provided for internet services
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Manager,,Current Employee ,Best company in KY,0,"This company cares not only about the members it's serves but the associates serving the members. The benefits and flexibility are too notch with a culture that competitors envy.
","The budget provided for annual salary increases has been very slim the last few years.
Helpfu",,5.0,5.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Consumer Experience Professional II,"Louisville, KY",Current Employee ,Amazing workplace,0,,"mer Experience Professional II in Louisville, KY
Recommends
Positive Outlook
Approves of CEO
I have been working at Humana full-time for more than a year
Pros
Work from home ability, great benefits, flexible time.
Cons
No cons for this position.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Manager,,Current Employee ,Great first few months,0,"Love the resources and co-workers. The frequent communication from the top down is appreciated.
","As with all large companies, there are so many resources and programs it’s hard to keep track when you first start.
Helpfu",,5.0,,,,,,,,
Thu Feb 04 2021, Medicare Sales Representative,"Irving, TX",Current Employee ,Excellent company,0,"Strong focus on member care and service
","Covid makes it difficult to sell in the field
Advice to Management
Thank you for your focus on our members!
Helpfu","Thank you for your focus on our members!
Helpfu",5.0,5.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,
Thu Feb 04 2021, Medicare Sales Representative,"Seattle, WA",Current Employee ,Great Company,0,"Really supports their employees and gives them every opportunity to be successful.
","Sometimes like with most large companies they can be slow to make changes and sometimes tech is a struggle but not any more than other companies I am familiar with.
Helpfu",,4.0,5.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Registered Nurse,,Former Employee ,Rn,0,"Great benefits while working here!
","Great place to work and be!
Helpfu",,5.0,,,,,,,,
Wed Feb 03 2021, Senior Technology Leadership Professional,N/A,Former Employee ,Senior Technology leadership professional,0,"Perfect place to work and experience work-life balance, motivational culture
","isn't spread across United States
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Business Intelligence Engineer,,Current Employee ,Great Place to Work,0,"Have the ability to work from home
","Not enough PTO for new parents
Helpfu",,5.0,,,,,,,,
Tue Feb 02 2021, Sales Representative,,Current Employee ,Sales Agent,0,"Humana Cares about it's employees and members
","Salary could be a little higher
Helpfu",,5.0,5.0,5.0,5.0,5.0,3.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Sales Representative,,Current Employee ,Strong product,0,"Strongest product in the Medicare space
","inconsistent management; lower management is reactive to mid and upper management.
Helpfu",,4.0,5.0,4.0,3.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 01 2021, Care Manager,"Jacksonville, FL",Current Employee ,Caring Company,0,"Support to employees and members goes above and beyond
","Sometimes advancement can be challenging
Helpfu",,5.0,5.0,5.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 01 2021, Payment Integrity Professional II,"Louisville, KY",Current Employee ,N/A,0,"Good company to work for.
","Not the best benefits package.
Helpfu",,4.0,5.0,5.0,4.0,5.0,3.0,Recommends,Positive Outlook,Approves of CEO
Sun Jan 31 2021, User Experience Designer,"Louisville, KY",Current Employee ,Great Place to work!,0,"They really take care of you and believe in a strong work/life balance. Especially since working from home, we have been more productive while also being able to spend more time with the people we care about the most.
","Not many cons. Unless they force us to return back to the office given it’s completely unnecessary for my role.
Advice to Management
My direct leaders are amazing.
Helpfu","My direct leaders are amazing.
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Jan 31 2021, Analyst,"Louisville, KY",Former Employee ,Good place to work,0,"Environment, room to grow, yearly raises
","Benefits, sometimes can be about who you know
Helpfu",,4.0,,,,,,,,
Sun Jan 31 2021, Principal Software Engineer,"Dallas, TX",Former Employee ,Good Company,0,"Good compensation, life, and work balance
","Provides insurance not as what is really expected
Helpfu",,4.0,5.0,4.0,4.0,3.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 29 2021, Senior Business Intelligence Engineer,"Louisville, KY",Current Employee ,I Like It,0,"Plenty of opportunities. Benefits are good. Remote work available.
","Some people suck, but that’s everywhere. Sometime you have to move to a new department to move up.
Helpfu",,5.0,5.0,4.0,5.0,5.0,4.0,,,
Fri Jan 29 2021, Senior User Experience/UI Designer,"Louisville, KY",Current Employee ,Amazing company to work for,0,"Benefits, work/life balance, compensation, opportunities
","None, none, none, none, N/A
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,
Thu Jan 28 2021, Claims Quality Auditor,"Louisville, KY",Current Employee ,Good place to work,0,"Stability, perks, some areas are flexible, flex schedule
","Can’t think of any at this time
Helpfu",,4.0,5.0,4.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 28 2021, Senior Data Scientist,"Boston, MA",Current Employee ,Company Culture,0,"Supportive leaders and team mates
","Complexity of company organization and business products
Helpfu",,4.0,5.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
