date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Sun Feb 07 2021, Senior Product Marketing Manager,"Boston, MA",Former Employee ,Great company to gain experience,0,"Diverse company with innovation culture. Great people
","Has been less relevant in past 10 years
Helpfu",,5.0,4.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Jun 04 2020, Bid Proposal Manager,"Dallas, TX",Current Employee ,IBM is not the same company it used to be,120,"Salary is good, availability of education to grow your career, work life balance is good.
","Constant layoffs, eroding baseline, insecurity of retaining your job and potential sale of specific divisions. Target for RA once you hit the 20 year mark.
Advice to Management
So many talented hardworking people have been let go to raise stock prices. They have all gone to your competitors and that is why IBM is loosing market penetration, trust , and confidence for our clients to buy from IBM and our competitors are taking away our clients.
Helpful (120","So many talented hardworking people have been let go to raise stock prices. They have all gone to your competitors and that is why IBM is loosing market penetration, trust , and confidence for our clients to buy from IBM and our competitors are taking away our clients.
",4.0,,,,,,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Fri Feb 05 2021, Consultant,,Current Employee ,General,1,,"ltant 
I have been working at IBM full-time
Pros
Great place to work and very collaborative environment
Cons
none that I can think of
Helpful (1",,5.0,,,,,,,,
Sat Feb 06 2021, Front End Developer,"Dallas, TX",Former Employee ,Good work environment,1,"Professional environment and hood work ethics
","Lot of work pressure but manageable
Helpful (1",,5.0,3.0,5.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sun Feb 07 2021, Saas B2B Technical Engineer,,Current Employee ,Best place to work,0,"Great benefits, push to learn new skills, open door culture, work life balance
","not too many remote opportunities
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sat Feb 06 2021, Data Scientist,"New York, NY",Current Employee ,Stable company,0,"Nice people good environment to work
","not too much space for innovation
Helpfu",,4.0,,,,,,,,
Sat Feb 06 2021, Senior Offering Manager,"Washington, DC",Current Employee ,Transformational,0,"Great work, ethical company, great people
","Stressful, not a great work life balance, tough competitive landscape
Helpfu",,4.0,3.0,4.0,5.0,3.0,4.0,Recommends,Neutral Outlook,
Fri Feb 05 2021,Anonymous,,Current Employee ,Good work life balance,0,"Great work life balance at IBM. Being a large company, there are always lots of different projects going on, and I've found it pretty easy to move onto different things based on my interests. Like most places, it boils down to making the most of the opportunities that are available.
","The facilities are kind of old, and the on-site perks don't compare to other big tech companies.
Helpfu",,4.0,5.0,4.0,4.0,4.0,3.0,,,
Fri Feb 05 2021, Applications Developer,,Current Employee ,Good Overall,0,"Good work culture, Leave policy
","work life balance, Compensation could be better
Helpfu",,4.0,3.0,4.0,4.0,4.0,2.0,,,
Thu Feb 04 2021, Director,,Current Employee ,Great Company,0,"Great opportunities to grow and develop self.
","Large organization that may not be right for everyone. Can sometimes get lost in the complexity.
Helpfu",,5.0,4.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
