date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Sun Feb 07 2021, Capital Capacity Manager,,Current Employee ,Great Company,0,"Employee focused and amazing growth opportunities!
","Locations are less desirable due to lack of diversity.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sat Feb 06 2021, Senior Vice President Sales,"Atlanta, GA",Former Employee ,Great place to work,1,"Great comp package; lots of tools and support provided
","Frequent changes to top leadership in recent years
Helpful (1",,5.0,5.0,5.0,5.0,5.0,5.0,No opinion of CEO,,
Sun Feb 07 2021, Manufacturing Technician,"Phoenix, AZ",Current Employee ,Good place to work,0,"Intel is very safety focused
","Many long shifts working nights
Helpfu",,5.0,2.0,3.0,4.0,3.0,4.0,Recommends,Neutral Outlook,No opinion of CEO
Sat Feb 06 2021, Software Engineer,,Former Employee ,Good company to work for,0,"Good technologies to work on
","Too much bureaucracy to handle
Helpfu",,5.0,4.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,Disapproves of CEO
Fri Feb 05 2021, Verification Engineer,,Current Employee ,GPTW,0,"Flex hours, good support from management
","Total compensation could use a boost
Helpfu",,5.0,,,,,,,,
Fri Feb 05 2021,Anonymous,,Current Employee ,Good workplace,0,"You get new challenges to work on
","Important details come out on public platform before sharing with employees
Helpfu",,5.0,,,,,,,,
Wed Feb 03 2021, SoC Validation Engineer,,Current Employee ,A great place to work if you are in the right org,0,"Good learning opportunities if you seek them. Most senior engineers are always willing to help
","Work life balance 
Not the best work laptops
Helpfu",,5.0,4.0,5.0,5.0,5.0,4.0,Recommends,Neutral Outlook,Approves of CEO
Wed Feb 03 2021, Senior Engineering Manager,"Folsom, CA",Former Employee ,GPTW,0,"Great Place To Work! Filled with really smart people.
","Still a lil bureaucratic. Poor performers are not flagged adequately
Advice to Management
Be more open to ideas and change.
Helpfu","Be more open to ideas and change.
Helpfu",5.0,3.0,5.0,5.0,5.0,2.0,Recommends,Positive Outlook,Disapproves of CEO
Thu Feb 04 2021, Senior Hardware Engineer,"Portland, OR",Current Employee ,Great company,0,"Interest , Work-life balance, People , Career opportunities
","Compensation is low
High management performance
Moving to slow
Helpfu",,5.0,5.0,4.0,5.0,5.0,3.0,Recommends,Positive Outlook,Disapproves of CEO
Wed Feb 03 2021, Senior Technical Writer,"Portland, OR",Current Employee ,Great place to work!,0,"Great work culture with emphasis on diversity and inclusion
","Products are highly technical, so it's not for everyone
Advice to Management
The new CEO is going to be great for Intel.
Helpfu","The new CEO is going to be great for Intel.
Helpfu",5.0,4.0,4.0,5.0,4.0,5.0,Recommends,Positive Outlook,
Wed Feb 03 2021, SoC Validation Engineer,,Current Employee ,A great place to work if you are in the right org,0,"Good learning opportunities if you seek them. Most senior engineers are always willing to help
","Work life balance 
Not the best work laptops
Helpfu",,5.0,4.0,5.0,5.0,5.0,4.0,Recommends,Neutral Outlook,Approves of CEO
Tue Feb 02 2021, Software Engineer,"Eugene, OR",Current Employee ,Best Company Ever!,0,"- strategy is solid and future is bright
","Nothing to write home about, so far.
Advice to Management
keep rocking!
Helpfu","keep rocking!
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Software Engineer,,Current Employee ,Company status,0,"Good company to work with
","No complaints so far so good.
Helpfu",,5.0,,,,,,,,
Tue Feb 02 2021, Engineering Manager,"Portland, OR",Current Employee ,Great Place to Grow,0,"People are good at managing change. There is always new challenges since we are constantly trying to get ahead. It has a lot of benefits.
","More hardware oriented. Growing into the software area but slowly.
Helpfu",,5.0,4.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 01 2021, Marketing Manager,"Austin, TX",Current Employee ,Love working here,0,"Amazing place to grow into your potential.
","Red tape and long processes.
Helpfu",,5.0,4.0,3.0,2.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 01 2021, Soc Design Engineer,,Current Employee ,Nice company to work,0,"Good co-workers and great work life balance
","I have no Cons for Intel
Helpfu",,5.0,,,,,,,,
Mon Feb 01 2021, Product Development Engineer,"Santa Clara, CA",Former Employee ,Good Company,0,"great benefits, bonuses, stock options, 401k, work/life balance
","hard to switch teams within the company
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sat Jan 30 2021, Senior Manager Software Engineering,"Parsippany, NJ",Current Employee ,Best Place to work,0,"innovative and get the stuff done
","More fun in work needed
Helpfu",,5.0,,,,,,,,
Sun Jan 31 2021, Process Engineer,"Chandler, AZ",Current Employee ,Salary expectation,0,"Great place to work. Lots of benefits
","Work can get intense depending on department
Helpfu",,5.0,3.0,5.0,5.0,5.0,5.0,,,
Sat Jan 30 2021, Senior Manager Software Engineering,"Parsippany, NJ",Current Employee ,Best Place to work,0,"innovative and get the stuff done
","More fun in work needed
Helpfu",,5.0,,,,,,,,
Sun Jan 31 2021, Process Engineer,"Chandler, AZ",Current Employee ,Salary expectation,0,"Great place to work. Lots of benefits
","Work can get intense depending on department
Helpfu",,5.0,3.0,5.0,5.0,5.0,5.0,,,
Sat Jan 30 2021, Senior Quality Engineer,"Hillsboro, OR",Current Employee ,Great,0,"Good benefit, great culture and people
","Promotions are slow, work can be too administrative
Helpfu",,5.0,5.0,4.0,5.0,5.0,4.0,Recommends,Neutral Outlook,Approves of CEO
Sat Jan 30 2021, Commodity Manager,"Hillsboro, OR",Current Employee ,Great company,0,"Supportive work environment and people
","Slow to change and pay is slow to increase
Helpfu",,5.0,,,,,,Recommends,Positive Outlook,Approves of CEO
Sat Jan 30 2021, Senior Research Scientist,"Portland, OR",Current Employee ,great pay,0,"good pay and benefits for the employees
","none that I can thin of
Helpfu",,5.0,5.0,4.0,5.0,4.0,4.0,Recommends,Neutral Outlook,Approves of CEO
Fri Jan 29 2021, SoC Component Design Engineer,"Austin, TX",Current Employee ,senior verification,0,"great place to work and learn
","not sure at this time
Helpfu",,5.0,,,,,,,,
Wed Jan 27 2021, Verification Engineer,"Folsom, CA",Former Employee ,Great Place to Work,0,"Good benefits, excellent work-life balance, wonderful to work with team, welcoming work environment.
","Lower case salary offering compared to other semiconductor companies.
Helpfu",,5.0,5.0,4.0,4.0,5.0,4.0,Recommends,,No opinion of CEO
Thu Jan 28 2021, FPGA Software Engineer,"Santa Clara, CA",Current Employee ,salary,0,"worklife balance . . . .
","things move too slow . . . . .
Helpfu",,5.0,5.0,5.0,5.0,4.0,5.0,Recommends,Positive Outlook,No opinion of CEO
Thu Jan 28 2021, Intern,"Phoenix, AZ",Current Employee ,Work/life balance which is must when you subjects to study,0,"Good work environment, flexible hours, multiple projects
","Sometimes you need to wait for a day or two to get your work reviewed
Helpfu",,5.0,5.0,5.0,5.0,5.0,3.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 28 2021, Software Engineer,"Hillsboro, OR",Current Employee ,Nice relaxed place to work,0,"Very good salary in OR
Nice 401k and timeoff benifits for employees
","Low stock options during Annual Evaluation
Advice to Management
Listen to enginners who are expert in the domain before making big decisions
Helpfu","Listen to enginners who are expert in the domain before making big decisions
Helpfu",5.0,4.0,4.0,4.0,3.0,5.0,Recommends,Neutral Outlook,Approves of CEO
Wed Jan 27 2021, Process Engineer,,Current Employee ,Best in the business,0,"Best minds. Best management, exciting work
","Pay can be better, growth oppurtunities within the company needs to be expanded
Helpfu",,5.0,,,,,,,,
Sat Jan 23 2021, Engineering Technician,"Chandler, AZ",Current Employee ,Takes care of their employees,1,"Great healthcare options 
Great 401K
Good people to work with 
Sabbaticals 
Alternative start times
","Parking
Getting around campus
Cafe food is not great
Helpful (1",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Neutral Outlook,No opinion of CEO
Tue Jan 26 2021, CAD Engineer,"Santa Clara, CA",Former Employee ,Great company for women,0,"Great company, smart engineers, flexible
","none none none none none
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,
Tue Jan 26 2021,Anonymous,,Current Employee ,Great company & benefits,0,"Amazing benefits, good company to work for. Caring managers.
","Slow decision making due to company size.
Helpfu",,5.0,3.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,
Mon Jan 25 2021, Senior Software Engineer,,Current Employee ,Very good,0,"The projects are long and stable
","The cafe is just right
Helpfu",,5.0,,,,,,Recommends,,
Mon Jan 25 2021, Senior Software Engineer,,Current Employee ,Good company,0,"Work life balance is good
","Compensation and exposure to new technologies
Helpfu",,5.0,5.0,,,,,,,
Mon Jan 25 2021, Process Engineer,"Hillsboro, OR",Current Employee ,Great Place to work,0,"great learning opportunity and projects
","Can get very hectic at times
Helpfu",,5.0,3.0,4.0,5.0,5.0,5.0,,,
Sun Jan 24 2021, Process Engineer,,Current Employee ,Nice company,0,"Nice company to work for.
","I have not found any.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Jan 24 2021, Strategic Business Manager,"Hillsboro, OR",Former Employee ,Flat organization culture,0,"High growth, changeable business definition mean opportunity to lead new initiatives.
","There can be pockets of turf building.
Advice to Management
Intel under Pat Gelsinger is going to be a great environment. Interview your prospective manager and their prospective manager. Go with the best opportunity for innovation,
Helpfu","Intel under Pat Gelsinger is going to be a great environment. Interview your prospective manager and their prospective manager. Go with the best opportunity for innovation,
Helpfu",5.0,4.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Sun Feb 07 2021, Manufacturing Technician,"Hillsboro, OR",Current Employee ,Great Company,0,"Good benefit and overall compensation
","Big company with big politics
Helpfu",,4.0,3.0,4.0,5.0,5.0,4.0,Recommends,Positive Outlook,Disapproves of CEO
Sun Jan 24 2021, Process Engineer,,Current Employee ,Nice company,0,"Nice company to work for.
","I have not found any.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Jan 24 2021, Strategic Business Manager,"Hillsboro, OR",Former Employee ,Flat organization culture,0,"High growth, changeable business definition mean opportunity to lead new initiatives.
","There can be pockets of turf building.
Advice to Management
Intel under Pat Gelsinger is going to be a great environment. Interview your prospective manager and their prospective manager. Go with the best opportunity for innovation,
Helpfu","Intel under Pat Gelsinger is going to be a great environment. Interview your prospective manager and their prospective manager. Go with the best opportunity for innovation,
Helpfu",5.0,4.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,No opinion of CEO
