date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Wed Jan 13 2021, Sales Representative,,Current Employee ,Great Place to Work and Grow,0,"Pay, Advancement, Opportunity and Make your own schedule
","Work-Life Balance, sometimes difficult to get internal plants on board for sales.
Helpfu",,5.0,3.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Operations Manager,"Munster, IN",Current Employee ,great place,0,"everthing is good no complaints
","none to complain about yet lol
Helpfu",,5.0,4.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Hourly Production Worker,"Savannah, GA",Current Employee ,Great Pay,0,"Great pay and great schedule
","Seniority can be a bit discouraging
Helpfu",,4.0,3.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 01 2021, Area Manager,,Current Employee ,Good Stable Job,0,"Stable Job that provides well
","Possibility of Long Hours during outages
Helpfu",,4.0,,,,,,,,
Sat Jan 30 2021, Production,"Columbus, GA",Former Employee ,Great place to work,0,"Careing company for all employees
","Long hours 12 hrs shifts for all
Helpfu",,5.0,,,,,,,,
Wed Jan 27 2021, Machine Operator,"Shakopee, MN",Current Employee ,Hands on experience,0,"Great company with friendly people. Great benefits. Understanding supervisors. Plenty of hours.
","Might sound redundant, but to much more overtime. In the last 6 months, I’ve had maybe 4 weekends off. Mandatory overtime, meaning, if someone calls in from the shift after yours, you’re forced to work a 12hr day with no heads up besides from the time you arrived.
Helpfu",,5.0,2.0,5.0,5.0,5.0,5.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Tue Jan 26 2021, Manufacturing Excellence Manager,"Shreveport, LA",Current Employee ,Stable Company,0,"Pay and benefits traditionally good; variety of technical engineering process; opportunities to promote
","Commodity business; shortsighted upper management not investing in assets; value new hire college graduates, but undervalues mid career experienced employees; too much buying and selling of businesses; poor execution of large capital projects recently; large overhead waste
Advice to Management
Commit to a company culture and develop a longer attention span
Helpfu","Commit to a company culture and develop a longer attention span
Helpfu",4.0,3.0,2.0,3.0,4.0,4.0,Doesn't Recommend,Positive Outlook,Disapproves of CEO
Tue Feb 09 2021, Machine Operator,"New Bern, NC",Current Employee ,Overall good job,0,"Good pay with great benefits
","Too many hours and with family life
Advice to Management
Watch your back
Helpfu","Watch your back
Helpfu",3.0,1.0,3.0,3.0,3.0,3.0,Doesn't Recommend,Neutral Outlook,Disapproves of CEO
Mon Jan 25 2021, Production Scheduler,,Current Employee ,Great place to work,0,"Flexible hours, Pay is competitive
","Can be stressful during busy season
Helpfu",,5.0,4.0,5.0,5.0,5.0,4.0,,,
Fri Jan 22 2021, Operations Maintenance Coordinator,"Valliant, OK",Current Employee ,Good place to work short term.,0,"Fast pace environment. Competitive Compensation. Strong Emphasis on Safety.
","Union Environment. Heavy Corporate Presence. Poor Work/Life Balance.
Helpfu",,5.0,2.0,4.0,2.0,4.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Fri Feb 05 2021, Customer Service Representative,"Indianapolis, IN",Current Employee ,All in all a decent job,0,"Great pay for area, good benefits, M-F daytime hours.
","constant priority switches and poor roll out of new directives
Advice to Management
nothing
Helpfu","nothing
Helpfu",3.0,5.0,5.0,5.0,3.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Senior Human Resources Generalist,"Memphis, TN",Former Employee ,Travelled alot,0,"Strong sense of safety . A lot of emphasis on employee engagement
","I travelled too much. Out of town three weeks out of the month
Helpfu",,3.0,4.0,4.0,4.0,2.0,3.0,,,
Thu Jan 21 2021, IT Business Analyst,,Former Employee ,"Great environment, several opportunities for growth",0,"IT is pretty much the best department to be in, managers care for your growth and well being. IT has a great environment, not stressful and is also very flexible. CORE program for entry level employees is great, enables employee to become well rounded. I would avoid going to the finance department, constant lay off's, several managers in certain departments specialize in micro-management.
","Finance department is by far the worst to work in.
IT might need some more technology, however there are many pilot programs that are improving the tech aspect of the job.
Helpfu",,4.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Helper,N/A,Former Employee ,Alright,0,"Pay and job security as well
","Long hours seven days a week
Helpfu",,3.0,,,,,,,,
Wed Jan 20 2021, E,"Memphis, TN",Current Employee ,Great Company,0,"Employees are valued in the entire company
","Takes time to change policies
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Jan 20 2021, Process Engineer,"Orange, TX",Current Employee ,Fast pace manufacturing environment,0,"Lots of learning opportunities in an industrial setting. Structured program for new engineers.
","Days can be very long.
Helpfu",,4.0,,,,,,Positive Outlook,,
Wed Feb 03 2021, Supervisor,,Current Employee ,Difficult for supervisors,0,"Market competitive pay and benefits
","Extreme responsibility for front line supervisors
Helpfu",,3.0,,,,,,,,
Wed Feb 03 2021, Manager,"Memphis, TN",Current Employee ,Great safe company - Long time industry leader,0,"Smart people. Great and above market pay.
","Conservative leadership. Typical big corporation problems. Hand cuffed to Wall Street and no purpose
Advice to Management
Reconnect with the people. Your people. Corporate and the field.
Helpfu","Reconnect with the people. Your people. Corporate and the field.
Helpfu",3.0,3.0,3.0,2.0,4.0,5.0,Recommends,Positive Outlook,No opinion of CEO
Sun Jan 17 2021,Anonymous,,Current Employee ,IP Review,0,"Great Salary, Great Benefits, Good Work Life Balance
","Poor Political Views, Poor Diversity & Inclusion Efforts
Helpfu",,4.0,4.0,2.0,1.0,4.0,5.0,Recommends,Positive Outlook,No opinion of CEO
Sun Jan 17 2021, Financial Analyst II,"Memphis, TN",Current Employee ,Great place to start career,0,"Great beginner experience for college new hires
Wonderful Finance FORUM program to acclimate to new city, company, and career
","Little room to grow unless connected. Low development past entry level
Helpfu",,4.0,3.0,2.0,1.0,3.0,3.0,Recommends,Positive Outlook,No opinion of CEO
Sat Jan 30 2021, Administrative Assistant,"Allentown, PA",Former Employee ,Good job,0,"Time off with good pay
","No pay increase after five years
Helpfu",,3.0,2.0,2.0,2.0,3.0,2.0,Recommends,Neutral Outlook,No opinion of CEO
Thu Jan 14 2021, Operations Maintenance Coordinator,"Pine Hill, AL",Current Employee ,Great company to work for,0,"Good team engagement and effective leadership. The pay, 401k and benefits are great. There are many of opportunities to move within the company. They also offer multiple trainings a year and opportunities for further development.
","Weekly hours range anywhere from 50-60 on average but can get as high as 70 some weeks.
Helpfu",,5.0,,,,,,,,
Thu Jan 14 2021, Amazon Warehouse Worker,"Amarillo, TX",Current Employee ,Good job,0,"Great pay hourly and management pretty cool
","Long hours switch shifts every now and then
Advice to Management
Keep up the good work
Helpfu","Keep up the good work
Helpfu",4.0,4.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 14 2021, Engineer,,Current Employee ,Good Company to Work For,0,"Benefits are good, pay is fairly good depending on the position, company is overall good to work for.
","Depending on the location you could either love your job or absolutely hate it. Some locations are treated significantly better than others. They don't treat all employees with respect at the mill I'm located at. Very small town mentality, some managers are stuck in the ""women should stay home"" mentality. Get good intel on the location prior to working here.
Helpfu",,4.0,3.0,3.0,3.0,4.0,4.0,Positive Outlook,,Approves of CEO
Thu Jan 14 2021, Buyer,,Current Employee ,Comparatively the best in-class work environment and compensation,0,"This review ONLY applies to the fiber-side of procurement (both in Virgin and Recovered Fiber sectors of the industry):

-Excellent compensation (in the fiber procurement sector) EXCLUDING health insurance 
-They make reasonable accommodations (i.e. work from home) 
-Highly professional culture - low occurrence of low-class/ inappropriate behavior
","-Is overly politicized and fairly easy to commit career suicide - sometimes without even realizing you did! You need to have tact & be familiar with the skills associated with the ""dog & pony show"". A silver tongue w/ a can-do and positive attitude are required for most people to advance to certain levels in the company. Just being good at your job is not in itself enough to soar with this company - you have to develop your soft skills although there have been a few old-school hold-outs that made it pretty far up in the ranks prior to the progressive HR agenda being implemented. Just like ANY OTHER BIG CORPORATION, there are unspoken social rules that are unethical & hypocritical (double-standard) that one must play by in order to advance IN CERTAIN AREAS of the company. Not all areas require these unspoken soft skills to advance consistently. 
-Health Insurance benefits are scant while premiums are high (this may not be a criticism of the company benefits as much as it is a criticism of the current health insurance and medical regulatory environment. Packages are largely unchanged from when I started back in 2012 - but what did change was the premiums doubled between 2012 - 2018 for family while the coverage remained stagnant. Obamacare is to blame for the premiums while IP is to blame for not adapting and remaining competitive by carrying the weight of the premiums - further premium hikes now get passed to the employee. 
-Match pay on 401K is marginal - average is around $.60 on the dollar for the first 8% (it isn't terrible but I've seen considerably better)
Advice to Management
One area of IP that has gotten verifiably worse across the board in recent years is that employees have a low confidence in their ability to be forthright without facing retaliation consequences - such as what I meant by ""career suicide"". We walk on egg shells around certain management levels because those management levels do not exercise criticism about the company in front of us and the atmosphere is one where we do not believe we can be honest, even if the truth is critical to company performance. If you want us to feel comfortable being honest and if you want constructive criticism, you have to kill the ever-growing agenda of political correctness and you need to demonstrate constructive criticism & transparency in front of your team (if you expect us to be transparent).
Helpfu","One area of IP that has gotten verifiably worse across the board in recent years is that employees have a low confidence in their ability to be forthright without facing retaliation consequences - such as what I meant by ""career suicide"". We walk on egg shells around certain management levels because those management levels do not exercise criticism about the company in front of us and the atmosphere is one where we do not believe we can be honest, even if the truth is critical to company performance. If you want us to feel comfortable being honest and if you want constructive criticism, you have to kill the ever-growing agenda of political correctness and you need to demonstrate constructive criticism & transparency in front of your team (if you expect us to be transparent).
Helpfu",4.0,4.0,4.0,2.0,4.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Tue Jan 12 2021, Flexographic Plateroom Technician,"Cerritos, CA",Current Employee ,Stable pay with decent benefits,0,"Decent benefits with plenty of overtime pay.
","Corporate slow to make important changes to improve production.
Helpfu",,4.0,3.0,2.0,4.0,3.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Tue Jan 12 2021, Manager,"Chicago, IL",Former Employee ,A great company,0,"a great company that cares about people
","conservative and slow in change
Helpfu",,4.0,,,,,,,,
Mon Jan 11 2021,Anonymous,,Current Employee ,Conservative Company,0,,"rvative Company""
4.0
★★★★★
Current Employee - Anonymous Employee 
Recommends
Neutral Outlook
No opinion of CEO
I have been working at International Paper full-time for more than 5 years
Pros
Steady company
Good benefits
Great people to work with
Cons
Too conservative
Short Term Focused
Not very innovative
Advice to Management
Invest in your people and capital projects rather than managing to Wall Street expectations. The stock has gone nowhere in 5 years so the status quo isn’t working.
Helpfu","Invest in your people and capital projects rather than managing to Wall Street expectations. The stock has gone nowhere in 5 years so the status quo isn’t working.
Helpfu",4.0,4.0,4.0,3.0,4.0,3.0,Recommends,Neutral Outlook,No opinion of CEO
Mon Jan 25 2021, Fork Lift Operator,"Tampa, FL",Current Employee ,"Do not make this job a career , it is very mentally as much as physically draining.",0,"Compensation , Overtime , Compensation , Overtime , and Compensation - thats it.
","Too much of a workload for one person, Draining , poor management, heavy micromanagement , no work -life balance , if someone else is out on another shift you have to work their 12 hour shift.
Advice to Management
They treat new comers with little respect and make their work load heavier than the guys with seniority. My advice is use this job as a spring board into something else you want to do in life , not a career.
Helpfu","They treat new comers with little respect and make their work load heavier than the guys with seniority. My advice is use this job as a spring board into something else you want to do in life , not a career.
Helpfu",2.0,1.0,2.0,3.0,3.0,4.0,Doesn't Recommend,Negative Outlook,No opinion of CEO
Mon Jan 25 2021, Hourly Production Worker,"Pensacola, FL",Current Employee ,No advancement,0,"There is a good work life balance on the current shift schedule
","There is no room or support for advancement. If you do not have a degree you are overlooked. There is no diversity. The refuse to hire people of color.
Helpfu",,2.0,5.0,1.0,1.0,1.0,2.0,Recommends,Neutral Outlook,Disapproves of CEO
Sat Jan 09 2021, Environmental Engineer,"Vicksburg, MS",Current Employee ,Strong Company,0,"Plenty of learning opportunities, large company that has many resources and support staff so you're never on your own dealing with problems, reasonably competitive salary, the company works well across sites so there is ample opportunity for growth and upward or lateral movements, excellent college graduate orientation program
","Old company comes with outdated ideology. Expect long work hours with poor work life balance.
Helpfu",,4.0,1.0,3.0,4.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Jan 19 2021, Senior Financial Analyst,"Montgomery, AL",Current Employee ,Pretty Good,0,"Pays well compared to others
","Work life balance is lacking
Helpfu",,3.0,,,,,,,,
Tue Jan 05 2021, Sales Representative,"Minneapolis, MN",Current Employee ,Great Company,0,"Great company and work life balance, competitive pay and time off
","Could start with more time off and just okay insurance
Helpfu",,5.0,,,,,,,,
Wed Dec 30 2020, Team Lead,"Memphis, TN",Current Employee ,Great Company,2,"1. Pay well
2. Drive to be the best
3. Good moral compass
","1. To much focus on CORE ""Collegiate Onboarding & Rotational Experiencer"" for college recruits. 
2. Seasoned employees are being over looked while hiring managers are being strongly encouraged to promote CORE employees.
3. Despite a good moral compass; nepotism is still strong in senior management
Advice to Management
CEO and VPs are over paid
Helpful (2","CEO and VPs are over paid
",4.0,4.0,4.0,4.0,3.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sat Jan 02 2021, Prepress Technician,"Tucker, GA",Current Employee ,Great,0,"Great benefits, chill work environment.
","Long hours & unexpected down time.
Helpfu",,5.0,,,,,,,,
Fri Jan 01 2021, Process Improvement Manager,"Chicago, IL",Current Employee ,PIM,0,"good benefits, lots of opportunities for career growth
","long hours. lack of diversity in management.
Helpfu",,4.0,2.0,5.0,4.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 14 2021, Account Manager,"Phoenix, AZ",Former Employee ,Good Benefits,0,"The medical insurance is good.
","Their middle management is terrible.
Advice to Management
Senior management should check into what your underling management is doing.
Helpfu","Senior management should check into what your underling management is doing.
Helpfu",3.0,3.0,3.0,3.0,3.0,4.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Mon Dec 28 2020, Manager,"Los Angeles, CA",Current Employee ,Good Company to work for,0,"Good benefits; 401k matching; Leader insight for betting on the future of corrugated.
","Upper Management refusing to release you for promotion.
Helpfu",,5.0,2.0,4.0,5.0,3.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Jan 11 2021, Front Line Leader,"Pine Hill, AL",Current Employee ,Good Company,0,"Good pay
Annual raise
3 Weeks vacation after one year
","Poor work life balance
Expensive health insurance
Helpfu",,3.0,2.0,4.0,4.0,4.0,3.0,Recommends,Positive Outlook,Approves of CEO
Sun Dec 27 2020, Human Resources Intern,,Current Employee ,Good place to work,0,"Hands on experience, awesome management
","There really aren’t downsides to IP
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Dec 27 2020, Manufacturing Engineer,"Macon, GA",Current Employee ,Large COmpany,0,"International Paper is a Large Company
","The benefits could be better
Helpfu",,4.0,,,,,,,,
Sat Jan 09 2021, Temporary Employee,"Minneapolis, MN",Former Employee ,Meh,0,"The pay was ok. And they cared about our physical health, at least.
","Management didn't care for temporary workers on the production line. Threw poor hours and 12-hour shifts our way.
Helpfu",,2.0,1.0,1.0,1.0,1.0,3.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Fri Jan 08 2021, Human Resources Specialist,"Modesto, CA",Former Employee ,Good starting point,0,"Lots of autonomy and resources online from the main database.
","Not helpful when looking for a place to grow, doesn't foster community and has issues with supporting supervisors.
Advice to Management
Invest in your people. Frontline leaders should have more checkins to ensure they are hitting their metrics and should be better trained to achieve those goals.
Helpfu","Invest in your people. Frontline leaders should have more checkins to ensure they are hitting their metrics and should be better trained to achieve those goals.
Helpfu",2.0,5.0,3.0,2.0,2.0,3.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Tue Jan 26 2021, Manufacturing,"Lewisville, NC",Former Employee ,Treat people like crap and work 12hrs 6days a week sometimes.,0,"Pay and benefits are good.
","Treat you like crap. Work lots of 12hrs and 6days
Advice to Management
Treat people better.
Helpfu","Treat people better.
Helpfu",1.0,1.0,1.0,2.0,2.0,4.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Sat Dec 19 2020, Machine Operator,"Montgomery, IL",Current Employee ,"Good job, management ehh.",0,"Good work environment, good shift leads, employees get along well and Pay is good.
","Supervisors need to do more supervising, plant use to be in better supervision 5 years ago 2 new replacement supervisors are good . One just needs some classes
Advice to Management
Would be a good idea to respect your employees and talk to them respectfully and not aggressive . Pay more attention to other employees& ones in training .
Helpfu","Would be a good idea to respect your employees and talk to them respectfully and not aggressive . Pay more attention to other employees& ones in training .
Helpfu",4.0,3.0,4.0,4.0,3.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 22 2021, Machine Operator,,Current Employee ,Horrible,0,"Good pay and that’s about it
","Tons of mandatory overtime and no sick or personal days
Advice to Management
Replace all management
Helpfu","Replace all management
Helpfu",1.0,,,,,,,,
Tue Jan 19 2021, Multicraft Maintenance Technician,"Petersburg, VA",Former Employee ,"good on resume, good money, terrible work/life, terrible management",0,"the money is good for lack of home life
","I was the lone electrician, 85+ hours a week for 4 months and they fired me 5 days before Xmas 2018 for points for being late. All instances were of less than 2 minutes each time
Advice to Management
if you expect peoples lives to be flexible, and to such extremes, the black and white of the point system needs to follow that same thought pattern.
Helpfu","if you expect peoples lives to be flexible, and to such extremes, the black and white of the point system needs to follow that same thought pattern.
Helpfu",1.0,1.0,1.0,4.0,1.0,4.0,Doesn't Recommend,Negative Outlook,No opinion of CEO
Mon Dec 14 2020, Operations Manager,"Valliant, OK",Current Employee ,Home away from home,0,"Great pay good people fast pace work
","Intense pressure to perform always
Helpfu",,5.0,1.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Dec 28 2020, Production Technician,"Columbus, MS",Current Employee ,Poor management,1,"Pay, overtime if you want.
","Management, they act like they care about you but don't. You're easily replaceable. Buddy system
Advice to Management
Be more fair. Accountability needs improvement.
Helpful (1","Be more fair. Accountability needs improvement.
",2.0,3.0,1.0,1.0,4.0,4.0,Recommends,Neutral Outlook,Disapproves of CEO
Sat Dec 26 2020, Production,,Current Employee ,Lots to learn,0,"Good pay with lots of overtime
","Work life balance needs to be more balanced
Helpfu",,3.0,1.0,3.0,4.0,4.0,4.0,,,
Thu Dec 10 2020, Human Resources,"Columbus, OH",Former Employee ,Loved the work culture,0,"I loved the pay and the people I worked with
","I truly do not have any
Helpfu",,5.0,,,,,,,,
Wed Dec 09 2020, Reliability Engineer,"Valliant, OK",Former Employee ,Nice place to work!,0,"-very diverse machinery
-get responsibilities from the get-go 
-competitive pay
-lots of training opportunities
-nice folks to work with overall
","-opportunities to move up are offered mostly to the locals (understandable, but that makes others leave)
-politics can get rather lengthy
Advice to Management
Management does quite a good job overall. But it helps sometimes to give the outsiders more senior roles.
Helpfu","Management does quite a good job overall. But it helps sometimes to give the outsiders more senior roles.
Helpfu",4.0,3.0,4.0,2.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Dec 08 2020, Administrative Coordinator,"Columbus, GA",Former Employee ,Great Company,0,"Training available for new task assigned.
","Some of Management, not easy to work with
Helpfu",,4.0,,,,,,,,
Tue Dec 08 2020, Customer Service Representative,,Current Employee ,Great Company!,0,"Great company atmosphere, good salary, nice co-workers, good opportunities to learn more about your profession.
","Little opportunity for advancement depending on what part of IP you work, training program could be improved, morale needs improvement.
Helpfu",,4.0,3.0,4.0,2.0,3.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Tue Dec 08 2020, Instrument Technician,"Ticonderoga, NY",Current Employee ,Good Job,0,"Good pay, good location, good co-workers
","Funky hours at times of upset
Helpfu",,4.0,3.0,4.0,3.0,5.0,3.0,Recommends,Negative Outlook,Approves of CEO
Mon Dec 07 2020, IT Specialist,"Memphis, TN",Current Employee ,Awesome place to be,0,"Care packages, manager placement, safety
","lacks young innovators, uses old software IE
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Dec 06 2020, Utility,,Current Employee ,Great employer,0,"Safety, safety, and safety. Great work culture and pay.
","Like any mill, it will have ups and downs.
Helpfu",,5.0,3.0,5.0,5.0,4.0,,Recommends,Positive Outlook,
Sat Dec 05 2020, I&amp;E Technician,,Current Employee ,This wasn't a bad opportunity,0,"You're about to advance , learn and train.
","Management isn't always the best.
Advice to Management
Needs better people skills when talking to people
Helpfu","Needs better people skills when talking to people
Helpfu",4.0,4.0,5.0,3.0,5.0,5.0,Recommends,Neutral Outlook,No opinion of CEO
Thu Nov 26 2020,Anonymous,,Current Employee ,Troubleshooting,0,"Strong company lots of business
","A little too much overtime
Advice to Management
To many bosses
Helpfu","To many bosses
Helpfu",4.0,3.0,4.0,5.0,5.0,4.0,Recommends,Positive Outlook,
Wed Dec 09 2020, Customer Service Representative,"Charlotte, NC",Current Employee ,Interesting,0,"It is a well established company.
","Home work life balance is not good.
Advice to Management
Build trust equity in your employee's
Helpfu","Build trust equity in your employee's
Helpfu",3.0,3.0,1.0,2.0,2.0,3.0,Doesn't Recommend,Positive Outlook,No opinion of CEO
Tue Nov 24 2020, Journeyman Millwright,"Selma, AL",Current Employee ,IP Selma,0,"Good place to work and learn for good pay
","Not very organized sometimes. Its like the first time they’ve ever encountered every situation. And do not hire people in time to be properly trained by the ones that they are replacing because of retirement.
Helpfu",,4.0,2.0,4.0,4.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Nov 19 2020, Process Lead,"Memphis, TN",Current Employee ,Solid first job out of college,0,"Pays well, stable company, opportunities for advancement
","sometimes seen as man's workplace. very corporate.
Helpfu",,4.0,3.0,4.0,3.0,4.0,4.0,Recommends,Neutral Outlook,Approves of CEO
Tue Dec 01 2020, Warehouse Associate,"Charlotte, NC",Former Employee ,Not steady work,0,"Easy job and laid back environment
","Not enough product available to keep you working steady
Helpfu",,2.0,,,,,,,,
Tue Dec 01 2020, IT Business Specialist,"Memphis, TN",Current Employee ,Hired me with H1B sponsorship assurance and then denied when asked to file,0,"employees are helpful, Good number of holidays.
","HR team is not supportive at all. Lay back attitude at work
Advice to Management
Hire some intelligent people instead of experienced.
Helpfu","Hire some intelligent people instead of experienced.
Helpfu",2.0,4.0,2.0,3.0,3.0,3.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Wed Nov 25 2020, Converting Supervisor,"Tracy, CA",Former Employee ,Poor Management,1,"Pay scale is at a good level.
","High cost for benefits & high deductible, lack of integrity by Management team, and poor treatment of hourly employees. Supervisors walking on eggs.....
Advice to Management
Integrity and treating people with respect are lacking, and are the key to turning the plant around.
Helpful (1","Integrity and treating people with respect are lacking, and are the key to turning the plant around.
",2.0,2.0,1.0,1.0,2.0,2.0,Doesn't Recommend,Negative Outlook,Approves of CEO
Tue Nov 24 2020, National Account Manager,"Chicago, IL",Former Employee ,Good place to work.,0,"Sales reps can make good income.
","Position required a lot of travel.
Helpfu",,3.0,3.0,3.0,3.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Fri Nov 06 2020, Operator,"Bowling Green, KY",Former Employee ,Good job!,0,"The pay was great and the people I worked with made it a good experience.
","The hours were rough as it's a 12 hour shift but overall not many negatives about the place.
Helpfu",,4.0,3.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Fri Nov 20 2020, Technician,"Eastover, SC",Current Employee ,Good benefits,0,"Great benefits and will be a steady job for anyone
","You have to be able to take criticism with no rewards
Helpfu",,3.0,5.0,2.0,1.0,3.0,5.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Thu Nov 05 2020, Shift Supervisor,"Greenville, NC",Current Employee ,Good place to work,0,"Competitive pay, good management, great people to work with
","Not many opportunities to advance and limited people planning
Helpfu",,5.0,2.0,5.0,4.0,3.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Dec 10 2020, Double Backer Operator,"Griffin, GA",Current Employee ,Crap company,0,"Competitive starting pay for when you start out
","The company doesn't care about the workers, outs a freeze on hiring so you'll work x amount of days straight with no off day
Helpfu",,1.0,1.0,1.0,1.0,3.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Thu Nov 05 2020, PIM,"Tampa, FL",Former Employee ,good company,0,"good integrity, culture opportunities to growth
","no enough support, plants are very lean having to wear to many hats at times.
Helpfu",,4.0,4.0,5.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Wed Nov 04 2020, Global Supply Chain Associate,"Memphis, TN",Current Employee ,Fine,0,"Fine company to work for
","Conservative and slow moving change
Helpfu",,4.0,3.0,3.0,4.0,2.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Nov 03 2020, Machine Operator,"Ora, TX",Current Employee ,Nice place to work,0,"Pay and health insurance is great
","Lot's of overtime and shift work
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Oct 27 2020, Process Engineer,,Former Employee ,Process Engineer,0,"Get learning opportunity for career building.
","Work life balance is a learning curve.
Helpfu",,5.0,4.0,4.0,4.0,4.0,4.0,,,
Wed Dec 02 2020,Anonymous,,Former Employee ,Horrible employer,0,"Good overall culture, opportunities outside of US
","Unethical, Horrible management, discriminatory behaviour
Helpfu",,1.0,1.0,4.0,1.0,1.0,3.0,Doesn't Recommend,Negative Outlook,Approves of CEO
Tue Oct 27 2020, Warehouse Manager,"Houston, TX",Current Employee ,Hard work,0,"Freedom to work independently time
","Working in the outdoor elements
Helpfu",,4.0,2.0,3.0,3.0,4.0,4.0,Recommends,Neutral Outlook,No opinion of CEO
Tue Nov 10 2020, Instrument Technician,"Myrtle Beach, SC",Current Employee ,Great,0,"Great people and community. New schedule offers great flexibility.
","Too many egos and too many micromanagement. Its like a parent and child relationship between salary and hourly.
Helpfu",,3.0,,,,,,,,
Mon Oct 26 2020, Intern,"Eastover, SC",Former Employee ,Purchasing Intern,0,"Good hands on training for me
","Limited to office work mostly
Helpfu",,5.0,,,,,,,,
Tue Nov 10 2020, Production Worker,,Current Employee ,Work,0,"benefits, pay, coworkers, dress code
","understaffed, no weekends off, exhausting
Helpfu",,2.0,1.0,2.0,4.0,2.0,4.0,Recommends,Neutral Outlook,No opinion of CEO
