date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Sat Jan 23 2021, Teller,"New York, NY",Former Employee ,Management,0,"Pay, flexible hours, open communication
","Be prepared to be micromanaged
Helpfu",,5.0,,,,,,,,
Sat Jan 23 2021, Employee Engagement,"Jersey City, NJ",Former Employee ,Same story every year,12,"Brilliant people are working there
","The annual salary increases/bonuses are a joke. Even when it’s an “up” year for the firm, employees got the same story that the bonus pools were smaller and it was a tough year - never expect a major bump in salary or bonus - even on promotion years.
Advice to Management
You pay more to hire external people instead of rewarding those who have remained loyal to the firm and who have longevity.
Helpful (12","You pay more to hire external people instead of rewarding those who have remained loyal to the firm and who have longevity.
",4.0,3.0,3.0,3.0,4.0,3.0,Recommends,Neutral Outlook,Approves of CEO
Sun Feb 07 2021, Equity Research Analyst,"New York, NY",Current Employee ,Best firm on Wall Street for sure,0,"Good culture and team management. Lots of challenges and room to grow.
","None. I would say don't complain about hours if this is the kind of job you choose.
Helpfu",,5.0,,,,,,,,
Sun Feb 07 2021, Personal Banker,,Current Employee ,not bad,0,"great benefits
401k
paid vacation
paid sick days
paid personal days
","takes too long to move up
micro management
not a great salary
part time
less resources
Helpfu",,4.0,3.0,5.0,5.0,4.0,5.0,,,
Sat Feb 06 2021, Analyst,"New York, NY",Former Employee ,Run of the mill banking role,0,"Lots of learning, exposure to interesting deals
","Uninspiring culture, everybody quits after a year
Helpfu",,5.0,,,,,,,,
Tue Feb 02 2021, Associate,,Current Employee ,Solid Company,1,"Broad opportunities across the globe.
","Internal increases are not significant
Helpful (1",,5.0,3.0,5.0,3.0,3.0,4.0,Recommends,Positive Outlook,
Sat Feb 06 2021, Private Bank Analyst,"Nashville, TN",Current Employee ,Good place to learn,0,"Good place to learn and competitive comp
","Do not have any at this time
Helpfu",,4.0,2.0,3.0,5.0,4.0,5.0,,,
Sat Feb 06 2021, Associate,"New York, NY",Former Employee ,solid company,0,"smart people and interesting work
","there is a lot of bureacracy
Advice to Management
keep up the good work
Helpfu","keep up the good work
Helpfu",4.0,2.0,3.0,3.0,4.0,3.0,Recommends,Positive Outlook,
Fri Feb 05 2021, Researcher,"New York, NY",Current Employee ,A solid employer,0,"Work is interesting. A lot of opportunities for learning.
","Sometimes change is slow. It is a big company.
Advice to Management
Not a good idea to call us back to the office during covid. You could have waited couple months, we did well while working from home. So you took a risk (with our health), for what return ? All else is good.
Helpfu","Not a good idea to call us back to the office during covid. You could have waited couple months, we did well while working from home. So you took a risk (with our health), for what return ? All else is good.
Helpfu",5.0,5.0,5.0,5.0,4.0,5.0,Recommends,Neutral Outlook,Approves of CEO
Fri Feb 05 2021, Associate Banker,"Phoenix, AZ",Current Employee ,great company,0,"very accommodating
great pay and hours
lots of benefits
","don't always get the branch closest to you even when requested.
Advice to Management
Thank you for working well with your team.
Helpfu","Thank you for working well with your team.
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
