date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Mon Jan 11 2021, Manufacturing Associate,"Georgetown, KY",Current Employee ,Overall good place to work.,1,"easy work, friendly people, and managers are very professional.
","Long hours, Tendency to work overtime with no real way of knowing how long it will last. The hours when overtime is going on is 4 a.m. to 2:30 p.m., which is not good hours for some people.
Helpful (1",,5.0,,,,,,Recommends,Positive Outlook,Approves of CEO
Wed Feb 10 2021, Senior Business Unit Manager,"Saint Petersburg Beach, FL",Current Employee ,Great Opportunities,0,"Lots of opportunities to grow career
","24/7 job, high stress, long hours
Helpfu",,4.0,3.0,4.0,2.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021, Physician,,Current Employee ,good,0,"temporary positions.. .... ... .... ..
","good salary .. ... ... .... ....
Helpfu",,5.0,,,,,,,,
Mon Feb 08 2021,Anonymous,,Current Employee ,J,0,"Great work environment 
Fast paced
Great supervisors
","No cons no cons no cons no cons no cons
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,,
Tue Feb 09 2021, Quality Manager,"Tampa, FL",Former Employee ,Great,0,"Benefits are the best in the business
","Time off is not enough for a growing family
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Neutral Outlook,Approves of CEO
Sun Jan 31 2021, Engineer,,Former Employee ,Review the headline right here,0,"There are a number of professionals that work there
","I don't think any cons work there
Helpfu",,4.0,,,,,,,,
Sat Jan 30 2021, Senior Business Manager,"San Diego, CA",Former Employee ,Excellent,0,"Easy job, good compensation, high tec
","Politics, strategy, value prop, high cost, old equipment
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 28 2021,Anonymous,"Saint Pete, FL",Current Employee ,great culture,0,"competitive pay, great culture, good people, new and upgrading environment
","large, HQ, hard to navigate at times
Helpfu",,4.0,3.0,4.0,2.0,4.0,4.0,Recommends,Positive Outlook,
Sun Jan 24 2021, Production Machine Operator,"Horseheads, NY",Current Employee ,good company bad employees,0,"like the job i worked in vibe cleaning and polishing surgical parts for humans and animals good pay and like the overtime
","certain people I worked with they like to push blame on other people
Helpfu",,4.0,,,,,,,,
Wed Feb 03 2021, Quality Technician,"Gurnee, IL",Current Employee ,Alright,0,"work environment is clean ang getting renovated
","workload and responsibility to compensation balance
Advice to Management
MLK and presidents day should be considered payed holidays
Helpfu","MLK and presidents day should be considered payed holidays
Helpfu",2.0,3.0,1.0,1.0,2.0,1.0,Doesn't Recommend,Positive Outlook,No opinion of CEO
Mon Jan 18 2021, Director,,Former Employee ,"A great place to be exposed to many industries, customers and technology",0,"easy to move around, always a new challenge. Good support tools for learning
","a big company can make it difficult to identify the correct person to contact. It can also be difficult to feel like one is making a significant contribution
Advice to Management
Drive a small company culture within BUs, Sectors and Divisions
Helpfu","Drive a small company culture within BUs, Sectors and Divisions
Helpfu",5.0,3.0,3.0,5.0,5.0,3.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Quality Engineer,"Memphis, TN",Former Employee ,Gain Experience,0,"Lots and lots of work which will help gain you experience
","Less pay, no bonus, no employee valuation
Advice to Management
Recognize employees
Helpfu","Recognize employees
Helpfu",2.0,2.0,4.0,4.0,4.0,1.0,,,
Mon Feb 01 2021, Senior Test Engineer,"Memphis, TN",Current Employee ,NA,0,"Learn a lot, Always busy
","Do many things and do other's jobs too
Helpfu",,3.0,,,,,,,,
Thu Jan 14 2021, Inventory Control Supervisor,"Auburn Hills, MI",Former Employee ,Good company,0,"Good place to work at
","No cons at this time
Helpfu",,4.0,3.0,3.0,3.0,4.0,3.0,Recommends,Positive Outlook,
Mon Jan 11 2021, Manufacturing Engineer,"Earleville, MD",Current Employee ,Ummmm,0,"Rewarding work when in the Health Care sector
","Need more operations help. Won't replace people that leave.
Helpfu",,4.0,,,,,,,,
Mon Jan 11 2021, Program Manager,"North Charleston, SC",Current Employee ,Great benefits,0,"great benefits to include time off and health care
","more training is needed, not to much development
Helpfu",,4.0,4.0,4.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Jan 25 2021, Inventory,"Memphis, TN",Current Employee ,Good pay with bad culture,0,"Good pay. Friendly atmosphere among employees.
","Bad work/life balance. No room to improve once you make one mistake. You are labeled as a bad egg even though you have had good performance and have been loyal to the company. You will be ghosted by management for any additional opportunities even though the mistake was an outlier with minimal impact.
Advice to Management
Fight for $$ to alleviate employees being overworked and allow cross-training and time for bettering their knowledge for potential advancement.
Helpfu","Fight for $$ to alleviate employees being overworked and allow cross-training and time for bettering their knowledge for potential advancement.
Helpfu",2.0,1.0,2.0,4.0,1.0,4.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Thu Jan 07 2021, Mechanical Engineer,"San Diego, CA",Current Employee ,good company,0,"good salary and benefits, employee healthcare
","no separation pay and not good to stay for many years (unless you save money on your own)
Advice to Management
keep up the good work
Helpfu","keep up the good work
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Jan 05 2021, QC Inspector,"Saint Petersburg, FL",Former Employee ,Great place to work,0,"Overtime, benefits, coworkers, close to home
","Overtime, wages are on low side, some managers need training
Helpfu",,4.0,3.0,3.0,3.0,3.0,3.0,,,
Thu Jan 14 2021, JAG,"Clinton, MA",Former Employee ,Eh,0,"they do pay you every two weeks
","Management is a very poor team
Advice to Management
Bring in some new management
Helpfu","Bring in some new management
Helpfu",2.0,1.0,2.0,3.0,2.0,2.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Mon Jan 11 2021, Technician,"Monument, CO",Current Employee ,Site is not what it once was,0,"Benefits, several very skilled co workers,
","the site in Monument CO is struggling with low morale and high turnover
Advice to Management
Engage the Sr staff and work to build teams that encourage apprentice taking and growth
Helpfu","Engage the Sr staff and work to build teams that encourage apprentice taking and growth
Helpfu",3.0,3.0,2.0,5.0,3.0,4.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Sun Jan 10 2021, Finance Director,"Boston, MA",Former Employee ,you are just another number in this huge org...,0,"Benefit and comp of big org
","No team spirit, you are just another number in this huge org...
Helpfu",,2.0,1.0,1.0,4.0,1.0,4.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Fri Jan 29 2021, Inspector II,"Monument, CO",Former Employee ,Run!,0,"good schedule, great mountain views
","they treat employees bad, benefits are expensive
Helpfu",,1.0,3.0,1.0,3.0,3.0,1.0,Doesn't Recommend,Positive Outlook,Disapproves of CEO
