date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Sun Feb 07 2021, Sales,N/A,Former Employee ,sales,0,"Very good place to work and learn
","there is a lot of competition
Helpfu",,5.0,4.0,4.0,4.0,5.0,3.0,,,
Fri Feb 05 2021, SFA Senior Financial Analyst,"San Francisco, CA",Current Employee ,Great company,0,"Great benefits and good career
","Political. Very hard to get promoted
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Practice Manager,"Seattle, WA",Former Employee ,great,0,"Independence, new products, trust, fellowship
","Salary increments are sometimes a bit slow
Advice to Management
Keep it up
Helpfu","Keep it up
Helpfu",5.0,3.0,4.0,3.0,5.0,3.0,Recommends,Neutral Outlook,No opinion of CEO
Thu Feb 04 2021, Technical Support Engineer,"Redwood City, CA",Current Employee ,Great Company to Work For,0,"-Generous Salary and PTO
-Great team
","-none at this time, seems like a great company
Helpfu",,5.0,5.0,5.0,4.0,4.0,5.0,,,
Thu Feb 04 2021,Anonymous,,Current Employee ,Love love love working here!,0,"Exceptional culture, talented employees, great compensation.
","I’d rather be living in Hawaii.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,
Tue Feb 02 2021, Senior Director,"New Brunswick, NJ",Current Employee ,Great Company,0,"Keen focus on patients and consumers
","Processes are slow and cumbersome too often
Advice to Management
Continue to focus on great medicines and products for society
Helpfu","Continue to focus on great medicines and products for society
Helpfu",5.0,5.0,4.0,2.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Warehouse Worker,,Former Employee ,It was cool,0,"it wasn't a bad place of business
","the shifts were a little long but other than that
Helpfu",,5.0,,,,,,,,
Sun Jan 31 2021, Senior Process Executive,"Cypress Lake, FL",Former Employee ,Good place,0,"Free lunch and good benefits
","Short break and poor management
Helpfu",,5.0,,,,,,,,
Mon Feb 01 2021, Engineering Technician,"Jacksonville, FL",Current Employee ,Good company with opportunities to grow and earn $$$,0,"Training provided; production bonuses; lots of opportunity to work overtime hours; working in a climate controlled building.
","12 hour shifts; alot of time on your feet.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 01 2021, Engineer,,Current Employee ,Good job,0,"Good job and good benefits
","Not that I can think of
Helpfu",,5.0,,,,,,,,
Thu Jan 28 2021, Representative,,Current Employee ,Good,1,"Good place to work at
","I dont know they made me do a review
Helpful (1",,5.0,,,,,,,,
Sun Jan 31 2021, Sales Representative,"Honolulu, HI",Current Employee ,Great Comnpany,0,"Great benefits and co workers
","Top talent makes job promotions more challenging
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sat Jan 30 2021," J and C Serves, LLC ",N/A,Former Employee ,Awesome,0,"Great company with great benefits
","Company benefits could be a bit better
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,,,
Sat Jan 30 2021, Research Scientist,"New York, NY",Current Employee ,Immunology,0,"Great work culuture peopl and work life balance
","poor compensation and benefits, slow growth
Helpfu",,5.0,4.0,4.0,4.0,4.0,2.0,,,
Sat Jan 30 2021, Assistant,N/A,Former Employee ,Nice place,0,"Friendly, great people, relaxed, fun
","A lot of work and tiresome
Helpfu",,5.0,,,,,,,,
Thu Jan 28 2021, Manager,,Current Employee ,The Johnson review,0,"Awesome sauce great help lotion
","Life is meh here at the moment
Helpfu",,5.0,,,,,,,,
Fri Jan 29 2021, Analyst,,Former Employee ,analyst,0,"great hours and culture within the team and branch
","the rotational program has randomized locations
Helpfu",,5.0,,,,,,,,
Fri Jan 29 2021, Executive Assistant,"Redwood City, CA",Current Employee ,Great Workplace,0,"Great benefits and salary - positive culture
","Large company corporate vibe with little individuality
Helpfu",,5.0,,,,,,,,
Wed Jan 27 2021, Research Scientist II,"Cincinnati, OH",Former Employee ,Great company,0,"Good pay and solid work atmosphere
","Long hours with little opportunity for breaks
Advice to Management
More PTO
Helpfu","More PTO
Helpfu",5.0,4.0,5.0,4.0,3.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Jan 27 2021, Scientist,"Jacksonville, FL",Current Employee ,Quality,0,"Great place to conduct work
","Bad place when things are bad
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,,,
Tue Jan 26 2021, Technician,"Alabam, AR",Former Employee ,Great Company culture,0,"Love the atmosphere, Electric technician role rocked!
","Not enough hours in the day. Couldn't work enough.
Advice to Management
Keep the love in your heart and be empathetic to your employees, especially during these trying times. Exercise a little patience and never forget WE ARE ALL HUMAN.
Helpfu","Keep the love in your heart and be empathetic to your employees, especially during these trying times. Exercise a little patience and never forget WE ARE ALL HUMAN.
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Jan 26 2021, Analyst,N/A,Former Employee ,Great place to work,0,"Great place to work I loved it
","No cons, I really enjoyed my time here
Helpfu",,5.0,,,,,,,,
Mon Jan 25 2021, Summer Intern,"New York, NY",Former Employee ,Summer Job,0,"It was a great experience
","Was challenging in meeting people
Helpfu",,5.0,,,,,,,,
Sun Jan 24 2021, Manager,,Current Employee ,Title review,0,"Nice good nice good people
","Nothing nothing nothings wrong with
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,,,
Sat Jan 23 2021, Field Clinical Specialist,"Orlando, FL",Current Employee ,Very good company,0,"Very established organization
Lots of options for career development
Very invested in initial training
","Huge company with subsequent complexity and hierarchy
Very structured in term of career advancement (can be a pro or con depending on the person)
Helpfu",,5.0,3.0,4.0,4.0,5.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Sat Jan 23 2021, Field Service Engineer (FSE),"Sacramento, CA",Current Employee ,Great place to work for,0,"Great work life balance, with amazing management support during Covid lockdown
","Slow Pace, may need time and patient for promothing
Advice to Management
Increase bonus
Helpfu","Increase bonus
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,
Sat Feb 06 2021, R&amp;D Specialist,"Jersey City, NJ",Current Employee ,N/A,0,"flexibility
Room for new opportunities
big team and support
","they could offer a better 401K
Helpfu",,4.0,4.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sat Feb 06 2021, Senior Robotics Engineer,"Santa Clara, CA",Current Employee ,Good company to work for,0,"Respectful, friendly, Good Salary, Good opportunities to change jobs across company
","Too many meetings, a little less than expected transparency,
Helpfu",,4.0,,,,,,Recommends,Positive Outlook,No opinion of CEO
Sat Feb 06 2021, Customer Service Representative,"New York, NY",Former Employee ,Good company,0,"Salary and Benefits were good
","Work/Life balance can be much better
Helpfu",,4.0,,,,,,,,
Fri Jan 22 2021,Anonymous,,Former Employee ,Good,0,"Good management and colleagues competent
","I can’t think about a single con
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,,,
Fri Jan 22 2021, Senior Project Manager,"Miami, FL",Current Employee ,Morning much to say,0,"Nothing much to say ok is that enough
","Enough good reason it is
Advice to Management
My Ning much to say
Helpfu","My Ning much to say
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Fri Jan 22 2021, Engineering Fellow,"Jacksonville, FL",Current Employee ,A excellent company to work for with a great Credo,0,"A company that looks out for various stakeholders and not just shareholders
","Like any large company, it is less agile and nimble - although trying to transform itself into being one.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 22 2021, Senior Manager,,Current Employee ,Great place to work,0,"Benefits, great coworkers, competitive pay
","Large company with a lot of red tape
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Senior Financial Analyst,,Current Employee ,Senior Analyst,0,"Stability and vast internal opportunities
","Hard to break out of the standard promotional path
Helpfu",,4.0,,,,,,Approves of CEO,,
Fri Feb 05 2021, Robotics Software Engineer,"Redwood City, CA",Current Employee ,Fine benefits with Awful pay,0,"People caring, great learn opportunities, and good outreach to experts of multiple disciplines.
","Poor pay: underpaid. for people who are not directors, no stock options. Not really existent bonus.
Red tape and leadership confusion is everywhere
Advice to Management
Simply look at why all the talents of your emerging technology sector are leaving and figure out if you want the best technology or not. You don't attract future leaders.
Helpfu","Simply look at why all the talents of your emerging technology sector are leaving and figure out if you want the best technology or not. You don't attract future leaders.
Helpfu",3.0,3.0,4.0,3.0,5.0,2.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Wed Jan 20 2021, Clinical Specialist,"Seattle, WA",Current Employee ,Family oriented company,0,"Benefits 
Opportunities 
Training
Shareholder options
Employees matter
","Currently there are no downsides
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 21 2021, Delivery Driver/In,"Grapevine, TX",Former Employee ,a,0,"Great Job Good sandwiches and pickles
","not enough mustard for my taste
Helpfu",,5.0,,,,,,,,
Thu Feb 04 2021, Assistant Clinical Director,,Former Employee ,Lovely,0,"It had great management and support system
","large time commitment and lengthly process
Helpfu",,4.0,,,,,,,,
Thu Feb 04 2021, Engineer,"Santa Clara, CA",Current Employee ,Great Place to be,0,"Coworkers are very nice to work with.
","There are many unestablished processes
Helpfu",,4.0,4.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Wed Jan 20 2021, SalesSales Representative,"Baltimore, MD",Former Employee ,Great company,0,"Loved the culture and people
","large territory but not typical
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Jan 20 2021, Sales,"Baltimore, MD",Former Employee ,Great company,0,"Wonder culture and people are great
","I had a large territory, not typically the cas e
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Jan 20 2021, Senior Director,"New Brunswick, NJ",Current Employee ,Phenomenal Company,0,"Strong Values, Credo led. I really love the engagement and energy of the team and the organization. Huge pride in what we do and doing what's right by our employees, consumers and customers.
","None that I can think of, the best organization I have worked for by far..
Helpfu",,5.0,4.0,5.0,3.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Wed Jan 20 2021, Product Development Engineer,"West Chester, PA",Former Employee ,Great company,0,"Work with great people that are experts in their fields
Leverage recourses available to improve the lives of patients and surgeons
","Some projects can be paper work intensive
Advice to Management
None
Helpfu","None
Helpfu",5.0,5.0,5.0,4.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Jan 20 2021, Director,"New Brunswick, NJ",Current Employee ,Great company to work for,0,"Great company to work for
","Large corporation with many employees
Helpfu",,5.0,,,,,,,,
Wed Feb 03 2021, Engineer,"Boston, MA",Former Employee ,Great place to work,0,"Benefits, culture and focus of company
","potential overtime when on an important project
Helpfu",,4.0,,,,,,,,
Mon Jan 18 2021, Sales Associate,,Current Employee ,Great,0,"Flexible and willing to work with you
","Had some down sides like management
Helpfu",,5.0,,,,,,,,
Tue Jan 19 2021, Sales Associate,"Houston, TX",Former Employee ,Sales Associate,0,"Great benefits and people who work here
","Work long hours on weekends
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Jan 19 2021, Johnson &amp; Johnson Co,"New Brunswick, NJ",Former Employee ,Good pay for grad student,0,"Real work, full time, learning experience
","Disorganized, outdated, limited roles, limited support
Helpfu",,5.0,,,,,,,,
Tue Feb 02 2021, Sales Associate,"Brooklyn, NY",Current Employee ,amazing,0,"its amazing, everyone is friendly and kind
","theres nothing terrible about the job
Advice to Management
nothing
Helpfu","nothing
Helpfu",4.0,4.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Software Engineer,,Current Employee ,Great work/life balance,0,"Great work/life balance and culture
","Might not have the speed of technology innovations that startups have
Helpfu",,4.0,,,,,,,,
Mon Jan 18 2021, Field Sales,,Current Employee ,People First,0,"The company simply never loses sight of its employees’ well-being. It understands, better than many, that taking care of its employees drives its business to consistent success.
","With a company its size, it takes longer to recognize a wrong fit, thus taking time to resolve the issue.
Advice to Management
Reinstate 360 evaluations
Helpfu","Reinstate 360 evaluations
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Jan 18 2021, Project Manager,"Spokane, WA",Former Employee ,Good time,0,"Work, benefits, plans team, people
","cars, machines, leadership, truck, mouse
Advice to Management
Keep it up
Helpfu","Keep it up
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Jan 18 2021, Manufacturing Engineer,"Rochester, NY",Former Employee ,A+,0,"great company to work for
","none that i can think of
Helpfu",,5.0,,,,,,,,
Mon Jan 18 2021, Overnight Stocker,"Nashville, TN",Former Employee ,Cool,0,"Good morning I love the business.
","Good night I'm not going in today.
Helpfu",,5.0,,,,,,,,
Mon Feb 01 2021, Principal Scientist,,Former Employee ,"JNJ is a good company to work for. I like their communication, transparency and benefits.",0,"Benefit, advancement, and work life balance
","It has been downside so often for the last 10 years. Other than that, it's great and I have no problem.
Advice to Management
No comments
Helpfu","No comments
Helpfu",4.0,,,,,,,,
Tue Feb 02 2021, Manager,"Baltimore, MD",Current Employee ,Super great,0,"Loved every about the job.
","Everything else is so so
Helpfu",,2.0,,,,,,,,
Thu Jan 14 2021, Analyst,,Former Employee ,Great companh,1,"Learned a lot
Provided great flexibility
Great opportunity for growth
","Really big company and can get lost in shuffle
Helpful (1",,5.0,,,,,,,,
Sun Jan 17 2021, Director,,Current Employee ,Director,0,"Strong Brands, Credo Focused with strong executive leadership
","complex process for evaluation on performance
Helpfu",,5.0,5.0,5.0,5.0,,,Approves of CEO,,
Sun Jan 31 2021, Manufacturing Technician,,Current Employee ,Good company,0,"Good company to work for
","Nothing that I can think of
Helpfu",,4.0,3.0,5.0,4.0,5.0,5.0,,,
Sun Jan 31 2021, Data Analyst,"Atlanta, GA",Former Employee ,Great,0,"International company to work in many places
","I have no cons to give
Helpfu",,3.0,,,,,,,,
Sun Jan 31 2021, Clerkship,"Worcester, MA",Current Employee ,Good morning company,0,"Good to love life if you want to work.
","Bad to wake up but a good people
Helpfu",,3.0,,,,,,,,
