date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Sat Feb 06 2021, Dietary Aide,,Current Employee ,Awesome,0,"Everything , wonderful and fabulous place
","Nothing at all, great place
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sat Jan 30 2021, Vice President,"Seattle, WA",Current Employee ,Values Driven Company,0,"Great people, values driven, upward mobility if you want to be in Wisconsin, Dallas or Atlanta
","Big company that can get in its own way sometimes
Helpfu",,5.0,5.0,5.0,4.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 28 2021, Crew Leader,,Current Employee ,Great place,0,"Work life balance is great
","Swing shift adjustment can be difficult
Helpfu",,5.0,,,,,,,,
Wed Jan 27 2021, Senior Customer Business Partner,"Charlotte, NC",Current Employee ,Great company to work for,0,"Competitive benefits and compensation, great people, lot of opportunity for advacement
","low annual raises, small raises for promotions
Helpfu",,5.0,5.0,5.0,4.0,5.0,4.0,Recommends,Neutral Outlook,Approves of CEO
Tue Jan 26 2021,Anonymous,"Neenah, WI",Current Employee ,One of the best companies around,0,"-Great benefits and bonus structure. Opportunities to do and make a lot!
","Can be a little bit chaotic at times - but isn't every corp like that?
Advice to Management
Keep building talent to grow!
Helpfu","Keep building talent to grow!
Helpfu",5.0,3.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Feb 07 2021, Clark,"Mala, HI",Former Employee ,job,0,"good management. good environment, clean. good food.
","tight schedule, overwork, overload work.
Advice to Management
up salary
Helpfu","up salary
Helpfu",3.0,2.0,2.0,2.0,2.0,2.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Sat Jan 23 2021, Financial Analyst,"Neenah, WI",Current Employee ,Great Place to work,0,"Awesome co-workers and management with good benefits!
","Not the most exciting city to work in.
Helpfu",,5.0,5.0,4.0,4.0,5.0,4.0,Recommends,Positive Outlook,
Wed Jan 20 2021, Human Resources (HR) Coordinator,,Former Employee ,Great place to work,0,"Solid company with strong ethics and regard for their employees.
","As with many companies today, frequent reorganization and cost cutting initiatives,
Helpfu",,5.0,4.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 14 2021, Customer Replenishment Specialist,"Neenah, WI",Former Employee ,Good Place to Work,0,"Great career development opportunities, value time with company/years of experience
","Old school, can be difficult to make changes/drive process improvement
Helpfu",,4.0,4.0,4.0,2.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 14 2021, Finance,,Current Employee ,Great company - limited growth,0,"1. Flexibility
2. Pay and Benefits
","1. Very limited growth in functions other than Sales
Helpfu",,4.0,4.0,5.0,4.0,2.0,4.0,,,
Sun Jan 24 2021, Senior Mechanical Engineer,"Roswell, GA",Current Employee ,God company,0,"Strong core values family oriented
","Hard to move up on the company
Helpfu",,3.0,4.0,5.0,2.0,3.0,2.0,Recommends,Positive Outlook,No opinion of CEO
Fri Jan 08 2021, Lead Quality Analyst,"Roswell, GA",Current Employee ,"This company is great, but i just wrote a review.. not sure why Glass door prompted me twice, back to back...",0,"I already wrote a shining review of K-C, like five minutes ago... not sure why they are asking again. But I love this job.
","None really... you keep busy and you constantly learn.. that's a bonus to me, but some people are not that type. That would be my only thing I'd recommend considering.
Advice to Management
None, so far management has been a delight.
Helpfu","None, so far management has been a delight.
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sat Jan 09 2021, Mechanical Engineer,"Owensboro, KY",Current Employee ,Great,0,"salary, benefits, work/life balance, culture, co-workers
","get moved around a lot, just as you have really learned your position
Helpfu",,4.0,5.0,4.0,5.0,4.0,5.0,,,
Thu Jan 21 2021, Account Manager,"Charlotte, NC",Former Employee ,Good until they laid off the Salesforce,0,"Good products and lots of autonomy
","They believe the way of the future for their sales team is virtual
Helpfu",,3.0,5.0,4.0,3.0,3.0,4.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Wed Jan 06 2021, Senior Customer Business Partner,"Nashville, TN",Current Employee ,"Great company, good people",0,"Great culture of collaboration, good work-life balance, solid opportunities to get promoted within
","Large company that is slow to react the changes in market dynamics,
Helpfu",,4.0,5.0,5.0,5.0,4.0,3.0,Recommends,Positive Outlook,Approves of CEO
Mon Jan 04 2021, Mechanical/Maint Planner,"Conway, AR",Former Employee ,Kimbely-Clark,0,"Good Pay and Health Insurance
","Moving a lot of Production Plants overseas
Helpfu",,4.0,3.0,3.0,5.0,4.0,4.0,Recommends,Neutral Outlook,No opinion of CEO
Tue Jan 12 2021, Warehouse Lumper,,Current Employee ,none,0,"good people to work with
","not good pay and not grow opportunity's
Helpfu",,2.0,1.0,4.0,2.0,2.0,2.0,,,
Sun Dec 27 2020, First Operator,"Fullerton, CA",Current Employee ,KC review,0,"overtime was there if you wanted it.
","the schedule was not very work/life balanced.
Helpfu",,4.0,1.0,1.0,4.0,3.0,4.0,Recommends,Neutral Outlook,No opinion of CEO
Tue Dec 15 2020, Lead Mechanical Engineer,"Beech Island, SC",Current Employee ,KC cares for their employees. Good work life balance.,1,"Work life balance, competitive salary
","Location, must move for advancement
Helpful (1",,5.0,5.0,4.0,4.0,5.0,5.0,Approves of CEO,,
Sat Dec 12 2020, Senior Product Development Manager,"Neenah, WI",Current Employee ,People focused company,0,"Great culture and great work environment. KC's most important value is safety. They support a work life balance with flexible work hours.
","KC generates most of their profit from the Tissue and Hygiene markets which are not growth categories. Global expansion has also slowed. Waiting to see what the next big growth initiative will be.
Advice to Management
Need to define and clearly articulate a growth strategy. Top tier companies grow 6-8%, We are targeting 2%. We say we're going to grow through Digital Disruption and Consumer Inspired Innovation, which sounds great, but I haven't seen a plan for how we're going to do this yet.
Helpfu","Need to define and clearly articulate a growth strategy. Top tier companies grow 6-8%, We are targeting 2%. We say we're going to grow through Digital Disruption and Consumer Inspired Innovation, which sounds great, but I haven't seen a plan for how we're going to do this yet.
Helpfu",4.0,5.0,5.0,4.0,4.0,4.0,Recommends,Neutral Outlook,Approves of CEO
Wed Jan 13 2021, Phlebotomist,"Adrian, MI",Former Employee ,Bad work place,0,"Great pay
Decent insurance
Great parking access
","Ungoing drama and backstabbing
Management sucks 
Always short on staff
Helpfu",,1.0,1.0,1.0,2.0,3.0,4.0,Doesn't Recommend,,Disapproves of CEO
Sat Dec 05 2020, SAP Business Consultant,"Appleton, WI",Former Employee ,Great company,0,,"ltant in Appleton, WI
Recommends
Positive Outlook
Approves of CEO
I worked at Kimberly-Clark full-time
Pros
Sound work environment and outstanding location to raise a family
Cons
KCC is conservative in its approach to innovation
Helpfu",,5.0,5.0,5.0,4.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sat Dec 19 2020, Research and Engineering Co,"Neenah, WI",Former Employee ,Good co-op work but do not care about you moving into a full time role!,0,"Was able to contribute meaningfully to many brands. No senseless busy work.
","Recruiters know that there a no available offers, even if you have the highest performance review score available, however they lie to you saying ""full-time offers are delayed"". If you have any other co-op offers along with K-C, DO NOT TAKE K-C OFFER. Trust me, I am saving you immense heartache later!!
Advice to Management
Be honest with co-ops. When looking for co-op experiences, students are looking for a place to work long term so they work as hard as possible to get a good performance review even though recruiters and managers knew there were no positions to begin with. Myself and most other co-ops this year would have gone with other companies and been in a secure position to receive full time offers from them had we known this is how you all treat co-ops.
Helpfu","Be honest with co-ops. When looking for co-op experiences, students are looking for a place to work long term so they work as hard as possible to get a good performance review even though recruiters and managers knew there were no positions to begin with. Myself and most other co-ops this year would have gone with other companies and been in a secure position to receive full time offers from them had we known this is how you all treat co-ops.
Helpfu",2.0,4.0,3.0,2.0,2.0,4.0,Doesn't Recommend,Negative Outlook,No opinion of CEO
Wed Dec 02 2020, Mechanical Engineering Intern,"Neenah, WI",Former Employee ,Great Place to Work,0,"Everyone that works there is awesome. Great culture!
","Sometimes you have to bother people to get something to work on as an intern.
Helpfu",,5.0,3.0,5.0,5.0,5.0,5.0,Positive Outlook,,Approves of CEO
Fri Jan 08 2021, Sales Account Manager,"Seattle, WA",Former Employee ,Disfunction,0,"The people are great to work with
","Poor management at the District and Region levels. Everyone is looking out for their next promotion or advancement
Advice to Management
If a manager has been in place for more than 5 years, its time for a change!
Helpfu","If a manager has been in place for more than 5 years, its time for a change!
Helpfu",1.0,2.0,1.0,1.0,1.0,2.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Wed Dec 02 2020, Production/Maintenance,"Fullerton, CA",Former Employee ,n/a,0,"Great Leadership skills training/Great pay
","Long hours, less time with your family.
Helpfu",,4.0,1.0,4.0,4.0,4.0,3.0,Doesn't Recommend,,Disapproves of CEO
Thu Dec 03 2020, Administrative Assistant,"Saint Paul, MN",Current Employee ,good place,0,"pay, time off, good lunch
","busy, long commute, video meetings
Helpfu",,4.0,,,,,,,,
