date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Mon Feb 08 2021, ASM,,Former Employee ,Good,0,"Good people to work with, you always find something new about cowormers
","Lots of associates talk negatively about one another
Helpfu",,5.0,3.0,5.0,5.0,3.0,4.0,,,
Tue Feb 09 2021, Senior Financial Analyst,"Menomonee Falls, WI",Current Employee ,Getting Better,0,"Good company culture, open to innovation, decent perks at corp office
","Work/life balance isn't always a priority, pay should be better, lots of turnover
Helpfu",,4.0,,,,,,,,
Tue Feb 09 2021, Sales Associate,"New York, NY",Former Employee ,N/A,0,"giving flexible hours to work
","doesn't have many benefits or opportunities
Helpfu",,4.0,5.0,4.0,5.0,3.0,2.0,,,
Mon Feb 08 2021, Sales Associate,N/A,Former Employee ,Good,0,"fun place to work good discount
","hours could be long and sporatic
Helpfu",,4.0,,,,,,,,
Mon Feb 08 2021, Sales Associate,N/A,Former Employee ,Great,0,"Flexible Schedule. Great Management. Work/Life Balance. Volunteer Work.
","Customers. Holiday Schedule. Compensation. Not enough employees for workload
Helpfu",,4.0,,,,,,,,
Sun Feb 07 2021, Sales Associate,"Lawrenceville, GA",Current Employee ,Associate,0,"Easy to get hours, All ages work there
","Little pay, the store is always hot
Helpfu",,5.0,,,,,,,,
Sun Feb 07 2021, Cocktail Server,"Cabazon, CA",Current Employee ,"overall I was satisfied with their work conditions, I only worked few days a week for about 8 hours.",0,"I would work 8 hours for 3 days, they always were flexible and helped when needed.
","I honestly dont have cons about kohl's. The warehouse was well organized with everything they did especially with covid-19.
Advice to Management
N/A
Helpfu","N/A
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Feb 07 2021, Ops Manager,"Oceanside, NY",Former Employee ,Kohls one of the better companies to work for .,0,"Scheduling , listening adhering to employee needs , training
","None what so ever best company to work for .
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Feb 07 2021, Operations Manager,"Menomonee Falls, WI",Current Employee ,Modern Initiiatives,0,"Work as scheduled, hours reasonable.
","Advancement opportunities limited without relocation.
Helpfu",,4.0,4.0,5.0,5.0,2.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sat Feb 06 2021, Sales Associate,"Gainesville, GA",Former Employee ,Sales associate,0,"- got to move around - I could cover extra shifts - I met great people - I learned a little of everything - I got payed weekly - It was 5 minutes away from my house
","- It was really hot - we worked holidays
",,5.0,,,,,,,,
Sat Feb 06 2021, Seasonal Associate,"Rocky River, OH",Former Employee ,Good job,0,"Good co to work for
","Couldn’t keep me after Xmas season
Helpfu",,5.0,,,,,,,,
Sat Feb 06 2021, Product Owner,"Milwaukee, WI",Former Employee ,Kohl’s,0,"Great culture and people to work with
","Hard to advance with re orgs.
Helpfu",,4.0,,,,,,,,
Sat Feb 06 2021, Sales Floor Associate,"Crestwood, MO",Former Employee ,ok,0,"the people u get to work with
","the expired coupon/ you had it online but ""it didnt let me pick up here"" customers
Helpfu",,4.0,3.0,4.0,5.0,4.0,3.0,,,
Fri Feb 05 2021, Retail Sales Associate,"Downey, CA",Former Employee ,ok,0,"none that i can think of
","costumers are always a pain
Helpfu",,5.0,4.0,5.0,5.0,1.0,2.0,,,
Fri Feb 05 2021, Cashier,N/A,Former Employee ,Great Company,0,"Friendly co-workers, Like the store
","I do not have any
Helpfu",,5.0,,,,,,Recommends,,
Fri Feb 05 2021, Retail Sales Associate,"Redwood City, CA",Former Employee ,Great company for teens to start in,0,"You worked closely with the other associates if you needed help you would get help instantly
","Being over worked for just above minimum wage
Advice to Management
Give the associates bonuses, especially because of the epidemic, they’re at risk every day
Helpfu","Give the associates bonuses, especially because of the epidemic, they’re at risk every day
Helpfu",4.0,5.0,3.0,4.0,3.0,2.0,Recommends,Neutral Outlook,No opinion of CEO
Fri Feb 05 2021, Cashier,,Former Employee ,Flexible hours,0,"Willing to change hours frequently
","None that I can recall
Helpfu",,4.0,,,,,,,,
Fri Feb 05 2021, Freight Stocker,"Columbia, MO",Current Employee ,Working Truck,0,"They now do Amazon Returns.
","Work can get stressful that is why I recommend thinking about the well known work.
Advice to Management
Do the best you can.
Helpfu","Do the best you can.
Helpfu",4.0,5.0,5.0,5.0,4.0,5.0,Recommends,Neutral Outlook,Approves of CEO
Fri Feb 05 2021, Cashier,,Former Employee ,It is an ok job,0,"Easy job with friendly environment
","No full time. Small amount of hours
Helpfu",,4.0,3.0,3.0,3.0,4.0,2.0,Doesn't Recommend,Positive Outlook,No opinion of CEO
Fri Feb 05 2021, Retail Sales Associate,"Baltimore, MD",Current Employee ,Great place to work,0,"Management is really good and flexible with whatever needs to be done. A lot of help also available for any questions
","Not one for me great place!
Helpfu",,4.0,5.0,5.0,5.0,5.0,3.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Seasonal Sales Associate,"West Chester, OH",Former Employee ,Best First Job a Teenager Could Hope For,0,"Management was very good about making sure I was getting the correct number of hours each week. Super understanding and flexible with time/school. Amazing and most compassionate staff. Everyday at work was just fun.
","Kohl's has a lot of arrogant customers. But what can ya do!
Advice to Management
N/A
Helpfu","N/A
Helpfu",5.0,4.0,5.0,5.0,5.0,4.0,Recommends,Neutral Outlook,No opinion of CEO
Thu Feb 04 2021, Sales Associate,"Port Richey, FL",Current Employee ,Kohl’s,0,"Pay is good for starter
","Not very good hours after holidays
Helpfu",,5.0,5.0,5.0,5.0,5.0,3.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Sales Associate,"Sparks, NV",Current Employee ,okay,0,"lovely team and awesome management
","hours get cut after holidays
Helpfu",,5.0,5.0,5.0,5.0,5.0,3.0,Recommends,Positive Outlook,No opinion of CEO
Thu Feb 04 2021, Administrative Assistant,,Former Employee ,"Great flexibility, nice people",0,"The flexible hours and really nice people
","Pay was just fine, other than that everything was okay
Helpfu",,5.0,,,,,,,,
