date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Sun Dec 06 2020, Line Packer,"Cedar Rapids, IA",Former Employee ,Good work,0,"Good people
To. Have learned from trainig
For warehouse wor8
","Listening to your
Supervise is very
Important and much easier
Advice to Management
Teaching new
Team members
Can benefit a lot
Helpfu","Teaching new
Team members
Can benefit a lot
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 09 2021, Machine Operator,"Muscatine, IA",Former Employee ,Good money,0,"Good money, make money fast. Not really difficult
","No time with family too many hours overtime
Advice to Management
Everything good
Helpfu","Everything good
Helpfu",4.0,3.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021, Brand Ambassador,"Madison, WI",Former Employee ,Traveling Brand Ambassador,0,"- Amazing travel experiences
- Company benefits
- great team
","-Constant travel
- Working on Weekends
Helpfu",,4.0,1.0,3.0,2.0,5.0,5.0,Recommends,Neutral Outlook,No opinion of CEO
Fri Jan 29 2021, Machine Operator,"Newberry, SC",Former Employee ,Ok,1,"The benefits are good and also the pay
","Never know when you going home
Helpful (1",,4.0,,,,,,,,
Sun Jan 31 2021, Finance Manager,"Chicago, IL",Current Employee ,Good.,0,"Good Company to work. Very talented people.
","Understaffed positions lead to long hours.
Helpfu",,5.0,3.0,5.0,5.0,5.0,2.0,,,
Sat Jan 30 2021, Process Instrumentation Technician,"Ontario, OR",Current Employee ,good place,0,"good people to work with
","hard to have sat and sun as weekend
Helpfu",,4.0,,,,,,,,
Fri Jan 29 2021, Process Instrumentation Technician,"Ontario, OR",Current Employee ,...,0,"pay rate kind of decent
","Not clear with couple things
Helpfu",,4.0,,,,,,,,
Thu Jan 28 2021,Anonymous,"Charlotte, NC",Former Employee ,0,0,"culture is really good there
","Not enough money per week
Helpfu",,4.0,,,,,,,,
Thu Jan 28 2021, Human Resources Analyst,"Chicago, IL",Current Employee ,Great Place to work,0,"People are amazing and try making work enjoyable
","Changes are difficult to adapt to given huge company size
Helpfu",,4.0,4.0,4.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Jan 26 2021, Lab Assistant,"Gresham, OR",Former Employee ,Great people to work with,0,"Your like family and can count on people you work with
","The hours 12 hour days 6 to 7 days a week
Advice to Management
More communication with employees
Helpfu","More communication with employees
Helpfu",4.0,2.0,4.0,3.0,4.0,5.0,Recommends,Neutral Outlook,No opinion of CEO
Tue Feb 09 2021, Quality Technician,"Champaign, IL",Former Employee ,Kraft Heinz in IL,0,"Benefits good. Bonus once a year (maybe) HR does not believe in equality.
","Management needs improvement. No notice of overtime or less then 40 hours sometimes
Advice to Management
COMMUNICATION DOES WONDERS!
Helpfu","COMMUNICATION DOES WONDERS!
Helpfu",3.0,2.0,3.0,4.0,3.0,5.0,Neutral Outlook,,No opinion of CEO
Fri Jan 22 2021, Human Resources Business Partner,"Saint Louis, MO",Current Employee ,Heading the right direction,0,"Overall the company seems to be focused on the right things, people.
","There’s a disconnect between corporate and the plants. Sometimes the messaging is off
Helpfu",,4.0,4.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Manufacturing Manager,"Spartanburg, SC",Current Employee ,Overall,0,"Opportunity for growth. Merit based incentive programs.
","Conflicting goals across the company.
Helpfu",,3.0,,,,,,,,
Tue Jan 19 2021, Senior Buyer,"Chicago, IL",Current Employee ,"Work hard, see rewards",0,"Kraft Heinz is a place that rewards you for the work you put in. You’re given big responsibilities and trusted to action on and own them but not without a dedicated team for support
","Structure and consistency needed throughout organization. Lots of changes happening without having clear indication on how it effects us
Helpfu",,5.0,2.0,4.0,4.0,3.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Jan 19 2021, Analyst,"Chicago, IL",Current Employee ,Good work & pay,0,"Opportunities to grow and expand within role or in other functions
Opportunity to own business and be a real decision maker in creating change and impact 
Great pay and bonus structure
","Work life balance can be a struggle 
Rewards and bonus structure are confusing even if good
Helpfu",,4.0,3.0,3.0,3.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Maintenance/Engineering Manager,"Albany, MN",Current Employee ,KHI,0,"Great Team To Work With
","Small and Large Plants have same expectations
Helpfu",,3.0,5.0,4.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Jan 18 2021, B Operator,"Champaign, IL",Current Employee ,Its a great job,0,"Minimal physical labor 
Great pay
Great hours
","Alot of overtime
Varying schedules
 Can work more than 7 days in a row
Helpfu",,5.0,5.0,,,,,Recommends,Positive Outlook,
Mon Jan 18 2021, Senior Analyst Data Analytics,"Chicago, IL",Current Employee ,Company review,0,"Work Life Balance, flexible hours
","office politics, unclear promotion track, bad laptop
Helpfu",,4.0,,,,,,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Mon Jan 18 2021, In,"Harrisburg, PA",Current Employee ,Sales,0,"Work life balance in sales
","Lack of promotion if you don’t live in Chicago
Helpfu",,5.0,,,,,,,,
Mon Feb 01 2021, IT Analyst,"Chicago, IL",Former Employee ,Happy to have escaped,0,"Nice salary, lots of vacation days
","Poorly managed, confusing processes, general toxicity
Advice to Management
Try to retain old, experienced staff
Helpfu","Try to retain old, experienced staff
Helpfu",2.0,4.0,1.0,2.0,3.0,4.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Sat Jan 16 2021, Associate,"Chicago, IL",Former Employee ,It was a great experience,0,"I liked getting to work with upper management frquently
","I wish there was more collaboration
Advice to Management
try to include the teams in the idea building process
Helpfu","try to include the teams in the idea building process
Helpfu",5.0,4.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sat Jan 30 2021, Analytics Manager,"Chicago, IL",Current Employee ,Transformation is positive for the company,0,"Company is currently going through a transformation with a focus on people
","Unachievable goals, inexperienced management, long hours
Helpfu",,2.0,,,,,,,,
