date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Mon Sep 14 2020, Cashier,,Former Employee ,Dope store,0,"Everything is a pro at Kroger but...,
","Sometimes your feet hurt bro
Helpfu",,5.0,,,,,,,,
Fri Feb 05 2021, Kroger Cashier,"Cincinnati, OH",Former Employee ,Great place to work,0,"Great company to work for.
","Scheduling issues for new employees.
Helpfu",,5.0,,,,,,,,
Sat Feb 06 2021, Finance Manager,"Seattle, WA",Current Employee ,Kroger strives to reflect the communities we serve and foster a culture that empowers everyone to be their true self,0,"Kroger is also the fifth-largest retailer in the world
","It is the United States' largest supermarket by revenue
Advice to Management
Keep up with the good work
Helpfu","Keep up with the good work
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Neutral Outlook,Approves of CEO
Sat Feb 06 2021, APC,,Former Employee ,Solid Employer,0,"Fast paced, very customer focused
","Always busy during the holidays
Helpfu",,5.0,5.0,,,,,,,
Fri Feb 05 2021, Front End Supervisor,"Douglasville, GA",Current Employee ,Love working with the public,0,"Friendly, love helping customers, decent pay and insurance
","You never know from week to week what hours you will get
Advice to Management
Make the hours more steady
Helpfu","Make the hours more steady
Helpfu",4.0,3.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sat Feb 06 2021, Core Recruiter,,Current Employee ,Great company,0,"Good benefits, good communication from leadership, good environment
","Not enough work/life balance, slow advancement
Helpfu",,4.0,2.0,4.0,4.0,3.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Fri Feb 05 2021, Cashier,"Murfreesboro, TN",Current Employee ,good job,0,"The pay was pretty good.
","Co workers weren't as friendly or supportive.
Helpfu",,4.0,3.0,3.0,3.0,3.0,3.0,Recommends,Neutral Outlook,
Fri Feb 05 2021, Front End Courtesy Clerk,,Current Employee ,Great Beginner Job,0,"Usually great people and team to work with
","Inconsistent schedule, and honestly in my opinion not enough pay for everything baggers do
Helpfu",,4.0,,,,,,,,
Fri Feb 05 2021, Clicklist Associate,,Former Employee ,Great company and great people,0,"Friendly working environment with great co-workers
","One incompetent manager that brought the team down
Helpfu",,4.0,,,,,,Recommends,Neutral Outlook,No opinion of CEO
Wed Feb 03 2021, Front End Cashier,"Southaven, MS",Former Employee ,Alright 1st job,0,"Weekly pay, union possibility, growth opportunity
","Poor management, scheduling errors, insensitive
Helpfu",,5.0,3.0,3.0,3.0,3.0,3.0,Recommends,Neutral Outlook,No opinion of CEO
Wed Feb 03 2021, Certified Pharmacy Technician,,Current Employee ,I love working for Kroger Pharmacy!!,0,"Working for kroger pharmacy is the best decision that I’ve made. Very flexible!!
","There really aren’t any downsides that i can think of .
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Associate Resource Manager,"Nashville, TN",Former Employee ,Work review,0,"Good culture and great people to work with
","You work weekends. No work life balance
Helpfu",,4.0,1.0,3.0,4.0,3.0,2.0,,,
Tue Feb 02 2021, Realtor,"Cincinnati, OH",Current Employee ,it had good and bad days,0,"Good energy, nice people, and
","grumpy people, not being able to help some people
Advice to Management
the customer is always right
Helpfu","the customer is always right
Helpfu",5.0,5.0,3.0,3.0,5.0,5.0,Recommends,Positive Outlook,No opinion of CEO
Tue Feb 02 2021, Customer Service Representative,N/A,Former Employee ,-,0,"it is very friendly place
","there is not con at kroger
Helpfu",,5.0,,,,,,,,
Tue Feb 02 2021, Kroger Bagger,"Dublin, GA",Current Employee ,Kroger,0,"You get to interact with employees
","Kroger does not give enough hours
Advice to Management
None
Helpfu","None
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,,,
Tue Feb 02 2021, Cashier,,Current Employee ,Review,0,"Kroger offers covid pay and bonuses
","Low pay and monotonous work
Helpfu",,4.0,,,,,,,,
Tue Feb 02 2021, Front End Cashier,,Former Employee ,"Good job, especially in local areas",0,"*Has a union that will help employees out
","*Some stores have terrible management
Helpfu",,4.0,3.0,4.0,4.0,4.0,4.0,,,
Tue Feb 02 2021, Project Manager,,Current Employee ,Project Manager Review,0,"Good benefits, good experience with project management from Owner side
","Large company, limited opportunities for growth
Helpfu",,4.0,3.0,4.0,5.0,3.0,4.0,Recommends,Neutral Outlook,No opinion of CEO
Tue Feb 02 2021, Money Services,"Zanesville, OH",Current Employee ,N/A,0,"Great Environment to work for
","Tight rules on how to conduct
Advice to Management
Side with employees more
Helpfu","Side with employees more
Helpfu",4.0,3.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Mon Feb 01 2021, Clicklist Associate,,Current Employee ,Good place to work.,0,"this position keeps you busy, pays well, and is interesting. coworkers are nice and sociable. customers will ask you for help finding things frequently, which is not a problem because this position allows you to know exactly where everything is!
","can become hectic and high stress if clicklist is behind.
Helpfu",,5.0,4.0,5.0,5.0,3.0,5.0,Recommends,Positive Outlook,No opinion of CEO
