date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Thu Jan 07 2021, Concierge,"Fort Myers, FL",Current Employee ,Nice Place To Work,0,"Great hourly wage, nice management team, paid holidays
","Outdated computers and tech for admins
Helpfu",,5.0,,,,,,,,
Sun Jan 31 2021, Construction Manager,,Current Employee ,Great place to work,0,,"ruction Manager 
I have been working at Lennar full-time
Pros
Great pay and great team atmosphere
Cons
A little micro management from time to time
Helpfu",,5.0,,,,,,,,
Sat Jan 30 2021, Construction Manager,"Las Vegas, NV",Current Employee ,CM,0,,"ruction Manager in Las Vegas, NV
Recommends
Neutral Outlook
Approves of CEO
I have been working at Lennar full-time for more than 5 years
Pros
Nation wide home builder that hires diverse group
Cons
micromanagement and lack independency while giving responsibility
Helpfu",,4.0,3.0,3.0,5.0,4.0,4.0,Recommends,Neutral Outlook,Approves of CEO
Tue Feb 09 2021, Construction Manager,"San Jose, CA",Current Employee ,stable company,0,,"ruction Manager in San Jose, CA
I have been working at Lennar full-time for more than 3 years
Pros
stable work, quaterly bonuses for CMs, they paid us during covid shut downs, much appreciated.
Cons
company is horrible at promoting from with in, no career development programs that are actually implemented. Horrible at increasing salary over 3-5%. if you able negotiate salary well before you start work here.
Advice to Management
stop being fake, actually grow your people. develop young talent. Lennar definitely has an old guard at he top
Helpfu","stop being fake, actually grow your people. develop young talent. Lennar definitely has an old guard at he top
Helpfu",3.0,4.0,1.0,1.0,1.0,3.0,,,
Tue Jan 19 2021,Anonymous,"Miami, FL",Current Employee ,'A' for effort,0,"Nice people to work with, solid company, fairly open communication
","A bit old-school mindset (wfh did not come natural), large-company syndrome (slow to steer change)
Advice to Management
More internal growth opportunities, more cross-discipline learning would help the company overall (still too siloed), more commitment toward employees would be a welcome cultural change
Helpfu","More internal growth opportunities, more cross-discipline learning would help the company overall (still too siloed), more commitment toward employees would be a welcome cultural change
Helpfu",5.0,4.0,4.0,5.0,3.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Tue Jan 19 2021,Anonymous,"Roseville, CA",Former Employee ,You’ll love it,0,"Loved working here for them.
","No cons they are a great company
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,,,
Tue Jan 19 2021, Construction Manager,,Current Employee ,Awesome,0,,"ruction Manager 
I have been working at Lennar full-time
Pros
Great company to work for. They care about their employees
Cons
Lack of training, mainly due to covid restrictions.
Helpfu",,5.0,,,,,,,,
Fri Jan 29 2021, Construction Manager,"Las Vegas, NV",Current Employee ,CM,0,,"ruction Manager in Las Vegas, NV
I have been working at Lennar full-time
Pros
Team work makes the dream work
Cons
Salary is too low compared to other builders
Helpfu",,3.0,,,,,,,,
Tue Jan 12 2021, Sales Manager,,Current Employee ,Good company,0,"high sales volume, opportunity to make $$$
","pressure to keep up with pace
Helpfu",,4.0,,,,,,,,
Fri Jan 01 2021, Janitorial,"Miami, FL",Former Employee ,Good and Bad,0,"Benefits were decent overall for the position.
","Pay was average for the area.
Helpfu",,4.0,3.0,4.0,5.0,3.0,4.0,Recommends,Neutral Outlook,Approves of CEO
Wed Dec 30 2020, Customer Care Representative,"Denver, CO",Former Employee ,Stressful but worth it,0,"Bonus directly correlates to how hard you work
","If you don’t know construction it’s going to be hard, don’t think it’s customer care because it’s more about scheduling and letting homeowners yell at you without taking it personally
Helpfu",,4.0,1.0,5.0,2.0,5.0,5.0,Recommends,Positive Outlook,No opinion of CEO
Mon Dec 28 2020, Area Manager,"Seattle, WA",Former Employee ,Y,0,"I worked there for 3 years
","I don’t work there any more
Helpfu",,4.0,,,,,,,,
Sat Jan 09 2021, Sales,"Irvine, CA",Former Employee ,No work life balance,0,"Good pay mostly commission based
","No work life balance at all. Not good if you have a family
Helpfu",,2.0,,,,,,,,
Fri Jan 08 2021, Contract Administrator,,Former Employee ,Have to weigh the pros and cons,0,"Lots of appreciation lunches and planned activities.
","Very high stress work environment, lots of moving pieces, very little room for error. As a CA you are the first to blame if something goes wrong and you are not at all compensated for the amount of work. There’s not much room for growth or movement unless you know someone in another area that can assist with pulling you through
Advice to Management
There are none unless you’ve been there for at least 10 years.
Helpfu","There are none unless you’ve been there for at least 10 years.
Helpfu",3.0,3.0,5.0,5.0,2.0,2.0,,,
Thu Jan 28 2021, New Home Consultant,,Current Employee ,COVID procedure borders on criminal,1,,"ltant 
Doesn't Recommend
Positive Outlook
Disapproves of CEO
I have been working at Lennar full-time for more than 3 years
Pros
Relative assurance of job security
Cons
Told by management to ""expect to get COVID-19 at some point"" because they can't be bothered to provide basic safeguards over maximizing profits for shareholders
Helpful (1",,1.0,2.0,2.0,4.0,3.0,3.0,Doesn't Recommend,Positive Outlook,Disapproves of CEO
Wed Dec 23 2020, New Home Consultant,"Sacramento, CA",Current Employee ,"Opportunity, money, competitive",0,,"ltant in Sacramento, CA
Recommends
Positive Outlook
Approves of CEO
I have been working at Lennar full-time for more than 5 years
Pros
Money, product ,people, financial strength of company
Cons
Demanding sales sales , want more from employees for less compensation
Advice to Management
Keep bonus in place
Helpfu","Keep bonus in place
Helpfu",5.0,4.0,5.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Jan 26 2021,Anonymous,,Former Employee ,Not a good experience,1,"Some great co-workers to work with and some are very helpful
","Bizarre culture you need to subscribe to. Name badges, reciting ridiculous old poems, company ""fight song"", it feels like a cult. You can be the smartest guy in the world but if you dont subscribe to this culture you arent a team player & it really is bizarre for an outsider who doesn't have the cult mentality. No work-life balance, work comes first no matter what, if that's not for you, you dont belong here and absolutely no diversity. This is an old school company, take a look at upper management and you'll get it.
Advice to Management
The 60's are dead, Gen Y and beyond will have a hard time following along.
Helpful (1","The 60's are dead, Gen Y and beyond will have a hard time following along.
",1.0,1.0,1.0,1.0,2.0,3.0,Doesn't Recommend,Positive Outlook,Disapproves of CEO
Tue Jan 26 2021, Sales Associate,"State College, PA",Former Employee ,Horrible,0,"The actual job responsibilities were always mounting but they helped push you to be a better employee who could handle more
","The environment can be very toxic depending on which branch you were at
Helpfu",,1.0,,,,,,,,
Tue Jan 19 2021, New Home Sales Consultant,"Tampa, FL",Current Employee ,Culture management,1,,"ltant in Tampa, FL
Doesn't Recommend
Positive Outlook
No opinion of CEO
I have been working at Lennar full-time for more than 5 years
Pros
Make money , help people obtain home. Mortgage company is good
Cons
Everything else, they ‘don’t’ care about customers or employees. Treat sales people terrible. 
Belittling. Always assuming worst about customers and employees
Advice to Management
Pat on the back goes a lot further than beat down. Show respect to your employees. Your title does not make you smarter than your commission sales people.
Helpful (1","Pat on the back goes a lot further than beat down. Show respect to your employees. Your title does not make you smarter than your commission sales people.
",1.0,2.0,1.0,2.0,1.0,4.0,Doesn't Recommend,Positive Outlook,No opinion of CEO
Mon Jan 18 2021, NHC Sales,"Portland, OR",Former Employee ,Run!,0,"There is nothing positive worth mentioning
","Management cannot be trusted - and will micro-manage you to extremes.
Advice to Management
Show some compassion for others
Helpfu","Show some compassion for others
Helpfu",1.0,1.0,1.0,1.0,1.0,1.0,Doesn't Recommend,Neutral Outlook,Disapproves of CEO
Mon Dec 14 2020, Construction Manager,"Charleston, SC",Current Employee ,CM,0,,"ruction Manager in Charleston, SC
I have been working at Lennar full-time
Pros
Steady paycheck, decent to work for
Cons
Tight budget, tight timeline, customer surveys
Helpfu",,4.0,,,,,,,,
Fri Jan 15 2021, New Home Sales,,Former Employee ,Terrible,0,"Product Line makes for an easier sale.
","Terrible Management, Terrible culture. No Support. No Work Life Balance.
Helpfu",,1.0,,,,,,,,
Wed Dec 09 2020, Salesman,,Former Employee ,Salary,0,"Great place to work and location
","Hectic pace at work place
Advice to Management
None
Helpfu","None
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sat Dec 05 2020, Customer Service Representative,,Current Employee ,Great place to work,0,"Pay, benefits, work environment, pto, management
","There are no cons to this job
Helpfu",,5.0,5.0,5.0,4.0,4.0,5.0,Recommends,Positive Outlook,
Tue Dec 01 2020, Construction Manager,"Indianapolis, IN",Current Employee ,Wonderful,0,,"ruction Manager in Indianapolis, IN
I have been working at Lennar full-time
Pros
Great management support at all levels
Cons
High volume however allow me to focus on building.
Helpfu",,5.0,,,,,,,,
Fri Dec 11 2020, Administrative Assistant,,Former Employee ,It was a good place to work,0,"Thumbs up, pretty good company
","Not enough support from the management
Helpfu",,3.0,2.0,3.0,3.0,4.0,3.0,Doesn't Recommend,Neutral Outlook,
Thu Dec 10 2020, New Home Consultant (NHC),N/A,Former Employee ,Good pay,0,,"ltant (NHC) 
I worked at Lennar full-time
Pros
Great opportunity to earn good money
Cons
You have to work for it
Helpfu",,3.0,,,,,,,,
Mon Nov 16 2020, Marketing Associate,,Current Employee ,Marketing,1,"Company culture, room to grow
","Long hours, more training, associates don’t have much of an opinion
Helpful (1",,5.0,,,,,,,,
Wed Dec 02 2020, New Home Sales Consultant,"San Antonio, TX",Former Employee ,Only for the strong and self motivated,0,,"ltant in San Antonio, TX
Recommends
Positive Outlook
Approves of CEO
I worked at Lennar full-time for more than a year
Pros
Pay
That’s about all the pros
Cons
Long hours 
Work weekends 
Work holidays
Advice to Management
Keep good employees
Helpfu","Keep good employees
Helpfu",3.0,1.0,2.0,3.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Nov 17 2020, Project Manager,"Irvine, CA",Current Employee ,Good Family Oriented Culture,0,"good work life balance, family oriented, leadership is hard working and genuine
","not many resources for professional development
Advice to Management
Make professional development resources available to all employees (i.e. enterprise Linda.com account, Udemy course stipend, professional certification training etc)
Helpfu","Make professional development resources available to all employees (i.e. enterprise Linda.com account, Udemy course stipend, professional certification training etc)
Helpfu",4.0,4.0,4.0,5.0,3.0,3.0,Recommends,Positive Outlook,Approves of CEO
Sun Nov 29 2020, Customer Care Representative,,Current Employee ,CCR,0,"People are good to work with
","It’s an hourly position. For what we do, pay should be higher
Advice to Management
Have a more detailed Warranty explanation for the homeowner.
Helpfu","Have a more detailed Warranty explanation for the homeowner.
Helpfu",3.0,4.0,3.0,2.0,3.0,3.0,Doesn't Recommend,,
