date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Tue Feb 09 2021, Claims,"Buffalo, NY",Current Employee ,claims,0,"amazing environment to work in
","Too much fun to handle myself sometimes
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021, Senior Scrum Master,"Dover, NH",Current Employee ,Great company to work in Technology,0,"This was a great place to work pre-Covid, with Covid it has gotten even better. The company puts their people and their customers at the forefront of everything they do. The company values run deep. The people who work for this company in technology are a talented, innovative and dedicated group.
","Too many layers of leadership are starting to emerge in Technology. There is a push to move to scaled agile frameworks which isn't in the best interests of all areas.
Advice to Management
Mangers and senior leadership need more agile coaching. Too many managers still hang on to a command and control style of managing agile teams. Many of the managers themselves are the issue with teams not becoming more self-managing.
Helpfu","Mangers and senior leadership need more agile coaching. Too many managers still hang on to a command and control style of managing agile teams. Many of the managers themselves are the issue with teams not becoming more self-managing.
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021, Casualty Claims Adjuster,"Marlton, NJ",Current Employee ,Claims,0,"Great environment, great people, good pay
","Heavy workload - but that's normal in claims
Helpfu",,5.0,5.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 01 2021, Manager,"Boston, MA",Current Employee ,Great company,2,"Lot's of opportunities for advancement
Committed to diversity, equity & inclusion
Lots of opportunity for personal and professional development
","Really big org, difficult to navigate career if you don't have a big/strong internal network 
Some inexperienced/ineffective senior managers that don't inspire or motivate individual contributors
Helpful (2",,5.0,3.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sun Feb 07 2021, Director Data Science,"Seattle, WA",Current Employee ,Good company but a little old-fashioned,0,"Good pay and benefits. Ability to climb the corporate ladder for those who do well.
","Sometimes hard to get people to try new things
Helpfu",,4.0,3.0,3.0,4.0,4.0,3.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021, Service Representative,"Fairfield, OH",Former Employee ,Great Pay/Benefits,0,"Good pay/benefits. Ability to advance.
","High turnover rate in many departments
Helpfu",,4.0,4.0,3.0,3.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Feb 07 2021,Anonymous,,Current Employee ,Great place to work,0,"Culture, benefits, novelty of work
","Nothing but good things to say.
Advice to Management
Continue D,E & I efforts
Helpfu","Continue D,E & I efforts
Helpfu",5.0,4.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sat Feb 06 2021, Subrogation Specialist,"Weston, MA",Current Employee ,.,0,"Good work environment to be in
","Work life balance is difficult
Helpfu",,4.0,,,,,,,,
Thu Feb 04 2021, Software Engineer,"Boston, MA",Current Employee ,Great workplace,0,"Good pay and benefits for the area
","Lots and lots of meetings
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Sales Associate,"Chicago, IL",Current Employee ,Sales Associate,0,"The benefits are pretty good!
","Depends on the representative you work for!
Helpfu",,5.0,5.0,4.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
