date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Wed Dec 02 2020, Technical Program Manager,"Denver, CO",Current Employee ,Great Salary and benefits,0,"Great team culture and big focus on customer missions
","Hard to get promoted from Level 5 to 6
Helpfu",,5.0,,,,,,,,
Thu Aug 02 2018, Senior Systems Analyst,"Fredericksburg, VA",Current Employee ,Lockheed Martin IT,342,"High level of integrity throughout the company, open communications, and sincere interest in doing the right thing.
","Unfortunately, I need to come up with twenty words of cons. When in reality after 41+ years in IT, I have no cons for Lockheed Martin. They are not perfect, but highly acceptable.
Advice to Management
The only advice I have is, possibly, try very hard simplify processes. The processes are accurate and extremely detailed. Some could be less detailed.
Helpful (342","The only advice I have is, possibly, try very hard simplify processes. The processes are accurate and extremely detailed. Some could be less detailed.
",5.0,5.0,5.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021,Anonymous,,Former Employee ,Great,0,"technology is advanced and forward thinking
","easy to get left in the weeds
Helpfu",,4.0,,,,,,,,
Mon Feb 08 2021, Manufacturing Project Specialist,,Current Employee ,"Great place to work; however, there are things to consider",0,"Great place to work with great benefits
","Difficult to get a promotion. Inconvenient hours of work
Helpfu",,4.0,2.0,3.0,3.0,5.0,5.0,,,
Mon Feb 08 2021, Contracts Negotiator,,Former Employee ,Na,0,"Great pay, and the company is constantly looking for ways to improve the experience of their employees.
","Can be long hours, depending on the assignment. The company has high expectations for the quality of it's employees' work.
Helpfu",,4.0,4.0,4.0,4.0,4.0,5.0,Recommends,Neutral Outlook,No opinion of CEO
Mon Feb 08 2021, Sustainment Engineer,"Orlando, FL",Current Employee ,Great company to work for,0,"steady, impactful, cutting-edge, rewarding, good pay
","tight time control, progress can be slow,
Helpfu",,4.0,4.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Sat Feb 06 2021, Engineering Manager,"Washington, DC",Current Employee ,Excellent company,0,"Great place to work and have a good career
","Washington, DC area is expensive
Helpfu",,5.0,,,,,,,,
Tue Feb 02 2021, Senior Systems Engineer,"Marietta, GA",Current Employee ,Great Place to Work,1,"Great managers, well-established system for performance raises, good potential for advancement when you do a good job, very little micromanagement, emphasis on increasing inclusiveness, and a great deal of flexibility with regards to employees' outside lives
","Horrible HDHP healthcare plan that is somehow still expensive.
Advice to Management
Please invest in better healthcare. Otherwise great company that I will stay with for years
Helpful (1","Please invest in better healthcare. Otherwise great company that I will stay with for years
",5.0,5.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sat Feb 06 2021, Systems Engineer,,Current Employee ,"Good, not great",0,"Reasonably good benefits, great job security
","Typical large corporation issues; too large with too much security to drive innovation.
Helpfu",,4.0,,,,,,,,
Sat Feb 06 2021, Systems Engineer,"Grand Prairie, TX",Current Employee ,System Engineer,0,"1) Good Pay
2) Bonuses
3) Lots of overtime opportunity
4) Good 401K 
5) Ok health benefits
6) Sometimes interesting work
","The two programs I have been on always seem to be on fire and needing major work. I believe this is how the site I am on operates, and is not representative of Lockheed as a whole
Helpfu",,4.0,3.0,3.0,2.0,5.0,5.0,Recommends,Positive Outlook,No opinion of CEO
