date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Sun Feb 07 2021,Anonymous,,Former Employee ,Great job,0,"Boring if you’re not into home improvement
","Great pay and get benefits
Helpfu",,5.0,4.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021, Sales Specialist,,Current Employee ,Good Employer,0,"Procedures and tools are in place help you succeed
","Training and staffing are not a high enough priority
Helpfu",,4.0,1.0,2.0,5.0,2.0,3.0,,,
Mon Feb 08 2021, Pro Services Specialist,,Current Employee ,Great Company,0,"Set Schedule is a huge plus
","Drama between floor employees all the time
Advice to Management
Take care of your employees
Helpfu","Take care of your employees
Helpfu",4.0,3.0,3.0,3.0,3.0,3.0,,,
Sat Feb 06 2021, Fulfillment Associate,,Current Employee ,Great Place to Work!,0,"Friendly atmosphere. Great place to learn.
","You have to work holidays, but that’s retail.
Advice to Management
Take care of good employees.
Helpfu","Take care of good employees.
Helpfu",5.0,4.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sat Feb 06 2021, Customer Service Representative (CSR),"Ormond Beach, FL",Current Employee ,Great Opportunity to Provide Exceptional Shopping Experience,0,"Opportunity to make improvements in every area of company
","Lazy managers and no true team leaders
Advice to Management
Crack the whip more and lead by example. Never let a customer wander thru without being greeted and engaged by at least 3 employees
Helpfu","Crack the whip more and lead by example. Never let a customer wander thru without being greeted and engaged by at least 3 employees
Helpfu",5.0,4.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sat Feb 06 2021, Overnight Supervisor,"Fernandina Beach, FL",Current Employee ,Great place to work,0,"Great company to grow with.
","Sometimes, lack of help, high turnover at nights.
Advice to Management
Build rapport with co-workees
Helpfu","Build rapport with co-workees
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Feb 07 2021, Transportation Consultant,"Mooresville, NC",Current Employee ,Excellent Skill Builder,0,,"ltant in Mooresville, NC
Recommends
Positive Outlook
Approves of CEO
I have been working at Lowe's Home Improvement full-time
Pros
Ability to learn many new skills beyond just standard Excel/Access (SQL, BI, and various productivity tools). Large company with large data sets, so a great opportunity to learn with big data. Good relationship with management and a lot of leverage to be creative and learn new things. Competitive pay structure and bonus program.
Cons
PTO is significantly lower than other companies I have worked at and only increases at 5 year increments. Not particularly industry competitive in that regard.
Advice to Management
Mostly like the direction the company is going in, but need to hold senior leadership accountable to the same (or higher) standards as normal employees, which doesn't always seem to happen. Also need to stay future oriented; catching up on things we're behind on is good, but need to be out front as a leader as well.
Helpfu","Mostly like the direction the company is going in, but need to hold senior leadership accountable to the same (or higher) standards as normal employees, which doesn't always seem to happen. Also need to stay future oriented; catching up on things we're behind on is good, but need to be out front as a leader as well.
Helpfu",5.0,4.0,4.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Feb 07 2021, Customer Service Associate,,Former Employee ,Great Company to work for!,0,"Excellent to work for and grow!
","Cannot think of any! Great place!
Helpfu",,5.0,,,,,,,,
Sat Feb 06 2021, CSA ,"Miami, FL",Former Employee ,Overall good,0,"Pretty good benefits and good pay for part time
","Not a lot of flexibility with schedule
Helpfu",,4.0,2.0,3.0,5.0,3.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sun Feb 07 2021, ASM,"Maple Grove, MN",Current Employee ,Great Company,0,"People, Vision, CEO, salary, Management
","Hrs, Training, Merchandising freedom, odd schedules
Helpfu",,4.0,2.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sun Feb 07 2021, Sales Specialist,"Woodstock, VA",Current Employee ,Specialist,0,"benefits, salary, covid payments, customers, pace
","scheduling, training, communication, consistency, favoritism
Helpfu",,4.0,2.0,3.0,5.0,3.0,3.0,Recommends,Positive Outlook,No opinion of CEO
Fri Feb 05 2021, Head Cashier,,Current Employee ,So far a great experience,0,"Good atmosphere, great benefits and bonuses
","Outdated systems, large store requiring general knowledge in construction, diy, home Improvement
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,
Sat Feb 06 2021, Administrative Service Associate,"Moreno Valley, CA",Current Employee ,They seem to really care...,0,"Great benefits for all employees
Expanding Business
Companywide Bonuses
","Too little training for all positions
Too many systems/not a lot of efficiency in systems
No set schedule option for call center
Advice to Management
When all of your employees in the call center want set schedules, give it to them! It is standard everywhere else and we were promised the ability to choose our schedules to some degree.
Helpfu","When all of your employees in the call center want set schedules, give it to them! It is standard everywhere else and we were promised the ability to choose our schedules to some degree.
Helpfu",5.0,3.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Head Cashier,"Lake Charles, LA",Current Employee ,Continuing to Grow,0,"Great Benefits, Great Management, and Room for growth
","Short training process, not enough qualified associates
Advice to Management
Extensive Training for associates
Helpfu","Extensive Training for associates
Helpfu",4.0,3.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
