date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Mon Jan 18 2021, Sales Support Associate,"Winter Park, FL",Former Employee ,sales support associate,0,"able to manager your own work load
","lack of communication on certain projects
Helpful
Lumen Response
January 27, 2021 –
Thank you for leaving a 5-star review! We are happy to see you enjoyed your time at Lumen",,5.0,,,,,,,,
Mon Feb 08 2021, Sales Engineer,"Chicago, IL",Former Employee ,Room to grow,0,"Dynamic environment good for the ambitious who want to grow their career
","Dynamic environment occasionally leads to customer confusion about how to get things done.
Advice to Management
Stay the course, esp. keeping account teams intact on behalf of customers.
Helpfu","Stay the course, esp. keeping account teams intact on behalf of customers.
Helpfu",4.0,4.0,4.0,5.0,4.0,4.0,Recommends,Neutral Outlook,
Mon Feb 08 2021, Sales,,Former Employee ,Good Company,0,"Big footprint to leverage for sales
","It was built out of acquisitions
Advice to Management
Get the stock price back up
Helpfu","Get the stock price back up
Helpfu",4.0,,,,,,,,
Tue Feb 09 2021, Director Network Development,"Broomfield, CO",Current Employee ,Challenging Company,0,"Always something new
Growth opportunities 
Great people
","Trouble sticking to priorities 
A lot of folks out of their swim lanes
Advice to Management
Stick to priorities
Helpfu","Stick to priorities
Helpfu",4.0,3.0,4.0,4.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Senior Project Manager,,Current Employee ,Great place to work and gain experience with long term potential,1,"Great opportunity to work on leading edge projects. Ample development opportunities. Great employees that come together to provide excellent service to both internal and external customers. Good benefits, pay and flexibility.
","Cons are no different than you'd find at any other company. The pros at Lumen definitely outweigh the cons.
Helpful (1)
Lumen Response
February 7, 2021 –
Thank you for the 5-star review! We are glad to see you enjoyed your time working here at Lumen",,5.0,5.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Account Manager II,"Boston, MA",Former Employee ,Strong Company,0,"Portfolio of platform offerings, internal support, sales support, leadership
","With the Level 3 merger, brand change and shift to deliver more digital experiences, there is a lot of internal changes. Lots of process changes.
Helpful
Lumen Response
February 9, 2021 –
Thank you for leaving a review, we are happy to see you have a positive outlook on Lumen",,4.0,3.0,5.0,4.0,5.0,3.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Account Manager II,"Denver, CO",Current Employee ,Love my job,0,"Always changing and get to work with amazing people
","Things sometime change with no communication
Helpful
Lumen Response
February 9, 2021 –
Thank you for leaving a 5-star review! We are happy to see you recommend Lumen and had the opportunity to work with amazing people",,5.0,4.0,4.0,2.0,4.0,3.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Associate Lead,,Current Employee ,Nice compony to work,0,"Everything is good. Work life balance is good
","There is no such cons.
Advice to Management
Nothing
Helpfu","Nothing
Helpfu",4.0,,,,,,,,
Tue Feb 02 2021, Lead Agile Coach,"Monroe, LA",Current Employee ,Great company,0,"Company Vision, the collaboration of diverse teams, and social awareness
","a complex and challenging environment
Advice to Management
Keep up the great work! Really appreciate your leadership!
Helpful
Lumen Response
February 7, 2021 –
Thank you for the 5-star review, we were lucky to have you as a part of our AMAZING team for 8+ years","Keep up the great work! Really appreciate your leadership!
Helpful
Lumen Response
February 7, 2021 –
Thank you for the 5-star review, we were lucky to have you as a part of our AMAZING team for 8+ years",5.0,4.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Lead Agile Coach,"Monroe, LA",Current Employee ,Great company,0,"Company Vision, the collaboration of diverse teams, and social awareness
","a complex and challenging environment
",,5.0,4.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sat Jan 30 2021, Operations Supervisor,"Monticello, IL",Current Employee ,Regional Supervisor,0,"Enjoy my job and knowledge of job
","Looking for new career to provide my worth and benefit from my exceptional work
Helpful
Lumen Response
February 5, 2021 –
Thank you for taking the time to leave us a review, we are glad to see you are enjoying your time working here. We also encourage you to continue partnering with your leader to explore ways in which you can maximize your great potential here",,4.0,,,,,,,,
Wed Jan 27 2021, Senior lead Technical Program Manager,,Current Employee ,Land of opportunity,0,"Lumen has multiple opportunities for advancement and promotes the self improvement of employees through internal training programs as well as tuition reimbursement programs for furthering education.
","Lumen is currently in a period of transition and growth which can add additional stress on employees. This is also an exciting time to work for the company.
Advice to Management
Continue on the path to become agile and create amazing things.
Helpful
Lumen Response
February 1, 2021 –
Thank you for leaving a 5-star review! We are fortunate to have AMAZING employees like you at Lumen","Continue on the path to become agile and create amazing things.
Helpful
Lumen Response
February 1, 2021 –
Thank you for leaving a 5-star review! We are fortunate to have AMAZING employees like you at Lumen",5.0,3.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Jan 27 2021,Anonymous,,Current Employee ,Could be better.,0,"Good benefits and place to learn
","Numerous overlapping systems - too many acquisitions
Helpful
Lumen Response
January 29, 2021 –
Thank you for leaving a review. We are happy to see you are enjoying the robust benefits offered to Lumen employees",,4.0,,,,,,,,
Tue Jan 26 2021, Sales Engineer,,Current Employee ,Comany Review,0,"Great vision for the future of this industry
","still an old school telco company
Helpful
Lumen Response
January 29, 2021 –
Thank you for leaving a 5-star review! We are fortunate to have AMAZING employees like you at Lumen",,5.0,,,,,,,,
Fri Jan 22 2021, Lead Analyst,"Monroe, LA",Current Employee ,Amazing Place to work,1,"Diversity, Education Opportunities, Flexibility, Great people, Transparency
","At times, processes bog down the ability for a quick change in direction.
Helpful (1)
Lumen Response
January 27, 2021 –
Thank you for leaving a 5-star review! We are fortunate to have AMAZING employees like you at Lumen",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Jan 26 2021,Anonymous,"Milwaukee, WI",Current Employee ,IT Service Operational Excellence,0,"IT Services portfolio is strong, delivers on outcomes.
","Legacy Network business (CenturyLink) tarnishes brand, even through it is agnostic to using the talented IT Service practice areas.
Advice to Management
Break down the obstacles resulting in too many back office systems never integrated after aquisition.
Helpful
Lumen Response
January 29, 2021 –
Thank you for taking the time to leave us a review. We are happy to see you recommend Lumen as a place to work. We are working diligently to simplify and streamline our processes, systems, and tools to improve the overall employee experience and continue to meet our customers’ unique demands. We appreciate your feedback","Break down the obstacles resulting in too many back office systems never integrated after aquisition.
Helpful
Lumen Response
January 29, 2021 –
Thank you for taking the time to leave us a review. We are happy to see you recommend Lumen as a place to work. We are working diligently to simplify and streamline our processes, systems, and tools to improve the overall employee experience and continue to meet our customers’ unique demands. We appreciate your feedback",4.0,5.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Solution Support Associate,"Denver, CO",Current Employee ,Good Training but underpaid,0,"Great training, mentoring, teamwork, and career potential
","This role is meant to be temporary until you are promoted to a sales engineer, but upper management will do everything to avoid promotion. Expect to be in this role longer than the promised 6months-1yr.
Advice to Management
Do what you promised when we were hired.
Helpful
Lumen Response
February 9, 2021 –
Thank you for leaving a review. At Lumen, we have invested heavily in our training programs and work hard to provide our employees with all the knowledge and resources needed to excel in their roles. We are happy to see you experienced great training and teamwork during your time at Lumen","Do what you promised when we were hired.
Helpful
Lumen Response
February 9, 2021 –
Thank you for leaving a review. At Lumen, we have invested heavily in our training programs and work hard to provide our employees with all the knowledge and resources needed to excel in their roles. We are happy to see you experienced great training and teamwork during your time at Lumen",3.0,5.0,4.0,5.0,4.0,2.0,Doesn't Recommend,Neutral Outlook,Approves of CEO
Fri Feb 05 2021, Sales Support Representative II,"Tulsa, OK",Current Employee ,Too Many Changes,0,"Benefits, Flexibility due to pandemic
","Lots of changes in titles, managers, teammates, pay, vision
Helpful
Lumen Response
February 9, 2021 –
Thank you for leaving a review, we are happy to see you enjoyed the benefits and the flexible work options",,3.0,4.0,2.0,5.0,4.0,2.0,Recommends,Neutral Outlook,No opinion of CEO
Thu Jan 21 2021, Senior Operations Service Manager,"New York, NY",Former Employee ,LUMEN as a Company,0,"Great Support and Medical Benefits
","Low pay scale for employees
Helpful
Lumen Response
January 27, 2021 –
Thank you for leaving a 5-star review! We are happy to see you recommend Lumen as a place to work",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 21 2021, Compliance Analyst,"Columbus, OH",Current Employee ,Demanding but Flexible,0,"Flexible work hours. Great benefits.
","Not much room for advancement.
Helpful
Lumen Response
January 27, 2021 –
Thank you for leaving a review. We are happy to see you recommend Lumen as a place to work and are enjoying the AMAZING benefits we offer to our employees",,4.0,5.0,4.0,3.0,2.0,4.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 21 2021, Senior Sales Trainer,"Denver, CO",Current Employee ,"Great Company, Great People",0,"surrounded by smart people who clearly love what they do
","huge company; easy to get lost
Helpful
Lumen Response
January 27, 2021 –
Thank you for leaving a review! We are happy to see you enjoy working at Lumen and are surrounded by AMAZING people",,4.0,,,,,,,,
Tue Jan 19 2021, Account Associate,"San Francisco, CA",Current Employee ,Great Company,0,"Many opportunities, great people, good product.
","Ever-changing focus and no stock options.
Helpful
Lumen Response
January 27, 2021 –
Thank you for leaving a review. We are happy to see you are working with great people at Lumen",,4.0,4.0,4.0,4.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Wed Jan 20 2021, Field Technician,,Current Employee ,Great place to work,0,"Good job and company vehicle
","Very little opportunity for advancement
Helpful
Lumen Response
January 27, 2021 –
Thank you for leaving us a review! We value all our employees and put a large emphasis on creating clear career-path advancement opportunities for all those who wish to further their careers. As a current employee, we encourage you to speak with your manager about opportunities for professional development",,4.0,5.0,4.0,4.0,3.0,4.0,,,
Wed Feb 03 2021, Engineering Project Coordinator,"Tulsa, OK",Current Employee ,Do your work and go home,0,"Good pay, good benefits, Remote-work
","They don't care about you, you're replaceable
Advice to Management
Development is important, attract younger talent
Helpful
Lumen Response
February 9, 2021 –
We appreciate your feedback and take your comments seriously. We value all our employees and actively strive to create a positive culture where employees want to come to work every day. We are happy to see you enjoyed the compensation and benefits program while employed at Lumen","Development is important, attract younger talent
Helpful
Lumen Response
February 9, 2021 –
We appreciate your feedback and take your comments seriously. We value all our employees and actively strive to create a positive culture where employees want to come to work every day. We are happy to see you enjoyed the compensation and benefits program while employed at Lumen",3.0,4.0,1.0,1.0,1.0,3.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Tue Jan 19 2021, Senior Account Manager,"Las Vegas, NV",Former Employee ,"Sales Account Manager, Business Division",0,"Amazing company, great colleagues, great benefits.
","You must be ready for change!
Helpful
Lumen Response
January 27, 2021 –
Thank you for leaving a 5-star review! We are happy to see you enjoyed your time at Lumen",,5.0,,,,,,,,
Tue Feb 02 2021, Vice President,"Denver, CO",Former Employee ,Meh,0,"Lots of good people, just not great morale.
","Level 3 taking over changed the culture and created a bad, no loyalty culture.
Advice to Management
Realize people aren't a commodity.
Helpful
Lumen Response
February 7, 2021 –
Thank you for leaving this review. Lumen has a history of growth through strategic acquisitions, and we are particularly proud of our most recent acquisition of Level 3. We are continuing our integration journey and will keep our focus on ensuring Lumen remains a great place to work with an inclusive employee-focused culture","Realize people aren't a commodity.
Helpful
Lumen Response
February 7, 2021 –
Thank you for leaving this review. Lumen has a history of growth through strategic acquisitions, and we are particularly proud of our most recent acquisition of Level 3. We are continuing our integration journey and will keep our focus on ensuring Lumen remains a great place to work with an inclusive employee-focused culture",2.0,3.0,2.0,3.0,4.0,4.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Tue Jan 19 2021, Telecommunications,"Saint Louis, MO",Current Employee ,Lumen,0,"Good pay and bonuses, flexible, inclusive
","Can be disorganized at times
Helpful
Lumen Response
January 27, 2021 –
We are happy to see you recommend Lumen as a place to work and are enjoying our total compensation. Thank you for leaving a review",,4.0,4.0,4.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sun Jan 17 2021, Principal Software Engineer,"Denver, CO",Current Employee ,Technology,0,"A lot of benefits and great pay
","Work load and lack of strategic direction
Helpful
Lumen Response
January 27, 2021 –
Thank you for leaving a 5-star review! We are fortunate to have AMAZING employees like you at Lumen",,5.0,,,,,,,,
Mon Jan 18 2021, Products,"Denver, CO",Current Employee ,good place,0,"people are very cooperative with one another
","none off the top of my head
Helpful
Lumen Response
January 29, 2021 –
Thank you for taking the time to leave us a review. We believe our people are our most valuable asset, and we are glad to see you enjoy the people you work with at Lumen",,4.0,5.0,4.0,4.0,3.0,3.0,,,
Mon Jan 18 2021, Solution Engineer,"Seattle, WA",Current Employee ,Good,0,"Seems to have many options.
","Difficult to work with such a large ship.
Helpful
Lumen Response
January 27, 2021 –
Thank you for leaving a review, we are happy to see you recommend Lumen as a place to work",,4.0,3.0,3.0,3.0,3.0,3.0,Recommends,Positive Outlook,Approves of CEO
