date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Sat Jan 16 2021,Anonymous,"New York, NY",Current Employee ,Macy’s Raises the Bar!,0,"Best company I’ve ever worked for. They invest in their people and always do right by them. If you want to grow your career, you can do that at Macy’s. There’s lost of great opportunities and they take diversity seriously. This has been a key focus for the company even before 2020. The benefits program is robust and affordable. I am proud to work for such a great company.
","The company is right sizing the corporate team and that creates uncertainty.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 10 2021, Cosmetic Consultant,"Orland Park, IL",Former Employee ,Flex Cosmetic Consultant,0,,"ltant""
5.0
★★★★★
Former Employee - Cosmetic Consultant in Orland Park, IL
I worked at Macy's part-time
Pros
Great, family oriented work environment
Cons
Working in a commission-based environment can be rough
Helpfu",,5.0,,,,,,,,
Wed Feb 10 2021, Vice President,"New York, NY",Former Employee ,enjoyed working there,0,"good people, love the erg groups
","culture continuously evolving, restructuring yearly reduces opportunities to move around
Helpfu",,4.0,4.0,3.0,3.0,3.0,3.0,Recommends,Neutral Outlook,
Tue Feb 09 2021, Recruiter,"Saint Petersburg, FL",Current Employee ,Macy's a fun work environment,0,"The atmosphere and commitment to teamwork.
","Working form home leaves me a bit isolated.
Advice to Management
More online events to foster teamwork
Helpfu","More online events to foster teamwork
Helpfu",5.0,5.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 09 2021, Employment Support Coordinator,"Clearwater, FL",Current Employee ,Macy's: A Great Place to Work!,0,"Strategic managers cares and invests in colleagues. They are transparent is the financial pipeline and profitability of our company. They value colleagues and encourage us to contribute our best to benefit our company and ourselves. 

Upward mobility is encouraged to all colleagues. Macy's allows colleagues to grow and reach their goals within the company as well as our daily tasks. 

Macy's also invests in community events and supports them in current situations. They invest its time, talent, and finances to continue positive relationships in ethnicity, cultural, people in need of food and clothing, and internships. 

Macy's offers comparable compensation and benefits such as health and life insurances. They provide merit incentives as well as quarterly bonuses based on profitability. Macy's also offers Leave of Absence and Paid Time Off for personal needs. 

Macy's strongly encourages People Leaders to mirror their lead in managing colleagues.

Macy's has managed this company successfully to remain in business thus keeping thousands of their employees with jobs!!!
","Employee discount is very cumbersome.
Advice to Management
Keep up the good work!
Helpfu","Keep up the good work!
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 09 2021, Sales Associate,,Former Employee ,GOOD ENVIROMENT,0,"GOOD to get RETAIL EXPERIENCE
","usually is paid minimum wage
Helpfu",,5.0,2.0,5.0,5.0,3.0,3.0,Recommends,Neutral Outlook,
Tue Feb 09 2021, Retail Sales,,Former Employee ,Great,0,"Good coworkers and good hours
","I don't have any cons about working here
Helpfu",,5.0,,,,,,,,
Tue Feb 09 2021, Macys Sales Associate,"Pearland, TX",Current Employee ,Great!,0,"Awesome work environment and staff
","Low pay rate, but makes up in macys money
Helpfu",,5.0,5.0,5.0,5.0,5.0,2.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 09 2021, Asset Protection Security Guard,"Portland, OR",Former Employee ,Great place to work!,0,"Caring managers; flexible hours; room for advancement
","Low pay; Strange store hours
Advice to Management
Pay more. Great place to work and I love it but other places pay more.
Helpfu","Pay more. Great place to work and I love it but other places pay more.
Helpfu",5.0,5.0,5.0,5.0,5.0,3.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 09 2021, Product Manager,"Cincinnati, OH",Former Employee ,Old School Management Style,0,"People, Employee Discount, Career Flexibility, Gender Diversity in Management
","Pay, Benefits, Upper management can get away with whatever behaviors they want to as long as they produce results
",,4.0,5.0,5.0,4.0,3.0,2.0,Doesn't Recommend,Negative Outlook,Approves of CEO
