date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Mon Feb 08 2021, Program Professional,,Current Employee ,Great,0,"I enjoy working here most of the time
","i don't like not being able to communicate with others
Helpfu",,5.0,,,,,,,,
Thu Feb 04 2021, Recruiter/Staffing Consultant,"Dallas, TX",Former Employee ,Great Organization,0,,"ltant in Dallas, TX
Recommends
Positive Outlook
Approves of CEO
I worked at ManpowerGroup full-time for more than 5 years
Pros
Great training 
Fair earrings potential 
Brand Recognition
Cons
Lacked Work from home flexibility option
Helpfu",,4.0,4.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Process Engineer,"Baltimore, MD",Current Employee ,Project engineering,0,"remote work , flexible hours, no hassle , online portals/programs work very well
","could be more aggressive finding opportunities
Helpfu",,5.0,5.0,5.0,3.0,5.0,,Recommends,,
Wed Jan 27 2021, Core Recruiter,"Milwaukee, WI",Current Employee ,good place to start up,0,"CORE is a good place to learn recruiting
","The methods could be improved
Helpfu",,4.0,4.0,3.0,4.0,3.0,3.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 21 2021, Recruiter,,Former Employee ,Great environment and culture,0,"I had a nice manager and team leader, great training program.
","Take time for the rotation or promotion.
Helpfu",,5.0,5.0,5.0,5.0,4.0,5.0,,,
Thu Jan 14 2021, Market Manager,"Buffalo, NY",Current Employee ,Great Company!,0,"Great benefits 
Work/life balance 
Strong ethical company
","No cons for this company.
Helpfu",,5.0,,,,,,,,
Thu Jan 28 2021, Factory Worker,"Martinsburg, WV",Former Employee ,Alright,0,"They get work done effectively.
","They dont work good together as a team.
Advice to Management
Learn to work together.
Helpfu","Learn to work together.
Helpfu",3.0,3.0,3.0,3.0,4.0,3.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Mon Jan 11 2021, Associate Recruiter,"Milwaukee, WI",Former Employee ,Incredibly wonderful company to work for!,0,"When working at the ManpowerGroup HQ in downtown Milwaukee I was always greeted at the door with a smile. From my first day to the last the environment was a professional but friendly workplace. I walked into Manpower with no recruiting experience but quickly learned that I was working for a company where growth is available and encouraged so I seized many opportunities to learn. I excelled quickly because of my drive and determinate but also because of all the resources provided for me and friendly associates willing to assist me. There was also cafeteria in the building that served breakfast and dinner which was delicious and convenient! I highly recommend working for this company.
","I do not have any negative things to say.
Helpfu",,5.0,4.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,No opinion of CEO
Wed Jan 20 2021, Desktop Support Analyst,,Former Employee ,Good Place to work,0,"Pay was good and Company was helpful in crisis.
","No benefit package was affordable.
Advice to Management
Please devolve a benefit package for you employees
Helpfu","Please devolve a benefit package for you employees
Helpfu",3.0,2.0,3.0,3.0,3.0,2.0,,,
Thu Jan 07 2021, Recruiter,"Kansas City, MO",Former Employee ,Great co-workers,0,"Work/life balance. Co workers. Cold call marketing
","Salary. Advancement opportunities. Compensation reviews.
Helpfu",,3.0,,,,,,,,
Thu Jan 07 2021, Recruiter,"Kansas City, MO",Former Employee ,Great co-workers,0,"Work/life balance. Co workers. Cold call marketing
","Salary. Advancement opportunities. Compensation reviews.
Helpfu",,3.0,,,,,,,,
Tue Dec 22 2020, Talent Acquisition Specialist,"Fulshear, TX",Current Employee ,Great experience,0,"Kept me pretty busy as a contract employee for 4 years
","Was never moved into a permanent role
Helpfu",,4.0,4.0,3.0,3.0,4.0,3.0,Recommends,Positive Outlook,No opinion of CEO
Sun Dec 20 2020, Scientific Consultant,"Boulder, CO",Current Employee ,Great care for associates,0,,"ltant in Boulder, CO
I have been working at ManpowerGroup full-time
Pros
Fastest reimbursement of expenses I've ever experienced
Cons
Hard to increase hourly rate
Helpfu",,4.0,,,,,,,,
Thu Dec 17 2020, Senior Director,"New York, NY",Former Employee ,Most Ethical Company to work for!,0,"#1 priority is their employees. Everything else is secondary. The result = exceptional customer services and retention. Employees serve their customers same as MPG serves their employee. Exceptionally!!
","Salary is typically slightly below market for the role.
Advice to Management
Review the market salary structures for the director and above positions.
Helpfu","Review the market salary structures for the director and above positions.
Helpfu",5.0,5.0,5.0,5.0,4.0,3.0,Recommends,Positive Outlook,Approves of CEO
Thu Dec 17 2020, Production Assembler,"Phoenix, AZ",Current Employee ,It's ok,0,"Started working really quickly within a week
","Didn't pay in a timely manner
Helpfu",,5.0,1.0,1.0,1.0,1.0,1.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Wed Dec 02 2020, Market Research Analyst,"Milwaukee, WI",Current Employee ,Excellent,0,"Great place to work. Have been amazing throughout the pandemic
","A struggle to get heard sometimes in such a large company
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Dec 01 2020, Onsite Manager,"Torrance, CA",Former Employee ,Excellent,0,"Good pay & pays for college
","Not stable job during COVID-19.
Helpfu",,5.0,5.0,5.0,5.0,3.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sat Jan 02 2021, Plant Technician,"Cape Girardeau, MO",Former Employee ,In regard to a Consumer Goods client,0,,"mer Goods client""
1.0
★★★★★
Former Employee - Plant Technician in Cape Girardeau, MO
Doesn't Recommend
Neutral Outlook
No opinion of CEO
I worked at ManpowerGroup part-time for more than 3 years
Pros
Manufacturing Experience, will hire anyone who will show up.
Cons
Low Pay, Benefits, Job Security
Advice to Management
Take less from the contracts, give more to the workers.
Helpfu","Take less from the contracts, give more to the workers.
Helpfu",1.0,1.0,1.0,3.0,1.0,1.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Mon Nov 23 2020, Machine Operator,"Saint Louis, MO",Current Employee ,Temp Employee,0,"Good pay at Nike, only working 3 days a week, may be good for a morning person in need of a job.
","Long shifts- 12 hours a day.
Helpfu",,4.0,,,,,,,,
Thu Nov 19 2020, Wicket Installer,"Weirton, WV",Current Employee ,Installer,0,"The best thing is they find you jobs that you like and that fits your schedule and you get paid weekly. I love getting paid weekly.
","There is no downside to me. Absolutely none.
Advice to Management
Continue to do what y'all have been doing. Continue being great and helping people find what they love to do!
Helpfu","Continue to do what y'all have been doing. Continue being great and helping people find what they love to do!
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,No opinion of CEO
Mon Nov 16 2020, Sales Executive,"Detroit, MI",Former Employee ,Large Employer,0,"Well known company, typically very honest and wants to do well by employees.
","Leadership challenges, constant changes in managers, changing of comp plan yearly...
Helpfu",,4.0,5.0,4.0,5.0,5.0,4.0,Recommends,Neutral Outlook,No opinion of CEO
Mon Nov 16 2020, Senior Audit Advisor,"Milwaukee, WI",Current Employee ,ManpowerGroup,0,"Flexibility at HQ is a pro
","Staffing industry is a con
Helpfu",,4.0,,,,,,,,
Mon Nov 09 2020, Warehouse Associate II,"Des Plaines, IL",Current Employee ,Too Long to hire,0,"Good Pay, nice HR services and Help
","Too long to hire, Disconnected from employees.
Helpfu",,4.0,3.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sat Oct 31 2020, Operations Professional,"Milwaukee, WI",Former Employee ,Overall good company,0,"Benefits, enjoyed working with my teams, most people are motivated to do a good job.
","Much of the back office work was outsourced in 2017/2018, and the changeover dramatically affected morale. It was incredibly frustrating to see quality employees let go, and then replaced by a team that wasn’t up-to-speed.
Advice to Management
Don’t spread yourselves too thinly. People need the opportunity to work as a cohesive team.
Helpfu","Don’t spread yourselves too thinly. People need the opportunity to work as a cohesive team.
Helpfu",4.0,3.0,3.0,4.0,4.0,4.0,Recommends,Neutral Outlook,No opinion of CEO
Tue Oct 27 2020, Customer Service Representative (CSR),"Milwaukee, WI",Former Employee ,Great place to work,0,"People and Loved my job
","Annual increases not much to get excited about
Helpfu",,5.0,4.0,5.0,5.0,4.0,3.0,Recommends,Positive Outlook,Approves of CEO
Mon Oct 26 2020, Recruiter,N/A,Former Employee ,Great Culture,0,"There is a good culture and diversity among employees
","Some departments are too focused on metrics
Helpfu",,4.0,,,,,,,,
