date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Tue Jan 12 2021, Process Engineer,"Mandan, ND",Current Employee ,Great place to work,0,"Teamwork; people are nice
family-oriented
challenging
engaging in work
","work/life balance is zero
job cuts
don't communicate well
up and down market
Helpfu",,5.0,,,,,,,,
Tue Feb 02 2021, Project Manager,"Findlay, OH",Former Employee ,Marathon Petroleum,0,"Stable company with a great workforce and competent management.
","Starting a downturn and change in culture
Advice to Management
Reduce the cadence of change
Helpfu","Reduce the cadence of change
Helpfu",4.0,4.0,4.0,2.0,3.0,5.0,Recommends,Neutral Outlook,
Sun Jan 31 2021, Chemist,"Texas City, TX",Current Employee ,"Good, consistent employer",0,"employer with strong values and great benefits
","siloed experience, many employees have not worked for any other employer throughout their career
Advice to Management
diversify departments in terms of experience
Helpfu","diversify departments in terms of experience
Helpfu",5.0,3.0,5.0,3.0,1.0,4.0,,,
Sat Jan 30 2021, Engineer,"Los Angeles, CA",Current Employee ,Engineer,0,"Good pay and benefits, fast paced
","Big company and many leadership levels
Helpfu",,4.0,4.0,4.0,3.0,4.0,5.0,Recommends,Neutral Outlook,Approves of CEO
Thu Jan 28 2021, Maintenance Foreman,"Martinez, CA",Former Employee ,Good company to work for,0,"jobs are competitive, and there is growth potential, good pay and benefits.
","Long hours eats away from family time.
Helpfu",,4.0,4.0,4.0,5.0,,,,,
Wed Jan 27 2021, Foreman,"Grand Rapids, MI",Current Employee ,Good place to work,0,"Good place to work depending on area
","Very political, need to be on the right managers crew
Helpfu",,4.0,3.0,3.0,3.0,4.0,4.0,Recommends,Negative Outlook,
Mon Jan 25 2021, Management,,Former Employee ,stock,0,"respectful 

they care about their customer
","they dont deliver on time
Helpfu",,4.0,,,,,,,,
Sun Jan 24 2021, Chemical Engineer,"Lexington-Fayette, KY",Current Employee ,Great,0,"Pay is very good and benefits
","Travel can be draining and stressful
Helpfu",,5.0,,,,,,,,
Thu Jan 21 2021, Process Engineer Co,"Canton, OH",Former Employee ,"Great Pay, High Mobility",0,"Option to move locations, great supervisors
","Occasional lack of direction, uncertain future outlook for company
Helpfu",,5.0,,,,,,,,
Thu Jan 21 2021, Senior Process Engineer,"Houston, TX",Former Employee ,Excellent Employer,0,"Strong and Agile systems. High degree of professionalism. Superior personnel.
","While there are no cons to Marathon that come to mind, the refining industry is struggling due to low demand.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Neutral Outlook,No opinion of CEO
Fri Feb 05 2021, Operations,"El Paso, TX",Current Employee ,For a few pennies more,0,"Not the worst employer I've ever worked for.
","Cut personnel and increase work load on other employees, making for an unsafe working environment.
",,2.0,1.0,1.0,4.0,1.0,1.0,Doesn't Recommend,Negative Outlook,No opinion of CEO
Thu Feb 04 2021, Advanced Business Analyst,"Findlay, OH",Current Employee ,Strong Company - Poor Culture,0,"Salary, Bonus, Pension, 401k match, charitable giving
","Lack of leadership, too many middle managers, officers do not value individual contributors, limited vacation for entry level employees
Advice to Management
Value your people. More vacation time. Look into remote/hybrid work schedule flexibility
Helpfu","Value your people. More vacation time. Look into remote/hybrid work schedule flexibility
Helpfu",3.0,4.0,2.0,4.0,4.0,5.0,Doesn't Recommend,Negative Outlook,No opinion of CEO
Tue Jan 19 2021, Senior Planning Engineer,"Toledo, OH",Current Employee ,Largest refining company in USA with good benefits and movement/growth opportunities.,0,"Largest U.S. Refining company with good benefits. Only Midwest Refining HQ location, if interested in living in that geography. A lot of opportunity to move into new roles for growth. Good data systems for access to information.
","Heavy control of day to day from senior leadership. Main HQ is time consuming to travel to/from with airports 1.5 hours away.
Helpfu",,4.0,3.0,4.0,3.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Senior Scheduler,,Current Employee ,Marathon Petroleum,0,"Great benefits, decent pay scale
","Changing corporate culture, struggling industry going forward.
Helpfu",,3.0,,,,,,,,
Mon Jan 18 2021, Technology Analyst,"Findlay, OH",Current Employee ,Good company to work for,0,"Many opportunities with in the company to do anything in the business world.
","Located in a small town where the largest opportunities are located.
Helpfu",,4.0,5.0,4.0,5.0,5.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Mon Feb 01 2021, Class A Truck Driver,"Indianapolis, IN",Current Employee ,A job,0,"Great equipment, decent pay, 4 day work week, great benefits
","Rotating schedule or a very odd fixed schedule, super stressful environment, it’s not actually about safety unless it’s cheap
Advice to Management
None
Helpfu","None
Helpfu",3.0,3.0,2.0,3.0,3.0,4.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Sat Jan 30 2021, Operator,"Anacortes, WA",Current Employee ,Good pay and that’s about it,0,"Great pay and opportunities to earn overtime
","Not much opportunity for advancement
Helpfu",,3.0,3.0,1.0,1.0,2.0,4.0,,,
Thu Jan 14 2021, Territory Manager,,Current Employee ,Great company!,0,"Great co-workers and job atmosphere.
","The only con is multiple restructures over the past two years.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 14 2021,Anonymous,,Current Employee ,Meh,0,"Long term reliability. Can move around between positions.
","Can be pigeonholed. Top three layers of management lack diversity
Helpfu",,4.0,3.0,3.0,3.0,3.0,4.0,Recommends,Neutral Outlook,
Wed Jan 13 2021, Environmental Professional,,Former Employee ,Good company,0,"Has adapted in the covid environment
","Not a diverse company. Needs more a diversified leadership team.
Helpfu",,5.0,4.0,4.0,1.0,4.0,5.0,,,
Wed Jan 13 2021, Gas Plant Operator,"Summerfield, OH",Former Employee ,Great place,0,"Good pay. Good people. Good benefits
","There is not any find
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,,Approves of CEO
Thu Jan 28 2021, Project Control Specialist,"Detroit, MI",Former Employee ,Ok,0,"Good benefits , competitive pay, 401k
","Diversity, flexibility, attitude, inclusion management
Helpfu",,2.0,1.0,2.0,1.0,2.0,4.0,,,
Tue Jan 12 2021, Analyst,,Former Employee ,Good place to work,0,"Solid pay, opportunities to advance.
","HQ is in a very small town in Ohio
Helpfu",,4.0,,,,,,,,
Wed Jan 13 2021, Contractor,"La Palma, CA",Former Employee ,Greatt People to Work With,0,"Location, friendly colleagues, variety of location to work
","very long hours lower than avg salary
Helpfu",,4.0,3.0,5.0,5.0,4.0,4.0,,,
Wed Jan 27 2021, N/A,,Former Employee ,"High-stress environment, employees work multiple jobs",0,"Great benefits, met some great people
","Poor work environment and culture
High workloads
Does not utilize skills and talents of employees
Lack of organization 
Sometimes unable to reach other employees
Helpfu",,2.0,1.0,2.0,2.0,2.0,5.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Mon Jan 11 2021, Chemical Engineer Co,"Garyville, LA",Former Employee ,Good,0,"Good pay and lots of experience
","Big oil hurts the environment
Helpfu",,5.0,,,,,,,,
Mon Jan 11 2021, Franchise Business Consultant,"Las Vegas, NV",Current Employee ,Excellent place to work for,0,,"ltant in Las Vegas, NV
Recommends
Positive Outlook
Approves of CEO
I have been working at Marathon Petroleum full-time for more than 3 years
Pros
Work Life Balance, No schedule, Never Boring
Cons
Can be hectic at times especially when there are multiple projects rolling out.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sat Jan 09 2021, Marketing Intern,"Cincinnati, OH",Former Employee ,Great experience,0,"- good management
- plenty of hands on projects
- opportunity to shadow territory managers to learn
","- unknown location until placed for internship
Helpfu",,5.0,4.0,4.0,4.0,5.0,4.0,Recommends,,
Tue Jan 05 2021, Analyst,"Findlay, OH",Current Employee ,Good,0,"Great benefits, pay, and vacation
","Work holidays and weekends on swing shift
Helpfu",,4.0,,,,,,,,
Mon Jan 04 2021, Advanced Administrative Assistant,"Findlay, OH",Former Employee ,Tons of Opportunities / Potential Here,0,"Great people and tons of opportunities
","Too regimented/structured; need to teach newbies how to survive in corporate world that have never been in that
Advice to Management
There should be a separate crash course/training for those that have never worked in a corporate environment before that you hire in so they can learn it and thrive.
Helpfu","There should be a separate crash course/training for those that have never worked in a corporate environment before that you hire in so they can learn it and thrive.
Helpfu",4.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,No opinion of CEO
Mon Jan 18 2021, Human Resources Business Partner,"San Antonio, TX",Former Employee ,Dated Practicez,0,"Worked with a great team
","practices and technology were dated
Helpfu",,3.0,,,,,,,,
Sun Jan 03 2021, Process Control Engineer,"Garyville, LA",Current Employee ,Fantastic,0,"Great work environment, great people
","Very hardworking people who put in the extra time, not necessarily a con unless you’re more life balanced
Helpfu",,5.0,,,,,,,,
Fri Jan 15 2021, Wholesale Marketing Manager,"San Antonio, TX",Former Employee ,Great Benefits but Leadership is Outdated,0,"The benefits are really good (health, vision, dental, 401k, pension, employee assistance). There are opportunities to move into different roles every couple of years if that's your career plan.
","The culture is outdated and needs to be brought up to the 21st century. Much of the leadership is old school and stuck in Findlay for years. Marketing controls too much of the operational side of the business but the leaders don't have commercial experience.
Advice to Management
Communicate more with employees, especially upper management. The quarterly town hall meetings seemed to have stopped under the new leadership.
Helpfu","Communicate more with employees, especially upper management. The quarterly town hall meetings seemed to have stopped under the new leadership.
Helpfu",3.0,4.0,3.0,3.0,4.0,4.0,Recommends,Neutral Outlook,Disapproves of CEO
Thu Jan 14 2021, Refining Engineer II,"Martinez, CA",Former Employee ,good standard,0,"very good engineering standard and safety focus
","bad work life balance and difficult to get promoted without moving around
Helpfu",,3.0,1.0,4.0,5.0,3.0,3.0,,,
Wed Dec 30 2020, Process Specialist,"Robinson, IL",Current Employee ,MPC,0,"Friendly working environment. Excellent benefits.
","On-call times and stretches of 7 day work weeks.
Helpfu",,5.0,,,,,,,,
Wed Jan 13 2021, Systems Integrator,"Bluffton, OH",Former Employee ,"Great place, under the right supervisor",0,"Great pay, benefits, people and location
","High pressure, high anxiety, cuts coming.
Helpfu",,3.0,,,,,,,,
Tue Dec 29 2020, Electrical Engineer,"Carson, CA",Current Employee ,Great Company,0,"Marathon provides lots of diverse projects.
","Market conditions fluctuate greatly and impact the projects allowed.
Helpfu",,5.0,5.0,4.0,5.0,5.0,5.0,Recommends,Neutral Outlook,Approves of CEO
Wed Feb 03 2021, Chemist,,Former Employee ,Keep moving,0,"Benefits and pay are pretty good.
","Hostile work environment and games.
Helpfu",,1.0,1.0,2.0,1.0,1.0,4.0,Doesn't Recommend,Negative Outlook,No opinion of CEO
Tue Jan 12 2021, Processor,N/A,Former Employee ,Decent place to work,0,"Great benefits, work/life balance, enjoyed my coworkers
","Not a ton a room for growth
Helpfu",,3.0,5.0,3.0,3.0,2.0,4.0,,,
Tue Jan 12 2021, Technical Services Manager,"El Paso, TX",Former Employee ,The Good & the Bad,0,"good benefits and severance package
","Unless you are a heritage MPC employee, corporate folks dont think much of you
Advice to Management
Stop micromanaging L10 locations and believe in the people at the acquired locations
Helpfu","Stop micromanaging L10 locations and believe in the people at the acquired locations
Helpfu",3.0,3.0,1.0,1.0,5.0,4.0,Doesn't Recommend,Negative Outlook,No opinion of CEO
Sat Jan 09 2021, Local Fuel Hauler,"Summit, IL",Former Employee ,Overall Review,0,"Great benefits and pay. Nice newer trucks and trailers to use
","Rotating schedule, Inward & outward driver facing cameras, No headset/phone use, tons of training videos to do that do not necessarily pertain to your job.
Advice to Management
Be more lenient with your camera system in order to retain actual GOOD HARDWORKING drivers in the future.
Helpfu","Be more lenient with your camera system in order to retain actual GOOD HARDWORKING drivers in the future.
Helpfu",3.0,2.0,3.0,3.0,3.0,5.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
