date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Tue Feb 09 2021, Barista ,,Former Employee ,Great Company,0,"Marriott empowers their employees to provide guests with a great experience.
","None that I can think of at the moment.
Helpfu",,5.0,,,,,,,,
Mon Feb 08 2021, Sales Executive,"Nashville, TN",Former Employee ,Great work life,0,"Pay, insurance, time off, discounts
","Large company, small moving at times
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021, Assistant Restaurant Manager,"Honolulu, HI",Current Employee ,Cool place,0,"Good culture, staff looks up to management
","Management is not educated and doesn’t quite have a high skill set
Advice to Management
Immerse yourself in learning
Helpfu","Immerse yourself in learning
Helpfu",5.0,5.0,3.0,2.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021, Online English Teacher,"New York, NY",Current Employee ,Easy to work with,0,"Perfect company with a great boss
","Paying on time and a good salary
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Neutral Outlook,Approves of CEO
Sun Feb 07 2021, Housekeeping,"Providence, RI",Former Employee ,Great Place to Work,0,"Free lunch, supportive team, low stress
","Lack of proper training for new employees
Helpfu",,5.0,,,,,,,,
Mon Feb 08 2021, Guest Service Expert,,Current Employee ,Good job,0,"Career advancement
Great management 
Fun working atmosphere
","Little pay
Sometimes you have rude customers
Helpfu",,5.0,,,,,,,,
Mon Feb 08 2021,Anonymous,,Current Employee ,Great company,0,"Fun, diverse, challenging, benefits, travel perks
","Salary, compensation, work life balance
Helpfu",,5.0,3.0,5.0,5.0,5.0,3.0,Recommends,Positive Outlook,Approves of CEO
Sun Feb 07 2021, Front Desk Agent,"New York, NY",Current Employee ,front desk,0,"dealing with people and making sure everything is running good
","no business right now but hopefully will pick up soon
Helpfu",,5.0,4.0,4.0,4.0,4.0,4.0,Positive Outlook,,Approves of CEO
Sat Feb 06 2021, Director,"San Antonio, TX",Current Employee ,Great Company,0,"Diverse, Job Opportunities, Women Leaders
","Salaries could be more competitive and PTO is not competitive
Helpfu",,5.0,2.0,5.0,5.0,4.0,3.0,Recommends,Positive Outlook,Approves of CEO
Sat Feb 06 2021, Director of Operations,"Washington, DC",Current Employee ,Great company,0,"Resilient culture with integrity. Hard working teams.
","Can be bureaucratic at times.
Helpfu",,5.0,4.0,5.0,4.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Events,N/A,Former Employee ,Average,0,"long hours will be expected
","pay will be low for the amount of hours worked
Helpfu",,5.0,1.0,,,,,Approves of CEO,,
Thu Feb 04 2021, Trainer,"Houston, TX",Former Employee ,Great place to work!,0,"Awesome benefits
Great people and company culture
","Salary isn't as good...but it's fulfilling company!
Helpfu",,5.0,,,,,,,,
Thu Feb 04 2021, Guest Service Agent,"Los Angeles, CA",Former Employee ,Good,0,"Easy, Fun, Interesting, Fast, Change
","Customer service, Long hours, Standing
Helpfu",,5.0,,,,,,,,
Thu Feb 04 2021, Senior Account Executive,,Former Employee ,Great company to work for,0,"Great company with great culture. Treat employee fairly and lots of learning opportunities. If you take care of the employee and the employee with take care of the customer and the customer will come back.
","More conservative than some other hotel brands.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,
Tue Feb 02 2021, Front Desk Manager,"Dallas, TX",Former Employee ,Great,0,"Pay, Health Benefits and Hotel Discounts
","Long hours and no work life balance
Helpfu",,5.0,2.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, GSA ,"New York, NY",Former Employee ,Great,0,"The team that I worked with was a great team
","Emotionally draining from other departments and clients
Helpfu",,5.0,1.0,3.0,2.0,1.0,3.0,,,
Wed Feb 03 2021, Front Desk Agent,"Colorado Springs, CO",Current Employee ,Front Desk Supervisor,0,"I Love my team mates
","I enjoy my work environment
Advice to Management
none
Helpfu","none
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Sales Representative,"Orlando, FL",Former Employee ,Great Company,0,"Amazing hours, work environment and travel perks
","Commission based and pressure to sell
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Negative Outlook,Approves of CEO
Wed Feb 03 2021, Special Events Coordinator,"Denver, CO",Former Employee ,no,0,"Free meals, breaks, amenities, nice upper management
","Nothing besides commute to work
Helpfu",,5.0,,,,,,,,
Wed Feb 03 2021, Assistant Director of Services,"Rockville, MD",Current Employee ,Great,0,"Great benefits and great culture.
","Furlough due to current COVID-19
Helpfu",,5.0,3.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Bartender,"Dallas, TX",Former Employee ,Amazing company,0,"Management works with you and respect you. Flexible schedule
","Working overtime to cover for co workers
Helpfu",,5.0,2.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Guest Experience Expert,"San Diego, CA",Current Employee ,Good Company,0,"Good benefits, Good pay, Good for starting your career
","Management is not consistent with rules and policies, No Social Life, No holidays
Helpfu",,5.0,1.0,3.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Front Desk Clerk,,Former Employee ,Great place,0,"Great training and community of people!
","Hours and weekends at the job
Helpfu",,5.0,,,,,,,,
Tue Feb 02 2021," Senior Manager, Communications","Bethesda, MD",Former Employee ,Great Company,0,"Big emphasis on associates first
","Lots of meetings, not always productive.
Helpfu",,5.0,,,,,,Recommends,,Approves of CEO
Mon Feb 01 2021, Pool Server,"Orlando, FL",Former Employee ,Pool server,0,"Good job , not too many hours
","You have to pay for food in the l cafeteria
Helpfu",,5.0,,,,,,,,
Mon Feb 01 2021, Hospitality,"Atlanta, GA",Current Employee ,Great company,0,"good benefits, nice staff, high paying
","not great for a career development
Advice to Management
nonw
Helpfu","nonw
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 01 2021, Operations Supervisor,"Converse, TX",Former Employee ,Great place to work,0,"Love working there, easy to grow professionally
","Low pay for the amount of work
Helpfu",,5.0,3.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,
Sun Jan 31 2021, Front Desk Agent,,Current Employee ,Good Benefits,0,"Good insurance and 401k benefits
","Weekend shifts and hours are not the best
Helpfu",,5.0,2.0,5.0,5.0,2.0,5.0,Recommends,Neutral Outlook,
Sat Jan 30 2021, Event Planner,"Los Angeles, CA",Former Employee ,Great company to work for,0,"Great culture, good perks, room for advancement
","CEO is approachable but the rest of C suite and EVP/SVP not so much. Too manu layers of people in general so decision making was sometimes painfully slow.
Helpfu",,5.0,4.0,5.0,5.0,4.0,4.0,Recommends,Neutral Outlook,Approves of CEO
Thu Jan 28 2021, Hotel Attendant,"Lufkin, TX",Current Employee ,Great Workplace,0,"Friendly staff, Clean , Great Hospitality
","No bad things to say about it.
Advice to Management
Keep up the great work.
Helpfu","Keep up the great work.
Helpfu",5.0,5.0,5.0,5.0,5.0,3.0,Recommends,Positive Outlook,Approves of CEO
