date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Thu Jan 14 2021, Tech Lead,"Boston, MA",Current Employee ,Love working here!,0,"Committed to diversity and inclusion 
Honest transparent leadership
Good benefits
Great Co-workers
Great mission
","None to offer right now.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Financial Service Representative,"Edison, NJ",Former Employee ,Financial Services,0,"Unlimited income, build your own book of business, mentorship, teamwork
","Performance-based only, office fees, no salary
Helpfu",,5.0,,,,,,,,
Thu Feb 04 2021, Post Sales Consultant,"Enfield, CT",Former Employee ,Revenue management,0,,"ltant in Enfield, CT
Recommends
Neutral Outlook
Approves of CEO
I worked at MassMutual full-time for more than 10 years
Pros
Solid Executive Leadership; solid communication
Cons
Too many in mid level management positions
Advice to Management
None - division sold
Helpfu","None - division sold
Helpfu",5.0,3.0,5.0,5.0,4.0,4.0,Recommends,Neutral Outlook,Approves of CEO
Wed Feb 03 2021, Administrative/Personal Assistant,"League City, TX",Current Employee ,Great company,0,"Team oriented atmosphere that helps others
","Can be stressful at times
Helpfu",,5.0,,,,,,,,
Tue Feb 02 2021, Financial Advisor,"New Castle, DE",Current Employee ,N/A,0,"Good work hours and work/life balance
","Live basically off commission/not much of a salary
Helpfu",,4.0,4.0,5.0,5.0,3.0,4.0,Recommends,Neutral Outlook,Approves of CEO
Tue Feb 02 2021, Quantitative Consultant,"Springfield, MA",Current Employee ,Solid large company,0,,"ltant in Springfield, MA
I have been working at MassMutual full-time
Pros
A company with a long history.
Cons
Can be difficult to change.
Helpfu",,4.0,,,,,,,,
Mon Feb 01 2021, Internal Wholesaler,"Springfield, MA",Current Employee ,Good company,0,"Culture, work/life balance, benefits, people, location
","Worksite product leadership, micro management
Helpfu",,4.0,,,,,,,,
Sat Jan 30 2021, Site Reliability Engineer,"Boston, MA",Current Employee ,"Good, but could be better",0,"Great company; people, benefits. work life balance
","Management doesn't know what they want. Don't like changes
Helpfu",,4.0,,,,,,Recommends,Positive Outlook,Approves of CEO
Fri Jan 29 2021, Administrative Assistant,"Bala Cynwyd, PA",Former Employee ,Great company to work for,0,"Great atmosphere, professional company, amazing respect for supporting staff
","No cons that I experienced
Helpfu",,5.0,5.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,
Fri Jan 29 2021, Financial Advisor,"Fort Lauderdale, FL",Former Employee ,Overall good Place to work,0,"*good training and environment with helpful managers
","all commission based no base salary
Helpfu",,4.0,3.0,5.0,5.0,4.0,4.0,,,
Fri Jan 29 2021, Financial Advisor,"Rochester, NY",Current Employee ,Do your homework,0,"Good training, non captive, build your own book
","They say you’re independent but you still have to hit certain targets to stay contracted. It’s all about what you can do for the company to sell life insurance...not build a wealth or planning practice.
",,4.0,4.0,4.0,4.0,3.0,3.0,Recommends,Neutral Outlook,No opinion of CEO
Thu Jan 28 2021, Strategy Consultant,"Springfield, MA",Former Employee ,Great Company,0,,"ltant in Springfield, MA
Recommends
Positive Outlook
Approves of CEO
I worked at MassMutual full-time
Pros
The people and leadership are wonderful.
Cons
Not the most exciting field.
Helpfu",,5.0,3.0,4.0,5.0,4.0,3.0,Recommends,Positive Outlook,Approves of CEO
Wed Jan 27 2021, Developer,"New York, NY",Former Employee ,MM,0,"Great team and total respect to the employees.
","Pay very less compared to other tech companies.
Helpfu",,5.0,4.0,4.0,4.0,5.0,2.0,Recommends,Positive Outlook,Approves of CEO
Tue Jan 26 2021, Assistant Manager,"Cal-Ida, CA",Former Employee ,Assistant Manager,0,"good company to work for
","no cons for mass mutual
Helpfu",,5.0,,,,,,,,
Tue Jan 26 2021,Anonymous,,Current Employee ,Consultant,0,,"ltant""
5.0
★★★★★
Current Employee - Anonymous Employee 
I have been working at MassMutual full-time
Pros
It is a great place.
Cons
There are no cons here.
Helpfu",,5.0,,,,,,,,
Mon Jan 25 2021, Financial Services Representative,,Former Employee ,4 stars,0,"Educate people how to improve their finances.
","There is no base salary.
Helpfu",,4.0,,,,,,,,
Sun Jan 24 2021, Consultant,,Former Employee ,Great place to work,0,,"ltant 
I worked at MassMutual full-time
Pros
Terrific and ethical leadership at highest levels.
Cons
Large and complex organization can be challenging to navigate.
Helpfu",,4.0,3.0,4.0,4.0,3.0,5.0,,,
Fri Jan 22 2021, Data Analyst,"Springfield, MA",Current Employee ,tg,0,"workplace is nice, good for gaining experience
","software is out of date
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sat Feb 06 2021, Financial Advisor,"Tinton Falls, NJ",Former Employee ,Only for the bold and brave,0,"Unlimited earning and growth potential
","A classic bait and switch
Advice to Management
Be more upfront during recruiting
Helpfu","Be more upfront during recruiting
Helpfu",2.0,,,,,,,,
Fri Jan 22 2021, Developer,N/A,Former Employee ,Cool place,0,"Very Diverse and Inclusive Nature
","Human Nature Causes Egos At Times
Helpfu",,4.0,,,,,,,,
Fri Jan 22 2021, Marketing Manager,"Springfield, MA",Current Employee ,Great place to work,0,"Benefits, flexibility, culture - everyone feels like family for such a large company
","Location / sometimes takes a long time to push things through
Helpfu",,4.0,4.0,5.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 21 2021, Vice President,"Long Island, AK",Current Employee ,Great Company to Work,0,"Great Culture, Comp Plan, and support
","Full Performance Based but great comp plan makes up for it
Helpfu",,5.0,5.0,5.0,4.0,5.0,5.0,,,
