date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Tue Feb 09 2021, Line Cook,"Brownsville, TX",Current Employee ,Great,0,"Free food and long breaks some times
","Lot of standing of standing in hot kitchen
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 09 2021, Staff,"Burke, VA",Former Employee ,Great company,0,"Free food, great coworkers. Great job
","None, loved my time there
Advice to Management
Keep up the great work
Helpfu","Keep up the great work
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 09 2021, McDonalds Crew Trainer,"Middletown, NY",Former Employee ,Good for a first job,0,"-Develops team work and communication skills
","-Potential high workload and not enough help
Helpfu",,4.0,3.0,4.0,4.0,3.0,3.0,Recommends,Positive Outlook,No opinion of CEO
Tue Feb 09 2021, Cook/Server,"Chicago, IL",Former Employee ,Great part time job!,0,"Management worked with me on scheduling my time in order to complete my school requirements
","Customers can be very rude
Advice to Management
Keep the customer service training refresher courses going
Helpfu","Keep the customer service training refresher courses going
Helpfu",4.0,5.0,4.0,4.0,3.0,4.0,Recommends,Positive Outlook,
Tue Feb 09 2021, Cashier,"San Juan Capistrano, CA",Current Employee ,Great,0,"Hours were pretty good and so was pay
","Management was difficult to work with
Helpfu",,4.0,4.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 09 2021, Certified Shift Manager,"Tyler, TX",Current Employee ,McDonald’s,0,"Flexible schedule, fun environment, and great first job
","Not enough workers due to pandemic.
Helpfu",,4.0,3.0,3.0,4.0,5.0,3.0,Recommends,Neutral Outlook,No opinion of CEO
Tue Feb 09 2021, Cashier,"McDonalds, SC",Former Employee ,Good first job,0,"- flexible, nice people, good hours
","- sometimes had night shifts
Helpfu",,4.0,3.0,3.0,5.0,4.0,3.0,,,
Sun Feb 07 2021, Fry Guy,"Los Angeles, CA",Former Employee ,Good fries,0,"Good fries good nuggets good times
","Ice cream machine down Always
Advice to Management
Fix ice cream machine
Helpfu","Fix ice cream machine
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021, Line Cook,,Current Employee ,Fun environment,0,"Fun job, fast paced, easy to learn.
","Not the best pay, not much room for growth
Helpfu",,5.0,5.0,3.0,5.0,3.0,3.0,,,
Mon Feb 08 2021, Shift Manager,,Former Employee ,Terrible,0,"Most employees are grandfathered in they’ve been there over 10 plus years . Which is excellent for the pressure of just starting the job in an untrained manner
","Certain rules and policies set the company up for its stereotypical confusion and ratchet ness
No set training place, method, or set up
Helpfu",,5.0,,,,,,Doesn't Recommend,Negative Outlook,Disapproves of CEO
