date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Fri Feb 05 2021, Operations Supervisor,,Current Employee ,None,0,"Great Benefits and PTO Program
","Long hours and and better pay
Helpfu",,5.0,,,,,,,,
Fri Feb 05 2021," Senior Manager, Operations",,Current Employee ,Great company,0,"Fulfilling work in the Healthcare field
","In don't have anything to list
Helpfu",,5.0,5.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Senior Clinical Trial Associate,"Houston, TX",Current Employee ,Balanced Work,0,"Great boss, coworkers, steady work
","No formal training, a bit disorganized
Helpfu",,4.0,5.0,,,,,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Administrative Assistant,,Former Employee ,Great Company,0,"Good management, great work environment, fair pay and good growth opportunities
","HR was a mess and drama filled.
Helpfu",,4.0,4.0,4.0,5.0,5.0,4.0,Recommends,Positive Outlook,
Thu Feb 04 2021, Senior Pricing Manager,"Scottsdale, AZ",Current Employee ,Awesome Company,0,"Flexible schedules, good management. Great place to work.
","never-ending structural changes. Need more consistency from management.
Advice to Management
Promote from within.
Helpfu","Promote from within.
Helpfu",4.0,4.0,4.0,1.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Software Engineer,"Scottsdale, AZ",Current Employee ,Good company,0,"leadership offers lots of opportunities for growth
","I have been here for 2 years so far and every year there is one massive layoff of mostly contractors and then they rehire shortly after
Advice to Management
Stop getting rid of people only to replace them 2 months later
Helpfu","Stop getting rid of people only to replace them 2 months later
Helpfu",4.0,4.0,4.0,2.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Head of Benefits,"San Francisco, CA",Former Employee ,Good company,0,"Strong and new senior leadership team.
","Lack of opportunity for most non-core jobs
Helpfu",,4.0,2.0,2.0,2.0,3.0,3.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 01 2021, Implementation Analyst,"Atlanta, GA",Former Employee ,Implementation Analyst,0,"Good pay and good work life balance.
","Many people stay here for good salary, but due to this - it’s really hard to move up into leadership roles.
Helpfu",,4.0,4.0,4.0,3.0,3.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Account Manager,"Farmington, CT",Former Employee ,Sales Account Manager,0,"Good pay and great co-workers
","No work from home pre-covid.
Helpfu",,4.0,1.0,2.0,2.0,2.0,3.0,Approves of CEO,,
Sun Jan 31 2021, ISMC Customer Service Agent,"Dallas, TX",Current Employee ,great place to work,0,"everything is great at mckesson, all pros
","no cons, great place to work even better people
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 01 2021, Project Manager,,Former Employee ,MCK,0,"Great Company to work for
","Nothing that can me mentoned.
Helpfu",,4.0,4.0,4.0,3.0,3.0,4.0,,,
Sun Jan 31 2021, Accountant,,Former Employee ,Great,0,"Great culture and work life balance environment.
","I can’t think of any cons right now.
Advice to Management
None
Helpfu","None
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,,,
Mon Jan 25 2021,Anonymous,"San Francisco, CA",Former Employee ,They're headed in the right direction,2,"Overall a good company to work for. New senior leadership under Brian Tyler is headed in the right direction. There is something for almost everyone at this company.
","There is still work to be done:
1) more diversity in leadership (not just through DE&I efforts)
2) more investment in marketing
3) really figure out the areas of importance for the org so that employees are not spread so thin
Helpful (2",,4.0,3.0,4.0,2.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Wed Jan 27 2021, Project Manager,,Current Employee ,Great place,0,"Management style, personal improvement, support employees
","Need to improve career ladders
Helpfu",,5.0,,,,,,Recommends,Positive Outlook,Approves of CEO
Wed Jan 27 2021, Customer Service Representative (CSR),"Phoenix, AZ",Current Employee ,Good Company,0,"Steady job with steady hours, typical 9-5
","have to maneuver your way through the ladder yourself
Helpfu",,4.0,4.0,4.0,4.0,3.0,3.0,Recommends,Positive Outlook,Approves of CEO
Tue Jan 26 2021, Data Entry,"Nashville, TN",Former Employee ,good company,0,"paid time off, managment, salary
","flexible time, promotions, bonus, distance
Helpfu",,5.0,,,,,,,,
Tue Jan 26 2021,Anonymous,,Former Employee ,Great Resources,0,"They have great resources for employees.
","Large company that feels like you can get lost in the shuffle.
Helpfu",,5.0,,,,,,Approves of CEO,,
Thu Jan 21 2021, Sales Director,"Nashville, TN",Former Employee ,McKesson,1,"Public company, really good benefits
","Lots of red tape. management
Helpful (1",,5.0,4.0,4.0,4.0,4.0,4.0,,,
Mon Jan 25 2021, Operations Support Lead,"Louisville, KY",Current Employee ,Get what you give,0,"Paid time off, benefits, management team
","I do not have any
Advice to Management
Remain open and candid with your team and you cant lose
Helpfu","Remain open and candid with your team and you cant lose
Helpfu",4.0,4.0,5.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Jan 25 2021, Warehouse Worker,"Livonia, MI",Former Employee ,Easy job. Used rf hand scanner and pick orders,0,"M points for job performance and nice ppl
","Never knew when you were getting out
Advice to Management
Nothing wrong with the mgmt
Helpfu","Nothing wrong with the mgmt
Helpfu",4.0,2.0,3.0,3.0,3.0,3.0,Recommends,Positive Outlook,Approves of CEO
Mon Jan 25 2021, Solutions Architect,,Current Employee ,Good place to work,0,"BT definitely has a pulse on the organization
","RIFs seem to happen a lot
Helpfu",,4.0,,,,,,,,
Fri Jan 22 2021, Sales Account Manager,"Chicago, IL",Current Employee ,Great long term company,0,"Lots of career paths and ways to go. Options all around the country
","Very “corporate”, not as high pay as with a privately held company
Helpfu",,5.0,5.0,3.0,5.0,5.0,3.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 22 2021, Business Systems Analyst,"Pittsburgh, PA",Former Employee ,Great company to work for,0,"Lean six sigma certification offered training as well
","Can’t think of anything as a con
Helpfu",,5.0,5.0,5.0,4.0,5.0,5.0,,,
Thu Jan 21 2021, Sales Executive,"Dallas, TX",Current Employee ,So far so good,0,"Great team culture, collaborative and feel like I can be open
","A lot of efforts for cross collaboration but very difficult to do so given the size
Advice to Management
Do what’s right for the customer and you will never be wrong
Helpfu","Do what’s right for the customer and you will never be wrong
Helpfu",5.0,4.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Credit Analyst,,Former Employee ,Decent Company but Layoffs all the time. All kind of jobs go overseas.,1,"Good people . Decent pay. Good technology. Average benefits.
","All divisions outsource jobs overseas lots of layoffs all the time.
Advice to Management
If they could, they will send the driver jobs overseas.
Helpful (1","If they could, they will send the driver jobs overseas.
",3.0,4.0,3.0,3.0,3.0,3.0,Doesn't Recommend,Neutral Outlook,Disapproves of CEO
Wed Jan 20 2021, Data Integrity Specialist,N/A,Former Employee ,Nice Job,0,"Work life Balance, Helpful co workers
","No Cons, all experience is positive
Helpfu",,5.0,4.0,5.0,,,,,,
Wed Jan 20 2021, Customer Service Representative,"Scottsdale, AZ",Current Employee ,Great Company,0,"Mckesson is well organized and offer opportunities to promote within. Training is is available and leadership is available for guidance. It’s a wonderful place to build a career.
","None so far, in my experience the group is well run. Thank you.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
