date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Sun Feb 07 2021, Biotechnician Level II,"West Point, PA",Current Employee ,Amazing Opportunity,0,"Fun, great company, great pay, great benefits
","Long work times and other times very little work, strict management
Helpfu",,5.0,4.0,4.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Feb 07 2021, Associate Director,"Durham, NC",Current Employee ,Great Culture,0,"Merck does it’s best to build an inclusive environment. Expertise and experience is respected no matter where it comes from. Feedback is encouraged.
","Pharma is a demanding field.
Helpfu",,5.0,4.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Tue Feb 02 2021, Research Scientist,"Boston, MA",Current Employee ,Great company to work for,1,"Great benefits, good culture,good people.
","Takes too long to get promoted
Helpful (1",,5.0,5.0,5.0,5.0,4.0,4.0,Recommends,,
Thu Feb 04 2021, Operations Manager,"Lansdale, PA",Former Employee ,amazing company,0,"great benefits. great starting pay.
","My time at Merck was amazing.
Helpfu",,5.0,,,,,,,,
Fri Jan 29 2021, Project Manager,"Jersey City, NJ",Former Employee ,Great place to work,1,"Good benefits and competitive salary
","Workload can be higher than usual at times
Helpful (1",,5.0,3.0,5.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Jan 31 2021, Postdoctoral Fellow,"Rahway, NJ",Current Employee ,Great company!,0,"Benefits and internal opportunities of grown.
","HR could help more the postdocs on their professional develop inside of the company.
Advice to Management
I little of help and guidance of possible positions inside of the company would be great.
Helpfu","I little of help and guidance of possible positions inside of the company would be great.
Helpfu",5.0,5.0,5.0,4.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sat Jan 30 2021, Scientific Services,"Boston, MA",Current Employee ,Merck: Great Company,0,"Well equipped cutting edge science with fantastic minds
","IT support process can be frustrating
Helpfu",,5.0,5.0,5.0,5.0,4.0,4.0,Recommends,,
Fri Jan 29 2021," Associate Director, Talent Acquisition","Scottsdale, AZ",Former Employee ,High science,0,"Mature org, high science, ethical
","Slow to adapt to change, salary’s are a bit low for market
Helpfu",,5.0,3.0,4.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 28 2021,Anonymous,,Former Employee ,Great company,0,"Amazing company. Extremely demanding but professional and rewarding.
","Expectations are high but if you like challenges - it worth it:)
Helpfu",,5.0,4.0,4.0,4.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 22 2021, Associate Director,"Newark, NJ",Current Employee ,Awesome company,1,"Relaxed work atmosphere. Good benefits.
","Too relaxed!Old school & slow.
Helpful (1",,5.0,5.0,5.0,5.0,1.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Jan 25 2021, Biotechnician,"West Point, PA",Current Employee ,Great Company,0,"Great benefits and great pay.
","No flexible schedule. Conflict between company and union workers.
Helpfu",,5.0,,,,,,,,
Tue Feb 09 2021, Hospital Sales Representative,"Charleston, SC",Current Employee ,Great,0,"Benefits
Pension
Salary 
Work life balance
Excellent overall compensation plan
","Mgmt is very very slow to adjust
Old school thinking
Helpfu",,4.0,5.0,5.0,3.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 09 2021," Associate Director, Clinical Data Management","Rahway, NJ",Former Employee ,Extremely stressful environment,0,"pay, bonus, stock incentive, inspire points, holidays, summer fridays
","lack of leadership, employees are not being heard
Advice to Management
management should do quarterly surveys to all employees to provide feedback on their line managers; line managers and stakeholders give feedback to their team but no ability for employees to provide anonymous feedback about their managers; people are not happy but the benefits are too good to make the leap to leave.
Helpfu","management should do quarterly surveys to all employees to provide feedback on their line managers; line managers and stakeholders give feedback to their team but no ability for employees to provide anonymous feedback about their managers; people are not happy but the benefits are too good to make the leap to leave.
Helpfu",3.0,2.0,3.0,4.0,3.0,5.0,Approves of CEO,,
Sun Feb 07 2021, Biotechnician,,Current Employee ,Division between union and company,0,"Can make very good money and excellent benefits
","Can feel the division between union and company
Helpfu",,4.0,,,,,,,,
Mon Feb 08 2021, Lab Technician,"Houston, TX",Current Employee ,work,0,"great team work, everybody gets along well
","pay is not on market
Helpfu",,4.0,,,,,,,,
Thu Jan 21 2021, Product Technician,"Durham, NC",Current Employee ,Great company,0,"inclusive environment and great career advancement opportunities
","due to covid, may start to work at home first before night shift starts so less pay in first few mnths
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,,Approves of CEO
Thu Jan 21 2021, AVP,,Current Employee ,Great company,0,"Inclusive culture, great product portfolio
","Slow decision making in some situations
Helpfu",,5.0,4.0,,,,,Recommends,Positive Outlook,Approves of CEO
Thu Jan 21 2021, Pharmaceuticals Sales Representative,"New York, NY",Current Employee ,Awesome,0,"Best company to work for ever
","I have no cons other than frequent layoffs
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 21 2021," Engineering, Maintenance, &amp; Utilities","West Point, PA",Current Employee ,Reputable,0,"Provides enough resources to get the job done.
","Political dynamic struggles between union workers and engineers.
Advice to Management
Since Merck is a company that has a huge financial reservoir, providing engineering solutions shouldn’t be as big of a constraint.
Helpfu","Since Merck is a company that has a huge financial reservoir, providing engineering solutions shouldn’t be as big of a constraint.
Helpfu",5.0,,,,,,Recommends,Positive Outlook,Approves of CEO
Wed Jan 20 2021, Paralegal,"North Wales, PA",Former Employee ,Paralegal,0,"Bonuses, working remote, location, team-oriented
","I have none to share
Helpfu",,5.0,,,,,,,,
