date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Sun Dec 27 2020, Call Center Representative,"Utica, NY",Former Employee ,Good benefits,0,"Good benefits and managers were understanding
","Location was in a city I didn't like
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Director,"New York, NY",Current Employee ,Mother Met,0,"They have very good benefits
","Will not always be challenged
Advice to Management
Need to get off the executive floor and visit the people
Helpfu","Need to get off the executive floor and visit the people
Helpfu",5.0,4.0,4.0,3.0,3.0,4.0,Recommends,Neutral Outlook,No opinion of CEO
Mon Feb 01 2021, Account Manager,"Tampa, FL",Former Employee ,Great Place to Work,1,"Great home work life balance! Great benefits!
","Technology is really behind making getting things done quickly very difficult!
Advice to Management
Continue to invest in technology!
Helpful (1","Continue to invest in technology!
",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Insurance Sales Representative,"Cary, NC",Current Employee ,Changing big time from prior years,0,"Good money, hours are okay but not great.
","Being sold to Farmers, took away phone tiers so calls are slower, goals are getting too high
Advice to Management
Listen to your people more.
Helpfu","Listen to your people more.
Helpfu",4.0,4.0,5.0,5.0,3.0,5.0,Recommends,Negative Outlook,Disapproves of CEO
Sun Jan 31 2021, Senior Executive,"Marysville, OH",Former Employee ,Overall good experience,0,"Good benefits, reasonable compensation and bonuses
","Inconsistent review process and limited opportunities.
Helpfu",,4.0,4.0,3.0,4.0,3.0,4.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Fri Jan 22 2021, Director,"Scranton, PA",Current Employee ,Good people / No work-Life Balance,3,"Good pay, Good benefits
Good people. Nice facilities
","Work you to the bone
Advice to Management
Show your employees you care about them. You’re losing all your talent.
Helpful (3","Show your employees you care about them. You’re losing all your talent.
",4.0,1.0,3.0,4.0,4.0,5.0,Recommends,Positive Outlook,No opinion of CEO
Tue Jan 26 2021, Senior IT Security Analyst,"Cary, NC",Current Employee ,Sr. IT Risk and Security Analyst,1,"Benefits, stability, reputation, culture, location.
","Advancement, merit increases, salary, retention.
Helpful (1",,5.0,5.0,5.0,5.0,3.0,3.0,Recommends,Positive Outlook,Approves of CEO
Sat Jan 30 2021, Cst,"Charlotte, NC",Former Employee ,Call Center Environment in Claims,0,"Need to know how to run claims dept
","Great benefits. The company offer
Advice to Management
Need more experience beside Judy Metlife.
Helpfu","Need more experience beside Judy Metlife.
Helpfu",4.0,4.0,3.0,3.0,3.0,4.0,Recommends,Neutral Outlook,No opinion of CEO
Tue Jan 26 2021, Legal Assistant/Paralegal,"San Francisco, CA",Current Employee ,Paralegal experience,1,"Benefits, location, company stability, broad scope of training opportunities
","No transparency in compensation/performance ratings
Advice to Management
Make pay equity and career development a focus
Helpful (1","Make pay equity and career development a focus
",4.0,3.0,4.0,2.0,2.0,3.0,Recommends,Positive Outlook,Approves of CEO
Tue Jan 26 2021,Anonymous,,Former Employee ,Good company,0,"Good benefits, leadership, diversity, culture
","legacy systems, pace of change, innovation, talent
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
