date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Fri Feb 05 2021, Shift Lead,"Boise, ID",Current Employee ,Great company culture with a focus on people,0,"Great benefits such as birth leave for mothers and fathers, on site health and fitness center, flexible work arrangements. Leaders listen to the concerns of employees and make changes accordingly. Supports career growth. Promotes healthy work life balance. Hires and trains leaders who care about people. Boise itself is a great city. Had a great response plan for covid.
","Global company so can require evening meetings based on job role
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021, Graduate Student,"Chicago, IL",Former Employee ,NICE,0,"Good working environment and many sites around the world
","Poor location for the main site.
Helpfu",,4.0,,,,,,,,
Mon Feb 08 2021," Senior Manager, Marketing","San Jose, CA",Current Employee ,"Smart people, great products. Pace could be faster",0,"great benefit, work culture, smart people
","slow and steady which is good sometimes
Helpfu",,4.0,3.0,5.0,5.0,4.0,3.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021,Anonymous,"Boise, ID",Current Employee ,Moving in a good direction,0,"Lots of improvements to the culture like DEI, employee wellness, employee groups and WFH benefits. Almost a little too much of sharing sob stories.
","It’s a global company so expect to work and take conference calls at night.
Advice to Management
You stress career development and growth. Please consider promoting from within instead of always hiring from outside.
Helpfu","You stress career development and growth. Please consider promoting from within instead of always hiring from outside.
Helpfu",4.0,3.0,4.0,5.0,3.0,4.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Process Development Engineer,,Current Employee ,Good work life balance,0,"Amazing Work life balance overall
","More Perks would be good
Helpfu",,4.0,4.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Process Engineer,"Lehi, UT",Current Employee ,A great place to work!,0,"I fully enjoy working for this company.
","Lehi isn't currently running a lot of product. Sometimes this provides for a surplus of proactive projects with little tactical work. Depending on who you are, this could be a good or bad thing.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Product Yield Enhancement Engineer,,Current Employee ,Great place to work,0,"Excellent culture, lots of autonomy, good pay and benefits
","Sometimes the management seems a little inflexible
Helpfu",,5.0,4.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 01 2021, Firmware Test Engineer,"Longmont, CO",Current Employee ,Good Company,0,"good company to work on new tech
","work life balance is not good
Helpfu",,5.0,,,,,,,,
Tue Feb 02 2021, Senior Program Manager,"Boise, ID",Current Employee ,Rewarding Company,0,"Rewarded based on peformance
Team colloboration
Growth Oportunities
ERG - Culture
","More improvement on Work/Life Balance
Helpfu",,4.0,3.0,5.0,4.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sun Jan 31 2021, R&amp;D Process Development Engineer,"Boise, ID",Current Employee ,Good Place to Grow,0,"Very competitive compensation
Mentally engaging projects
Strong company mission and values 
Great people to work with
Room to grow
Diversity and Inclusion Programs
","Promotion process isn’t transparent 
Reoccurring layoffs in the past
Helpfu",,4.0,3.0,5.0,4.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sat Jan 30 2021, Student,"Provo, UT",Former Employee ,Great Internship,0,"Supportive and encouraging leadership who invested the time to teach me.
","Due to COVID couldn't hire me afterwards
Helpfu",,5.0,,,,,,,,
Sat Jan 30 2021, Mfg Engineer,"Salt Lake City, UT",Former Employee ,Good place to work.,0,"Benefits, complex work, opportunities to learn.
","Busy, market fluctuation and slow to change policies.
Helpfu",,5.0,3.0,4.0,3.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 29 2021, Systems Architect,,Current Employee ,Systems Architect at Micron,0,"Great benefits, lots to learn for someone who is beginning their careers
","Commodity business. Too much volatility
Helpfu",,5.0,5.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 29 2021, Analog IC Design Engineer,"Minneapolis, MN",Current Employee ,Talented People,0,"Interesting work and technology outlook
","Decisions not necessarily made at the correct level.
Helpfu",,4.0,4.0,4.0,1.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Wed Jan 27 2021, Design Engineer,"San Jose, CA",Current Employee ,Working environment,0,"Most of the co-workers are nice
","need to back to office during COVID-19
Helpfu",,4.0,,,,,,Positive Outlook,,No opinion of CEO
Wed Jan 27 2021, Senior Analyst,,Former Employee ,A good stepping stone,0,"Pay, benefits, coworkers, travel, equipment
","Management at mid tier levels are often woefully underqualified yes men
Advice to Management
Politics are not necessary in the workplace
Helpfu","Politics are not necessary in the workplace
Helpfu",4.0,4.0,4.0,4.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Jan 25 2021,Anonymous,,Current Employee ,Good stuff,0,"Pay is pretty good. Not the best in the industry but I'm not complaining. Technology is actually the coolest in the world. Most advanced manufacturing processes on the planet.
","Corporate red tape. Paper work for every change. Very political.
Advice to Management
Tell people 'good job' once in a while.
Helpfu","Tell people 'good job' once in a while.
Helpfu",4.0,4.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Jan 26 2021, Manager Package Development,"Boise, ID",Current Employee ,Satisfied,0,"Fast Pace and great benefits
","work life balance could use improvement
Helpfu",,4.0,2.0,3.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 09 2021, Sales,"Boise, ID",Former Employee ,"innovation first, people last",0,"good pay , low turnover, good benefits
","disjointed culture
zero recognition by middle management
too many thinkers, not enough doers
fails to promote mentorship
no emphasis on helping you grow
Advice to Management
just because an employee has concerns about new process does not mean they are a pessimist
Helpful
Micron Technology Response
February 11, 2021 – People and Culture
We appreciate you sharing your feedback. The Micron executive team has made strong efforts over the past year to increase communication with all team members and has facilitated discussions aimed at strengthening our culture across our various sites. We have grown our mentor network starting with mentoring programs within multiple employee resource groups to now providing resources for all team members within Micron University. In parallel, our People Development organization has invested heavily in providing learning opportunities such as a digital skills academy and access to external training classes and books","just because an employee has concerns about new process does not mean they are a pessimist
Helpful
Micron Technology Response
February 11, 2021 – People and Culture
We appreciate you sharing your feedback. The Micron executive team has made strong efforts over the past year to increase communication with all team members and has facilitated discussions aimed at strengthening our culture across our various sites. We have grown our mentor network starting with mentoring programs within multiple employee resource groups to now providing resources for all team members within Micron University. In parallel, our People Development organization has invested heavily in providing learning opportunities such as a digital skills academy and access to external training classes and books",2.0,2.0,2.0,3.0,2.0,4.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Mon Jan 25 2021, Design Engineer,"San Jose, CA",Current Employee ,Good,0,"It is developing very well
","Work life balance is poor
Helpfu",,4.0,,,,,,,,
Sat Jan 23 2021, PI Engineer,"Lehi, UT",Current Employee ,PI engineer,0,"Overall Good work life balance
","Uncertain future and product roadmap
Helpfu",,5.0,4.0,4.0,4.0,5.0,4.0,,,
Sun Jan 24 2021, Project Manager,"Houston, TX",Former Employee ,Great management,0,"Management really showed they cared
","Not a lot of upward movement opportunities
Helpfu",,4.0,3.0,4.0,3.0,2.0,4.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 22 2021, Senior Yield Enhancement Engineer,"Boise, ID",Current Employee ,Great place to work!,0,"Fantastic working environment! Helpful coworkers. Great learning opportunities.
","None I can think of.
Helpfu",,5.0,,,,,,,,
Fri Jan 22 2021, Principal Process Engineer,"Boise, ID",Current Employee ,Good Company,0,"Several career advancement opportunities, Open and multicultural, Good life/job balance
","Boise is far from everything.
Helpfu",,5.0,5.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 22 2021, Help Desk Technician,,Former Employee ,H,0,"Good very very very good
","Bad pay and very low staff
Advice to Management
Go for it
Helpfu","Go for it
Helpfu",4.0,3.0,3.0,3.0,3.0,3.0,Recommends,Positive Outlook,No opinion of CEO
Mon Jan 18 2021, Marketing Director,"Folsom, CA",Current Employee ,Solid Company,1,"good pay and benefits. Good working atmosphere. Quality people and good management
","like other hi-tech, some long hours, staffing is tight (not a lot of flexibility)
Helpful (1",,4.0,4.0,5.0,4.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
