date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Sun Feb 07 2021, Software Engineer,"Seattle, WA",Current Employee ,Awesome Company,0,"Work life balance
Interesting problems
Visible impact
","Bloated management, but it comes with any big company
Helpfu",,5.0,5.0,5.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Jan 28 2013,Anonymous,"Redmond, WA",Current Employee ,Thoughts after 10 years....,1792,"1. If you love tech, this is a great place. No doubt you'll talk tech (mostly the MSFT stack) from enterprise to consumer - from PCs to phones to Xboxes - from datacenter to desktop.

2. What were GREAT benefits are now VERY GOOD (took a small step down) but still probably better than you'll find at 99% of large corporations. If you've got family - the value of the benefits is even higher. 401k match is nice.

3. Even with it's struggles MSFT is still a cash printing machine. This means if you can keep your nose clean and do reasonable work, you can have a stable job, pay your bills, feed your family, and not worry (too much) about layoffs. The stock you own likely won't tank, but probably won't go up much either. You'll get a bonus each year and some stock. It's a decent life if you aren't looking to light the world on fire.
","Brand on Your Resume: After many years of losing market share and struggling to be at the front end of innovation and the fact that there's 90,000 employees, don't think MSFT is necessarily going to be attractive on your resume to more agile and smaller companies.

Managing Your Career: Make you say this out loud so it registers - 90,000 employees work there. Double that for vendors. It is VERY hard to ""stand out"" and move up in the company. Don't expect your manager to be much of an advocate or enabler to help you meet your career goals - they are basically trying to survive the stack rank every year too. Not familiar with the stack rank? Check out the 2012 Vanity Fair article called ""Microsoft's Lost Decade"".
Advice to Management
I'll type it here - but I don't they are listening...
1. Help proven talent move laterally in the company for new opportunities.
2. Kill/evolve the stack rank. Here's basically how it's viewed:. 30% of the company gets 1s and 2s - and they are happy. 50% get 3s and that basically feels like getting a ""C"" in school. This sucks for talented people when a multitude of UNCONTROLLABLE conditions keep you from getting into 1 or 2 range. The 20% getting anything below a 3 are walking dead. In summary, 70% of the company walk away from the review cycle feeling like crap. This is no good.

After 10 years, I'm leaving - it's just a matter of time until I find the right opportunity. I need to find a company spends 90% of it's time building technology experiences, as opposed to 90% of its time building PowerPoints. And I expect to refuse the exit interview - because if you really cared what I thought, you wouldn't ask me after I decided to leave.
Helpful (1792","I'll type it here - but I don't they are listening...
1. Help proven talent move laterally in the company for new opportunities.
2. Kill/evolve the stack rank. Here's basically how it's viewed:. 30% of the company gets 1s and 2s - and they are happy. 50% get 3s and that basically feels like getting a ""C"" in school. This sucks for talented people when a multitude of UNCONTROLLABLE conditions keep you from getting into 1 or 2 range. The 20% getting anything below a 3 are walking dead. In summary, 70% of the company walk away from the review cycle feeling like crap. This is no good.

After 10 years, I'm leaving - it's just a matter of time until I find the right opportunity. I need to find a company spends 90% of it's time building technology experiences, as opposed to 90% of its time building PowerPoints. And I expect to refuse the exit interview - because if you really cared what I thought, you wouldn't ask me after I decided to leave.
",4.0,4.0,2.0,2.0,4.0,,,,
Fri Feb 05 2021, Engineer,"San Jose, CA",Former Employee ,Great company,0,"Tech giant with vast potential.
","Easy to get lost in the mix.
Helpfu",,5.0,,,,,,,,
Mon Jan 25 2021, Software Engineer,,Current Employee ,Good job,3,"Great place to work and friendly epople
","People don’t have a life here and dedicate a lot of time to working
Helpful (3",,5.0,,,,,,,,
Thu Feb 04 2021, Manager,,Current Employee ,Great Overall,0,"benefits, work life balance, company culture
","large company, lots of red tape
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Software Development Engineer II,,Current Employee ,"Great culture, overall good pay /benefits and variety of teams",0,"Good culture, pay and perks. Variety of teams to work at
","Depending on team you might not be exposed to latest technologies
Helpfu",,5.0,4.0,5.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Software Development Engineer II,"Kirkland, WA",Current Employee ,"Great culture, benefits and pay",0,"Great culture, benefits and pay. Variety of teams
","Some teams might not be using latest technologies.
Helpfu",,5.0,5.0,5.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Senior Program Manager,"Redmond, WA",Current Employee ,Culture is everything,0,"Growth mindset, amazing culture and collaborative
","None I can think of
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, IT Site Leader,N/A,Former Employee ,good place,0,"nice people full of good ideas
","hard work and long hours
Helpfu",,5.0,,,,,,,,
Fri Feb 05 2021, Director,"San Francisco, CA",Former Employee ,Great Company,0,"Diversity of Products, Presence in the market, people
","Be agile, work on the SMB market
Advice to Management
Keep going
Helpfu","Keep going
Helpfu",5.0,5.0,4.0,4.0,5.0,5.0,Recommends,Positive Outlook,
Wed Feb 03 2021, Senior Customer Engineer,"Seattle, WA",Current Employee ,Amazing company to work at,0,"Great Work-life balance and benefits
","Communication between orgs can be challeging
Helpfu",,5.0,5.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Senior Software Engineer,"Seattle, WA",Former Employee ,Great company,0,"Great company, I would highly recommend working here
","Each team has a separate culture and interview process. You would often have to interview again for positions within the same company.
Helpfu",,5.0,4.0,4.0,2.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Data &amp; Applied Scientist,"Bellevue, WA",Current Employee ,Amazing Career Start,0,"Amazing place to start your career
","Turn around time for each product release may be slow
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,,,
Thu Feb 04 2021, Programmer,"New York, NY",Former Employee ,Awesome!,0,"Great people, culture, and values.
","None, at least from my experience.
Helpfu",,5.0,4.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Senior Support Escalation Engineer,,Current Employee ,Excellent Company,0,"Good benefits, good salary, do your job in the best way possible and you will never get in trouble.
","No complains of company so far.
Helpfu",,5.0,5.0,3.0,3.0,5.0,5.0,,,
Thu Feb 04 2021, Retail Sales Associate,"Manhasset, NY",Current Employee ,Na,0,"This company is great and get to pay Xbox
","No work day life and sometimes long hours
Helpfu",,5.0,,,,,,,,
