date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Thu Oct 01 2020, Senior Sales Service Representative,"Columbus, OH",Current Employee ,"Great Environment, Pay, Benefits",0,"No one is breathing down your neck, hard work is noticed and rewarded, outstanding pay and benefits.
","Sometimes you will have long days and on rare occasions you will be picking up slack for other workers.
Advice to Management
Keep doing what you're doing.
Helpfu","Keep doing what you're doing.
Helpfu",5.0,3.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 09 2021, Leader,,Current Employee ,Excellent Company!,0,"Safe and friendly environment overall
","Additional opportunities for all employees is not available
Helpfu",,5.0,3.0,3.0,5.0,2.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 09 2021, Sales Associate,"Albany, NY",Former Employee ,Good,0,"For a part-time job the pay was good and the people all very nice.
","The days could be very long.
Helpfu",,4.0,,,,,,,,
Tue Feb 09 2021, Marketing Director,"East Hanover, NJ",Former Employee ,Marketing Training,0,"Great place to build your brand management muscle.
","Work-life balance was difficult. Very much a rise or fly environment.
Helpfu",,4.0,3.0,4.0,3.0,5.0,5.0,,,
Wed Feb 03 2021, Merchandising/Point of Sale Manager,"East Hanover, NJ",Current Employee ,Snacking Powerhouse,0,"Modern, Dynamic and Growing Company
","Too many reorganizations, too much instability
Helpfu",,5.0,3.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Jan 31 2021, Associate Finance Director,"East Hanover, NJ",Current Employee ,Entrepreneurship at its best,0,"Let entrepreneurs be at their best at regional level
","Some aspects, especially at corporate level, are bureaucratic
Helpfu",,4.0,4.0,4.0,4.0,3.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Jan 26 2021, Merchandiser,"Woodbridge, VA",Former Employee ,Low stress but very repetitive,0,"-Management is very friendly and accommodating
","-Work is all physical and repetitive
Helpfu",,4.0,,,,,,,,
Tue Jan 26 2021, Sales Representative,"Baltimore, MD",Former Employee ,Good Company,0,"Great Company, with a bright future.
","Failure to prepare, you are preparing to fail.
Helpfu",,5.0,4.0,5.0,5.0,4.0,4.0,Recommends,,
Mon Jan 25 2021, Director Ecommerce,"Remote, OR",Current Employee ,Great company!,0,"Significant opportunities to grow and learn new skills and leverage many experiences across various channels/outlets and processes.
","I don't have anything negative to share about this company.
Helpfu",,5.0,,,,,,,,
Mon Jan 25 2021, Sales Strategy Manager,"East Hanover, NJ",Former Employee ,Good Company and Benefits,0,"Innovative, open minded, Likes Diversity
","Give up experience for less pay
Helpfu",,4.0,5.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sat Feb 06 2021, Reset Merchandiser,"Atlanta, GA",Current Employee ,short title,0,"You receive an raise each year
","Driving around to different stores
Helpfu",,3.0,,,,,,,,
Sun Feb 07 2021, Manager,"East Hanover, NJ",Current Employee ,Changes,0,"Socially Aware of the branding
","Constant Change, Off shoring of work
Helpfu",,3.0,3.0,3.0,2.0,2.0,3.0,Recommends,Neutral Outlook,Approves of CEO
Wed Jan 20 2021, Management,"Chicago, IL",Current Employee ,Challenging but rewarding,0,"Plenty of opportunities to lead and execute change with an engaged staff and work force.
","Challenging in that direction from leadership changes often and without warning. Some unrealistic expectations about what can be done in a day with all the obstacles that are in place.
Helpfu",,4.0,3.0,4.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Jan 19 2021, Sales Manager,"Chicago, IL",Former Employee ,Great company,0,"Recession proof food industry, leader in most categories they sell, focused on diversity and inclusion, competitive pay and benefits. If you are a millennial and diverse you have lots of opportunity here.
","Internally focused vs. customer focused.
Helpfu",,4.0,4.0,4.0,5.0,3.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 01 2021, Service Sales Representative,"Philadelphia, PA",Former Employee ,Salary,0,"Teamwork, great products, nice people
","The Work/life balance and training
Helpfu",,2.0,,,,,,,,
Sun Jan 17 2021, Sourcing Specialist,"East Hanover, NJ",Current Employee ,Great growth company,0,"Benefits, flexibility, positive culture, remote working
","Complex organization structure that can make the work seem more complicated than it should be
Advice to Management
Tackle complexity
Helpfu","Tackle complexity
Helpfu",4.0,3.0,4.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sun Jan 31 2021, Class A Cdl Truck Driver,"Tampa, FL",Current Employee ,Good job. Over managed,0,"Good pay good equipment home every day
","A lot of hours. 
In cab camera.
Advice to Management
Stop micro management
Helpfu","Stop micro management
Helpfu",3.0,1.0,3.0,4.0,1.0,4.0,Recommends,Neutral Outlook,No opinion of CEO
Sat Jan 16 2021, Sales Representative,"Charlotte, NC",Former Employee ,SR Review,0,"-upward mobility
-can achieve multiple bonuses 
-PTO
","-SR job is a grind 
-CAO ordering takes control out of your hands
Helpfu",,4.0,3.0,4.0,4.0,5.0,5.0,Recommends,Positive Outlook,No opinion of CEO
Thu Jan 14 2021, Global Supply Chain Director,"Chicago, IL",Former Employee ,GOod company,0,"Pay career progress and working enviroment
","politics too much change and instability
Helpfu",,4.0,2.0,3.0,5.0,3.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 14 2021, Director,"Newark, NJ",Former Employee ,Great company with great values and culture,0,"Fantastic brands and great people
","Too many layers of decision making
Helpfu",,4.0,4.0,4.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Jan 13 2021, Merchandiser,"Phoenix, AZ",Current Employee ,Great for self starters,0,"Works with your schedule, I'm a student and they work with me 
No direct supervisor on the job with you, if you are good at your job you'll never deal with bad management
","Start between 5-7 am which can be rough with late-night studying
Helpfu",,5.0,5.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
