date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Tue Oct 27 2020, Operator,,Current Employee ,Great place to work,0,"Great Company to work at
","Insurance is okay could be better
Helpfu",,5.0,5.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Wed Jan 06 2021, Former Employee,,Former Employee ,Wouldn't recommend,0,"There are many great people at NGL. 
If you end up working for a good manager, it can be an enjoyable workplace.
Work is usually very easy.
Snacks and coffee are abundant.
","Below-market compensation.
Executive management gives no direction; management style is flaccid at best.
Tech/IT infrastructure is decades behind competitors.
Annual bonuses are cancelled year after year, and salary raises are meager.
Exceptional work is rarely recognized and never rewarded.
Enormous employee turnover rate.
Advice to Management
Try to treat employees like people. Especially the good ones.
Helpfu","Try to treat employees like people. Especially the good ones.
Helpfu",3.0,4.0,3.0,4.0,2.0,2.0,Doesn't Recommend,Negative Outlook,
Mon Sep 21 2020, Water Solutions,"Greeley, CO",Current Employee ,Water solutions,1,"Schedule Is 4 on 4 off
","Literally everything else is terrible
Advice to Management
Stop hiring family
Helpful (1","Stop hiring family
",1.0,2.0,1.0,1.0,3.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Mon Aug 03 2020, Accounting,,Former Employee ,I should have paid attention to the reviews,4,"All workers there try so hard and work so hard with no tools or training and they try to make the best out of a lousy work environment. Kudos to the real workers.
","I have never seen more nepotism or cliques among the high executives in my life. Management is a joke. Never once had a formal review. I never even learned what their vision is. Maybe their motto it try their best to twist everything to their advantage. Retaliation is served to all employees that dare open their mouth like sweet candy. They prefer to pay for their private jet for the high rank people than spend money in better systems for higher productivity. Basically work with what you get and don't say a word. The lack of respect for their vendors is mind blowing. Not to mention that they shush everything under the rug like nothing ever happened. It basically feels like going back in time. The only thing they are missing in the whiskey bottle by the VP's desk and smoking at their desks.
Advice to Management
None because they will never listen.
Helpful (4","None because they will never listen.
",1.0,1.0,1.0,1.0,1.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Tue Jun 30 2020, Dispatcher,"San Antonio, TX",Current Employee ,Racist,5,"Money. That’s it. You’re a number.
","They hire their family and friends only 
If you’re not white you’re out of the cool kids club. Vp WILL call you names if your mental capacity isn’t up to par. I’ve personally heard him call a certain minority porch monkeys. It’s disgusting privileged behavior.
Helpful (5",,1.0,1.0,1.0,1.0,3.0,1.0,Doesn't Recommend,Negative Outlook,No opinion of CEO
Wed Apr 29 2020, Ticketing,"Denver, CO",Former Employee ,Would not recommend,3,"They are a stable company.
","Don't give reviews which allow opportunities for advancement and raises. There is a lot of favortism and nepitism within the company.
Helpful (3",,2.0,2.0,2.0,2.0,1.0,1.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Mon Mar 16 2020,Anonymous,"Denver, CO",Former Employee ,No honor among thieves,6,"Some really great people to work with that aren't tied to keeping the board members happy and just doing their jobs the best they can.
","It is a very political and toxic environment with no management support whatsoever in the top positions. Nepotism and sycophants are plentiful in all areas and most everyone lives in fear of one particular person who can let anyone go without cause. Steer clear of this very harsh and unscrupulous company.
Helpful (6",,2.0,1.0,1.0,1.0,1.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Sun Oct 06 2019, Operations Analyst,"Denver, CO",Current Employee ,Disconnected organization,2,"Friendly people and the healthy benefits are generous and competitive
","Rarely promote from within and have an extremely high turnover rate. Also, there is no company culture due to the fragmentation of multiple groups within the organization.
Advice to Management
Invest in entry level positions with leadership development, better pay and at least a performance review. People who stay are over-worked and under payed as others leave.
Helpful (2","Invest in entry level positions with leadership development, better pay and at least a performance review. People who stay are over-worked and under payed as others leave.
",2.0,4.0,2.0,2.0,2.0,2.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Wed Aug 28 2019, Busineess Analyst,"Denver, CO",Former Employee ,Centennial Energy Division is a great place to work,0,"I worked it the front office with the schedulers and marketers, in the Centennial Energy division. It was a great team, I loved working there, the people, the job, the benefits. I only left because I moved to another state. It was stressful, demanding and difficult at times, but you were part of team.
","NGL has low employee rating, and is constantly trying to do the same to Centennial, but with great management they have been held at bay.
Helpfu",,5.0,4.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Disapproves of CEO
Tue Sep 24 2019, Billing Specialist,,Former Employee ,"If I could give 0 stars, I would",2,"Allowed to work remotely, but usually unpaid. No pros come to mind when I think of this company.
","Extremely unprofessional enviornment, decent pay if you are willing to forego lunch and bathroom breaks to meet impossible deadlines, management makes no attempt to hide the fact that they choose favorites with no correlation to the quality or quantity of the work that employees do, extremely toxic and childish enviornment.
Advice to Management
CLEAN HOUSE
Helpful (2","CLEAN HOUSE
",1.0,1.0,1.0,2.0,1.0,2.0,Doesn't Recommend,Negative Outlook,
