date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Tue Jan 19 2021, Large Loss Adjuster,,Current Employee ,Great Company,0,"Great Pat, benefits and time off. Great team communication
","Lot of desk work and file notations per claim
Helpfu",,5.0,3.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Tue Feb 09 2021, Business Consultant,"Scottsdale, AZ",Current Employee ,A great company,0,,"ltant in Scottsdale, AZ
Recommends
I have been working at Nationwide full-time for more than a year
Pros
Strong support for internal associates
Cons
Pace of of ideas to implementation is a bit slow
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,,
Tue Feb 09 2021, Claims,,Current Employee ,Great Work Life Balance but Unstable,0,"Realistic work life balance, great time off and flexibility, great performance expectations, a lot of autonomy
","Lack of job security, layoffs or “reorgs” seem common, expense reduction taken out on the associates and not in other areas
Advice to Management
Treat employees as irreplaceable assets, not expenses to be cut
Helpfu","Treat employees as irreplaceable assets, not expenses to be cut
Helpfu",4.0,5.0,5.0,5.0,4.0,5.0,Recommends,Negative Outlook,Approves of CEO
Mon Feb 08 2021, Project Manager,"Columbus, OH",Current Employee ,"Great, caring Company",0,"Company cares about the the health, safety and engagement of employees.
","None, currently at this time
Helpfu",,5.0,5.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sat Feb 06 2021, Information Security Analyst,"Raleigh, NC",Current Employee ,N.A,0,"Always great people to work with and great money
","Great work atmosphere working with them
Helpfu",,5.0,,,,,,,,
Thu Feb 04 2021, Applications Product Manager,"Columbus, OH",Current Employee ,Great diverse company,0,"Amazing culture , networking, diversity equity and inclusion, very focus on grow your potential
","Can become who you know vs what you can do.
Advice to Management
Maybes less AVPs, VP, SVPs and directors with direct report and less reorgs.
Helpfu","Maybes less AVPs, VP, SVPs and directors with direct report and less reorgs.
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Pricing Manager,"Columbus, OH",Former Employee ,So much to like.,0,"Lots of opportunities for personal and professional growth. Variety of experiences in many departments. Large, stable, profitable enterprise.
","May be subject to reorganizations, job eliminations.
Helpfu",,4.0,4.0,4.0,4.0,5.0,5.0,Recommends,Positive Outlook,
Tue Feb 02 2021, Commercial Services,"Gainesville, FL",Former Employee ,Great but stressful,0,"Good pay, decent benefits but stressful
","Stressful, a lot of micro management
Helpfu",,4.0,3.0,4.0,3.0,3.0,4.0,Recommends,,
Wed Feb 03 2021, Claims Specialist II,"Columbus, OH",Former Employee ,Good Account,0,"Good time off policy, good pay
","at the time I left the work from home options were limited
Helpfu",,4.0,4.0,4.0,4.0,4.0,4.0,Recommends,,
Wed Feb 03 2021, Solutions Architect,,Current Employee ,Good Company,0,"Good place to work for future
","Salary low compared to competitors
Helpfu",,4.0,3.0,4.0,3.0,4.0,4.0,Recommends,Positive Outlook,
