date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Sat Feb 06 2021, Executive Assistant,"Los Angeles, CA",Current Employee ,Amazing company,0,"Great leadership, open communication, flexible time off policy, competitive pay, everything and ore you'd expect from this company.
","none that I can think of
Advice to Management
none
Helpfu","none
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Sep 20 2018,Anonymous,,Current Employee ,How much does a functioning human cost?,510,"- Paycheck
- So many good people
- Such a great service
- Hope
","I have been working for a year at Netflix.

I've seen what was supposed to be very mature people, sharing absolutely almost no contact that anyone would qualify as ""human"".
Sure, that sounds hyperbolic, let me develop (and maybe cherry-pick a little).

Have you heard about our culture? The one about giving candid feedback? - I have seen people complaining of behavior they literally demonstrated themselves in the following days.
But I have also seen these feedbacks resulting in tears both in the eyes of HR persons or fellow engineers. How human does that sound?

Have you heard about our culture? The one about not tolerating brilliant jerks? I have nonetheless seen angriness and frustration, expressed in private, public and meeting. People rejecting new ideas by default, like, any ideas they wouldn't have worked themselves on for days wouldn't count. Even if those ideas are from the best examples in the industry or academics. How many publications/contributions have you seen from Netflix to computer science in general? How does it compare against any other company of that size in the Bay Area? Can you imagine either the real insecurity (x)or the lack of innovation that could lead to this situation?

Except for a few managers, directors or VPs feeling free enough to behave at work in the same way than how they live, almost every engineer I have been interacting with, have shared as little as possible about their private life.
The rare exceptions of interpersonal exchange ends up around some sort of competitive behavior: Who is the most geeky, sportive, owns the fastest car/biggest house/visited the strangest place.

I've heard workaholic people complaining about ambitious peers who were over-managing, over-working to get even more work to do after. I feel like we're past workaholism at this point.

Maybe there are a lot of shy people! Maybe there is a culture of fear, not only of being fired, but also a fear of interacting with people going to be fired.
Maybe it's all in my head, maybe people giving 5 stars to their experience here don't care the human aspect of a company. And maybe they're right.

What about your crush, your fears, your desires for the future, your appetite for life? I've been blessed to work in enough large companies to know that the behavior that I'm seeing in Netflix is not a healthy one. I've also been lucky enough to work in other industries more socializing than tech and I can tell that Netflix has a lot to do on that side, and off-sites or team meeting won't solve that problem.

I am afraid about the tragic, but inevitable consequences of the ways people operate in this company: I guess that the day the worst will happen, it will be addressed in an impersonal memo by Reed; followed-up by 1 or 2 reminders during offsites. Possibly commented by HR in a Q&A document. And move on. This company seems as reactive in its management of people as it is proactive in its business operations.

I still work at Netflix though, not only for the paycheck, but because I hope. I hope it will change. The needed change can't happen from a candid feedback, a Q&A, or only from inside.
Change has to come from everyone, including people who take time to read comments like this one. Netflix has so many good people and offers such a great service.

As a curious Netflix employee reading this review: think about your past, isn't there a big human thing that you would love to feel again in your current company that you've felt in the past?

As a candidate: think about what would be a good question to ask to that HR partner once your package is almost here to be offered to you, think about that comment you make at the end of an interview when you're being asked by an engineer: ""Do you have any question for me?""
What Netflix needs is an inception, something that anyone and everyone would think about after leaving the call or the room they were sharing with you.
Ask yourself, and then the others, the question you should ask if you think you want to spend a good amount of your life and energy in the place you're applying for.

- Will I learn and contribute to the knowledge of other's? Even outside the company?
- Will I see emotional responses from my peers? Will that be for other reasons than being fired or bluntly criticized?
- Will I find a friendly environment that will nurture my appetite for life?
- What is the amount of emotional interaction (celebrating, sharing, playing) to expect from a company whose service is the best to ""entertain""?
- Do androids dream of electric sheep?
Advice to Management
Ask yourself those questions
Helpful (510","Ask yourself those questions
",3.0,2.0,1.0,5.0,5.0,4.0,Doesn't Recommend,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Manager,,Former Employee ,Great place to work,1,"Surrounded by really smart people, interesting work
","None that I can think of
Helpful (1",,5.0,3.0,5.0,5.0,5.0,5.0,Recommends,,Approves of CEO
Wed Feb 03 2021, Analyst,"Los Angeles, CA",Former Employee ,Great company,0,"Solid company would recommend working for
","Work a lot, expect to work long hours
Helpfu",,5.0,1.0,4.0,3.0,3.0,4.0,Recommends,Neutral Outlook,No opinion of CEO
Wed Jan 27 2021, Associate,"Los Angeles, CA",Current Employee ,"Half year in, mostly positives",0,"- Top of market pay
- Incredible group of colleagues
- Can-do attitude from most teams
- Bold vision, no fear to make mistakes
- Employees are treated like adults
","- Constant change 
- Culture trying to keep up with increasing complexity
- No clear criteria for promotions
Helpfu",,5.0,4.0,5.0,5.0,4.0,5.0,Recommends,Positive Outlook,No opinion of CEO
Mon Jan 25 2021,Anonymous,"Los Gatos, CA",Former Employee ,"Solid Workplace, Some Scale and Growth Pains",0,"Amazing comp, some really great people, good work-life balance, emphasis on employee empowerment and autonomy, wonderful offices (except those LA elevators).
","Consensus across groups or orgs can be really challenging. Growing pains around maintaining culture at scale are a problem. A few people believe they are far stronger at their role than they actually are.
Advice to Management
Figure out how to pair your teams with the architects around the company. Be a champion for shared needs while maintaining a level of the shelter and protections for your teams that you provide today.
Helpfu","Figure out how to pair your teams with the architects around the company. Be a champion for shared needs while maintaining a level of the shelter and protections for your teams that you provide today.
Helpfu",5.0,5.0,5.0,4.0,2.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Jan 25 2021, Senior Data Scientist,,Current Employee ,great culture,0,"salary, freedom and responsibility, salary, unlimited time off, stunning colleagues
","stressful work environment due to fast pace
Helpfu",,5.0,3.0,5.0,5.0,3.0,5.0,Recommends,Positive Outlook,
Sun Feb 07 2021, Marketing Manager,"Los Angeles, CA",Current Employee ,Fast pace,0,"Competitive but you learn a lot from working as a lead in Netflix culture
","Time consuming- work life balance might be hard to hold while you're working here but you get what you need
Helpfu",,4.0,2.0,4.0,5.0,4.0,5.0,Recommends,Positive Outlook,
Mon Feb 08 2021, Production Coordinator,"Hollywood, CA",Former Employee ,Not worth the perks,0,"Incredible benefits and health coverage with competitive pay
","Unrealistic timelines and work hours
Advice to Management
Self-help books and therapy
Helpfu","Self-help books and therapy
Helpfu",2.0,1.0,2.0,1.0,3.0,5.0,Doesn't Recommend,Neutral Outlook,
Fri Feb 05 2021, Marketing,"Los Angeles, CA",Former Employee ,Changing,0,"It's Netflix so part of faang
","It's netflix so very competitive
Helpfu",,4.0,2.0,4.0,3.0,4.0,5.0,Recommends,Negative Outlook,Approves of CEO
