date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Sat Feb 06 2021, Registered Representative,,Current Employee ,Great Place to Work,0,"Unlimited earning potential
Set your own schedule
Advancement opportunities
","Income can sometimes be variable
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021, Financial Advisor,"Waltham, MA",Former Employee ,Good place to train,0,"The training is top notch.
","All your pay is commission-based.
Helpfu",,4.0,2.0,4.0,5.0,4.0,4.0,Doesn't Recommend,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Administration,,Current Employee ,Great company,0,"Mutual company... everybody works for the client
","Long-term employees... some limited growth speed at the lower level
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Administrative Assistant,,Current Employee ,Fantastic Company | Fantastic Team,0,"Freedom, great support system, motivating
","Nothing that I can see
Helpfu",,5.0,,,,,,Recommends,,
Fri Feb 05 2021, Audit Senior Associate,"New York, NY",Former Employee ,Great place to work,0,"-Great culture of work life balance
-People are great
-Training is always available for those who want to keep on learning
-Really takes care of employee well being (a bit conservative culture, which is great when dealing with things like COVID)
","-Slower pace than other industries such as banking or consulting
-Compensation is okay, but not top of market
Helpfu",,4.0,5.0,5.0,4.0,4.0,3.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Agent,"Charleston, SC",Current Employee ,Agent,0,"freedom to plan a schedule for yourself
","micro-managing and wasted time in class
Helpfu",,4.0,5.0,4.0,4.0,4.0,4.0,,,
Thu Feb 04 2021, New York Life,"Dallas, TX",Current Employee ,Great company! Happy to be here,0,"You do such valuable work as a career. Lots of flexibility, and the benefits are nice (more comprehensive than a lot of other sales careers). There are many ways to move on up in this career as well. The DFW office has managers that are happy to help. I couldn't ask for anything better.
","It's definitely not for the faint of heart. It takes a lot of discipline and self-motivation to be successful as an agent.
Helpfu",,4.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Human Resources,"New York, NY",Current Employee ,Great company,0,"The environment is cooperative and welcoming
","No cons at working at New York Life
Helpfu",,4.0,,,,,,,,
Thu Feb 04 2021, Insurance Agent,"New York, NY",Current Employee ,Great Company,0,"Stable, great culture, solid products
","Training and direction are sometimes lacking
Helpfu",,4.0,3.0,5.0,5.0,4.0,3.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Insurance Agent,"New Haven, CT",Current Employee ,New York Life Agent,0,"Great company and top-notch training
","No salary. Commission only. Makes it difficult to get on your feet.
Advice to Management
none
Helpfu","none
Helpfu",4.0,5.0,5.0,5.0,3.0,5.0,Recommends,Neutral Outlook,No opinion of CEO
Mon Feb 01 2021, Financial Services Professional,,Current Employee ,You are your own business owner,0,"Flexible schedule, access to large amount of company Resources, help with meetings from established agents
","Hard to maintain consistent name flow, must not be scared to cold call
",,4.0,5.0,5.0,5.0,5.0,4.0,Approves of CEO,,
Fri Jan 29 2021, Financial Adviser,"Richmond, VA",Current Employee ,Money can be made,0,"You can make a lot of money
","You could also suck and not be good at the job
Advice to Management
Take more time out of your day to train people.
Helpfu","Take more time out of your day to train people.
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 29 2021, Insurance Agent,"Grand Rapids, MI",Current Employee ,Non,0,"The amount of training and knowledge you gain
","None at this time. So far so good.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,,,
Thu Jan 28 2021, Agent,"Brea, CA",Former Employee ,Agent Career,0,"supportive environment. brand recognition of firm.
","sales and production requirements takes away from role of being an advisor
Helpfu",,4.0,5.0,5.0,5.0,5.0,3.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 29 2021, Sales,,Current Employee ,Good,0,"hours are nice and you make them up
","commission only so no salary
Helpfu",,4.0,,,,,,,,
Fri Jan 29 2021, Licensed Agent,,Current Employee ,Amazing Educational Tools,0,"Career Advancement
Educational Programs 
Mentorship 
PRofessional Guidance
","A lot of information at once 
Ledger is confusing
Helpfu",,4.0,3.0,3.0,3.0,5.0,4.0,Positive Outlook,,
Thu Jan 28 2021, Staff Accountant,,Current Employee ,Job,0,"Great staff and great location
","No cons at all with this job
Helpfu",,5.0,,,,,,,,
Thu Jan 28 2021, Agent,"Pittsburgh, PA",Former Employee ,For the line of work you won't find a better company,0,"Lots of support from your partner and education on the products. There is money to be made, it takes a lot of time and energy to get your business off the ground. The question is whether you have the network, the perseverance, and the money to support yourself during those months.
","Commission only and no help with generating leads.
Helpfu",,5.0,4.0,,,,,Recommends,Neutral Outlook,No opinion of CEO
Tue Jan 26 2021, Financial Services Professional,"Schaumburg, IL",Current Employee ,Sell Financial and insurance services,0,"Flexibility, control, learning and experiences
","You get what you put in
Helpfu",,5.0,5.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,
