date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Thu Jan 28 2021, Associate Financial Analyst,"Juno Beach, FL",Current Employee ,Great values and culture,0,"Job security, great culture, great benefits
","Formal hierarchy, I can’t think of anything else
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 09 2021, Maintenance Engineer,"Jensen Beach, FL",Current Employee ,At the Forefront of Renewable Energy,0,"The company is always looking to improve products, services, and internal processes.
","One drawback to the company's focus on continuous improvement is the desire to accomplish the same or more work with fewer employees each year. The result is a smaller, overly stressed workforce that is challenged to produce consistently high-quality work. This feels particularly true the farther away you work from headquarters, as if your facility and business unit are an afterthought to executive leadership.
Advice to Management
If the company won't hire more people or even fill existing vacancies, then at least limit existing employees' workload to that of approximately one Full-Time Equivalent (FTE). Otherwise, work quality and productivity will continue to decline.
Helpfu","If the company won't hire more people or even fill existing vacancies, then at least limit existing employees' workload to that of approximately one Full-Time Equivalent (FTE). Otherwise, work quality and productivity will continue to decline.
Helpfu",4.0,2.0,3.0,5.0,4.0,4.0,Doesn't Recommend,Positive Outlook,Approves of CEO
Mon Feb 01 2021, Regulatory Specialist,,Current Employee ,Good Company,0,"Great company with values that are inline with future innovations.
","While we are leaders in clean energy, our processes and data management seems to be stuck in the 90s.
Helpfu",,4.0,5.0,5.0,5.0,5.0,5.0,Recommends,Neutral Outlook,Approves of CEO
Mon Feb 08 2021,Anonymous,,Current Employee ,Good forward-looking company,0,"You get to work on cutting-edge problems in the energy space.
","There is too much red tape, and a really big company culture.
Advice to Management
Cut the red tape.
Helpfu","Cut the red tape.
Helpfu",3.0,3.0,3.0,2.0,2.0,3.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 22 2021, Senior Data Scientist,"West Palm Beach, FL",Current Employee ,Great company,0,"Fantastic company for growth and interesting problems
","A lot of the work can be non-data science related
Helpfu",,5.0,5.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 21 2021, Engineer,"Houston, TX",Former Employee ,NE,0,"Great company to work for
","None to report at this time
Helpfu",,5.0,,,,,,,,
Fri Jan 15 2021, Mechanical Engineer,"Port St Lucie, FL",Former Employee ,"good company, great benefits",0,"good company. Benefits are good. Peopole are good
","very big company with over 25K people. Sometimes makes me wonder if you are just a number.
Helpfu",,4.0,3.0,4.0,3.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Jan 13 2021, Wind Technician,"San Antonio, TX",Current Employee ,Opportunity for growth,0,"There is a lot of opportunity for growth, due to the addition of more wind sites.
","The amount of overtime that you will get will be different for every site, but I work in a site that is older that 5 year and there are a lot of repairs needed
Helpfu",,5.0,1.0,5.0,4.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Jan 25 2021, Project Manager,"Miami, FL",Current Employee ,Not Very Competitive,0,"Pension, 401k, amenities and dining
","Very little room for advancement. Pay and benefits are rather poor for the size of this company.
Advice to Management
Promote more women. Pay women what they’re worth.
Helpfu","Promote more women. Pay women what they’re worth.
Helpfu",3.0,1.0,3.0,2.0,2.0,2.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Fri Jan 08 2021, Marketing,,Current Employee ,"Great company, tons of opportunity",0,"Great culture full of very smart people and a lot of opportunities for career development.
","Work culture can be a bit old school sometimes. Promotions can often take longer than one would hope because of log jam of long-time employees.
Helpfu",,5.0,4.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 08 2021, Software Architect,,Current Employee ,Great Company,0,"Great company and good work life balance
","More transparency across the levels
Helpfu",,5.0,,,,,,Recommends,Positive Outlook,Approves of CEO
Fri Jan 08 2021, Maintenance Supervisor,"Two Rivers, WI",Former Employee ,Great opportunities,0,"Great Co-workers, Great opportunities, not boring
","Work life balance is loss.
Advice to Management
Remember your greatest asset. (people)
Helpfu","Remember your greatest asset. (people)
Helpfu",4.0,1.0,4.0,5.0,5.0,5.0,Recommends,Positive Outlook,No opinion of CEO
