date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Mon Feb 08 2021, Assistant Head Coach,,Current Employee ,Amazing job and company,0,"Nike has been a wonderful company to work at that takes care of their employees
","Must move up in the company for competitive pay, athlete pay is low
Helpfu",,5.0,4.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021, Director Innovation,"Beaverton, OR",Former Employee ,Director Innovation,0,"Great place to work, Work life balance
","Slow decision making, Too centralized
Helpfu",,5.0,5.0,5.0,4.0,5.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Sat Feb 06 2021, Athlete (Seasonal),"New York, NY",Former Employee ,Great first job,0,"Discount, training, working with like-minded people
","Hard to advance and grow
Advice to Management
None
Helpfu","None
Helpfu",5.0,2.0,5.0,5.0,2.0,2.0,Recommends,Positive Outlook,
Sat Feb 06 2021, Retail Sales Associate,"Tuscaloosa, AL",Former Employee ,Nike Athlete (Sales Associate),0,"Pay, Discount, Free Gear, Environment, Nike
","Weekend Work, Long hours at times, Stressful at times
Advice to Management
Continue working to improve Nike Apps
Helpfu","Continue working to improve Nike Apps
Helpfu",5.0,5.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sat Jan 30 2021, Employee Relations Manager,"Hillsboro, OR",Former Employee ,Great culture.,2,"Good events at work, pretty campus location, good team atmosphere. I love the casual vibe. If you are a Sports Fan it’s good to be around it all day. Stretch assignments were encouraged in my work group. Really diverse leadership team.
","Stays pretty flat but can feel hierarchical at times. Atmosphere is almost too casual sometimes.
Helpful (2",,5.0,5.0,5.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Nike Athlete,,Current Employee ,Great company,0,"Employee Stock purchase
Paid time off
","Long hours
Dealing with people, Coworkers
Managers
Helpfu",,5.0,,,,,,,,
Fri Feb 05 2021, Executive Assistant,"Beaverton, OR",Current Employee ,"Dream job, I love what I do",0,"Partnership in role, autonomy to make decisions, strategic thinking, doing the right thing, salary, teammates
","benefits aren't the best, costs are high and mental health benefits have changed recently making it harder to find good care.
Helpfu",,5.0,4.0,4.0,4.0,5.0,3.0,Recommends,Positive Outlook,No opinion of CEO
Wed Feb 03 2021, Team Member,"Cool Springs, TN",Former Employee ,great company,0,"Easy going company, great uniforms, inclusive, & diverse.
","None that i can think of.
Helpfu",,5.0,5.0,5.0,5.0,3.0,3.0,,,
Wed Feb 03 2021, Part,,Former Employee ,Friendly Environment,0,"Met some great people. Amazing Discount. Positions opened regularly.
","Have to work on weekends. Must have a pretty open schedule to work
Helpfu",,5.0,,,,,,Recommends,,
Thu Feb 04 2021, Salesperson,,Former Employee ,Nike is great for HS students,0,"Great benefits for part time employees
","Odd hours: can work late or early in morning
Helpfu",,5.0,,,,,,,,
Thu Feb 04 2021, Director,,Current Employee ,Great,0,"Great company with growth and People
","Busy long hours throughout the day
Helpfu",,5.0,,,,,,,,
Wed Feb 03 2021, Global Talent Acquisition Director,"Beaverton, OR",Current Employee ,Good place to work,0,"Opportunity to impact change. Lots of opportunity to showcase individual talents and work as a team with others.
","Sometimes appear disjointed as the organization moves quickly
Helpfu",,5.0,3.0,5.0,5.0,4.0,3.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Senior User Experience Designer,"Beaverton, OR",Current Employee ,Amazing Company to Work For.,0,"Good pay and benefits. Very empowering with lots of room for growth.
","Difficult working in the massive corporate environment and getting thoughts shared up to leadership. Lots of talk about change but nothing happens. Most of this depends on what team you are working on.
Helpfu",,5.0,5.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 01 2021,Anonymous,,Current Employee ,Great place to work,0,"Great benefits, great working environment
","Risk of layoffs every 3 or so years causes fears.
Helpfu",,5.0,4.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 01 2021, Nike Athlete,"Orange, CA",Current Employee ,Very good job while attending school.,0,"Coworkers are very nice and easy to get along with. Management is very easy to talk to and will work with you.
","Part time does not get full employee benefits.
Advice to Management
Have an open door policy.
Helpfu","Have an open door policy.
Helpfu",5.0,5.0,5.0,5.0,3.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Nike Part Time Athlete,"Moreno, Riverside, CA",Current Employee ,Student athlete with 11 years of Football and boxing experience and great physic,0,"Great physic,Young with a lot of talent i can do all stuns thrown at me good under pressure dreams of being in the NFL Hard worker WORK ETHIC LIKE NO OTHER.
","No car,busy parents , Most likey to work from home will get rides to photo shoots at all times
Advice to Management
Give me a chance I promise I won’t disappoint Raised by Military mother.I would love to become a Nike Model or athlete
Helpfu","Give me a chance I promise I won’t disappoint Raised by Military mother.I would love to become a Nike Model or athlete
Helpfu",5.0,3.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Jan 31 2021, Seasonal Sales Associate,"West Palm Beach, FL",Former Employee ,Seasonal Athlete,0,"Great pay and benefits along with schedule flexibility
","Hard to get hours - barely got 20 hours a week
Helpfu",,5.0,5.0,5.0,5.0,3.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Jan 31 2021, Athlete,,Former Employee ,Great Place to Work,0,"Working at Nike was great and the discounts were good
","Having to work holidays because its retail
Helpfu",,5.0,,,,,,,,
Mon Feb 01 2021, Stretch Lead,"Houston, TX",Current Employee ,Great company.,0,"Interactions with consumers, Opportunity for growth.
","Can get repetitive in some situations.
Helpfu",,5.0,,,,,,,,
Mon Feb 01 2021, Sales,N/A,Former Employee ,Good company,0,"good place to work and develop
","Management looks over your shoulder too much
Helpfu",,5.0,,,,,,,,
Sat Jan 30 2021, Marketing Manager,,Former Employee ,very good,0,"very good verygood very good good
","none none oneo none nonue
Helpfu",,5.0,5.0,,,,,,,
Sat Jan 30 2021, Program Manager,"Beaverton, OR",Former Employee ,Solid place to build professional experience,0,"Okay pay and good benefits
","Inconsistent pay scales and career opportunities
Advice to Management
Use more data
Helpfu","Use more data
Helpfu",5.0,4.0,4.0,3.0,4.0,3.0,Recommends,Positive Outlook,Approves of CEO
Sat Jan 30 2021, Lead Data Engineer,,Former Employee ,Amazing culture,0,"Great Company, nice perks, great wlb
","Tech changes too quickly and amazing
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 28 2021, Nike Athlete,"Beaverton, OR",Former Employee ,"Great company, awesome benefits, coworkers were okay.",0,"Great company, awesome perks and benefits
","Co-workers were unmotivated, didn't care, did the bare minimum to pass by
Helpfu",,5.0,,,,,,,,
Thu Jan 28 2021, Sale Manager,N/A,Former Employee ,Great company,0,"Good work environment. Company respects work life balance.
","They could pay more on their commission structure
Helpfu",,5.0,,,,,,,,
Wed Jan 27 2021, Social Media Manager,"Los Angeles, CA",Former Employee ,yes,0,"we received very good discounts
","we worked very long hours
Helpfu",,5.0,4.0,4.0,4.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Jan 27 2021, Athlete,,Current Employee ,Good,0,"Good pay, flexible, advancement opportunities
","9 hour shifts are a big con
Helpfu",,5.0,,,,,,,,
Wed Jan 27 2021, Lead Engineer,"Beaverton, OR",Current Employee ,If you have body you are an athlete,0,"Employee store passes, best Medical benefits, Summer Friday
","Salaries are not competitive with market
Helpfu",,5.0,4.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 28 2021, Head Cashier,N/A,Former Employee ,Head,0,"Great company to work for
","Not a good life work balance
Helpfu",,5.0,,,,,,,,
