date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Tue Feb 09 2021, Supply Chain Procurement Specialist,"Sterling, VA",Current Employee ,They’re great where it counts,0,"Good atmosphere, family like environment, great benefits, and room for growth.
","Going through some tough compliance changes but it will be better when we are done.
Helpfu",,5.0,4.0,5.0,4.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 09 2021, Cyber Security Analyst,"San Diego, CA",Current Employee ,Employment,0,"Growth, Diversity, hands on training, 401k, education benefits
","Depending on job site would be the growth.
Helpfu",,4.0,3.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021, Strategic Supply Chain Manager,"Lake Zurich, IL",Former Employee ,Great company,0,"Overall great long term working experience
","None that I can think of mentioning
Advice to Management
N/a
Helpfu","N/a
Helpfu",5.0,,,,,,,,
Mon Feb 08 2021,Anonymous,"Redondo Beach, CA",Current Employee ,Good place to grow,0,"Good place to learn things and work on impactful projects
","Poor communication between upper management and employees.
Advice to Management
Stop pushing unrealistic deadlines and account for delays in a project as an inevitability of team engineering.
Helpfu","Stop pushing unrealistic deadlines and account for delays in a project as an inevitability of team engineering.
Helpfu",4.0,3.0,4.0,4.0,4.0,4.0,,,
Mon Feb 08 2021, Principal Engineer,"Redondo Beach, CA",Current Employee ,Fair wages good balance,0,"Fair wages, good balance, patriotic work
","Slow advancement, red tape, classified
Helpfu",,4.0,,,,,,,,
Mon Feb 08 2021, Staff Chief Engineer,"Baltimore, MD",Current Employee ,Happily employed,0,"Benefits, opportunities to try different roles, education support
","Work life balance can be a problem sometimes, expect to hit the ground running
Helpfu",,4.0,3.0,4.0,3.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021, Principal Mechanical Engineer,"Redondo Beach, CA",Current Employee ,Mech Eng III,0,"401k Company Matching and Resources.
","Training can lack depending on the job.
Helpfu",,4.0,,,,,,,,
Sun Feb 07 2021, Associate Electrical Engineer,"Dulles, VA",Former Employee ,Great company with a decent benefits,0,"Good Work life balance and company culture
","It can be quite stressful sometimes
Helpfu",,5.0,,,,,,,,
Sun Feb 07 2021, Master Program Scheduler,"Palmdale, CA",Former Employee ,"Responsible for planning, scheduling, coordinating, and monitoring products through the complete production cycle",0,"Great company for career opportunity!
","There are no cons in my opinion!
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Feb 07 2021, Software Engineer II,"Bellevue, NE",Current Employee ,"Great work, benefits, salary",0,"Great company culture, flexible hours and understanding management, good salary, opportunities and benefits.
","Security clearance requirements and the overhead that comes with it.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021,Anonymous,"Baltimore, MD",Former Employee ,Overall Experience,0,"Great work-life balance, stable, opportunity to try different functions, focus on professional development, good team collaboration
","Highly bureaucratic, work as an analyst can feel mundane, lack of connection with the bigger picture
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
