date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Mon Jan 25 2021, Financial Representative,,Current Employee ,Great company to work for but pure commission,0,"Strong leadership and mentorship from higher ups who will hold you accountable. Ability to be flexible with meetings since youre incharge of your own scchedule
","You're an individual contractor so you need to be the one putting the work in or you will not make any money so lots of hours put in for work
Helpfu",,5.0,3.0,5.0,4.0,5.0,4.0,Approves of CEO,,
Tue Feb 09 2021, Financial Advisor,"Philadelphia, PA",Current Employee ,Hard work but can pay off,0,"Unlimited earning potential.
Basically work for yourself which allows you to make your own schedule.
Have the opportunity to really help people with their personal and financial goals, especially since most are not aware of what's possible.
","100% commission for the most part besides some bonuses for doing activity. It is tough but can pay off if you're willing to work.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021, Financial Advisor,"New York, NY",Current Employee ,Love my job!,0,"You run the show, hire your own staff, create your own lead sources, have a huge family of support, company is very well off
","Like any business ownership it is NOT easy
Advice to Management
Continue to be conscious of how different people take advice and feedback
Helpfu","Continue to be conscious of how different people take advice and feedback
Helpfu",5.0,2.0,4.0,4.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021, Financial Representative,"Miami, FL",Former Employee ,Entry Level Slow Start,0,"Uncapped commission and flexible schedule can lead to successful sales
","Calling to build book of business can be tricky
Helpfu",,4.0,5.0,4.0,5.0,3.0,4.0,,,
Sat Feb 06 2021, College Financial Representative,"Raleigh, NC",Former Employee ,Great company to build a foundation of skills,0,"learned a great deal about insurance
","I didn't really have any cons about this company
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Feb 07 2021, Workforce,,Current Employee ,Good Company,0,"Good secure company to work for. Employee engagement is important. Good pay.
","There's always changes, but sometime you aren't given the full picture of those changes.
Helpfu",,4.0,5.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021,Anonymous,"Philadelphia, PA",Current Employee ,Great Company + Growth Opportunities,0,"Fortune 500 company that offers training, development and resources needed to be successful. If you are a self-starter and driven, you can do very well here. Leadership and the support team provide coaching to help guide you and keep you on track to hit your goals. Fun culture of work hard/play hard. Company allows you the flexibility but must be disciplined to achieve your goals.
","If you do not utilize your resources offered including mentorship, licenses & additional trainings, you will limit yourself. Company offers a lot of guidance and tools to be successful.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Financial Representative,,Current Employee ,Good!,0,"great atmosphere, schedule, and pay
","creating your own book of business from scratch
Helpfu",,5.0,,,,,,,,
Fri Feb 05 2021, Associate Software Engineer,,Former Employee ,Great culture!,0,"Everyone is just there to do their best. Lots of time and freedom to explore your skills and career path. If you're interested in some technology, it's likely to be represented in some product somewhere. Autonomy.
","Compensation could be higher. But you get plenty of time off with PTO and recognized holidays. Even more now during the pandemic.
Advice to Management
Excellent job!
Helpfu","Excellent job!
Helpfu",4.0,5.0,5.0,4.0,3.0,4.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Financial Representative,"Charlotte, NC",Current Employee ,Huge upside if you're willing to prospect,1,"great work/life balance, flexible hours, can pay very well if you network correctly
","full commission, some months are slower than others
Helpful (1",,4.0,5.0,5.0,5.0,5.0,3.0,Recommends,Neutral Outlook,
