date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Tue Feb 09 2021, Process Engineer,"Jewett, TX",Former Employee ,"Good Company, Questionable Leadership",0,"Great benefits, awesome pay, really good group of guys on the line to work with
","Got throttled by a supervisor who was hesitant to let me execute projects that would have great benefits to our site. She had no idea how to manage or lead me, and it made working there very difficult.
Advice to Management
Trust your people with more, and mentor the younger employees coming out of college. They're hungry for leadership and responsibility, and need that leadership & mentorship to get there.
Helpfu","Trust your people with more, and mentor the younger employees coming out of college. They're hungry for leadership and responsibility, and need that leadership & mentorship to get there.
Helpfu",5.0,4.0,5.0,4.0,4.0,5.0,Recommends,Neutral Outlook,
Sat Jan 30 2021, Caster Technician,"Blytheville, AR",Current Employee ,Great job but not a lot of time off,0,"Great money and great people
","Schedule isn’t great and long hours
Helpfu",,5.0,,,,,,,,
Tue Feb 09 2021, Engineer,,Current Employee ,Bad culture,0,"Bonus yearly was not bad overall
","Middle of nowhere, nothing to do
Helpfu",,3.0,1.0,1.0,3.0,3.0,3.0,Doesn't Recommend,Positive Outlook,Approves of CEO
Tue Jan 19 2021, Maintenance Millwright,"Frostproof, FL",Current Employee ,Great company,0,"They really care about you
","Rotating shift work kinda sucks
Helpfu",,5.0,4.0,5.0,5.0,5.0,4.0,,,
Mon Jan 18 2021, Director EHS,,Former Employee ,Great company,0,"Not a lot of oversight and everyone works as a team.
","If you are not a high performer you will not fit in
Helpfu",,5.0,4.0,5.0,5.0,5.0,3.0,Recommends,,
Mon Jan 11 2021, IT Systems Specialist,"Charlotte, NC",Former Employee ,Nice Experience,0,"Welcoming Environment, Great Benefits, Bonuses
","Not enough support on the IT Corporate department
Advice to Management
Hire more IT's for the Corporate side of the department
Helpfu","Hire more IT's for the Corporate side of the department
Helpfu",4.0,2.0,4.0,1.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 21 2021, Painter,"Norfolk, NE",Former Employee ,love being a welder,0,"team work, family, the pay, the weather, benefits
","dumb supervisors, bad team mates, bad working conditions, safety is not 1
Advice to Management
great place to not work
Helpfu","great place to not work
Helpfu",3.0,3.0,3.0,2.0,3.0,3.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Mon Jan 04 2021, Test Analyst,"Irving, TX",Current Employee ,excellent company,0,"very good work as team
","shift work is not easy
Helpfu",,5.0,,,,,,,,
Sun Jan 03 2021, Safety Coordinator,"Dallas, TX",Former Employee ,Good place to work,0,"Good team environment to work.
","Lack of advancement for some professions.
Helpfu",,4.0,,,,,,,,
Thu Jan 14 2021, Crane Operator,,Former Employee ,Another big corporation,0,"they are very upfront of what they expect of you
","no work and home life balance pay scales are very geared to keeping it unknown what you will bring home
Helpfu",,3.0,,,,,,,,
Fri Dec 18 2020, Production,"Little Rock, AR",Current Employee ,Good job,0,"The pay is great. Decent benefits
","rotating shifts from nights to day is difficult
Helpfu",,4.0,4.0,4.0,3.0,4.0,4.0,,,
Fri Jan 15 2021, Welder,"Florence, SC",Former Employee ,Review,0,"Money great insurance is great
","Hard work leadership is lacking
Helpfu",,1.0,,,,,,,,
Mon Dec 07 2020, Production Supervisor,,Current Employee ,Good Company,0,"Pay is very good here
","Work Life balance can be a challenge
Helpfu",,4.0,2.0,5.0,5.0,3.0,3.0,Recommends,Positive Outlook,Approves of CEO
Mon Dec 07 2020, Maintenance Engineer,"Blytheville, AR",Current Employee ,Great place to work,0,"Great culture, pays well, and very safe.
","4 on 4 off shifts. Bad locations
Helpfu",,4.0,2.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Dec 03 2020, Production,"Tuscaloosa, AL",Current Employee ,Nucor,0,"Good Pay and quality coworkers
","Swing shifts, pretty much have to suck someone off to move up
Advice to Management
You have talent inside your building. Utilize it.
Helpfu","You have talent inside your building. Utilize it.
Helpfu",5.0,3.0,4.0,4.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Nov 23 2020, Industrial Electrician,"Jewett, TX",Current Employee ,"Great people, dynamic environment",0,"Great benefits, pay, and training. Unparalleled culture
","It is very hot at a steel mill
Advice to Management
Keep it up
Helpfu","Keep it up
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Dec 23 2020,Anonymous,,Former Employee ,DO NOT WORK IN SALES AT NUCOR,1,"the bonus makes you stay for the $ if you like making $70k base for the rest of your life, while giving up all life and relationships outside work
phone, laptop, etc
good for people that don't have career goals and are not in sales
","-force you to come into the office during COVID even though most people are working from home at Nucor
-extreme micromanaging managers will send 15 emails/calls a day to ask if you did something yet
-managers find every reason to give you a ""write up"" , then put you in a room full of managers to explain why you think its okay to talk about anything personal at work
-NO career advancement, NO culture, NO values
-you are not valued as a person, you are only a money machine to them. if Nucor doesn't come first to you, they will fire you or make life difficult
-0 training for the role, 0 appreciation for your impact on the team, being the only person in the role, managing multiple locations' needs, with no support, and still delivering excellent results
-80+ hour weeks and forced to travel to see people DURING COVID
-toxic workplace/borderline abusive of managerial power; disrespectful and intrusive managers
-high employee turnover in sales for all of the above reasons
Advice to Management
the cons should give enough ideas for ""advice to management"" about what should change. I hope no one else is fooled into working for this company.
Helpful (1","the cons should give enough ideas for ""advice to management"" about what should change. I hope no one else is fooled into working for this company.
",1.0,1.0,1.0,1.0,1.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Wed Nov 11 2020, Project Coordinator,,Current Employee ,Great place to work,0,"salary, vacation time, bonuses, advancement opportunities
","could have better insurance offered
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Nov 10 2020, Detailer,"Modesto, CA",Current Employee ,Good company,0,"Weekly pay, good people, bonuses
","Everyone is working from home so it can be messy
Helpfu",,4.0,,,,,,,,
Thu Oct 29 2020, Production Coordinator,"Jewett, TX",Current Employee ,Nucor Steel- GREAT COMPANY,0,"pay, benefits, security, long term employment
","No cons...fortunate to work for such a great company.
Helpfu",,5.0,3.0,5.0,4.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
