date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Tue Jan 19 2021, Landman,"Denver, CO",Former Employee ,Great place to work,0,"Team environment and able to work with all disciplines
","Fast paced but treated with respect
Advice to Management
Keep up the good work
Helpfu","Keep up the good work
Helpfu",5.0,4.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 09 2021, Facilities Engineer,"Midland, TX",Former Employee ,Positive,0,"Worked for Anadarko before the OXY Merger. Great pay and benefits.
","None to mention, overall great company.
Helpfu",,4.0,,,,,,,,
Tue Feb 09 2021, Administrative Assistant,,Current Employee ,Great company overall,0,"Pre-COVID- this company had great benefits
","There is very little room for growth as a lot of employees have been with the company for years.
Helpfu",,4.0,4.0,4.0,3.0,2.0,3.0,No opinion of CEO,,
Tue Feb 09 2021, Project Geologist,"Houston, TX",Former Employee ,great company with great people and benefits,0,"global assets and lots of variety of projects
","bought anadarko which is a big debt
Advice to Management
great CEO!
Helpfu","great CEO!
Helpfu",4.0,5.0,4.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Office Administrator,,Former Employee ,Great company,0,"Great people to work with.
","Schedule might be very hectic sometimes
Helpfu",,4.0,4.0,4.0,4.0,4.0,4.0,,,
Wed Feb 03 2021, Consultant,,Former Employee ,Great place to work!,0,,"ltant 
Recommends
No opinion of CEO
I worked at Occidental Petroleum full-time
Pros
Terrific place to work. I have no complains about Oxy.
Cons
Hard to get opportunities in other departments
Helpfu",,4.0,5.0,4.0,4.0,3.0,5.0,Recommends,,No opinion of CEO
Thu Feb 04 2021, Automation Advisor,"The Woodlands, TX",Former Employee ,Great when it was Anadarko,1,"Great knowledgeable people to work with. The culture was all about family and respecting each other.
","Oxy came in acting like they were better than the Anadarko folks. Also, their level of knowledge and professional was lacking.
Helpful (1",,2.0,3.0,1.0,3.0,2.0,2.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Wed Jan 20 2021, Engineer,"Houston, TX",Former Employee ,good place,0,"location is a good location, yes
","i don't have any bad things to say
Advice to Management
n/a
Helpfu","n/a
Helpfu",4.0,5.0,4.0,5.0,4.0,5.0,Recommends,Neutral Outlook,Approves of CEO
Wed Feb 03 2021, HSE,"Houston, TX",Former Employee ,Good paying job,0,"Too many people in charge
","Not being part of a click
Helpfu",,3.0,3.0,3.0,3.0,3.0,3.0,Recommends,Neutral Outlook,Approves of CEO
Sun Jan 17 2021, Staff ITS Administrator,,Former Employee ,Anadarko was a great place to work,0,"Salary, benefits, total compensation, and the people!
","Very challenging environment to work in, which is not necessarily bad. You are expected to be a top performer in your industry.
Helpfu",,5.0,,,,,,,,
Fri Jan 15 2021, Senior Director,"Houston, TX",Former Employee ,Great company,0,"Benefits, location, bonus and coworkers
","Work life balance. They will work you to death
Helpfu",,5.0,2.0,4.0,2.0,4.0,4.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Thu Jan 14 2021, Administrative Assistant,"Denver, CO",Former Employee ,Good job,0,"The PTO, flexible schedule, and my manager
","Dealing with a lot of people talk the time.
Helpfu",,4.0,4.0,4.0,4.0,4.0,4.0,,,
Tue Jan 26 2021, Landman,,Former Employee ,Disorganized leadership,1,"Smart people who care in the land department in Denver, good benefits, not micro-managed.
","Oxy management has no idea how to integrate two large companies. Slowly contracting industry.
Advice to Management
Learn what others are doing well and don't be stuck on the ""Oxy Way"".
Helpful (1","Learn what others are doing well and don't be stuck on the ""Oxy Way"".
",3.0,4.0,3.0,4.0,3.0,3.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Wed Jan 13 2021, Senior Engineer,"Houston, TX",Current Employee ,Great company to work for,0,"Pay, flexibility, time off, 401k, bonus and stocks
","Can get very busy time to time. Each area is in their silo.
Advice to Management
Create opportunities to cross pollinate in various BUs.
Helpfu","Create opportunities to cross pollinate in various BUs.
Helpfu",5.0,5.0,4.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Jan 27 2021, EHS Specialist,"Denver, CO",Former Employee ,Good for a while,0,"Good benefits and the pay is good
","Became a number. No value in their employees
Helpfu",,3.0,,,,,,,,
Mon Jan 11 2021, Senior Auditor,"Houston, TX",Former Employee ,Occidental Petroleum,0,"Good pay, bonus, benefits, and time off
","Communications are not frequent to employees
Helpfu",,5.0,5.0,,,,,,,
Mon Jan 11 2021, Anonymous Position,"Denver, CO",Former Employee ,Great pay! Great benefits! Great bonuses! Communication... meeeehh!,0,"People Pay Bennies Culture annual bonus
","Newly acquired... needs to work out the links
Advice to Management
Stay transparent!
Helpfu","Stay transparent!
Helpfu",4.0,4.0,4.0,2.0,5.0,5.0,Recommends,Neutral Outlook,Approves of CEO
Wed Jan 06 2021, Drilling Engineer,"Houston, TX",Former Employee ,Past Employment,0,"The people were amazing and the work was exciting!
","The industry as a whole is cyclical, but no negatives in working with Oxy!
Helpfu",,5.0,,,,,,,,
Tue Jan 05 2021, Information Technology,"Midland, TX",Former Employee ,Great Company,0,"Good company to work for.
","There were no cons about working for oxy
Helpfu",,5.0,5.0,4.0,5.0,3.0,5.0,Recommends,Neutral Outlook,No opinion of CEO
