date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Wed Jan 13 2021, Director,,Former Employee ,Great to work and balance with life,0,"Great product, service, and awareness in the market
","Low salary, compensation, and benefit
Helpfu",,5.0,5.0,5.0,5.0,5.0,2.0,,,
Tue Oct 21 2014, Technical Analyst III (Support),"Denver, CO",Former Employee ,"Great benefits, good people, slow innovation, no raises",1005,"Every group/division can be different in how they treat their employees, but I'd say overall there is very good atmosphere of trust and fairness. There is a strong focus on education, and they reimburse for outside classes taken (Up to 5k/year I think). Benefits are good, and I'd say quite competitive in the market. Good 401K matching (they'll contribute a max of 3% of your 6% or greater). Free drinks in the breakroom. Flexibility to work from home at times. (If you live 50+ miles away from an office you can work full-time from home...policy).
","They don't try to make the workplace anything special (maybe a pool table and arcade game are cliche or gimmicky?). In the 10 years I've worked there, they've given 2 measly %1 cost of living raises (this is the same with most everyone I've spoken to, some don't get any raises). You will not get a substantial raise ever, unless you leave then get rehired on (they will not match offers, better to leave). New employees that you train will make 10 - 20K more than you several years after you hire on (not just me, they do this to all tenured employees). They will give these untrained, less experienced people higher titles (again this is done to everyone not just me). You learn pretty quickly that you're dispensable. The company has billions in cash and they don't re-invest in their employees, just in acquiring new companies and hiring new people that know nothing that you get to train.
Advice to Management
Relax on the multi-million dollar VP salaries and bonuses for a few years so that you can reinvest in your employees. It's obscene how a company will not try to retain it's employees who play the most pivotal part in bringing in the money that you horde from them.
Helpful (1005","Relax on the multi-million dollar VP salaries and bonuses for a few years so that you can reinvest in your employees. It's obscene how a company will not try to retain it's employees who play the most pivotal part in bringing in the money that you horde from them.
",4.0,3.0,3.0,2.0,3.0,3.0,Recommends,Positive Outlook,Disapproves of CEO
Mon Feb 08 2021, Sales,"Burlington, MA",Current Employee ,Great pay,0,"Great company and culture overall.
","A lot of moving parts
Helpfu",,5.0,,,,,,,,
Mon Feb 08 2021, Director,,Former Employee ,Great Company to work for,0,"Great place to work for liked it
","Nothing, I wish Sun was not acquired
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021, BDC,,Former Employee ,Great work environment,0,"Great work environment, incredible office space, and good people
","The ups and downs of sales wasn’t for me
Helpfu",,5.0,,,,,,,,
Mon Feb 08 2021, Project Manager,,Current Employee ,Comfortable Work Environment,0,"Overall not a bad place to work - most roles are now remote or have flexible locations, pay is decent, benefits are good, great work-life balance
","pay is a bit lower than market value, not a ton of upward mobility, some unmotivated colleagues
Helpfu",,4.0,5.0,3.0,3.0,3.0,3.0,,,
Mon Feb 08 2021, Manager ,"Broomfield, CO",Current Employee ,Good place to Work,0,"Very happy in the role, Lots of training/career growth both internal and external, great people, strong brand recognition
","Slow moving development, use of Oracle tools over other open source software
Helpfu",,4.0,,,,,,Recommends,Neutral Outlook,Approves of CEO
Sun Feb 07 2021, Account Manager,"Los Angeles, CA",Former Employee ,good,0,"good place to work. nice people
","no cons for this company that i can think of
Helpfu",,5.0,,,,,,,,
Mon Feb 08 2021, Consultant,,Current Employee ,Great Team Environment,0,,"ltant 
Recommends
Positive Outlook
No opinion of CEO
I have been working at Oracle full-time
Pros
Great team environment. People willing to share time and experience to get the job done.
Cons
Pressure to succeed. Raises do not occur regularly.
Helpfu",,4.0,4.0,3.0,4.0,3.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Mon Feb 08 2021,Anonymous,,Former Employee ,Good entry level job,0,"Good benefits, good opportunity to learn and grow knowledge.
","Lack of opportunities for advancement.
Advice to Management
Improve advancement structure
Helpfu","Improve advancement structure
Helpfu",4.0,,,,,,,,
Sat Feb 06 2021, Solution Engineer,,Current Employee ,Great place to work at,0,"Very happy with my job. I have a great supportive and collaborative team. The organization encourages growth and invests in their employees. Has been very supportive during covid.
","I dont have any cons to report.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,,,
