date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Tue Dec 01 2020, Maintenance,"Paulsboro, NJ",Former Employee ,Was a good place to work,0,"good pay with good people
","could be forced to work weekends and holidays
Helpfu",,5.0,2.0,2.0,5.0,1.0,5.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Wed Jan 27 2021, Electrical Inspector,"Martinez, CA",Current Employee ,Inspector,0,"Good pay
Good people
Opportunities for advancement
Safety culture
","Working around dangerous processes and chemicals
Helpfu",,4.0,4.0,4.0,5.0,4.0,4.0,Recommends,Neutral Outlook,
Wed Jan 06 2021, Chemical Engineer,"Torrance, CA",Current Employee ,Solid job,0,"Flexible, hands on opportunity, fast-paced provides lots to learn, high salary, lots of room for growth and mobility.
","24/7 operation occasionally hinders plans, not hip to times, needs improvement on diversity and inclusion (industry as a whole).
Helpfu",,4.0,2.0,2.0,2.0,4.0,5.0,Recommends,Neutral Outlook,No opinion of CEO
Sat Jan 16 2021, Process Operator,"Paulsboro, NJ",Former Employee ,"Great salary, lots of headaches",0,"Excellent salary, decent opportunity for overtime. Great co-workers
","Horrible middle managment. Micromanage and continuously make poor decisions. Safety culture needs work.
Advice to Management
Clean house in your middle management department
Helpfu","Clean house in your middle management department
Helpfu",2.0,3.0,3.0,2.0,2.0,4.0,Recommends,Negative Outlook,Disapproves of CEO
Tue Jan 12 2021, Maintenance,,Current Employee ,ok pay bad management,0,"oka pay and benefits but that is not all you need from a job
","over 50% of management with low education and no skills
Advice to Management
Get educated managers, GED is not enough for manager
Helpfu","Get educated managers, GED is not enough for manager
Helpfu",3.0,3.0,2.0,2.0,1.0,3.0,Approves of CEO,,
Mon Dec 21 2020, Process Engineer,"Chalmette, LA",Current Employee ,Upstart Company Trying to Figure Out How to Operate Long-Term,0,"A large amount of opportunity to learn. Not as bureaucratic as competition.
","Very little room for career growth.
Helpfu",,4.0,2.0,3.0,1.0,2.0,4.0,Recommends,Negative Outlook,
Thu Jan 21 2021, Operator,"Paulsboro, NJ",Former Employee ,Terrible Company,0,"Good pay, good hourly coworkers to work with.
","Company is poorly ran from the Upper management down to the daily supervisors. They don't care about their employees only their numbers.
Advice to Management
Treat the ones who actually make money for the company with respect.
Helpfu","Treat the ones who actually make money for the company with respect.
Helpfu",1.0,3.0,1.0,1.0,1.0,3.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Sun Dec 06 2020, Refinery Operator,"Paulsboro, NJ",Current Employee ,Weak union,0,"Good benefits, good pay, good employees
","Paying union does for a terrible union
Advice to Management
Stop thinking everyone’s trying to screw you over when they call out sick
Helpfu","Stop thinking everyone’s trying to screw you over when they call out sick
Helpfu",4.0,2.0,3.0,5.0,1.0,5.0,Doesn't Recommend,Negative Outlook,No opinion of CEO
Tue Nov 24 2020, Board Operator,"Paulsboro, NJ",Current Employee ,Great pay,0,"Great pay live a good life
","Shift work. Miss holidays birthdays at times but you get 7 day break every month.
Helpfu",,5.0,3.0,5.0,5.0,5.0,5.0,Recommends,Neutral Outlook,Approves of CEO
Tue Dec 08 2020, B Operator,"Paulsboro, NJ",Former Employee ,Lay-offs could have been avoided,0,"Good Pay and good benefits
","Terrible management and business decision
Helpfu",,3.0,4.0,2.0,4.0,2.0,4.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Tue Nov 24 2020, Senior BPC Architect,"Jersey City, NJ",Former Employee ,Good Work environment,0,"Managers are good. They work with consultants
","very very micro management at job
Helpfu",,4.0,5.0,5.0,5.0,2.0,2.0,,,
Fri Nov 20 2020, Instrument Engineer,"Paulsboro, NJ",Current Employee ,Good place,0,"Fair-minded, good teamwork, good pay
","Plant closing is possible at some point
Helpfu",,4.0,3.0,,,,,Recommends,Neutral Outlook,
Wed Dec 02 2020, Machinist,"Paulsboro, NJ",Current Employee ,Lucrative,0,"The pay is great but the treatment isn't.
","Always try to do more with less and sometimes it doesn't work.
Advice to Management
Don't cut off your nose to spite your face.
Helpfu","Don't cut off your nose to spite your face.
Helpfu",2.0,4.0,2.0,3.0,3.0,5.0,Recommends,Neutral Outlook,No opinion of CEO
Fri Nov 13 2020, Process Operator,"Paulsboro, NJ",Current Employee ,Process Operator at PBF Energy,0,"Great pay
Vacation time
401k benefits
Health insurance
","Company does not value employees as well as others.
Helpfu",,4.0,3.0,4.0,4.0,4.0,4.0,Recommends,Negative Outlook,Disapproves of CEO
Wed Nov 11 2020, Oil Refinery Operator,"Paulsboro, NJ",Current Employee ,Good people,0,"Pay, coworkers, and management. Good culture.
","Shift work and having to work on holidays
Helpfu",,5.0,3.0,5.0,5.0,5.0,5.0,Recommends,Negative Outlook,No opinion of CEO
Wed Nov 04 2020, Assistant Ops Manager,"Paulsboro, NJ",Former Employee ,Pbf energy,0,"Good people. Good Job. Time off. Solid pay.
","Working holidays and miss family activities do to shift work.
Helpfu",,4.0,4.0,5.0,4.0,3.0,4.0,Recommends,Neutral Outlook,No opinion of CEO
Wed Nov 04 2020, Process Operator,"Denver, CO",Current Employee ,Great company to work for,0,"Safe, reliable environment with good maintenance group
","Company is consolidating due to Covid
Helpfu",,4.0,4.0,4.0,4.0,1.0,4.0,Recommends,Negative Outlook,Approves of CEO
Fri Oct 30 2020, Process Operator,"Paulsboro, NJ",Current Employee ,PBF energy,0,"A great place to work.
","Shutting down many units soon.
Helpfu",,4.0,,,,,,,,
Sun Nov 08 2020, Engineering,,Former Employee ,PBF ENERGY,0,"Good compensation and benefits package
","difficult Work life balance and hours
Helpfu",,3.0,,,,,,,,
Sat Oct 03 2020, Operator,"Chalmette, LA",Current Employee ,Operator,0,"Good benefits, work and salary
","Difficult management and a lot of politics.
Advice to Management
Learn to listen to your employees. You constantly preach that we should do things a certain way. Then we do those things and NOTHING is fixed or changes. So eventually we stop doing things that way and then you all start to complain again.
Helpfu","Learn to listen to your employees. You constantly preach that we should do things a certain way. Then we do those things and NOTHING is fixed or changes. So eventually we stop doing things that way and then you all start to complain again.
Helpfu",4.0,4.0,3.0,4.0,3.0,5.0,Recommends,Neutral Outlook,No opinion of CEO
Thu Oct 29 2020, Lab Technician,"Brandywine, DE",Current Employee ,No severance,0,"The money is good but no longevity with this corporation.
","No severance. No benefits. Just let you go. No loyalty to employees.
Advice to Management
Treat employees better
Helpfu","Treat employees better
Helpfu",1.0,1.0,3.0,1.0,1.0,3.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Sun Sep 20 2020, Chemical Engineering Co,"Oregon, OH",Former Employee ,First Term Co-op,0,"Great experience in oil industry, great coworkers and treated very well.
","I had no downsides of working at PBF.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Oct 19 2020, Manager,"New York, NY",Former Employee ,Manager,0,"Attractive Salary, Bonus, Stock options and other benefits
","Company values are not exemplified by senior leaders
Helpfu",,1.0,1.0,1.0,1.0,1.0,5.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Fri Oct 16 2020, Process Operator,"Chalmette, LA",Former Employee ,Management Failure,0,"pay and benefits match quality of life.
","budgeting woes and poor decision making by board of directors
Advice to Management
its looks bad on your decision making when you lay people off during a pandemic. you only contribute to problems instead of helping fix them.
Helpfu","its looks bad on your decision making when you lay people off during a pandemic. you only contribute to problems instead of helping fix them.
Helpfu",1.0,5.0,5.0,5.0,5.0,5.0,Recommends,Negative Outlook,Disapproves of CEO
Thu Sep 03 2020, Analytical Technician,"New Orleans, LA",Current Employee ,Company review,0,"Small refining sector company that definitely counts all the marbles and expects employees to do more and more with no extra compensation.
","No real opportunity for upward mobility
Helpfu",,3.0,2.0,1.0,2.0,2.0,2.0,Recommends,Neutral Outlook,Approves of CEO
Tue Aug 18 2020,Anonymous,,Current Employee ,Good place to work,0,"I learned a significant amouunt
","They rarely hire from within
Helpfu",,4.0,4.0,4.0,4.0,4.0,4.0,Doesn't Recommend,Negative Outlook,Approves of CEO
Wed Aug 12 2020, Currently Unemployed,"Chatham, NJ",Former Employee ,It was a pretty good place to work,0,"It is close to home, has decent work/life balance, most people are great to work with
","Has had its first ever round of layoffs and mandatory pay cuts.
Helpfu",,3.0,,,,,,,,
Mon Jul 27 2020, Mechanical Engineering Co,"Oregon, OH",Former Employee ,Mechanical Engineering Co-Op,0,"High salary and interesting projects
","Overall I enjoyed my experience here
Helpfu",,5.0,4.0,5.0,5.0,5.0,4.0,Recommends,Neutral Outlook,
