date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Thu Dec 03 2020, Campus Recruiter,"Pittsburgh, PA",Current Employee ,Great culture and people!,0,"Lots of opportunities to grow and develop. A great place to have a career!
","Not much to say here.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 10 2021, Financial Analyst,,Former Employee ,Good overall experience,0,"Good culture and growth opportunities
","Not challenging, need more networking opportunities
Helpfu",,4.0,,,,,,,,
Wed Feb 10 2021, Digital Marketing Lead,"Pittsburgh, PA",Current Employee ,Good place to work,0,"High job security, good environment
","Pay scales are weird. Some positions are pretty overpaid, some are pretty underpaid. Could be a pro or a con depending on your personal situation.
Helpfu",,4.0,5.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 09 2021, Branch Banker,"Pittsburgh, PA",Current Employee ,Nice Company,0,"Great managers and a nice place to work
","sales are required and you have goals to reach every month
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 10 2021, Detection and Investigation Analyst Senior,,Current Employee ,Good place to work,0,"Benefits, great work culture, advancement opportunities
","Sometimes corporate disconnect from retail side causes issues
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,,,
Wed Feb 10 2021, Store Manager,"Newbury, OH",Former Employee ,Fun,0,"Was a fun place to work.
","Hours were not the best on Saturday
Helpfu",,5.0,,,,,,,,
Tue Feb 09 2021, Customer Care Representative,"Greensboro, NC",Current Employee ,Grow your career and skills,0,"Room for growth, good position for new grads looking to gain experience in a professional setting and anyone who seeks a steady salary. 401K match, pension & benefits. Paid vacation days and holidays. Overall a great way to start your career and build upon it. Plenty of positions to apply to once you’ve hit your year mark. Inclusive environment.
","It can be stressful at times because it’s customer service, and if they’re understaffed it can make the workload a bit harder. If you’re able to manage well with your monthly goals, then you’ll be fine.
Helpfu",,4.0,4.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,No opinion of CEO
Tue Feb 09 2021, Teller,"Carlisle, PA",Former Employee ,Good Part Time Job,0,"Good hours, decent pay for part-time
","Lots of turnover, Have to work Saturdays
Helpfu",,4.0,4.0,3.0,4.0,5.0,4.0,Recommends,Neutral Outlook,No opinion of CEO
Tue Feb 09 2021, Personal Banker,"Bonita Springs, FL",Former Employee ,Great Company,0,"Excellent Company to work for
","Cant choose who you work with
Advice to Management
You are only as good as your manager, office politics and clicks get in the way
Helpfu","You are only as good as your manager, office politics and clicks get in the way
Helpfu",4.0,4.0,4.0,4.0,3.0,3.0,Recommends,Positive Outlook,Approves of CEO
Sun Feb 07 2021, Escalation Representative,,Current Employee ,Escalations,0,"Great spotlight program, offers generous retirement package and HSA acccount
","Very high stress, low work life balance
Helpfu",,4.0,,,,,,,,
Sat Feb 06 2021, Business Banker,"Raleigh, NC",Current Employee ,Business banker,0,"Business banking management i is top notch all the way to the top of the house
","The bank gives you what your target salary range is with min and max and yet won’t pay you in that range if you’re internal. Loyalty is taxed heavily at PNC no matter how good you are or how well you do
Advice to Management
Pay your people more. Especially the ones that prove themselves
Helpfu","Pay your people more. Especially the ones that prove themselves
Helpfu",5.0,5.0,5.0,5.0,5.0,2.0,Recommends,Positive Outlook,Approves of CEO
