date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Fri Oct 09 2020, Self Employed,"Seattle, WA",Former Employee ,Great Company,0,"Financially well managed. Great benefits including pension and 401k
","Very competitive cyclical industry. Requires flexibility
Helpfu",,5.0,3.0,5.0,4.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021,Anonymous,N/A,Former Employee ,Great company,0,"Great culture, great people, hard work is expected
","I didn't have downsides, needed a change of scenery.
Helpfu",,4.0,,,,,,,,
Tue Feb 09 2021, Senior Software Engineer,"Renton, WA",Current Employee ,Good Company,0,"Good company to work for if you want work life balance
","Not much opportunity for growth
Helpfu",,3.0,4.0,3.0,4.0,3.0,3.0,,,
Tue Jan 19 2021,Anonymous,"Seattle, WA",Current Employee ,Overall a good employer,0,"Lots of interesting projects to work on, the company encourages professional development and provides good opportunities to do this.
","A slightly old school company culture which may not suit everyone
Helpfu",,4.0,4.0,3.0,5.0,5.0,3.0,Recommends,Positive Outlook,Approves of CEO
Mon Jan 18 2021, Operations,,Current Employee ,Great Company,0,"Solid company, great people to work with.
","The company's culture is very conservative.
Helpfu",,4.0,5.0,3.0,3.0,4.0,3.0,,,
Sat Jan 30 2021,Anonymous,"Bellevue, WA",Former Employee ,Stable but ultra conservative,0,"Work life balance, nice coworkers, location, pension
","Behind the times on work culture/diversity/tech, mediocre pay/benefits for NW and tenure over-valued so good people leave, banker dress code, management has posh dining room on upper floor while other employees have to go to basement to use a microwave
Advice to Management
Take the low scores on employee survey seriously
Helpfu","Take the low scores on employee survey seriously
Helpfu",3.0,5.0,2.0,2.0,2.0,3.0,Doesn't Recommend,Positive Outlook,
Tue Jan 26 2021, Engineer,"Redmond, WA",Current Employee ,Work life balance,0,"Stable, work life balance, free parking, location
","Too rigid, old school, no bonus, no stock options, low pay for NW
Helpfu",,3.0,5.0,2.0,3.0,3.0,2.0,Neutral Outlook,,
Sat Jan 23 2021, Distribution Associate,"Morrow, GA",Former Employee ,Good job for a person fresh out of school or college!,0,"Pension and 401k benefits and compensated pretty well.
","Overtime will be given and taken away in the same week.
Advice to Management
Show your people that you truly appreciate them!
Helpfu","Show your people that you truly appreciate them!
Helpfu",3.0,4.0,4.0,5.0,3.0,4.0,Doesn't Recommend,Positive Outlook,Approves of CEO
Tue Jan 19 2021, Buyer,"Renton, WA",Former Employee ,Needs more diversity,0,"Good benefits and people were ok
","Needs more diversity and updated software
Helpfu",,2.0,1.0,1.0,1.0,2.0,2.0,,,
Thu Jan 14 2021, Administrative Assistant,"Denton, TX",Current Employee ,Decent start,0,"decent pay, work life blalance, benefits
","management can be cold at times
Helpfu",,3.0,,,,,,,,
Tue Dec 29 2020, Senior Software Engineer,"Renton, WA",Current Employee ,Good company to work for,0,"Very good work culture and understanding management
","A little laid back at times
Helpfu",,5.0,5.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sat Jan 09 2021, Industrial Clay Modeler/Sculptor Artist,"Seattle, WA",Former Employee ,Paccar in WA,0,"Location, easy commutes ,safety clean work space, decent salary
","Poor opportunities for advancement, unclear goals for workers, rain
Advice to Management
invite worker suggestions in projects
Helpfu","invite worker suggestions in projects
Helpfu",3.0,4.0,4.0,3.0,2.0,3.0,Recommends,Neutral Outlook,Approves of CEO
Thu Dec 10 2020,Anonymous,,Former Employee ,Great place to work as you can grow in the company,0,"Growth with company and Professional
","Layoffs occur and are based on seniority
Helpfu",,4.0,3.0,4.0,3.0,5.0,5.0,,,
