date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Wed Feb 10 2021, Swe2,"San Jose, CA",Current Employee ,Great company to work for,0,"Great company to work for. Relaxed laid back atmosphere, very nice people.
","Way too many mangers in general and especially without any tech background. Not enough good engineers. A little outdated technical stack. Overall PP is getting more and more similar to the bank vs real tech company inside.
Helpfu",,5.0,5.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 10 2021, Marketing Manager,,Current Employee ,Great place to work.,0,"Great benefits, amazing product, incredibly smart people.
","Huge company, close to 40k contributors.
Helpfu",,5.0,,,,,,Recommends,Positive Outlook,Approves of CEO
Tue Feb 09 2021,Anonymous,"Omaha, NE",Current Employee ,The culture is very inclusive with opportunities to grow.,0,"Good pay and benefits, highly collaborative environment, opportunities to expand your role / career
","Large organization so decisions and movement can be slow, regular layoffs, can be hard to get promoted
Helpfu",,5.0,2.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,
Sun Feb 07 2021, Data Engineer,"San Jose, CA",Current Employee ,High Potential FinTech Company,0,"Increasingly leverage data for everything
","Fast grow adds pressure to the team
Advice to Management
Less meetings will help productivity
Helpfu","Less meetings will help productivity
Helpfu",5.0,4.0,5.0,4.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021, Software Engineer,"San Jose, CA",Former Employee ,Positive experience,0,"Good work life balance.
New tech stack
","None that I can think of.
Helpfu",,5.0,5.0,5.0,5.0,5.0,3.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021, Software Engineer III,,Current Employee ,Good,0,"Team is passionate about its mission.
","Not ideally organized. Roadmaps come late, requirements often need to be written by engineering.
Advice to Management
On the right trajectory. Keep it up.
Helpfu","On the right trajectory. Keep it up.
Helpfu",5.0,4.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021, Merchant Risk Consulting Specialist,"Chandler, AZ",Current Employee ,Best company ever,0,,"lting Specialist in Chandler, AZ
Recommends
Positive Outlook
Approves of CEO
I have been working at PayPal full-time for less than a year
Pros
Great pay, fantastic culture, awesome benefits
Cons
Nothing yet, everything has been great so far
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Feb 07 2021, Data Scientist,,Current Employee ,Data Scientist,0,"- People are pleasant to work with, they truly want to help each other to get the job done
- Good WLB
","- I could not think of one at the moment
Helpfu",,5.0,,,,,,,,
Sat Feb 06 2021, Supervisor,N/A,Former Employee ,Great Company,0,"Great benefits and sabbatical, d&i, collaboration, great people
","none, none, none, none, none, none
Helpfu",,5.0,,,,,,,,
Wed Feb 03 2021, Executive Assistant,"San Jose, CA",Current Employee ,Great place to work,0,"Great culture. An amazing team of people!
","Office closed due to Covid.
Helpfu",,5.0,5.0,5.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Executive Assistant to Vice President,"San Jose, CA",Current Employee ,Great company to work for,0,"Great company to work for
","Difficult for promotion based on job title
Helpfu",,5.0,,,,,,,,
Mon Feb 01 2021, Software Engineer,"Baltimore, MD",Former Employee ,Best place to work at,0,"- perfect work life balance
- good work culture
- exciting work
","- big teams
- none i can think of
Helpfu",,5.0,5.0,4.0,4.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Senior Product Manager,"San Jose, CA",Current Employee ,Great company,0,"Lots of interesting problems to work on
","Layoffs and internal politics. Slow to get things done.
Helpfu",,5.0,,,,,,,,
Mon Feb 01 2021, Analyst,"New York, NY",Former Employee ,Analyst,0,"Great place to work, nice people
","No disadvantages its a great place to work
Helpfu",,5.0,,,,,,,,
Mon Feb 01 2021, Tech Engineer,,Current Employee ,Tech Engineer,0,"Good facility and infrastrure inside
","Need to look for other BU's
Helpfu",,5.0,,,,,,,,
Sat Jan 30 2021, Staff Software Engineer,"San Jose, CA",Former Employee ,Amazing Company to Work For,0,"Friendly colleagues; Good work-life balance;
","Pay can improve; Pace can be higher;
Helpfu",,5.0,5.0,4.0,5.0,5.0,5.0,,,
Sat Jan 30 2021, Marketing Director,,Current Employee ,Respectable leaders and collaborative colleagues,0,"-C-suite leaders walk their talk. 
-Company stands up for inclusion and equity.
-Substantive work, feel my role matters
-Colleagues are smart, hard-working, and friendly
","-You need to establish your own work/life balance; don’t expect anyone to do it for you. This is true at any company of course, but there’s always more to do at PayPal and you need to take ownership of your schedule and be clear on where you can lean in and where you have a boundary
-We are a large company and we can get in our own way; this can keep us from moving quickly
Advice to Management
Push leaders to prioritize. Not so much to lessen the load on their teams, but more so to make sure that company resources are truly being best spent.
Helpfu","Push leaders to prioritize. Not so much to lessen the load on their teams, but more so to make sure that company resources are truly being best spent.
Helpfu",5.0,4.0,5.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 29 2021, Data Engineer,"San Jose, CA",Current Employee ,Good PlaceTo Work,0,"Niece Technology to work on , Good Management,
","Nothing seen as of now. Just Started
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,,Approves of CEO
Wed Jan 27 2021, SAR Investigator,,Former Employee ,Great company,0,"Great benefits, wonderful management, great culture
","Some difficulty moving up due into senior roles
Helpfu",,5.0,,,,,,,,
Thu Jan 28 2021, Customer Service Representative,"Chandler, AZ",Former Employee ,good job and benefits,0,"low-level management, pay, benefits, provides good work and life balance
","horrible and abusive customers, no real options for advancement (although they always say there is unless you know someone who knows someone), unprofessional coworkers, and the customer service rep job is terrible which is why they pay so much
Helpfu",,5.0,5.0,5.0,5.0,2.0,4.0,Doesn't Recommend,Positive Outlook,Approves of CEO
Wed Jan 27 2021, PayPal Customer Service Representative,"Boston, MA",Former Employee ,very good place to work,0,"good company good salary，and
 good staff
","nothing ，very thing is good
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Jan 27 2021, New Member Solutions,"Chandler, AZ",Former Employee ,Great Company,0,"inclusive, diverse, development opportunities, supportive
","none, it was a great 6 years
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Jan 27 2021, Senior Product Manager,"San Jose, CA",Current Employee ,Great place to work,0,"Great like minded folks and friendly atmosphere
","Salary and work life balance
Helpfu",,5.0,3.0,3.0,5.0,3.0,3.0,Recommends,Positive Outlook,Approves of CEO
Wed Jan 27 2021, Transaction Risk Investigator,"Chicago, IL",Current Employee ,AML Transaction Monitoring,0,"Best company I have ever wirked
","There r no cons now
Helpfu",,5.0,,,,,,,,
Wed Feb 10 2021, Integration Engineer,,Current Employee ,Very good work atmosphere,0,"1. Good benefits
2. Stock options
3. Value employees
","1. No proper growth/promotions in the team
Advice to Management
If the leader/manager is not moving up the ladder, then employees under him/her should not be stuck. They should provide them other opportunities to move up the ladder.
Helpfu","If the leader/manager is not moving up the ladder, then employees under him/her should not be stuck. They should provide them other opportunities to move up the ladder.
Helpfu",4.0,4.0,4.0,5.0,3.0,4.0,Doesn't Recommend,Positive Outlook,Approves of CEO
Wed Feb 10 2021, Senior Director,"San Jose, CA",Current Employee ,I am lead in Merchant Domain,0,"Variety of opportunities; Smart people to work with
","Work life balance is a bit of issue during pandemic; Too many reorgs
Helpfu",,3.0,3.0,3.0,3.0,4.0,3.0,Recommends,Positive Outlook,Approves of CEO
Tue Jan 26 2021, Senior Director IT,"San Jose, CA",Current Employee ,.,0,"Great company to work for.
","Challenging work load at times.
Helpfu",,5.0,2.0,5.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 09 2021, Business Analyst,"San Jose, CA",Former Employee ,Decent,0,"High energy environment and good product
","Competitive and sometimes silo’d so isolation is an issue
Helpfu",,4.0,3.0,4.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021, Software Engineer,"San Jose, CA",Current Employee ,Average,0,"- Good WorkLife Balance depending on team
- Learning opportunities present if taken
","- Big company so slow reponse
- Messy Organization
Helpfu",,3.0,3.0,3.0,3.0,4.0,3.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Sat Jan 23 2021, Underwriter,"Wilmington, DE",Current Employee ,Awesome Place,0,"Great people to work with and it feels like the company really cares about you
","You will need to learn from your peers.
Helpfu",,5.0,,,,,,Recommends,,
Fri Jan 22 2021, Senior Manager Sales Operations,,Current Employee ,Great,0,"Important work, impactful and can see impact in bottom line
","Work life balance, there’s a lot of work to be done
Helpfu",,5.0,2.0,5.0,4.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 22 2021, Senior Manager Sales Operations,,Current Employee ,Great place to work!,0,"I have worked here for a long time, the culture is good and there is room to grow if you are a go-getter
","Depending on your role, there is a lack of work life balance and it will get worse as your career grows
Helpfu",,5.0,3.0,4.0,3.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 22 2021, Data Scientist,"San Jose, CA",Current Employee ,Highly recommend,0,"Great leadership, open culture, strong reputation
","Rather limited self development resources
Helpfu",,5.0,4.0,5.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
