date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Wed Feb 03 2021, Human Resources Analyst,"Bloomfield Hills, MI",Current Employee ,Great Place to Work,0,"Opportunities for advancement, great benefits, friendly work environment
","I don't have any cons
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021, Parts Manager,"Cleveland, OH",Current Employee ,Parts department,0,"Great place to work, able to advance, learning every day
","Sometimes long hours, hard work
Helpfu",,5.0,4.0,4.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 09 2021, Administrative,"Duluth, GA",Current Employee ,Great Company,0,"Benefits, paid time off, promotion opportunities
","retail hours, some weekends, busy around holidays
Advice to Management
Open door policy is the best, keep supporting your employees
Helpfu","Open door policy is the best, keep supporting your employees
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021, Sales Manager,"Clarkston, MI",Former Employee ,Long hours decent pay,0,"Large corporation
Decent Pay
Room to switch brands as needed
","Long hours
Stressful
Pay could be better
little PTo
Helpfu",,4.0,,,,,,,,
Fri Feb 05 2021, Porter,"Turnersville, NJ",Current Employee ,"Great company to work for, poor management",0,"Fun staff constantly moving busy atmosphere
","Poorly managed could use better salesman
Helpfu",,4.0,1.0,4.0,4.0,3.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Manager,,Current Employee ,PAG excellence,0,"Always extremely professional and strive for excellence.
","Large group that can be conservative.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Administrative Assistant,"Bloomfield Hills, MI",Current Employee ,BEST company to work for Penske Automotive Group,0,"This company like to promote from within
","I cannot think of any cons for this company.....
Helpfu",,5.0,4.0,4.0,4.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Human Resources Analyst,"Bloomfield Hills, MI",Current Employee ,Hire to Retire,0,"Supportive environment from senior management
","No flex time opportunities provided
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Recruiter,"Houston, TX",Current Employee ,Great company!,0,"Great company, great management and great benefits.
","There is not much to complain.
Advice to Management
Offer stock options
Helpfu","Offer stock options
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Jan 31 2021, Customer Service Advisor,"El Monte, CA",Former Employee ,Good Company to work for,0,"very good health care benefits
","poor management , lack of work and life balance
Helpfu",,4.0,4.0,3.0,3.0,4.0,5.0,Neutral Outlook,,No opinion of CEO
Fri Jan 29 2021, General Manager,"Madison, WI",Current Employee ,I look forward to work every day!,0,"With a strong vetting process for employees, we hire the best of the best. Coming to work with people with drive, integrity and a want to be the best is an environment that we develop. This is a place where you can develop at a rate that you control, opportunities for advancement are available as well.
","It's retail and competitive. In sales you need to hustle to be great. If you are great you make big money. It's a job that requires drive and determination by you.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,
Fri Jan 29 2021, Human Resources Manager,"Madison, WI",Current Employee ,Great Organization with growth opportunity,0,"Solid employees, benefits, schedule, great customer base, competitive pay
","None to share, all has been well
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 29 2021, Sales Manager,"Bedford, OH",Current Employee ,Terrific place to work,0,"Knowledgeable leadership, room for advancement, winning culture.
","I have no negative things to say
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 29 2021, Sales Manager,"Bedford, OH",Current Employee ,Best place I have ever been employed!,0,"Family atmosphere, team oriented, great perks, pathway to promotion.
","There have not been any as of yet.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 29 2021, Service Manager,"Bedford, OH",Current Employee ,Best Work Experience,0,"Excellent opportunities for career growth and development.
","Have yet to experience anything negative.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 29 2021, Inventory Manager,,Current Employee ,PAG provides endless opportunities for advancement.,0,"It truly feels like working with family/close friends. We all work together to achieve our goals and the goals of our peers.
","Everyday presents a new challenge, not in a bad way. This allows us to stay sharp and focused at our craft.
Advice to Management
Upper management is willing to go above and beyond to help everyone, no matter the question or position.
Helpfu","Upper management is willing to go above and beyond to help everyone, no matter the question or position.
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 29 2021, Finance Manager,"Cleveland, OH",Current Employee ,Best Work Place,0,"Great people
Limitless growth
Clear company values
","Hours and health insurance, however the hours come with the field of work in the car industry.
Advice to Management
Always remember, we are leaders not bosses.
Helpfu","Always remember, we are leaders not bosses.
Helpfu",5.0,4.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 29 2021, Recruiter,"San Diego, CA",Current Employee ,Great Automotive Company,0,"Penske has been the best company that I have ever worked for. I have grown so much with this company and I appreciate that they gave me a chance when no one else would.
","In order to grow you have to know which path to take. No one will make that decision for you.
Advice to Management
Slightly better communication is all
Helpfu","Slightly better communication is all
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 29 2021, Recruiter,"San Jose, CA",Current Employee ,Thank you,0,"Penske Automotive Group has been an amazing experience
","Not too fond of medical benefits
Advice to Management
Communication
Helpfu","Communication
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 29 2021, General Manager,"Bedford, OH",Current Employee ,Best company I have ever worked for.,0,"Great benefits. Good work /life balance. Accessible Management.
","None that I can think of.
Advice to Management
Keep up the good work!
Helpfu","Keep up the good work!
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 28 2021, Store Manager,"Phoenix, AZ",Current Employee ,Best Company to Work For,0,"Penske values of integrity, honesty, transparency and accountability match my values perfectly
","Must be willing to commit to results. “Effort equals Results”
Advice to Management
Keep doing what you are doing in leading this company
Helpfu","Keep doing what you are doing in leading this company
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 28 2021, Area Human Resources Manager,"Fayetteville, AR",Current Employee ,Great Company,0,"Caring people, relaxed atmosphere, customer centric
","None that comes to mind
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 28 2021, Recruiter Coordinator,,Current Employee ,Penske Automotive Group Review,0,"Penske Automotive Group has offered me the best experience for my career path. Not only are the employees valued, but there is so much potential to grow within the company itself! If you’re looking for a career in the automotive industry, Penske Automotive Group is the right choice!
","I don’t believe there are any cons working with Penske Automotive Group.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 28 2021, Recruiting,,Current Employee ,Quid Pro Quo,0,"PAG offers hundreds of advancement opportunities as well as benefits! During the recent pandemic, PAG made sure to take care of their employees and follow up on a weekly basis. This is a great company to work for of you're looking for a forever home!
","No cons to add here!
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 28 2021, Marketing,"Detroit, MI",Current Employee ,great company with great leadership,0,"Great opportunities for growth and career development
","I can't really think of anything. It's a great company. Feel very fortunate to work for the organization.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 28 2021, Sales Manager,"Bedford, OH",Current Employee ,Great Company,0,"Best place i have worked in my 27 years in the business! Truly care about their Employees!
","Really nothing bad, thank you
Advice to Management
Please Continue to care as much as you do for your staff!
Helpfu","Please Continue to care as much as you do for your staff!
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
