date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Mon Jan 18 2021, Front Line Leader,,Current Employee ,Awesome place to work at.,0,"PepsiCo offers a great career plan.
","You could end up at a plant that is struggling, which can hinder your career growth.
Helpfu",,5.0,,,,,,,,
Mon Feb 08 2021,Anonymous,"Purchase, NY",Former Employee ,Good place,0,"Great people, good work life balance
","Development is slow, some positions are a dead end
Helpfu",,4.0,5.0,5.0,5.0,3.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sat Feb 06 2021,Anonymous,"Bradenton, FL",Current Employee ,Tropicana,0,"Good pay, decent work enviroment
","Sometimes long hrs, inconsistent schedule
Helpfu",,5.0,,,,,,,,
Fri Feb 05 2021, Demand Planner,"Chicago, IL",Current Employee ,PepsiCo Review,0,"Great culture, great work life balance
","You help make products full of sugar
Helpfu",,4.0,4.0,5.0,5.0,4.0,3.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Supply Chain Manager,,Current Employee ,PepsiCo Offers Variety of Roles in Several Locations,0,"A huge company that is growing under great management.
","Cyclical business with long summer hours.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Warehouse Loader,"Jacksonville, FL",Current Employee ,Best Company,0,"Get in shape. Pay. Benefits. Advancement. Onsight clinic
","Long hours. Coworkers. Moral. Supervisors. Saturdays
Helpfu",,5.0,2.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Data Engineer,"San Jose, CA",Current Employee ,Good company,0,"Startup feel backed up by parent company
","Most parts are still brick and mortar
Helpfu",,4.0,5.0,4.0,4.0,3.0,3.0,,,
Thu Feb 04 2021, Sales Specialist,,Current Employee ,Big company means lots of opportunities for growth,0,"People are very smart and open to mentoring and building relationships with others

Competitive pay and benefits

Huge company, so there is always a different team you can switch to if you’re looking for growth opportunities
","Has office politics like other large organizations
Helpfu",,5.0,4.0,4.0,3.0,5.0,4.0,Recommends,,Approves of CEO
Mon Feb 01 2021, Sales Representative,"Portland, OR",Current Employee ,Lack of a work/life balance,1,"Good pay, great benefits, not much micro management
","Overworked, even though they pay is good, it doesn’t amount to how much work you do. Promotions and advancements are based on who you’re friends with in management, rather than your accomplishments and seniority.
Advice to Management
Check in on the basic well being of your associates. A lot of us work very hard with little to no feedback or anything to show for our efforts.
Helpful (1","Check in on the basic well being of your associates. A lot of us work very hard with little to no feedback or anything to show for our efforts.
",4.0,1.0,4.0,4.0,3.0,3.0,Recommends,Neutral Outlook,No opinion of CEO
Tue Feb 02 2021, Senior Finance Manager,"Chicago, IL",Current Employee ,PepsiCo is the best,0,"Great people to work with
","I have no cons to share
Helpfu",,5.0,4.0,5.0,5.0,4.0,5.0,Recommends,Neutral Outlook,Approves of CEO
Tue Feb 02 2021, Truck Driver,"Valparaiso, IN",Current Employee ,Its an ok job,0,"Good pay and great co workers
","Crappy hours bad management a lot of wear and tear on your body
Helpfu",,4.0,4.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 01 2021," Environmental, Safety and Health Representative","Chicago, IL",Current Employee ,EHS Rep,0,"Lucky to have a great manager and flexible work environment that allows me to be more focused as well as producing better quality and more efficient work
","With any large organization innovation is sometimes slow and bottlenecks can be created by more tenured, slower moving individuals
Advice to Management
Continue to practice better, faster, stronger and remove bottlenecks to making, moving and selling our products
Helpfu","Continue to practice better, faster, stronger and remove bottlenecks to making, moving and selling our products
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 01 2021, Package Handler,"Chicago, IL",Former Employee ,Hey,0,"Good workers and team. Fast paced
","Long hours. A lot of bending over
Helpfu",,4.0,2.0,3.0,3.0,4.0,3.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 01 2021, Human Resources Senior Representative,"Dallas, TX",Current Employee ,Recommended place to work,0,"Great company with passion behind products, competitive pay, broad and beneficial HR exposure
","Difficulty maintaining work-life balance, low 401(k) match
Advice to Management
Continued WFH flexibility, post-COVID-19 pandemic
Helpfu","Continued WFH flexibility, post-COVID-19 pandemic
Helpfu",4.0,2.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 01 2021, Sales District Leader,"Washington, DC",Current Employee ,Sales District Leader,0,"Pay and benefits. Good people
","Work Life balance. Expect to work 60 hours a week. 7 days a week
Helpfu",,4.0,,,,,,,,
Mon Feb 01 2021, Production Technician/Machine Operator,"Atlanta, GA",Current Employee ,Easy job,0,"Nothing is too strenuous on your body
","Takes too long to get something done
Helpfu",,4.0,3.0,3.0,5.0,4.0,4.0,Recommends,Positive Outlook,
Sun Jan 31 2021, Analyst,,Current Employee ,Great compant,0,"Management and upward mobility. Love it
","No system to keep employees accountable
Helpfu",,5.0,3.0,4.0,5.0,5.0,3.0,Recommends,Positive Outlook,Approves of CEO
Sat Jan 30 2021, Vice President Design,"Chicago, IL",Former Employee ,PepsiCo Design,0,"Highly creative environment and very talented designers
","Long hours and very competitive
Helpfu",,5.0,3.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sat Jan 30 2021, Manager,,Current Employee ,5/5,0,"Great team environment thus far
","No complaints at this time
Helpfu",,5.0,,,,,,,,
Fri Jan 29 2021, Financial Service Representative (FSR),"Chicago, IL",Current Employee ,Food Service Rep,0,"Good pay, company vehicle, good co-workers
","A lot of hours at times
Helpfu",,5.0,3.0,5.0,4.0,4.0,4.0,,,
Fri Jan 29 2021, Maintenance,,Current Employee ,Great place to work!,0,"People are great to work with.
","Higher turnover that has impact to performance.
Helpfu",,5.0,4.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 29 2021, Director,,Former Employee ,Good,0,"Good management for all people
","Can do better on incentives
Helpfu",,4.0,,,,,,,,
Fri Jan 29 2021, Systems Engineer,"Fitchburg, MA",Former Employee ,great work place as Global company,0,"employee benefits are good. they send you to the educations
","working with outsources and they have the admin rights all the time
Helpfu",,4.0,4.0,4.0,5.0,5.0,4.0,Recommends,Neutral Outlook,
Thu Jan 28 2021, Key Account Manager,,Current Employee ,Best Beverage Company,0,"This is by far the greatest beverage company I have personally worked for. Pepsi cares for their people, focuses on their development and wants to grow the culture. I am proud to work for Pepsi everyday.
","I do not have any Cons about Pepsi
Helpfu",,5.0,5.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 28 2021, Engineer,"Plano, TX",Current Employee ,Great opportunities,0,"Work life balance, explore interests
","Undefined work, lower pay structure
Helpfu",,5.0,,,,,,,,
Thu Jan 28 2021, Associate Manager,"Plano, TX",Current Employee ,"Good Company, but the shift of HQ jobs over seas to lower cost workers has been difficult.",0,"Strong operating company, with a constant desire for improvement
","shift of HQ jobs over seas to lower cost workers, mainly in India
Helpfu",,4.0,,,,,,,,
Thu Jan 28 2021," SDL, Or District Sales Leader",,Former Employee ,Nice place,0,"Excellent pay, bonuses, and benefits
","working in a small facility with no way to get any extra employees for growing territory.
Doing all jobs except job as an SDL because of employee turnover
Helpfu",,4.0,1.0,4.0,4.0,5.0,5.0,Recommends,Positive Outlook,No opinion of CEO
Wed Jan 27 2021, Environmental Manager,,Current Employee ,Excellent Company to work for,0,"Great benefits and excellent work-life-balance
","None. Great place to work.
Helpfu",,5.0,,,,,,,,
Wed Jan 27 2021, Senior Financial Analyst,"White Plains, NY",Current Employee ,Great Experience!,0,"Encouraged movement across organization for growth and promotion
","Work hours can become overwhelming at times
Helpfu",,4.0,,,,,,,,
Wed Jan 27 2021, Senior Financial Analyst,"White Plains, NY",Current Employee ,Great Experience!,0,"Encouraged movement across organization for growth and promotion
","Work hours can become overwhelming at times
Helpfu",,4.0,,,,,,,,
Wed Jan 27 2021, Key Account Manager,,Former Employee ,Empowering place to work!,0,"Diversity focused, empowering culture, global
","Can be very hierarchical, complex system to work in
Helpfu",,4.0,,,,,,,,
Sun Jan 24 2021, Supply Chain Associate,"North Chicago, IL",Current Employee ,Great company and growth opportunities,1,"Great company, very smart people, collaborative teams, lots of growth, a dream company to work for
","the work environment can be very stressful, could do more to address work-life balance and mental health of employees
Advice to Management
n/a
Helpful (1","n/a
",4.0,3.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Jan 26 2021, Small Format Sales Representative,"Yuma, AZ",Current Employee ,"Good money, lots of work",0,"Good money, can be fun, meet a lot of people, not in one place all day
","Lots of hours, hard to finish everything, tension between departments
Advice to Management
Be fair and understanding
Helpfu","Be fair and understanding
Helpfu",5.0,3.0,5.0,5.0,4.0,5.0,Recommends,Positive Outlook,No opinion of CEO
Tue Jan 26 2021, Operations Manager,"Saint Louis, MO",Current Employee ,Solid Company,0,"Solid company that will always work to service the retail industry, even through a pandemic.
","Servicing retail customers can be very demanding especially in times where employees may be impacted by the pandemic and staffing is difficult
Advice to Management
Continue to develop team members and build capability from within.
Helpfu","Continue to develop team members and build capability from within.
Helpfu",5.0,3.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Jan 26 2021, Marketing Director,"White Plains, NY",Current Employee ,"Great company, but doesn't act as one",0,"Great company, strong benefits, incredibly smart people, lots of opportunities for advancement, lots of diverse opportunities (you won't get stuck in one function or business unit), flexible work spaces. Work/life balance is encouraged.
","VPs and Senior Directors move often, creating inconsistency for brand strategy. New leaders each want to put their ""mark"" on a brand, and often abandon the strategy of their predecessor to do so, causing a lot of fire drills, rework, and waste. But more than anything, it dilutes our brand equities. It's hard to stay focused on a brand purpose when that purpose is constantly changing.
Advice to Management
The way the company is structured (separate P&Ls for snacks vs. beverages vs. Gatorade, etc) might work for Wall Street, but encourages internal competition instead of collaboration. We could be stronger faster and better if we were incentivized to work across our categories and if we all understood the role each brand and product brings to the whole of PepsiCo.
Helpfu","The way the company is structured (separate P&Ls for snacks vs. beverages vs. Gatorade, etc) might work for Wall Street, but encourages internal competition instead of collaboration. We could be stronger faster and better if we were incentivized to work across our categories and if we all understood the role each brand and product brings to the whole of PepsiCo.
Helpfu",4.0,5.0,4.0,5.0,5.0,3.0,Recommends,Positive Outlook,Approves of CEO
Mon Jan 25 2021, Communications Manager,"New York, NY",Current Employee ,You learn fast at PepsiCo,0,"Plenty of learning opportunities, strong talent hiring, so your colleagues are hard-working, reliable and dedicated as you are.
","It's fast-paced so you have to be able to handle that
Helpfu",,5.0,,,,,,,,
Mon Jan 25 2021, Senior Director,"Plano, TX",Former Employee ,Great company but really great people,0,"Many fantastic people to work with, challenging work with good pay and benefits.
","Can be very bureaucratic with lots of office politics, you need to have a network and understand how to get things done within a large organization to be successful.
Helpfu",,4.0,3.0,3.0,4.0,5.0,5.0,Recommends,,No opinion of CEO
Mon Jan 25 2021, RSM,"Chicago, IL",Former Employee ,Huge,0,"Good people, good mission lots of work
","Turn and burn and grind
Helpfu",,4.0,2.0,3.0,2.0,4.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Sun Jan 24 2021, Customer Development Representative,"Kansas City, KS",Former Employee ,Great Global Company,0,"Great Company to work for, great benefits, great culture.
","Not too many good job opportunities in middle to small cities.The best opportunities are in big cities if you are willing to move.
Helpfu",,5.0,4.0,5.0,4.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Feb 07 2021, Manager,N/A,Former Employee ,Not the best,0,"Easy work, more staff than you need
","Archaic career progression. 
Not enough upward potential for high-performers.
Helpfu",,3.0,,,,,,Recommends,Neutral Outlook,
Sat Jan 23 2021, General Manager,"Bakersfield, CA",Current Employee ,Great company,0,"Innovative
Merit based
Great Communication 
Employee centric
Technologically advanced
","I have nothing to add here
Helpfu",,5.0,3.0,5.0,5.0,5.0,3.0,Recommends,Positive Outlook,Approves of CEO
Sat Jan 23 2021, Loader,"Chester, VA",Current Employee ,Great Job,0,"Easy work to be a warehouse job.
","Greatest warehouse I worked for.
Helpfu",,4.0,4.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 22 2021, Material Handler,"Phoenix, AZ",Current Employee ,Great place for part time work,0,"Easy work flexible schedule Friendly environment
","Not enough hours takes forever for the parking lot gate to open lol
Advice to Management
Stop moving new employees around so much. Try to keep them in the same area.
Helpfu","Stop moving new employees around so much. Try to keep them in the same area.
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 22 2021, Customer Development Representative,"Detroit, MI",Former Employee ,great,0,"everything like the people and opporutnities
","a lot because of the time and stuff
Helpfu",,5.0,2.0,5.0,4.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 22 2021, Production Supervisor,,Current Employee ,Great Place to work,0,"Strong Work and life balance
","None. No complaints about the job
Helpfu",,5.0,,,,,,,,
Sat Feb 06 2021, Wharehouse,"Fairborn, OH",Current Employee ,Don’t Be Fooled,0,"The Only pro is the pay & Saturday off.
","No work life balance, sometimes you get forced in for 6 days with 1 day off , you can’t leave until your workload is finished , heavy workloads , employees constantly quit which makes count goes up .
Advice to Management
Listen to the concerns of the employees , hold management accountable, stop running employees into the ground .
Helpfu","Listen to the concerns of the employees , hold management accountable, stop running employees into the ground .
Helpfu",2.0,1.0,1.0,3.0,3.0,5.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
