date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Fri Jan 08 2021, Order Selector,"Lebanon, TN",Current Employee ,Great place to work,0,"Good money management is great. I love come in go home when you’re done type of work
","I have no cons I love my job
Advice to Management
None they do a good job of being as transparent and fair as possible
Helpfu","None they do a good job of being as transparent and fair as possible
Helpfu",5.0,5.0,4.0,4.0,4.0,5.0,Recommends,Positive Outlook,No opinion of CEO
Wed Feb 10 2021, Delivery Driver,"Kendallville, IN",Current Employee ,Delivery driver,0,"Pay is Great, and equipment is new
","Work is hard, but rewarding.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,No opinion of CEO
Sun Feb 07 2021, Order Selector,"Swedesboro, NJ",Former Employee ,Pay,0,"Good money
Incentives 
Stay in shape 
Stay in shape
","Bad training 
Equipment not that safe
Helpfu",,4.0,3.0,3.0,3.0,3.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Mon Feb 01 2021, Router,"Oakwood, GA",Former Employee ,great company,0,"good work environment, lots of overtime
","Long work hours, unpredictable hours
Helpfu",,4.0,,,,,,,,
Wed Feb 03 2021, Driver Check In,,Former Employee ,Job,0,"possible over time hours, descent pay
","excessive change in hours, big workload sometimes with no help
Helpfu",,3.0,2.0,2.0,3.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, CDL Class A,,Current Employee ,Great,0,"Good pay good life balance new trucks
","Not much some management could be better
Helpfu",,2.0,5.0,5.0,5.0,5.0,5.0,,,
Thu Jan 21 2021, Professional Truck Driver,"Kendallville, IN",Former Employee ,Driver,0,"Pay was decent and so are trucks
","Horrible management and insufficient traininhf
Helpfu",,2.0,2.0,2.0,2.0,3.0,3.0,Doesn't Recommend,Positive Outlook,Disapproves of CEO
Tue Jan 05 2021, Vice President Human Resources,"Augusta, ME",Current Employee ,"Growth Oriented, Diverse Company",0,"Career growth, rewarded for hard work
","foodservice is a 24/7 business
Helpfu",,5.0,3.0,5.0,5.0,4.0,3.0,Recommends,Positive Outlook,Approves of CEO
Tue Jan 19 2021, Analyst,"Chicago, IL",Current Employee ,It's ok,0,"Good transparency. They are working hard on improvements.
","Pay could be better, not up to industry standards and they will let you know they are aware of that but not willing to change.
Helpfu",,3.0,,,,,,,,
Thu Dec 31 2020, Area Manager,"Memphis, TN",Current Employee ,Great,0,"Great company to work for
","None i can think of now
Advice to Management
Move
Helpfu","Move
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Jan 13 2021, Sales Representative,N/A,Former Employee ,Sales,0,"Good pay, easy job, decent hours
","No Chance to move up
Helpfu",,3.0,,,,,,,,
Thu Jan 14 2021, Food Delivery Driver,,Former Employee ,Truck driver,0,"The pay is good and benefits.
","Lots of work wont have time for anything outside of work.
Helpfu",,3.0,,,,,,,,
Wed Jan 13 2021, Territory Manager,"Dallas, TX",Current Employee ,"Stay where you are, they lie, they promise, they dont deliver.",0,"money is ok and great co workers
","management promises but never delivers, inadequate product mix, procedures to get anything done are arduous at best.
Advice to Management
stop deceiving people, start doing what you say and saying what you do.
Helpfu","stop deceiving people, start doing what you say and saying what you do.
Helpfu",2.0,1.0,1.0,2.0,4.0,1.0,Doesn't Recommend,Negative Outlook,
Fri Jan 08 2021, Food Service Driver,"Montgomery, IL",Former Employee ,Good pivot point.,0,"Good pay, benefits etc
Some shorter days
","Salaried, route issues, late warehouse.
Advice to Management
“You have to work Saturday [or your fired].”
Not choice words of good leadership.
Helpfu","“You have to work Saturday [or your fired].”
Not choice words of good leadership.
Helpfu",3.0,3.0,1.0,2.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 07 2021, Order Selector,"Little Rock, AR",Current Employee ,It’s cool,0,"Pay is pretty decent honestly
","I don’t know any as of now
Helpfu",,3.0,,,,,,,,
Mon Dec 21 2020, OTR Truck Driver/Local Truck Driver,"Greer, SC",Current Employee ,Benefits,0,"Cool people and the benefits
","Work you hard and not hourly...Performance based pay
Helpfu",,4.0,1.0,4.0,3.0,1.0,5.0,Recommends,Positive Outlook,No opinion of CEO
Mon Jan 25 2021, Human Resources Manager,"Dallas, TX",Current Employee ,NA,0,"High turnover friendly coworkers management sucks
","No room for growth and development
Helpfu",,1.0,1.0,1.0,1.0,1.0,1.0,Recommends,Positive Outlook,Approves of CEO
Fri Dec 18 2020, Order Selector,"Hickory, NC",Current Employee ,Great place to work for hard working individuals,0,"Good pay, free dinner most nights, every weekend off,
","Bi weekly pay roll, 2 weeks checks
Advice to Management
Keep it up!
Helpfu","Keep it up!
Helpfu",5.0,3.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Dec 18 2020, Imaging Specialist,,Current Employee ,Great benefits,0,"Excellent benefits for dental and health as well as an excellent 401k plan and stock options
","I have seen no downside yet
Helpfu",,5.0,,,,,,,,
Sun Jan 10 2021, Area Manager,"Somerset, KY",Current Employee ,Podunk mentality,0,"PFG corporate is a great company who believes in training and supporting its team
","PFG Somerset doesn’t care about sales people, their salaries, their time, their cars or their customers. They create trips for the management and office staff to enjoy with the same customers year after year
Helpfu",,1.0,3.0,1.0,1.0,2.0,1.0,Doesn't Recommend,Negative Outlook,Approves of CEO
