date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Fri Feb 05 2021, Quality Operations,"McPherson, KS",Current Employee ,"Excellent, Fair, Equality",0,"Treats women fairly. Pays well. Growth opportunities
","I have nothing negative to say
Helpfu",,5.0,,,,,,,,
Thu Feb 04 2021," Senior Director, Regulatory Affairs Management","New York, NY",Former Employee ,good employer,0,"great benefits, flexible work location
","commuting to New York City
Helpfu",,5.0,4.0,4.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Associate Scientist,"Andover, MA",Current Employee ,Good,0,"Organization, communication, feedback, help, and benefits
","Hostile work environment sometimes, passive aggressive
Helpfu",,5.0,,,,,,,,
Tue Feb 02 2021, Senior Financial Analyst,"New York, NY",Former Employee ,Great company,0,"Great people, lots of opportunities
","Can get stuck with changing demands
Helpfu",,5.0,5.0,4.0,5.0,4.0,3.0,Recommends,Positive Outlook,No opinion of CEO
Tue Feb 02 2021, Senior Scientist,,Current Employee ,Senior Scientist,0,"High quality R&D work overall
","Quick project turn over time
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Jan 26 2021, Data Science Associate,"New York, NY",Current Employee ,If you’re a POC professional looking for a strong networking community and talent development pipeline look no further!,2,"CEO and leadership has an incredible commitment to D&I anti-racist initiatives and has a blooming Global Black Community CRG and Latino CRG (I’m Latino myself) and this has made creating and expanding a network possible even while working remote the past year. Opportunities for advancement and internal hiring is constant and available. Opportunities to grow are there IF you really shine and are excellent. You also need to be known, build a brand, and have a cereer mentor AND sponsor. Otherwise promotions are hard to come by. Yearly education benefits are available as well. Super incredible work life balance (not like banks or consultant companies) and Pfizer is very flexible. Get most of your work done at night? Then take the day to do other stuff. Meetings with China at midnight? Sleep in until whenever the next day. Pay is decent, not the bottom of the curve not not like banking/consultant level either and our engineers get paid similar to the likes of other tech companies. But it’s worth it for the benefits, the leadership, flexibility to have a whole life outside of work. Also crazy maternal and paternal leave (6-9months off with pay). It’s a company filled with lovely, committed, & intelligent colleagues who bring A LOT of value to Pfizer’s culture and shape the core essence of Pfizer’s new brand.
","It’s not like other companies where there is a specific promotion timeline, to move up in pay grade levels you usually have to apply internally for another position at a higher grade level. Other option is promotion within your current role ... but even then it’s never certain and entirely depends on your performance (has to be above and beyond) as well as who “has your back” when it comes to discussing your compensation.
Helpful (2",,5.0,5.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Associate Scientist,"Pearl River, NY",Current Employee ,NA,0,"Good to work for sure
","Favoritism plays a role sometimes
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Neutral Outlook,No opinion of CEO
Thu Jan 28 2021, Senior Director,,Former Employee ,Perfectly fine,1,"Interesting people, work life balance
","Limited growth and opportunity at different levels
Helpful (1",,5.0,,,,,,,,
Sun Jan 31 2021, Business Analyst,,Former Employee ,Great,0,"Great company to work for.
","Cannot think of any cons to work there.
Helpfu",,5.0,5.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sat Jan 30 2021, Production,N/A,Former Employee ,good company,0,"good pay not hard work
","there are real no cons
Helpfu",,5.0,3.0,2.0,5.0,,,Recommends,Positive Outlook,
Mon Jan 25 2021, Administrative Assistant,"New York, NY",Current Employee ,"Great company, extremely supportive managers and empathetic team members",0,"Great pay, flexible hours, technical support, learning is promoted
","None at this time for me
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Jan 25 2021, Customer Service Representative,,Former Employee ,Great company,0,"Work environment
Schedule
Flexibility
Ability to take decision.
","Nothing that needs to be written.
Helpfu",,5.0,,,,,,,,
Mon Feb 08 2021," Senior Director, Communications","New York, NY",Current Employee ,"great company to work for, but culture changes with CEO",0,"best in class benefits; good salary/bonuses
","leaders manage up; chaotic CEO, toxicity/fear-based action in many groups
Helpfu",,4.0,4.0,3.0,2.0,4.0,5.0,Recommends,Positive Outlook,Disapproves of CEO
Sat Jan 23 2021, Senior Research Associate,"Boston, MA",Current Employee ,Great Company,0,"Flexible working hours, wonderful people
","Hard to get promoted in some areas, lower pay than competitors
Helpfu",,5.0,5.0,4.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sat Jan 23 2021, Internship,,Current Employee ,Amazing company,0,"Cares deeply for their patients and employees
","There are no cons I can say
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Feb 07 2021, Senior Principal Scientist,"Groton, CT",Current Employee ,Great people,0,"Great people to work with
","Risk averse strategy for projects
Helpfu",,4.0,,,,,,,,
Fri Feb 05 2021, Associate Scientist,"Pearl River, NY",Current Employee ,Okay,0,"The name and prestige of the company
","Promotions based on time at company not on merit. Some directors are terrible. Pay is lower than other pharma companies
Helpfu",,3.0,1.0,3.0,1.0,2.0,3.0,Doesn't Recommend,,
Wed Jan 20 2021, Senior Financial Analyst,"Lake Forest, IL",Former Employee ,Great company with a great future,0,"Treated with respect; good work life balance; flexible work options
","I was laid off due to Hospira acquisition; limited career opportunities in Finance
Advice to Management
Keep doing what you are doing
Helpfu","Keep doing what you are doing
Helpfu",5.0,5.0,5.0,5.0,2.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Jan 20 2021, Asset Management Intern,"Cambridge, MA",Former Employee ,Great Company,0,"Good people, solid pay, great benefits.
","Nothing major, very good experience.
Helpfu",,5.0,,,,,,Recommends,,
Thu Jan 21 2021, Consultant,"New York, NY",Current Employee ,Great Place to Work,0,,"ltant in New York, NY
I have been working at Pfizer full-time for more than a year
Pros
Very good Work Life Balance
Cons
company can be a bit bureaucratic
Helpfu",,5.0,5.0,4.0,4.0,4.0,4.0,,,
Wed Feb 03 2021, Senior Analyst,"Memphis, TN",Current Employee ,Great benefits and pay,0,"Great pay and excellent benefits
","Boring but very easy job
Helpfu",,4.0,5.0,3.0,4.0,3.0,5.0,Recommends,Positive Outlook,No opinion of CEO
Wed Feb 03 2021, Senior Principal Scientist,"Cambridge, MA",Current Employee ,Prizer,0,"Deep expertise, proven success, opportunities to work across the organization
","Convention over innovation, workload imbalance, inefficiencies
Helpfu",,4.0,3.0,3.0,3.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Manager,"New York, NY",Current Employee ,Great Benefits,0,"Smart people work there and can guide you
","work hard, long hours, sometimes weekends
Helpfu",,3.0,,,,,,,,
Tue Jan 19 2021, Senior Scientist,"Boulder, CO",Current Employee ,Excellent environment to learn and grow,0,"Fast paced and cutting edge environment
","Bureaucracy can get in the way, management can change
Advice to Management
Work on development of scientists within to leadership roles
Helpfu","Work on development of scientists within to leadership roles
Helpfu",5.0,5.0,5.0,4.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Jan 19 2021, Devops Engineer,"Boston, MA",Former Employee ,Devops,0,"Good Environment, good work culture, diverse
","lots of work, must meet deadlines at any cost
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Market Access Manager,"New York, NY",Former Employee ,Solid Employer,0,"Respect for people, products and services
","Limited focus on career advancement
Helpfu",,4.0,4.0,4.0,3.0,2.0,4.0,,,
Tue Feb 02 2021, Internship,"New York, NY",Former Employee ,Great Learning Experience,0,"Learned a lot, good growth
","Can't think of any downsides
Helpfu",,4.0,,,,,,,,
Tue Feb 02 2021, Director of Business Operations,"South Bend, IN",Current Employee ,Solid Place to work,0,"Good Place to work with competitive pay and benefits and Sr. mgt takes very seriously putting patients first
","Big pharma can lead to slow processes
not as many advancement opportunities as one would hope for such a big company
Helpfu",,4.0,4.0,4.0,4.0,3.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Upper Middle Management,,Former Employee ,Pfizer: A good place to work,0,"Benefits are good; salary is generally good.
","Don't expect big merit raises. They give a limited pool of money to each team Director for merit raises. They tend to split it equally rather than giving more to the hardest workers. This tends to lower morale.
Advice to Management
Find a way to fairly compensate your best employees.
Helpfu","Find a way to fairly compensate your best employees.
Helpfu",4.0,4.0,4.0,5.0,3.0,4.0,Recommends,Neutral Outlook,No opinion of CEO
